it's ironic that the best films in cinema history are invariably the original director's cut of the film . 	Translation	Positive	Negative	EmotionRationale
taking pity on her , l ? on hides her in his apartment when she returns to save her life . 	taking pity on her , l ?<br> on hides her in his apartment when she returns to save her life .	2	-2	 taking[0] pity[-1] on[0] her[0] l[0] [[Sentence=-2,1=word max, 1-5]] on[0] hides[0] her[0] in[0] his[0] apartment[0] when[0] she[0] returns[0] to[0] save[1] her[0] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
mathilda learns of l ? on's hit man profession and decides to follow in l ? on's footsteps as a " cleaner . " 	mathilda learns of l ?<br> on's hit man profession and decides to follow in l ?<br> on's footsteps as a " cleaner .<br> "	1	-1	 mathilda[0] learns[0] of[0] l[0] [[Sentence=-1,1=word max, 1-5]] on's[0] hit[0] man[0] profession[0] and[0] decides[0] to[0] follow[0] in[0] l[0] [[Sentence=-1,1=word max, 1-5]] on's[0] footsteps[0] as[0] a[0] cleaner[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she then falls in love with him and manages to reawaken emotions within l ? on he has kept locked away as part of his profession . 	she then falls in love with him and manages to reawaken emotions within l ?<br> on he has kept locked away as part of his profession .	3	-1	 she[0] then[0] falls[0] in[0] love[2] with[0] him[0] and[0] manages[0] to[0] reawaken[0] emotions[0] within[0] l[0] [[Sentence=-1,3=word max, 1-5]] on[0] he[0] has[0] kept[0] locked[0] away[0] as[0] part[0] of[0] his[0] profession[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
at this point , the differences in the american version and the international version really kick in . 	at this point , the differences in the american version and the international version really kick in .	1	-3	 at[0] this[0] point[0] the[0] differences[0] in[0] the[0] american[0] version[0] and[0] the[0] international[0] version[0] really[0] kick[-1][-1 LastWordBoosterStrength] in[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the international version contains an additional 24 minutes of footage that pertains directly to the relationship of l ? on and mathilda , footage that american censors deemed " too explicit . " 	the international version contains an additional 24 minutes of footage that pertains directly to the relationship of l ?<br> on and mathilda , footage that american censors deemed " too explicit .<br> "	1	-2	 the[0] international[0] version[0] contains[0] an[0] additional[0] 24[0] minutes[0] of[0] footage[0] that[0] pertains[0] directly[0] to[0] the[0] relationship[0] of[0] l[0] [[Sentence=-1,1=word max, 1-5]] on[0] and[0] mathilda[0] footage[0] that[0] american[0] censors[-1] deemed[0] too[0] explicit[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i assume that american censors feel that defining character development is too much for american audiences to handle . 	i assume that american censors feel that defining character development is too much for american audiences to handle .	1	-2	 i[0] assume[0] that[0] american[0] censors[-1] feel[0] that[0] defining[0] character[0] development[0] is[0] too[0] much[0] for[0] american[0] audiences[0] to[0] handle[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the best part of this extra footage is that gives better understanding of both mathilda's and l ? on's motivations pertaining to later actions involving oldman and his crew of bad cops . 	the best part of this extra footage is that gives better understanding of both mathilda's and l ?<br> on's motivations pertaining to later actions involving oldman and his crew of bad cops .	2	-2	 the[0] best[1] part[0] of[0] this[0] extra[0] footage[0] is[0] that[0] gives[0] better[0] understanding[0] of[0] both[0] mathilda's[0] and[0] l[0] [[Sentence=-1,2=word max, 1-5]] on's[0] motivations[0] pertaining[0] to[0] later[0] actions[0] involving[0] oldman[0] and[0] his[0] crew[0] of[0] bad[-1] cops[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
there's even a previously unseen cameo by the great french actor jean-hugues anglade - star of queen margot , besson's la femme nikita , and killing zoe . 	there's even a previously unseen cameo by the great french actor jean-hugues anglade - star of queen margot , besson's la femme nikita , and killing zoe .	3	-2	 there's[0] even[0] a[0] previously[0] unseen[0] cameo[0] by[0] the[0] great[2] french[0] actor[0] jean[0] hugues[0] anglade[0] star[0] of[0] queen[0] margot[0] besson's[0] la[0] femme[0] nikita[0] and[0] killing[-1] zoe[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
with these additional scenes replaced , l ? on and matilda's relationship brings you emotionally closer to the film and draws stronger bonds between the characters that were murky in the american version . 	with these additional scenes replaced , l ?<br> on and matilda's relationship brings you emotionally closer to the film and draws stronger bonds between the characters that were murky in the american version .	1	-2	 with[0] these[0] additional[0] scenes[0] replaced[0] l[0] [[Sentence=-1,1=word max, 1-5]] on[0] and[0] matilda's[0] relationship[0] brings[0] you[0] emotionally[0] closer[0] to[0] the[0] film[0] and[0] draws[0] stronger[0] bonds[0] between[0] the[0] characters[0] that[0] were[0] murky[-1] in[0] the[0] american[0] version[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the most ironic thing about the international version of the film is that with the inclusion of the missing scenes , the film becomes primarily a heavy , emotional drama punctuated with big action scenes at the beginning and the end of the film . 	the most ironic thing about the international version of the film is that with the inclusion of the missing scenes , the film becomes primarily a heavy , emotional drama punctuated with big action scenes at the beginning and the end of the film .	1	-2	 the[0] most[0] ironic[-1] thing[0] about[0] the[0] international[0] version[0] of[0] the[0] film[0] is[0] that[0] with[0] the[0] inclusion[0] of[0] the[0] missing[0] scenes[0] the[0] film[0] becomes[0] primarily[0] a[0] heavy[0] emotional[-1] drama[0] punctuated[0] with[0] big[0] action[0] scenes[0] at[0] the[0] beginning[0] and[0] the[0] end[0] of[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film betters reflects the serious drama of french cinema but is laced with pieces reflecting the brutality of american cinema . 	the film betters reflects the serious drama of french cinema but is laced with pieces reflecting the brutality of american cinema .	1	-3	 the[0] film[0] betters[0] reflects[0] the[0] serious[-1] drama[0] of[0] french[0] cinema[0] but[0] is[0] laced[0] with[0] pieces[0] reflecting[0] the[0] brutality[-2] of[0] american[0] cinema[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
my advice to everyone out there is to throw away your copy of the professional , throw down twenty bucks , and pick up this newly restored cinematic masterpiece . 	my advice to everyone out there is to throw away your copy of the professional , throw down twenty bucks , and pick up this newly restored cinematic masterpiece .	1	-1	 my[0] advice[0] to[0] everyone[0] out[0] there[0] is[0] to[0] throw[0] away[0] your[0] copy[0] of[0] the[0] professional[0] throw[0] down[0] twenty[0] bucks[0] and[0] pick[0] up[0] this[0] newly[0] restored[0] cinematic[0] masterpiece[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director/writer : luc besson producer : luc besson , claude besson starring : jean reno , natalie portman , gary oldman , danny aiello 	director/writer : luc besson producer : luc besson , claude besson starring : jean reno , natalie portman , gary oldman , danny aiello	1	-1	 director/writer[0] luc[0] besson[0] producer[0] luc[0] besson[0] claude[0] besson[0] starring[0] jean[0] reno[0] natalie[0] portman[0] gary[0] oldman[0] danny[0] aiello[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
