field of dreams almost defies description . 	Translation	Positive	Negative	EmotionRationale
and then ray hears the voice again ; it tells him to " ease his pain . " 	and then ray hears the voice again ; it tells him to " ease his pain .<br> "	1	-4	 and[0] then[0] ray[0] hears[0] the[0] voice[0] again[0] it[0] tells[0] him[0] to[0] ease[0] his[0] pain[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
ray thinks this means that he must travel to boston to meet terence mann , an influential and radical novelist from the '60s who has since stopped writing and dropped out of society . 	ray thinks this means that he must travel to boston to meet terence man , an influential and radical novelist from the '60s who has since stopped writing and dropped out of society .	1	-2	 ray[0] thinks[0] this[0] means[0] that[0] he[0] must[0] travel[0] to[0] boston[0] to[0] meet[0] terence[0] mann/man[0] an[0] influential[0] and[0] radical[-1] novelist[0] from[0] the[0] '60s[0] who[0] has[0] since[0] stopped[0] writing[0] and[0] dropped[0] out[0] of[0] society[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with great aplomb , james earl jones plays the disillusioned author who joins forces with ray and embarks with him on a magical and spiritual journey . 	with great aplomb , james earl jones plays the disillusioned author who joins forces with ray and embarks with him on a magical and spiritual journey .	3	-2	 with[0] great[2] aplomb[0] james[0] earl[0] jones[0] plays[1] the[0] disillusioned[-1] author[0] who[0] joins[0] forces[0] with[0] ray[0] and[0] embarks[0] with[0] him[0] on[0] a[0] magical[0] and[0] spiritual[0] journey[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the cast in field of dreams is excellent , especially kevin costner in the lead role . 	the cast in field of dreams is excellent , especially kevin costner in the lead role .	4	-1	 the[0] cast[0] in[0] field[0] of[0] dreams[0] is[0] excellent[3] especially[0] kevin[0] costner[0] in[0] the[0] lead[0] role[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
costner gives a quiet , subtle , and moving performance as a man who before building the baseball field had done nothing crazy or spontaneous in his entire life . 	costner gives a quiet , subtle , and moving performance as a man who before building the baseball field had done nothing crazy or spontaneous in his entire life .	1	-2	 costner[0] gives[0] a[0] quiet[0] subtle[0] and[0] moving[0] performance[0] as[0] a[0] man[0] who[0] before[0] building[0] the[0] baseball[0] field[0] had[0] done[0] nothing[0] crazy[-1] or[0] spontaneous[0] in[0] his[0] entire[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
costner gives ray just the right mix of enthusiasm and idealism to make us believe in his mystic visions and swallow this wondrous fairy tale . 	costner gives ray just the right mix of enthusiasm and idealism to make us believe in his mystic visions and swallow this wondrous fairy tale .	3	-1	 costner[0] gives[0] ray[0] just[0] the[0] right[0] mix[0] of[0] enthusiasm[2] and[0] idealism[0] to[0] make[0] us[0] believe[0] in[0] his[0] mystic[0] visions[0] and[0] swallow[0] this[0] wondrous[0] fairy[0] tale[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
amy madigan gives a fine supporting performance as ray's feisty and loving wife , who against her better judgement supports her husband's crazy ideas . 	amy madigan gives a fine supporting performance as ray's feisty and loving wife , who against her better judgement supports her husband's crazy ideas .	4	-2	 amy[0] madigan[0] gives[0] a[0] fine[2] supporting[1] performance[0] as[0] ray's[0] feisty[0] and[0] loving[3] wife[0] who[0] against[-1] her[0] better[0] judgement[0] supports[1] her[0] husband's[0] crazy[-1] ideas[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
in her most impressive scene , madigan vehemently argues against book burning at a p . t . a . 	in her most impressive scene , madigan vehemently argues against book burning at a p .<br> t .<br> a .	2	-3	 in[0] her[0] most[0] impressive[1] scene[0] madigan[0] vehemently[-2] argues[-1] against[-1] book[0] burning[-1] at[0] a[0] p[0] [[Sentence=-3,2=word max, 1-5]] t[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
meeting , displaying the sincere passion of a '60s berkeley radical . 	meeting , displaying the sincere passion of a '60s berkeley radical .	3	-2	 meeting[0] displaying[0] the[0] sincere[0] passion[2] of[0] a[0] '60s[0] berkeley[0] radical[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
ray liotta is appropriately eerie and awe-inspiring as the ghost of shoeless joe , the legendary batter who was suspended from baseball for his involvement in the 1919 chicago " black sox " scandal . 	ray liotta is appropriately eerie and awe-inspiring as the ghost of shoeless joe , the legendary batter who was suspended from baseball for his involvement in the 1919 chicago " black sox " scandal .	3	-3	 ray[0] liotta[0] is[0] appropriately[0] eerie[0] and[0] awe[0] inspiring[2] as[0] the[0] ghost[0] of[0] shoeless[0] joe[0] the[0] legendary[0] batter[0] who[0] was[0] suspended[0] from[0] baseball[0] for[0] his[0] involvement[0] in[0] the[0] 1919[0] chicago[0] black[0] sox[0] scandal[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and finally , burt lancaster is memorable in a small , but important , role as a small town doctor whose professional baseball career was limited to only one inning . 	and finally , burt lancaster is memorable in a small , but important , role as a small town doctor whose professional baseball career was limited to only one inning .	1	-1	 and[0] finally[0] burt[0] lancaster[0] is[0] memorable[0] in[0] a[0] small[0] but[0] important[0] role[0] as[0] a[0] small[0] town[0] doctor[0] whose[0] professional[0] baseball[0] career[0] was[0] limited[0] to[0] only[0] one[0] inning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
field of dreams is a touching fairy tale full of life , wonder , mystery , spirit , and humor . 	field of dreams is a touching fairy tale full of life , wonder , mystery , spirit , and humor .	3	-1	 field[0] of[0] dreams[0] is[0] a[0] touching[0] fairy[0] tale[0] full[0] of[0] life[0] wonder[0] mystery[0] spirit[0] and[0] humor[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it , for the most part , succeeds in capturing our emotions and suspending our disbelief . 	it , for the most part , succeeds in capturing our emotions and suspending our disbelief .	3	-2	 it[0] for[0] the[0] most[0] part[0] succeeds[2] in[0] capturing[0] our[0] emotions[0] and[0] suspending[0] our[0] disbelief[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
ray kinsella's spiritual quest in pursuit of his dreams proves to be moving and miraculous . 	ray kinsella's spiritual quest in pursuit of his dreams proves to be moving and miraculous .	3	-1	 ray[0] kinsella's[0] spiritual[0] quest[0] in[0] pursuit[0] of[0] his[0] dreams[0] proves[0] to[0] be[0] moving[0] and[0] miraculous[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but while field of dreams generally avoids excessive melodrama , it unfortunately does at times go overboard , and by the end it gets down-right sappy . 	but while field of dreams generally avoids excessive melodrama , it unfortunately does at times go overboard , and by the end it gets down-right sappy .	1	-2	 but[0] while[0] field[0] of[0] dreams[0] generally[0] avoids[-1] excessive[-1] melodrama[0] it[0] unfortunately[-1] does[0] at[0] times[0] go[0] overboard[0] and[0] by[0] the[0] end[0] it[0] gets[0] down[0] right[0] sappy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in general , however , field of dreams is an emotionally satisfying fantasy--one i can recommend to everyone but unromantic cynics . 	in general , however , field of dreams is an emotionally satisfying fantasy-one i can recommend to everyone but unromantic cynics .	2	-2	 in[0] general[0] however[0] field[0] of[0] dreams[0] is[0] an[0] emotionally[0] satisfying[1] fantasy[0] one[0] i[0] can[0] recommend[0] to[0] everyone[0] but[0] unromantic[0] cynics[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
