the ultimate match up between good and evil , " the untouchables " is an excellent movie because it looks deeper into an already examined rivalry . 	Translation	Positive	Negative	EmotionRationale
i found this approach to be very clever because in a small duration of time there is a great amount of admiration for ness and an equal amount of hatred for capone . 	i found this approach to be very clever because in a small duration of time there is a great amount of admiration for ness and an equal amount of hatred for capone .	3	-4	 i[0] found[0] this[0] approach[0] to[0] be[0] very[0] clever[0] because[0] in[0] a[0] small[0] duration[0] of[0] time[0] there[0] is[0] a[0] great[2] amount[0] of[0] admiration[2] for[0] ness[0] and[0] an[0] equal[0] amount[0] of[0] hatred[-3] for[0] capone[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the film only gets better from this point . 	the film only gets better from this point .	1	-1	 the[0] film[0] only[0] gets[0] better[0] from[0] this[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with the formation of the untouchables , there is a group of men wearing long , dark overcoats and hats . 	with the formation of the untouchables , there is a group of men wearing long , dark overcoats and hats .	1	-1	 with[0] the[0] formation[0] of[0] the[0] untouchables[0] there[0] is[0] a[0] group[0] of[0] men[0] wearing[0] long[0] dark[0] overcoats[0] and[0] hats[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they walk in unison and they only look forward . 	they walk in unison and they only look forward .	1	-1	 they[0] walk[0] in[0] unison[0] and[0] they[0] only[0] look[0] forward[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as they walk down the streets they are observed and feared by citizens . 	as they walk down the streets they are observed and feared by citizens .	1	-3	 as[0] they[0] walk[0] down[0] the[0] streets[0] they[0] are[0] observed[0] and[0] feared[-2] by[0] citizens[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
holding shot guns and pistols in their hands to stop criminals , this image of vigilantes must have influenced future films . 	holding shot guns and pistols in their hands to stop criminals , this image of vigilantes must have influenced future films .	1	-2	 holding[0] shot[-1] guns[-1] and[0] pistols[0] in[0] their[0] hands[0] to[0] stop[0] criminals[-1] this[0] image[0] of[0] vigilantes[0] must[0] have[0] influenced[0] future[0] films[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one that comes to mind is " the matrix " when neo , morpheus , trinity , and the rest of the gang first come into the virtual world . 	one that comes to mind is " the matrix " when neo , morpheus , trinity , and the rest of the gang first come into the virtual world .	1	-1	 one[0] that[0] comes[0] to[0] mind[0] is[0] the[0] matrix[0] when[0] neo[0] morpheus[0] trinity[0] and[0] the[0] rest[0] of[0] the[0] gang[0] first[0] come[0] into[0] the[0] virtual[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wearing more futuristic outfits of the same 1930's style , the similarities between these two are countless . 	wearing more futuristic outfits of the same 1930's style , the similarities between these two are countless .	1	-1	 wearing[0] more[0] futuristic[0] outfits[0] of[0] the[0] same[0] 1930's[0] style[0] the[0] similarities[0] between[0] these[0] two[0] are[0] countless[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " the untouchables " has some of the hippest , bravest heroes in any action film . 	 " the untouchables " has some of the hippest , bravest heroes in any action film .	4	-1	 the[0] untouchables[0] has[0] some[0] of[0] the[0] hippest[0] bravest[2] heroes[2][+1 MultiplePositiveWords] in[0] any[0] action[0] film[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the four members were the only ones willing to go against capone's army . 	the four members were the only ones willing to go against capone's army .	1	-2	 the[0] four[0] members[0] were[0] the[0] only[0] ones[0] willing[0] to[0] go[0] against[-1] capone's[0] army[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
each member of this special group also had their own characteristics that separated them from others . 	each member of this special group also had their own characteristics that separated them from others .	2	-1	 each[0] member[0] of[0] this[0] special[1] group[0] also[0] had[0] their[0] own[0] characteristics[0] that[0] separated[0] them[0] from[0] others[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
elliot ness , played with perfect ingenuity by kevin costner , is a character that surely grows during the course of the film . 	elliot ness , played with perfect ingenuity by kevin costner , is a character that surely grows during the course of the film .	2	-1	 elliot[0] ness[0] played[0] with[0] perfect[1] ingenuity[0] by[0] kevin[0] costner[0] is[0] a[0] character[0] that[0] surely[0] grows[0] during[0] the[0] course[0] of[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he begins as a man who is determined to follow all laws no matter how unfair they may be . 	he begins as a man who is determined to follow all laws no matter how unfair they may be .	1	-2	 he[0] begins[0] as[0] a[0] man[0] who[0] is[0] determined[0] to[0] follow[0] all[0] laws[0] no[0] matter[0] how[0] unfair[-1] they[0] may[0] be[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , as the film develops so does ness . 	however , as the film develops so does ness .	1	-1	 however[0] as[0] the[0] film[0] develops[0] so[0] does[0] ness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his beliefs involving the law are shattered when he realizes that those he trusted are actually members of the other side . 	his beliefs involving the law are shattered when he realizes that those he trusted are actually members of the other side .	2	-1	 his[0] beliefs[0] involving[0] the[0] law[0] are[0] shattered[0] when[0] he[0] realizes[0] that[0] those[0] he[0] trusted[1] are[0] actually[0] members[0] of[0] the[0] other[0] side[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he also begins to lose his stability when his adversaries begin to murder his friends . 	he also begins to lose his stability when his adversaries begin to murder his friends .	2	-4	 he[0] also[0] begins[0] to[0] lose[-1] his[0] stability[-1] when[0] his[0] adversaries[-1] begin[0] to[0] murder[-3] his[0] friends[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
his anger becomes so thunderous that he can no longer hold it in . 	his anger becomes so thunderous that he can no longer hold it in .	1	-4	 his[0] anger[-3] becomes[0] so[0] thunderous[0] that[0] he[0] can[0] no[0] longer[0] hold[0] it[0] in[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
sean connery , who won an academy award for best supporting actor in his role , plays malone , an aging cop who decides to make one final run as a member of the untouchables . 	sean connery , who won an academy award for best supporting actor in his role , plays malone , an aging cop who decides to make one final run as a member of the untouchables .	2	-1	 sean[0] connery[0] who[0] won[0] an[0] academy[0] award[0] for[0] best[1] supporting[1] actor[0] in[0] his[0] role[0] plays[1] malone[0] an[0] aging[0] cop[0] who[0] decides[0] to[0] make[0] one[0] final[0] run[0] as[0] a[0] member[0] of[0] the[0] untouchables[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
malone acts as a mentor to ness . 	malone acts as a mentor to ness .	1	-1	 malone[0] acts[0] as[0] a[0] mentor[0] to[0] ness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he teaches him " the chicago way " to do things ; when they attack with a knife , you attack with a gun . 	he teaches him " the chicago way " to do things ; when they attack with a knife , you attack with a gun .	1	-3	 he[0] teaches[0] him[0] the[0] chicago[0] way[0] to[0] do[0] things[0] when[0] they[0] attack[-2] with[0] a[0] knife[-1] you[0] attack[-2] with[0] a[0] gun[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
connery plays his character with the exact amount of wit and experience needed . 	connery plays his character with the exact amount of wit and experience needed .	2	-1	 connery[0] plays[1] his[0] character[0] with[0] the[0] exact[0] amount[0] of[0] wit[0] and[0] experience[0] needed[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
andy garcia does a wonderful job as george stone , a young man who is just becoming a police officer . 	andy garcia does a wonderful job as george stone , a young man who is just becoming a police officer .	3	-1	 andy[0] garcia[0] does[0] a[0] wonderful[2] job[0] as[0] george[0] stone[0] a[0] young[0] man[0] who[0] is[0] just[0] becoming[0] a[0] police[0] officer[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as ness grows , he begins to teach stone some valuable lessons that malone once taught him . 	as ness grows , he begins to teach stone some valuable lessons that malone once taught him .	1	-1	 as[0] ness[0] grows[0] he[0] begins[0] to[0] teach[0] stone[0] some[0] valuable[1][-1 LastWordBoosterStrength] lessons[0] that[0] malone[0] once[0] taught[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
charles martin smith is also fantastic as the final member who attempts to use an income tax offense against capone . 	charles martin smith is also fantastic as the final member who attempts to use an income tax offense against capone .	3	-3	 charles[0] martin[0] smith[0] is[0] also[0] fantastic[2] as[0] the[0] final[0] member[0] who[0] attempts[0] to[0] use[0] an[0] income[0] tax[-1] offense[-2] against[-1] capone[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
smith is perfect for his role as he adds some valuable comic relief to the film . 	smith is perfect for his role as he adds some valuable comic relief to the film .	2	-1	 smith[0] is[0] perfect[1] for[0] his[0] role[0] as[0] he[0] adds[0] some[0] valuable[1][-1 LastWordBoosterStrength] comic[0] relief[1] to[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the action scenes are also some of the most beautifully choreographed i have ever seen . 	the action scenes are also some of the most beautifully choreographed i have ever seen .	3	-3	 the[0] action[0] scenes[0] are[0] also[0] some[0] of[0] the[0] most[0] beautifully[2] choreographed[-2] i[0] have[0] ever[0] seen[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
also very similar to " the matrix , " they are exciting and intense . 	also very similar to " the matrix , " they are exciting and intense .	3	-1	 also[0] very[0] similar[0] to[0] the[0] matrix[0] they[0] are[0] exciting[2] and[0] intense[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 from a western-like battle to the famous confrontation at the train station steps , the scenes are well thought out and well executed . 	 from a western-like battle to the famous confrontation at the train station steps , the scenes are well thought out and well executed .	2	-3	 from[0] a[0] western[0] like[1] battle[-1] to[0] the[0] famous[0] confrontation[-2] at[0] the[0] train[0] station[0] steps[0] the[0] scenes[0] are[0] well[0] thought[0] out[0] and[0] well[0] executed[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the score during these scenes ingeniously adds to the excitement . 	the score during these scenes ingeniously adds to the excitement .	3	-1	 the[0] score[0] during[0] these[0] scenes[0] ingeniously[0] adds[0] to[0] the[0] excitement[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
its pounding drum beats act as a rhythm for the actors . 	its pounding drum beats act as a rhythm for the actors .	1	-1	 its[0] pounding[0] drum[0] beats[0] act[0] as[0] a[0] rhythm[0] for[0] the[0] actors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the combination of image and music is very impressive and also very effective . 	the combination of image and music is very impressive and also very effective .	3	-1	 the[0] combination[0] of[0] image[0] and[0] music[0] is[0] very[0] impressive[1][1 LastWordBoosterStrength] and[0] also[0] very[0] effective[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although the real life untouchables may have been excessively glorified , this film is pure entertainment and contains a unique blend of great acting , great directing , and great action . 	although the real life untouchables may have been excessively glorified , this film is pure entertainment and contains a unique blend of great acting , great directing , and great action .	3	-2	 although[0] the[0] real[0] life[0] untouchables[0] may[0] have[0] been[0] excessively[-1] glorified[1] this[0] film[0] is[0] pure[0] entertainment[0] and[0] contains[0] a[0] unique[0] blend[0] of[0] great[2] acting[0] great[2] directing[0] and[0] great[2] action[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
some scenes ( capone and the baseball bat , the train station ) have stuck in my mind for years and seeing them again will only make them more vivid . 	some scenes ( capone and the baseball bat , the train station ) have stuck in my mind for years and seeing them again will only make them more vivid .	1	-1	 some[0] scenes[0] capone[0] and[0] the[0] baseball[0] bat[0] the[0] train[0] station[0] have[0] stuck[0] in[0] my[0] mind[0] for[0] years[0] and[0] seeing[0] them[0] again[0] will[0] only[0] make[0] them[0] more[0] vivid[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
