mimi leder is probably best known for her stunning work as a director of the hit tv-show er . 	Translation	Positive	Negative	EmotionRationale
he has a nice sarcastic wit and the rough edges that you expect from most clooney characters . 	he has a nice sarcastic wit and the rough edges that you expect from most clooney characters .	2	-3	 he[0] has[0] a[0] nice[1] sarcastic[-2] wit[0] and[0] the[0] rough[-1] edges[0] that[0] you[0] expect[0] from[0] most[0] clooney[0] characters[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
nicole kidman is head of a white house team on weapons smuggling . 	nicole kidman is head of a white house team on weapons smuggling .	1	-2	 nicole[0] kidman[0] is[0] head[0] of[0] a[0] white[0] house[0] team[0] on[0] weapons[-1] smuggling[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is the usual flirtatious banter between the two , but that is dispensed with quickly . 	there is the usual flirtatious banter between the two , but that is dispensed with quickly .	2	-2	 there[0] is[0] the[0] usual[0] flirtatious[1] banter[0] between[0] the[0] two[0] but[0] that[0] is[0] dispensed[-1] with[0] quickly[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the story takes clooney and kidman across the globe , trying to figure out who has the weapons and where they are going with them . clooney 	the story takes clooney and kidman across the globe , trying to figure out who has the weapons and where they are going with them .<br> clooney	1	-2	 the[0] story[0] takes[0] clooney[0] and[0] kidman[0] across[0] the[0] globe[0] trying[0] to[0] figure[0] out[0] who[0] has[0] the[0] weapons[-1] and[0] where[0] they[0] are[0] going[0] with[0] them[0] [[Sentence=-2,1=word max, 1-5]] clooney[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
goes through bouts of sarcasm , frustration , determination , and revenge while kidman works against her own insecurity and self-doubt . 	goes through bouts of sarcasm , frustration , determination , and revenge while kidman works against her own insecurity and self-doubt .	1	-4	 goes[0] through[0] bouts[0] of[0] sarcasm[-2] frustration[-2][-1 MultiplePositiveWords] determination[0] and[0] revenge[-1] while[0] kidman[0] works[0] against[-1] her[0] own[0] insecurity[-1] and[0] self[0] doubt[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this is when leder starts to show her true stuff . 	this is when leder starts to show her true stuff .	2	-1	 this[0] is[0] when[0] leder[0] starts[0] to[0] show[0] her[0] true[1] stuff[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she starts us off with a nifty little car chase as an appetizer . 	she starts us off with a nifty little car chase as an appetizer .	1	-2	 she[0] starts[0] us[0] off[0] with[0] a[0] nifty[0] little[0] car[0] chase[-1] as[0] an[0] appetizer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
then we get clooney doing heroics in and out of a helicopter . 	then we get clooney doing heroics in and out of a helicopter .	3	-1	 then[0] we[0] get[0] clooney[0] doing[0] heroics[2] in[0] and[0] out[0] of[0] a[0] helicopter[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
then that leads us to the brilliant final showdown on new york city's crowded streets , and a madman with a nuke walking among them . 	then that leads us to the brilliant final showdown on new york city's crowded streets , and a madman with a nuke walking among them .	2	-2	 then[0] that[0] leads[0] us[0] to[0] the[0] brilliant[1] final[0] showdown[0] on[0] new[0] york[0] city's[0] crowded[0] streets[0] and[0] a[0] madman[-1] with[0] a[0] nuke[0] walking[0] among[0] them[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
mimi leder is a natural at creating suspense . 	mimi leder is a natural at creating suspense .	1	-1	 mimi[0] leder[0] is[0] a[0] natural[0] at[0] creating[0] suspense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she reminds me of wolfgang petersen in her ability to make the most routine action sequences exciting and breathtaking . 	she reminds me of wolfgang petersen in her ability to make the most routine action sequences exciting and breathtaking .	3	-1	 she[0] reminds[0] me[0] of[0] wolfgang[0] petersen[0] in[0] her[0] ability[0] to[0] make[0] the[0] most[0] routine[0] action[0] sequences[0] exciting[2] and[0] breathtaking[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
nicole kidman is an intelligent female action hero . 	nicole kidman is an intelligent female action hero .	3	-1	 nicole[0] kidman[0] is[0] an[0] intelligent[1] female[0] action[0] hero[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
you're not gonna find her falling down so clooney can come back to save her . 	you're not gonna find her falling down so clooney can come back to save her .	2	-1	 you're[0] not[0] gonna[0] find[0] her[0] falling[0] down[0] so[0] clooney[0] can[0] come[0] back[0] to[0] save[1] her[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
george clooney is a real movie star . 	george clooney is a real movie star .	1	-1	 george[0] clooney[0] is[0] a[0] real[0] movie[0] star[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
many of you may have hated him as batman , but this guy is for real . 	many of you may have hated him as batman , but this guy is for real .	1	-4	 many[0] of[0] you[0] may[0] have[0] hated[-3] him[0] as[0] batman[0] but[0] this[0] guy[0] is[0] for[0] real[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he has a natural screen presence , and an ingratiating personality . 	he has a natural screen presence , and an ingratiating personality .	1	-1	 he[0] has[0] a[0] natural[0] screen[0] presence[0] and[0] an[0] ingratiating[0] personality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he'll be around for a while . 	he'll be around for a while .	1	-1	 he'll[0] be[0] around[0] for[0] a[0] while[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dreamworks is off to a satisfying start with peacemaker . 	dreamworks is off to a satisfying start with peacemaker .	2	-1	 dreamworks[0] is[0] off[0] to[0] a[0] satisfying[1] start[0] with[0] peacemaker[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
