the rich man's wife is one of those movies like final analysis or body double , where the story and characters are so one-dimensional and contrived that you know you shouldn't be enjoying yourself . 	Translation	Positive	Negative	EmotionRationale
once there , however , tony has to leave almost immediately due to business details ( i'm still not quite sure what line of work he's in ) . 	once there , however , tony has to leave almost immediately due to business details ( i'm still not quite sure what line of work he's in ) .	1	-1	 once[0] there[0] however[0] tony[0] has[0] to[0] leave[0] almost[0] immediately[0] due[0] to[0] business[0] details[0] i'm[0] still[0] not[0] quite[0] sure[0] what[0] line[0] of[0] work[0] he's[0] in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
making the best of her situation , josie stays there and begins making the rounds at the local bars . 	making the best of her situation , josie stays there and begins making the rounds at the local bars .	2	-1	 making[0] the[0] best[1] of[0] her[0] situation[0] josie[0] stays[0] there[0] and[0] begins[0] making[0] the[0] rounds[0] at[0] the[0] local[0] bars[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one night , she meets a stranger named cole ( peter greene , finally getting a meaty role ) . 	one night , she meets a stranger named cole ( peter greene , finally getting a meaty role ) .	1	-1	 one[0] night[0] she[0] meets[0] a[0] stranger[0] named[0] cole[0] peter[0] greene[0] finally[0] getting[0] a[0] meaty[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they have dinner together , and eventually , both josie and the audience start to realize that cole is homicidal . 	they have dinner together , and eventually , both josie and the audience start to realize that cole is homicidal .	1	-1	 they[0] have[0] dinner[0] together[0] and[0] eventually[0] both[0] josie[0] and[0] the[0] audience[0] start[0] to[0] realize[0] that[0] cole[0] is[0] homicidal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after learning that she is not happily married , cole offers to " take care " of the problem . 	after learning that she is not happily married , cole offers to " take care " of the problem .	2	-3	 after[0] learning[0] that[0] she[0] is[0] not[0] happily[2][NegatedDueToPreviousWord] married[0] cole[0] offers[0] to[0] take[0] care[1] of[0] the[0] problem[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
managing to escape from the psychotic maniac , josie returns home and starts a reconciliation with her estranged and very wealthy husband . 	managing to escape from the psychotic maniac , josie returns home and starts a reconciliation with her estranged and very wealthy husband .	1	-3	 managing[0] to[0] escape[0] from[0] the[0] psychotic[0] maniac[-2] josie[0] returns[0] home[0] and[0] starts[0] a[0] reconciliation[0] with[0] her[0] estranged[-1] and[0] very[0] wealthy[0] husband[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but then one night , cole shows up . . . 	but then one night , cole shows up .<br> .<br> .	1	-1	 but[0] then[0] one[0] night[0] cole[0] shows[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and here is where the fun begins . 	and here is where the fun begins .	2	-1	 and[0] here[0] is[0] where[0] the[0] fun[1] begins[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
from this point on , it's going to be a no-holds- barred cliche-fest , ripping off every movie from strangers on a train to the usual suspects . 	from this point on , it's going to be a no-holds- barred cliche-fest , ripping off every movie from strangers on a train to the usual suspects .	1	-1	 from[0] this[0] point[0] on[0] it's[0] going[0] to[0] be[0] a[0] no[0] holds[0] barred[0] cliche[0] fest[0] ripping[0] off[0] every[0] movie[0] from[0] strangers[0] on[0] a[0] train[0] to[0] the[0] usual[0] suspects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is why most critics panned this movie when it first came out . 	this is why most critics panned this movie when it first came out .	1	-1	 this[0] is[0] why[0] most[0] critics[0] panned[0] this[0] movie[0] when[0] it[0] first[0] came[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and for the most part , they're right ; the rich man's wife has nary one original bone in it's body . 	and for the most part , they're right ; the rich man's wife has nary one original bone in it's body .	1	-1	 and[0] for[0] the[0] most[0] part[0] they're[0] right[0] the[0] rich[0] man's[0] wife[0] has[0] nary[0] one[0] original[0] bone[0] in[0] it's[0] body[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but who cares ? 	but who cares ?	2	-1	 but[0] who[0] cares[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if you're looking for good ol' dumb suspense movie , you can't do much better than this . 	if you're looking for good ol' dumb suspense movie , you can't do much better than this .	2	-2	 if[0] you're[0] looking[0] for[0] good[1] ol'[0] dumb[-1] suspense[0] movie[0] you[0] can't[0] do[0] much[0] better[0] than[0] this[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and if you suspense buffs aren't already sold , it has a killer of an ending too . 	and if you suspense buffs aren't already sold , it has a killer of an ending too .	1	-2	 and[0] if[0] you[0] suspense[0] buffs[0] aren't[0] already[0] sold[0] it[0] has[0] a[0] killer[-1] of[0] an[0] ending[0] too[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
