written by john grisham and robert altman ( as al hayes ) 	Translation	Positive	Negative	EmotionRationale
the rest , as they say in showbiz , was history . 	the rest , as they say in showbiz , was history .	1	-1	 the[0] rest[0] as[0] they[0] say[0] in[0] showbiz[0] was[0] history[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by bringing up the godfather , i don't mean to suggest that robert altman's the gingerbread man is destined for that level of greatness . 	by bringing up the godfather , i don't mean to suggest that robert altman's the gingerbread man is destined for that level of greatness .	3	-1	 by[0] bringing[0] up[0] the[0] godfather[0] i[0] don't[0] mean[0] to[0] suggest[0] that[0] robert[0] altman's[0] the[0] gingerbread[0] man[0] is[0] destined[0] for[0] that[0] level[0] of[0] greatness[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but the parallel does suggest that it is possible to create great cinema from questionable source material . 	but the parallel does suggest that it is possible to create great cinema from questionable source material .	3	-2	 but[0] the[0] parallel[0] does[0] suggest[0] that[0] it[0] is[0] possible[0] to[0] create[0] great[2] cinema[0] from[0] questionable[-1] source[-1] material[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
can you get any more questionable than john grisham ? 	can you get any more questionable than john grisham ?	1	-2	 can[0] you[0] get[0] any[0] more[0] questionable[-1] than[0] john[0] grisham[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
depends on whom you ask . 	depends on whom you ask .	1	-1	 depends[0] on[0] whom[0] you[0] ask[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but there's no question that grisham's work grabs people . 	but there's no question that grisham's work grabs people .	1	-2	 but[0] there's[0] no[0] question[0] that[0] grisham's[0] work[0] grabs[-1] people[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
like puzo , grisham is a better storyteller than a writer - unlike fellow hack michael crichton , who is a good idea man but who can't tell a well-constructed story from a can of spam . 	like puzo , grisham is a better storyteller than a writer - unlike fellow hack michael crichton , who is a good idea man but who can't tell a well-constructed story from a can of spam .	2	-2	 like[1] puzo[0] grisham[0] is[0] a[0] better[0] storyteller[0] than[0] a[0] writer[0] unlike[0] fellow[0] hack[-1] michael[0] crichton[0] who[0] is[0] a[0] good[1] idea[0] man[0] but[0] who[0] can't[0] tell[0] a[0] well[0] constructed[0] story[0] from[0] a[0] can[0] of[0] spam[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
so something in grisham's unpublished story of a cocky savannah lawyer who gets involved in a deadly family squabble drew the attention of robert altman , who at 73 years old remains one of america's greatest living filmmakers . 	so something in grisham's unpublished story of a cocky savannah lawyer who gets involved in a deadly family squabble drew the attention of robert altman , who at 73 years old remains one of america's greatest living filmmakers .	3	-2	 so[0] something[0] in[0] grisham's[0] unpublished[0] story[0] of[0] a[0] cocky[-1] savannah[0] lawyer[0] who[0] gets[0] involved[0] in[0] a[0] deadly[-1] family[0] squabble[0] drew[0] the[0] attention[0] of[0] robert[0] altman[0] who[0] at[0] 73[0] years[0] old[0] remains[0] one[0] of[0] america's[0] greatest[2] living[0] filmmakers[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the result is a gripping thriller that , while falling short of classic cinema , deserves its place in the altman canon . 	the result is a gripping thriller that , while falling short of classic cinema , deserves its place in the altman canon .	2	-1	 the[0] result[0] is[0] a[0] gripping[0] thriller[1] that[0] while[0] falling[0] short[0] of[0] classic[0] cinema[0] deserves[0] its[0] place[0] in[0] the[0] altman[0] canon[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 from its opening shot to the closing credits , the gingerbread man is permeated with a sense of dread , with a fear of the natural destructive forces of the universe . 	 from its opening shot to the closing credits , the gingerbread man is permeated with a sense of dread , with a fear of the natural destructive forces of the universe .	1	-4	 from[0] its[0] opening[0] shot[-1] to[0] the[0] closing[0] credits[0] the[0] gingerbread[0] man[0] is[0] permeated[0] with[0] a[0] sense[0] of[0] dread[-3] with[0] a[0] fear[-3] of[0] the[0] natural[0] destructive[0] forces[0] of[0] the[0] universe[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this terrific sense of mood is a classic altman touch . 	this terrific sense of mood is a classic altman touch .	4	-1	 this[0] terrific[3] sense[0] of[0] mood[0] is[0] a[0] classic[0] altman[0] touch[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
witness said opening shot : we see an aerial view of coastal georgia with its writhing , undulating landscape while the soundtrack grumbles ominously in our ear . 	witness said opening shot : we see an aerial view of coastal georgia with its writhing , undulating landscape while the soundtrack grumbles ominously in our ear .	1	-4	 witness[0] said[0] opening[0] shot[-1] we[0] see[0] an[0] aerial[0] view[0] of[0] coastal[0] georgia[0] with[0] its[0] writhing[0] undulating[0] landscape[0] while[0] the[0] soundtrack[0] grumbles[-2] ominously[-2][-1 MultiplePositiveWords] in[0] our[0] ear[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
we roll over the hills into the town of savannah , then zoom in close on a red sports car speeding over a bridge while its driver chatters oblivious on his cell phone . 	we roll over the hills into the town of savannah , then zoom in close on a red sports car speeding over a bridge while its driver chatters oblivious on his cell phone .	1	-1	 we[0] roll[0] over[0] the[0] hills[0] into[0] the[0] town[0] of[0] savannah[0] then[0] zoom[0] in[0] close[0] on[0] a[0] red[0] sports[0] car[0] speeding[0] over[0] a[0] bridge[0] while[0] its[0] driver[0] chatters[0] oblivious[0] on[0] his[0] cell[0] phone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
right away we know that the driver of that car is in for a few surprises . 	right away we know that the driver of that car is in for a few surprises .	1	-1	 right[0] away[0] we[0] know[0] that[0] the[0] driver[0] of[0] that[0] car[0] is[0] in[0] for[0] a[0] few[0] surprises[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pay attention , boys and girls - this shot was not conceived by john grisham , but by altman . 	pay attention , boys and girls - this shot was not conceived by john grisham , but by altman .	1	-2	 pay[0] attention[0] boys[0] and[0] girls[0] this[0] shot[-1] was[0] not[0] conceived[0] by[0] john[0] grisham[0] but[0] by[0] altman[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is what a great director can do for questionable source material . 	this is what a great director can do for questionable source material .	3	-2	 this[0] is[0] what[0] a[0] great[2] director[0] can[0] do[0] for[0] questionable[-1] source[-1] material[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the sports car belongs to rick magruder ( kenneth branagh ) , the aforementioned hotshot attorney who specializes in police brutality cases . 	the sports car belongs to rick magruder ( kenneth branagh ) , the aforementioned hotshot attorney who specializes in police brutality cases .	2	-3	 the[0] sports[0] car[0] belongs[0] to[0] rick[0] magruder[0] kenneth[0] branagh[0] the[0] aforementioned[0] hotshot[0] attorney[0] who[0] specializes[1] in[0] police[0] brutality[-2] cases[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
magruder has just won a high profile case and celebrates that night with a catered party at his office . 	magruder has just won a high profile case and celebrates that night with a catered party at his office .	2	-1	 magruder[0] has[0] just[0] won[0] a[0] high[0] profile[0] case[0] and[0] celebrates[1] that[0] night[0] with[0] a[0] catered[0] party[0] at[0] his[0] office[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
outside after the party he meets one of the waitresses , mallory doss ( embeth davidzt ) , just as she realizes her car has been stolen . 	outside after the party he meets one of the waitresses , mallory doss ( embeth davidzt ) , just as she realizes her car has been stolen .	1	-2	 outside[0] after[0] the[0] party[0] he[0] meets[0] one[0] of[0] the[0] waitresses[0] mallory[0] doss[0] embeth[0] davidzt[0] just[0] as[0] she[0] realizes[0] her[0] car[0] has[0] been[0] stolen[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
driven by southern chivalry , a driving rainstorm and his unspoken attraction to the fragile waitress , magruder offers her a ride home . 	driven by southern chivalry , a driving rainstorm and his unspoken attraction to the fragile waitress , magruder offers her a ride home .	2	-2	 driven[0] by[0] southern[0] chivalry[0] a[0] driving[0] rainstorm[0] and[0] his[0] unspoken[0] attraction[1] to[0] the[0] fragile[-1] waitress[0] magruder[0] offers[0] her[0] a[0] ride[0] home[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there he learns more about mallory's life than he bargained for . 	there he learns more about mallory's life than he bargained for .	1	-1	 there[0] he[0] learns[0] more[0] about[0] mallory's[0] life[0] than[0] he[0] bargained[0] for[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her car was stolen by her schizophrenic father dixon ( robert duvall ) , a ted kyzynski-style whacko who has been stalking and terrorizing his own daughter . 	her car was stolen by her schizophrenic father dixon ( robert duvall ) , a ted kyzynski-style whacko who has been stalking and terrorizing his own daughter .	1	-3	 her[0] car[0] was[0] stolen[-1] by[0] her[0] schizophrenic[0] father[0] dixon[0] robert[0] duvall[0] a[0] ted[0] kyzynski[0] style[0] whacko[0] who[0] has[0] been[0] stalking[0] and[0] terrorizing[-2] his[0] own[0] daughter[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
magruder , perhaps influenced by mallory's decision to strip off her wet clothes in front of him , is sympathetic to her plight , and offers to help her get her father committed - right after he sleeps with her , of course . 	magruder , perhaps influenced by mallory's decision to strip off her wet clothes in front of him , is sympathetic to her plight , and offers to help her get her father committed - right after he sleeps with her , of course .	1	-2	 magruder[0] perhaps[0] influenced[0] by[0] mallory's[0] decision[0] to[0] strip[0] off[0] her[0] wet[0] clothes[0] in[0] front[0] of[0] him[0] is[0] sympathetic[0] to[0] her[0] plight[-1] and[0] offers[0] to[0] help[0] her[0] get[0] her[0] father[0] committed[0] right[0] after[0] he[0] sleeps[0] with[0] her[0] of[0] course[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this simple offer of help leads magruder down a dangerous path with a black end . 	this simple offer of help leads magruder down a dangerous path with a black end .	1	-2	 this[0] simple[0] offer[0] of[0] help[0] leads[0] magruder[0] down[0] a[0] dangerous[-1] path[0] with[0] a[0] black[0] end[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he succeeds in having dixon incarcerated in a mental hospital , and for a moment all appears well . 	he succeeds in having dixon incarcerated in a mental hospital , and for a moment all appears well .	3	-1	 he[0] succeeds[2] in[0] having[0] dixon[0] incarcerated[0] in[0] a[0] mental[0] hospital[0] and[0] for[0] a[0] moment[0] all[0] appears[0] well[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but then dixon's crack team of homeless commandos bust him out of the lockup - and suddenly magruder finds himself , mallory and his own children in danger . 	but then dixon's crack team of homeless commandos bust him out of the lockup - and suddenly magruder finds himself , mallory and his own children in danger .	1	-2	 but[0] then[0] dixon's[0] crack[0] team[0] of[0] homeless[0] commandos[0] bust[0] him[0] out[0] of[0] the[0] lockup[0] and[0] suddenly[0] magruder[0] finds[0] himself[0] mallory[0] and[0] his[0] own[0] children[0] in[0] danger[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the cops won't lift a finger to help a liberal attorney . 	the cops won't lift a finger to help a liberal attorney .	1	-1	 the[0] cops[0] won't[0] lift[0] a[0] finger[0] to[0] help[0] a[0] liberal[0] attorney[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his only allies are his faithful assistant lois ( daryl hannah ) and his bumbling private-eye sidekick clyde ( robert downey jr ) . 	his only allies are his faithful assistant lois ( daryl hannah ) and his bumbling private-eye sidekick clyde ( robert downey jr ) .	2	-1	 his[0] only[0] allies[0] are[0] his[0] faithful[1] assistant[0] lois[0] daryl[0] hannah[0] and[0] his[0] bumbling[0] private[0] eye[0] sidekick[0] clyde[0] robert[0] downey[0] jr[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if this predicament wasn't bad enough , hurricane geraldo is bearing down on savannah and throwing the world into chaos . 	if this predicament wasn't bad enough , hurricane geraldo is bearing down on savannah and throwing the world into chaos .	1	-2	 if[0] this[0] predicament[-1] wasn't[0] bad[-1] enough[0] hurricane[0] geraldo[0] is[0] bearing[0] down[0] on[0] savannah[0] and[0] throwing[0] the[0] world[0] into[0] chaos[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
altman may provide the atmosphere , but branagh's performance holds the gingerbread man together . 	altman may provide the atmosphere , but branagh's performance holds the gingerbread man together .	1	-1	 altman[0] may[0] provide[0] the[0] atmosphere[0] but[0] branagh's[0] performance[0] holds[0] the[0] gingerbread[0] man[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an accomplished actor when he isn't directing himself in vanity productions , branagh does a fine job of making rick a sympathetic hero while casting doubt upon his motives . 	an accomplished actor when he isn't directing himself in vanity productions , branagh does a fine job of making rick a sympathetic hero while casting doubt upon his motives .	3	-2	 an[0] accomplished[1] actor[0] when[0] he[0] isn't[0] directing[0] himself[0] in[0] vanity[-1] productions[0] branagh[0] does[0] a[0] fine[2] job[0] of[0] making[0] rick[0] a[0] sympathetic[0] hero[2] while[0] casting[0] doubt[-1] upon[0] his[0] motives[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
is his offer of help to mallory an act of kindness , or of egotism ? 	is his offer of help to mallory an act of kindness , or of egotism ?	2	-3	 is[0] his[0] offer[0] of[0] help[0] to[0] mallory[0] an[0] act[0] of[0] kindness[1] or[0] of[0] egotism[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
magruder is so sure of his place in the world that he never considers that he has bitten off more than he can chew until he has to swallow it - and by then it's too late . 	magruder is so sure of his place in the world that he never considers that he has bitten off more than he can chew until he has to swallow it - and by then it's too late .	1	-1	 magruder[0] is[0] so[0] sure[0] of[0] his[0] place[0] in[0] the[0] world[0] that[0] he[0] never[0] considers[0] that[0] he[0] has[0] bitten[0] off[0] more[0] than[0] he[0] can[0] chew[0] until[0] he[0] has[0] to[0] swallow[0] it[0] and[0] by[0] then[0] it's[0] too[0] late[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the plot unfolds , magruder learns that none of us are as secure as we think we are . 	as the plot unfolds , magruder learns that none of us are as secure as we think we are .	2	-1	 as[0] the[0] plot[0] unfolds[0] magruder[0] learns[0] that[0] none[0] of[0] us[0] are[0] as[0] secure[1] as[0] we[0] think[0] we[0] are[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and life is never so bad that it can't get worse . 	and life is never so bad that it can't get worse .	3	-1	 and[0] life[0] is[0] never[0] so[0] bad[-1][NegatedDueToPreviousWord] that[0] it[0] can't[0] get[0] worse[-2][NegatedDueToPreviousWord] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if you're familiar with altman's work , you'll recognize several of his signature techniques . 	if you're familiar with altman's work , you'll recognize several of his signature techniques .	1	-1	 if[0] you're[0] familiar[0] with[0] altman's[0] work[0] you'll[0] recognize[0] several[0] of[0] his[0] signature[0] techniques[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
characters are not introduced in establishing shots , but rather are allowed to wander in the background of scenes until their importance becomes apparent . 	characters are not introduced in establishing shots , but rather are allowed to wander in the background of scenes until their importance becomes apparent .	1	-1	 characters[0] are[0] not[0] introduced[0] in[0] establishing[0] shots[0] but[0] rather[0] are[0] allowed[0] to[0] wander[0] in[0] the[0] background[0] of[0] scenes[0] until[0] their[0] importance[0] becomes[0] apparent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
crucial scenes are shot from the outside through windows , making the audience unwitting voyeurs of the action . 	crucial scenes are shot from the outside through windows , making the audience unwitting voyeurs of the action .	1	-2	 crucial[0] scenes[0] are[0] shot[-1] from[0] the[0] outside[0] through[0] windows[0] making[0] the[0] audience[0] unwitting[0] voyeurs[0] of[0] the[0] action[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
dialog overlaps and the actors seem to slip naturally into an improvisational style . 	dialog overlaps and the actors seem to slip naturally into an improvisational style .	1	-1	 dialog[0] overlaps[0] and[0] the[0] actors[0] seem[0] to[0] slip[0] naturally[0] into[0] an[0] improvisational[0] style[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and of course there's my favorite altman technique - the obligatory nude actress shot . 	and of course there's my favorite altman technique - the obligatory nude actress shot .	2	-2	 and[0] of[0] course[0] there's[0] my[0] favorite[1] altman[0] technique[0] the[0] obligatory[0] nude[0] actress[0] shot[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
thanks to altman , here are some of the actresses i've had the pleasure of seeing naked : sally kellerman , julianne moore , madeline stowe , even frances mcdormand . 	thanks to altman , here are some of the actresses i've had the pleasure of seeing naked : sally kellerman , julianne more , madeline stowe , even frances mcdormand .	3	-1	 thanks[1] to[0] altman[0] here[0] are[0] some[0] of[0] the[0] actresses[0] i've[0] had[0] the[0] pleasure[2] of[0] seeing[0] naked[0] sally[0] kellerman[0] julianne[0] moore/more[0] madeline[0] stowe[0] even[0] frances[0] mcdormand[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and now i can add embeth davidtz , who looks quite healthy in the altogether . 	and now i can add embeth davidtz , who looks quite healthy in the altogether .	1	-1	 and[0] now[0] i[0] can[0] add[0] embeth[0] davidtz[0] who[0] looks[0] quite[0] healthy[0] in[0] the[0] altogether[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the naked actress shot has become as ubiquitous to the altman film as the director cameo was to the hitchcock film . 	the naked actress shot has become as ubiquitous to the altman film as the director cameo was to the hitchcock film .	1	-2	 the[0] naked[0] actress[0] shot[-1] has[0] become[0] as[0] ubiquitous[0] to[0] the[0] altman[0] film[0] as[0] the[0] director[0] cameo[0] was[0] to[0] the[0] hitchcock[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
is it old-school sexism , or a clever in-joke ? 	is it old-school sexism , or a clever in-joke ?	2	-1	 is[0] it[0] old[0] school[0] sexism[0] or[0] a[0] clever[0] in[0] joke[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you be the judge . 	you be the judge .	1	-1	 you[0] be[0] the[0] judge[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but back to the picture at hand . 	but back to the picture at hand .	1	-1	 but[0] back[0] to[0] the[0] picture[0] at[0] hand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the hands of a mere mortal , the gingerbread man would have been a routine thriller , no better or worse than the countless others we've all endured . 	in the hands of a mere mortal , the gingerbread man would have been a routine thriller , no better or worse than the countless others we've all endured .	2	-3	 in[0] the[0] hands[0] of[0] a[0] mere[0] mortal[0] the[0] gingerbread[0] man[0] would[0] have[0] been[0] a[0] routine[0] thriller[1] no[0] better[0] or[0] worse[-2] than[0] the[0] countless[0] others[0] we've[0] all[0] endured[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in the hands of a master like altman , it becomes an exercise in existential doom , in its own way far more successful than scorsese's cape fear remake , which tried for the same result . 	in the hands of a master like altman , it becomes an exercise in existential doom , in its own way far more successful than scorsese's cape fear remake , which tried for the same result .	3	-4	 in[0] the[0] hands[0] of[0] a[0] master[0] like[1] altman[0] it[0] becomes[0] an[0] exercise[0] in[0] existential[0] doom[-1] in[0] its[0] own[0] way[0] far[0] more[0] successful[2] than[0] scorsese's[0] cape[0] fear[-3] remake[0] which[0] tried[0] for[0] the[0] same[0] result[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
what may prevent it from enduring with altman's greatest work is a weak third act - in fact , there really is no third act in grisham's story , so it appears that altman had to throw in the hurricane just to jazz things up . 	what may prevent it from enduring with altman's greatest work is a weak third act - in fact , there really is no third act in grisham's story , so it appears that altman had to throw in the hurricane just to jaz things up .	3	-2	 what[0] may[0] prevent[0] it[0] from[0] enduring[0] with[0] altman's[0] greatest[2] work[0] is[0] a[0] weak[-1] third[0] act[0] in[0] fact[0] there[0] really[0] is[0] no[0] third[0] act[0] in[0] grisham's[0] story[0] so[0] it[0] appears[0] that[0] altman[0] had[0] to[0] throw[0] in[0] the[0] hurricane[0] just[0] to[0] jazz/jaz[0] things[0] up[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but there are true moments of riveting suspense , and great performances by branagh , davidzt and downey jr - more than enough to see you through . 	but there are true moments of riveting suspense , and great performances by branagh , davidzt and downey jr - more than enough to see you through .	3	-1	 but[0] there[0] are[0] true[1] moments[0] of[0] riveting[0] suspense[0] and[0] great[2] performances[0] by[0] branagh[0] davidzt[0] and[0] downey[0] jr[0] more[0] than[0] enough[0] to[0] see[0] you[0] through[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
that polygram so hated this picture that they tried to steal final cut from altman , and then buried the marketing campaign when he won it back , should tell you how utterly clueless of quality most studios are . 	that polygram so hated this picture that they tried to steal final cut from altman , and then buried the marketing campaign when he won it back , should tell you how utterly clueless of quality most studios are .	1	-4	 that[0] polygram[0] so[0] hated[-3] this[0] picture[0] that[0] they[0] tried[0] to[0] steal[-2] final[0] cut[0] from[0] altman[0] and[0] then[0] buried[-2] the[0] marketing[0] campaign[0] when[0] he[0] won[0] it[0] back[0] should[0] tell[0] you[0] how[0] utterly[0] clueless[0] of[0] quality[0] most[0] studios[0] are[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
they probably wanted it to look more like a time to kill . 	they probably wanted it to look more like a time to kill .	2	-2	 they[0] probably[0] wanted[0] it[0] to[0] look[0] more[0] like[1] a[0] time[0] to[0] kill[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and that , my friends , should make you very afraid . 	and that , my friends , should make you very afraid .	2	-5	 and[0] that[0] my[0] friends[1] should[0] make[0] you[0] very[0] afraid[-3][-1 LastWordBoosterStrength] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
