in _daylight_ , sylvester stallone breaks no new ground , cinematically speaking , but he covers familiar territory quite well . 	Translation	Positive	Negative	EmotionRationale
in fact , had the two movies been made in hong kong , this might have been titled _cliffhanger ii_--it bears the same relationship to that film that most hk film " sequels " do to their predecessors . 	in fact , had the two movies been made in hong kong , this might have been titled _cliffhanger i_-it bears the same relationship to that film that most hk film " sequels " do to their predecessors .	1	-1	 in[0] fact[0] had[0] the[0] two[0] movies[0] been[0] made[0] in[0] hong[0] kong[0] this[0] might[0] have[0] been[0] titled[0] _cliffhanger[0] ii_/i_[0] it[0] bears[0] the[0] same[0] relationship[0] to[0] that[0] film[0] that[0] most[0] hk[0] film[0] sequels[0] do[0] to[0] their[0] predecessors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first half-hour of _daylight_ is setup . 	the first half-hour of _daylight_ is setup .	1	-1	 the[0] first[0] half[0] hour[0] of[0] _daylight_[0] is[0] setup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
subplots are woven , and the mechanism of the disaster is assembled . 	subplots are woven , and the mechanism of the disaster is assembled .	1	-2	 subplots[0] are[0] woven[0] and[0] the[0] mechanism[0] of[0] the[0] disaster[-1] is[0] assembled[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we meet all the important people . . . toxic waste disposal truck drivers ; a young , frustrated , jilted , rejected playwright ; a family struggling to stay together ; an older couple and their dog ; a truckload of prisoners ; an ad agency executive ; a tunnel police officer ; stallone ; and others . 	we meet all the important people .<br> .<br> .<br> toxic waste disposal truck drivers ; a young , frustrated , jilted , rejected playwright ; a family struggling to stay together ; an older couple and their dog ; a truckload of prisoners ; an ad agency executive ; a tunnel police officer ; stallone ; and others .	1	-3	 we[0] meet[0] all[0] the[0] important[0] people[0] [[Sentence=-1,1=word max, 1-5]] toxic[0] waste[-1] disposal[-1] truck[0] drivers[0] a[0] young[0] frustrated[-2] jilted[0] rejected[-1] playwright[0] a[0] family[0] struggling[-1] to[0] stay[0] together[0] an[0] older[0] couple[0] and[0] their[0] dog[0] a[0] truckload[0] of[0] prisoners[-1] an[0] ad[0] agency[0] executive[0] a[0] tunnel[0] police[0] officer[0] stallone[0] and[0] others[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
we watch the trucks trundle toward their destination ; we watch stallone and so many others driving toward the tunnel for their various reasons . 	we watch the trucks trundle toward their destination ; we watch stallone and so many others driving toward the tunnel for their various reasons .	1	-1	 we[0] watch[0] the[0] trucks[0] trundle[0] toward[0] their[0] destination[0] we[0] watch[0] stallone[0] and[0] so[0] many[0] others[0] driving[0] toward[0] the[0] tunnel[0] for[0] their[0] various[0] reasons[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and then , thirty minutes into the film , _boom_ . 	and then , thirty minutes into the film , _boom_ .	1	-1	 and[0] then[0] thirty[0] minutes[0] into[0] the[0] film[0] _boom_[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and it's a big one . 	and it's a big one .	1	-1	 and[0] it's[0] a[0] big[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 from there on in , it's sly stallone to the rescue . 	 from there on in , it's sly stallone to the rescue .	1	-2	 from[0] there[0] on[0] in[0] it's[0] sly[-1] stallone[0] to[0] the[0] rescue[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and rescue he does , enduring batterings , beatings , falls , repeated immersion in 34-degree water , explosions , mud , rats , and constant setbacks , before going on to save the day , sly-style . 	and rescue he does , enduring batterings , beatings , falls , repeated immersion in 34-degree water , explosions , mud , rats , and constant setbacks , before going on to save the day , sly-style .	2	-3	 and[0] rescue[0] he[0] does[0] enduring[0] batterings[0] beatings[-2] falls[0] repeated[0] immersion[0] in[0] 34[0] degree[0] water[0] explosions[-1] mud[0] rats[0] and[0] constant[0] setbacks[0] before[0] going[0] on[0] to[0] save[1] the[0] day[0] sly[-1] style[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
again . . . there's 	again .<br> .<br> .<br> there's	1	-1	 again[0] [[Sentence=-1,1=word max, 1-5]] there's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nothing new here . 	nothing new here .	1	-1	 nothing[0] new[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and yet there doesn't need to be . 	and yet there doesn't need to be .	1	-1	 and[0] yet[0] there[0] doesn't[0] need[0] to[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the fun of _daylight_ is not in the story but in the execution . 	the fun of _daylight_ is not in the story but in the execution .	2	-1	 the[0] fun[1] of[0] _daylight_[0] is[0] not[0] in[0] the[0] story[0] but[0] in[0] the[0] execution[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the special-effects are first-rate , thanks to industrial light and magic , and the ensemble cast works well together . 	the special-effects are first-rate , thanks to industrial light and magic , and the ensemble cast works well together .	2	-1	 the[0] special[1] effects[0] are[0] first[0] rate[0] thanks[1] to[0] industrial[0] light[0] and[0] magic[0] and[0] the[0] ensemble[0] cast[0] works[0] well[0] together[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
once the film hits its stride , it carries the viewer right along to the finish , with very few jars along the way . 	once the film hits its stride , it carries the viewer right along to the finish , with very few jars along the way .	1	-1	 once[0] the[0] film[0] hits[0] its[0] stride[0] it[0] carries[0] the[0] viewer[0] right[0] along[0] to[0] the[0] finish[0] with[0] very[0] few[0] jars[0] along[0] the[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this review is copyright 1996 by christopher e . meadows . 	this review is copyright 1996 by christopher e .<br> meadows .	1	-1	 this[0] review[0] is[0] copyright[0] 1996[0] by[0] christopher[0] e[0] [[Sentence=-1,1=word max, 1-5]] meadows[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
permission granted for distribution through rec . arts . movies . reviews and all associated archival . 	permission granted for distribution through rec .<br> arts .<br> movies .<br> reviews and all associated archival .	1	-1	 permission[0] granted[0] for[0] distribution[0] through[0] rec[0] [[Sentence=-1,1=word max, 1-5]] arts[0] [[Sentence=-1,1=word max, 1-5]] movies[0] [[Sentence=-1,1=word max, 1-5]] reviews[0] and[0] all[0] associated[0] archival[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
permission granted for free redistribution via cyberspace as long as this message remains attached . 	permission granted for free redistribution via cyberspace as long as this message remains attached .	1	-1	 permission[0] granted[0] for[0] free[0] redistribution[0] via[0] cyberspace[0] as[0] long[0] as[0] this[0] message[0] remains[0] attached[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all other rights reserved to the author . 	all other rights reserved to the author .	1	-1	 all[0] other[0] rights[0] reserved[0] to[0] the[0] author[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
