seen august 8 , 1998 at 6 p . m . at rotterdam square cinemas ( rotterdam , ny ) , theater #6 , by myself for free using my sony/loews critic's pass . 	Translation	Positive	Negative	EmotionRationale
instead of positioned cameras , the footage here seems to have been shot by camera operators running alongside soldiers as if they were just as scared . 	instead of positioned cameras , the footage here seems to have been shot by camera operators running alongside soldiers as if they were just as scared .	1	-4	 instead[0] of[0] positioned[0] cameras[0] the[0] footage[0] here[0] seems[0] to[0] have[0] been[0] shot[-1] by[0] camera[0] operators[0] running[0] alongside[0] soldiers[0] as[0] if[0] they[0] were[0] just[0] as[0] scared[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there is no sense of stability , but of constant , anxious , and confusing motion , giving us the feeling of being in the middle of the battle , and just a vulnerable as the poor troops . 	there is no sense of stability , but of constant , anxious , and confusing motion , giving us the feeling of being in the middle of the battle , and just a vulnerable as the poor troops .	1	-3	 there[0] is[0] no[0] sense[0] of[0] stability[-1] but[0] of[0] constant[0] anxious[-2] and[0] confusing[-1] motion[0] giving[0] us[0] the[0] feeling[0] of[0] being[0] in[0] the[0] middle[0] of[0] the[0] battle[-1] and[0] just[0] a[0] vulnerable[-2] as[0] the[0] poor[-1] troops[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " poor " is a proper word to describe how pathetic and yet innocent the men fighting are . 	 " poor " is a proper word to describe how pathetic and yet innocent the men fighting are .	2	-3	 poor[-1] is[0] a[0] proper[0] word[0] to[0] describe[0] how[0] pathetic[-2] and[0] yet[0] innocent[1] the[0] men[0] fighting[-2] are[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there is little to no dialogue throughout the loud battle and no prologue to define any characters . 	there is little to no dialogue throughout the loud battle and no prologue to define any characters .	1	-2	 there[0] is[0] little[0] to[0] no[0] dialogue[0] throughout[0] the[0] loud[0] battle[-1] and[0] no[0] prologue[0] to[0] define[0] any[0] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we don't get the feeling these are handsome actors playing heroic roles , but that these are men about to kill and be killed for reasons beyond their understanding . 	we don't get the feeling these are handsome actors playing heroic roles , but that these are men about to kill and be killed for reasons beyond their understanding .	3	-4	 we[0] don't[0] get[0] the[0] feeling[0] these[0] are[0] handsome[1] actors[0] playing[1] heroic[2] roles[0] but[0] that[0] these[0] are[0] men[0] about[0] to[0] kill[-1] and[0] be[0] killed[-3] for[0] reasons[0] beyond[0] their[0] understanding[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the nazis are not portrayed as enemies to be hated , but as people that must be destroyed because they're there . 	the nazis are not portrayed as enemies to be hated , but as people that must be destroyed because they're there .	1	-4	 the[0] nazis[-1] are[0] not[0] portrayed[0] as[0] enemies[-1] to[0] be[0] hated[-3] but[0] as[0] people[0] that[0] must[0] be[0] destroyed[-2] because[0] they're[0] there[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in the movies , the good guys can run through a firestorm of bullets and bombs and not get a scratch , but in reality that wouldn't happen . 	in the movies , the good guys can run through a firestorm of bullets and bombs and not get a scratch , but in reality that wouldn't happen .	2	-2	 in[0] the[0] movies[0] the[0] good[1] guys[0] can[0] run[0] through[0] a[0] firestorm[0] of[0] bullets[-1] and[0] bombs[-1] and[0] not[0] get[0] a[0] scratch[0] but[0] in[0] reality[0] that[0] wouldn't[0] happen[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the men have nothing to shield or protect them besides some metal flanks and dead bodies . 	the men have nothing to shield or protect them besides some metal flanks and dead bodies .	1	-3	 the[0] men[0] have[0] nothing[0] to[0] shield[0] or[0] protect[0] them[0] besides[0] some[0] metal[0] flanks[0] and[0] dead[-2] bodies[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they are sitting ducks and we realize this through the perspective of the well-secured germans who can actually see who , what , and where they're shooting , unlike the americans who must fire in a general direction to avoid getting their heads blown off . 	they are sitting ducks and we realize this through the perspective of the well-secured germans who can actually see who , what , and where they're shooting , unlike the americans who must fire in a general direction to avoid getting their heads blown off .	2	-2	 they[0] are[0] sitting[0] ducks[0] and[0] we[0] realize[0] this[0] through[0] the[0] perspective[0] of[0] the[0] well[0] secured[1] germans[-1] who[0] can[0] actually[0] see[0] who[0] what[0] and[0] where[0] they're[0] shooting[-1] unlike[0] the[0] americans[0] who[0] must[0] fire[0] in[0] a[0] general[0] direction[0] to[0] avoid[-1] getting[0] their[0] heads[0] blown[0] off[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
perhaps the film is flawed by not providing any backstory on the war itself and who the men really are , but that seems to be part of the theme . 	perhaps the film is flawed by not providing any backstory on the war itself and who the men really are , but that seems to be part of the theme .	1	-3	 perhaps[0] the[0] film[0] is[0] flawed[0] by[0] not[0] providing[0] any[0] backstory[0] on[0] the[0] war[-2] itself[0] and[0] who[0] the[0] men[0] really[0] are[0] but[0] that[0] seems[0] to[0] be[0] part[0] of[0] the[0] theme[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film seems to rely on the audience's sense of patriotism , that the american military is " right " and good and that the nazis are " inherently evil . " 	the film seems to rely on the audience's sense of patriotism , that the american military is " right " and good and that the nazis are " inherently evil .<br> "	2	-3	 the[0] film[0] seems[0] to[0] rely[0] on[0] the[0] audience's[0] sense[0] of[0] patriotism[0] that[0] the[0] american[0] military[0] is[0] right[0] and[0] good[1] and[0] that[0] the[0] nazis[-1] are[0] inherently[0] evil[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the battle scene eventually focuses on a group of men who have miraculously survived and made their way close to the enemy stronghold ( a whole 50-foot progression ) , and begin to inflict some damage . 	the battle scene eventually focuses on a group of men who have miraculously survived and made their way close to the enemy stronghold ( a whole 50-foot progression ) , and begin to inflict some damage .	1	-2	 the[0] battle[-1] scene[0] eventually[0] focuses[0] on[0] a[0] group[0] of[0] men[0] who[0] have[0] miraculously[0] survived[0] and[0] made[0] their[0] way[0] close[0] to[0] the[0] enemy[-1] stronghold[0] a[0] whole[0] 50[0] foot[0] progression[0] and[0] begin[0] to[0] inflict[-1] some[0] damage[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i have to admit that once the first glimpse of victory over the nazis sprang up , i couldn't help but feel some sense of joy and relief . 	i have to admit that once the first glimpse of victory over the nazis sprang up , i couldn't help but feel some sense of joy and relief .	3	-2	 i[0] have[0] to[0] admit[0] that[0] once[0] the[0] first[0] glimpse[0] of[0] victory[0] over[0] the[0] nazis[-1] sprang[0] up[0] i[0] couldn't[0] help[0] but[0] feel[0] some[0] sense[0] of[0] joy[2] and[0] relief[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
to triumph against all odds is a cliche to be sure , but there's nothing cliche about the graphic , detailed , atmosphere here because it really happened . 	to triumph against all odds is a cliche to be sure , but there's nothing cliche about the graphic , detailed , atmosphere here because it really happened .	3	-2	 to[0] triumph[2] against[-1] all[0] odds[0] is[0] a[0] cliche[0] to[0] be[0] sure[0] but[0] there's[0] nothing[0] cliche[0] about[0] the[0] graphic[0] detailed[0] atmosphere[0] here[0] because[0] it[0] really[0] happened[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
one of the most surprising aspects of the film is how little story construction there is , and yet the events that take place make sense and are interesting . 	one of the most surprising aspects of the film is how little story construction there is , and yet the events that take place make sense and are interesting .	2	-1	 one[0] of[0] the[0] most[0] surprising[0] aspects[0] of[0] the[0] film[0] is[0] how[0] little[0] story[0] construction[0] there[0] is[0] and[0] yet[0] the[0] events[0] that[0] take[0] place[0] make[0] sense[0] and[0] are[0] interesting[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the plot is practically irrelevant since the film is more concerned with the reality of the war and the soldiers we meet . 	the plot is practically irrelevant since the film is more concerned with the reality of the war and the soldiers we meet .	1	-3	 the[0] plot[0] is[0] practically[0] irrelevant[0] since[0] the[0] film[0] is[0] more[0] concerned[-1] with[0] the[0] reality[0] of[0] the[0] war[-2] and[0] the[0] soldiers[0] we[0] meet[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
tom hanks stars as captain miller , a relatively average man who happens to be the leader of a platoon . 	tom hanks stars as captain miller , a relatively average man who happens to be the leader of a platoon .	1	-1	 tom[0] hanks[0] stars[0] as[0] captain[0] miller[0] a[0] relatively[0] average[0] man[0] who[0] happens[0] to[0] be[0] the[0] leader[0] of[0] a[0] platoon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's never obsessive or any such generic , cartoonish characteristic that might dominate a character like this . 	he's never obsessive or any such generic , cartoonish characteristic that might dominate a character like this .	3	-1	 he's[0] never[0] obsessive[-2][NegatedDueToPreviousWord] or[0] any[0] such[0] generic[0] cartoonish[0] characteristic[0] that[0] might[0] dominate[-1][--1 LastWordBoosterStrength] a[0] character[0] like[1] this[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he doesn't want to be there any more than his men , but when he is given a mission he intends to carry it out . 	he doesn't want to be there any more than his men , but when he is given a mission he intends to carry it out .	1	-1	 he[0] doesn't[0] want[0] to[0] be[0] there[0] any[0] more[0] than[0] his[0] men[0] but[0] when[0] he[0] is[0] given[0] a[0] mission[0] he[0] intends[0] to[0] carry[0] it[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the mission the film is concerned with is , as the title states , saving private ryan . 	the mission the film is concerned with is , as the title states , saving private ryan .	1	-2	 the[0] mission[0] the[0] film[0] is[0] concerned[-1] with[0] is[0] as[0] the[0] title[0] states[0] saving[0] private[0] ryan[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
through a series of command started by an ordinary clerical worker , it is brought to a general's attention that three brothers from iowa have been killed in action and their mother will receive notices of each's death simultaneously . 	through a series of command started by an ordinary clerical worker , it is brought to a general's attention that three brothers from iowa have been killed in action and their mother will receive notices of each's death simultaneously .	1	-4	 through[0] a[0] series[0] of[0] command[0] started[0] by[0] an[0] ordinary[0] clerical[0] worker[0] it[0] is[0] brought[0] to[0] a[0] general's[0] attention[0] that[0] three[0] brothers[0] from[0] iowa[0] have[0] been[0] killed[-3] in[0] action[0] and[0] their[0] mother[0] will[0] receive[0] notices[0] of[0] each's[0] death[-2] simultaneously[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
when they learn a fourth brother is stationed somewhere in europe , they make it a top priority to have him returned safely to his mother . 	when they learn a fourth brother is stationed somewhere in europe , they make it a top priority to have him returned safely to his mother .	2	-1	 when[0] they[0] learn[0] a[0] fourth[0] brother[0] is[0] stationed[0] somewhere[0] in[0] europe[0] they[0] make[0] it[0] a[0] top[0] priority[0] to[0] have[0] him[0] returned[0] safely[1] to[0] his[0] mother[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's easy to sympathize with this situation , after all , no one should have to lose all their children at once . 	it's easy to sympathize with this situation , after all , no one should have to lose all their children at once .	1	-2	 it's[0] easy[0] to[0] sympathize[0] with[0] this[0] situation[0] after[0] all[0] no[0] one[0] should[0] have[0] to[0] lose[-1] all[0] their[0] children[0] at[0] once[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but finding one man in this war is , as miller puts it , " like trying to find a needle in a stack of needles . " 	but finding one man in this war is , as miller puts it , " like trying to find a needle in a stack of needles .<br> "	2	-3	 but[0] finding[0] one[0] man[0] in[0] this[0] war[-2] is[0] as[0] miller[0] puts[0] it[0] like[1] trying[0] to[0] find[0] a[0] needle[0] in[0] a[0] stack[0] of[0] needles[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the saving of private ryan isn't just a dramatic device , but a thematic one . 	the saving of private ryan isn't just a dramatic device , but a thematic one .	1	-1	 the[0] saving[0] of[0] private[0] ryan[0] isn't[0] just[0] a[0] dramatic[0] device[0] but[0] a[0] thematic[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his salvation represents the sense of innocence the country , the world even , was trying to convince itself it still had . 	his salvation represents the sense of innocence the country , the world even , was trying to convince itself it still had .	2	-1	 his[0] salvation[0] represents[0] the[0] sense[0] of[0] innocence[1] the[0] country[0] the[0] world[0] even[0] was[0] trying[0] to[0] convince[0] itself[0] it[0] still[0] had[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when miller's company hears of the mission , they scoff at the idea assuming he is dead , but miller isn't so quick to shrug it off . 	when miller's company hears of the mission , they scoff at the idea assuming he is dead , but miller isn't so quick to shrug it off .	1	-3	 when[0] miller's[0] company[0] hears[0] of[0] the[0] mission[0] they[0] scoff[-1] at[0] the[0] idea[0] assuming[0] he[0] is[0] dead[-2] but[0] miller[0] isn't[0] so[0] quick[0] to[0] shrug[0] it[0] off[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he knows the only thing that can really save soldiers from death is hope , and now he has the opportunity to make someone's sense of hope a reality . 	he knows the only thing that can really save soldiers from death is hope , and now he has the opportunity to make someone's sense of hope a reality .	3	-3	 he[0] knows[0] the[0] only[0] thing[0] that[0] can[0] really[0] save[1][1 LastWordBoosterStrength] soldiers[0] from[0] death[-2] is[0] hope[2] and[0] now[0] he[0] has[0] the[0] opportunity[0] to[0] make[0] someone's[0] sense[0] of[0] hope[2] a[0] reality[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the mission to find ryan gives miller's group a destination , but not direction . 	the mission to find ryan gives miller's group a destination , but not direction .	1	-1	 the[0] mission[0] to[0] find[0] ryan[0] gives[0] miller's[0] group[0] a[0] destination[0] but[0] not[0] direction[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
along the way many things happen to them , both good and bad . 	along the way many things happen to them , both good and bad .	2	-2	 along[0] the[0] way[0] many[0] things[0] happen[0] to[0] them[0] both[0] good[1] and[0] bad[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a few battles are fought , not to be major accomplishments for the war , but because they encounter german soldiers and have no other choice . 	a few battles are fought , not to be major accomplishments for the war , but because they encounter german soldiers and have no other choice .	2	-3	 a[0] few[0] battles[-1] are[0] fought[-2] not[0] to[0] be[0] major[0] accomplishments[1] for[0] the[0] war[-2] but[0] because[0] they[0] encounter[0] german[-1] soldiers[0] and[0] have[0] no[0] other[0] choice[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the act of killing itself becomes one of the film's major philosophical metaphors . 	the act of killing itself becomes one of the film's major philosophical metaphors .	1	-2	 the[0] act[0] of[0] killing[-1] itself[0] becomes[0] one[0] of[0] the[0] film's[0] major[0] philosophical[0] metaphors[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the soldiers don't mind killing other soldiers in blind battle , but when they come across a lone survivor who begs them to let him go , they can barely stop themselves from killing him in cold blood as some kind of vengeance for their losses . 	the soldiers don't mind killing other soldiers in blind battle , but when they come across a lone survivor who begs them to let him go , they can barely stop themselves from killing him in cold blood as some kind of vengeance for their losses .	2	-3	 the[0] soldiers[0] don't[0] mind[0] killing[-1][NegatedDueToPreviousWord] other[0] soldiers[0] in[0] blind[-1] battle[-1] but[0] when[0] they[0] come[0] across[0] a[0] lone[-1] survivor[0] who[0] begs[0] them[0] to[0] let[0] him[0] go[0] they[0] can[0] barely[0] stop[0] themselves[0] from[0] killing[-1] him[0] in[0] cold[-1] blood[0] as[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] vengeance[-2] for[0] their[0] losses[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
unfortunately , death is a fact of war , and most films try to avoid it when it comes to the main characters , but here spielberg doesn't want us to think these men are invincible . 	unfortunately , death is a fact of war , and most films try to avoid it when it comes to the main characters , but here spielberg doesn't want us to think these men are invincible .	1	-3	 unfortunately[-1] death[-2] is[0] a[0] fact[0] of[0] war[-2] and[0] most[0] films[0] try[0] to[0] avoid[-1] it[0] when[0] it[0] comes[0] to[0] the[0] main[0] characters[0] but[0] here[0] spielberg[0] doesn't[0] want[0] us[0] to[0] think[0] these[0] men[0] are[0] invincible[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in fact , only a small amount of color and personality is sketched into each man , and the performances are good enough to make this method work . 	in fact , only a small amount of color and personality is sketched into each man , and the performances are good enough to make this method work .	2	-1	 in[0] fact[0] only[0] a[0] small[0] amount[0] of[0] color[0] and[0] personality[0] is[0] sketched[0] into[0] each[0] man[0] and[0] the[0] performances[0] are[0] good[1] enough[0] to[0] make[0] this[0] method[0] work[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although the characters are somewhat typical , the actors maintain control over the material at all time . 	although the characters are somewhat typical , the actors maintain control over the material at all time .	1	-1	 although[0] the[0] characters[0] are[0] somewhat[0] typical[0] the[0] actors[0] maintain[0] control[0] over[0] the[0] material[0] at[0] all[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whether they're arguing with each other , telling stories of back home , or fighting the germans , they never go overboard and always seem believable . 	whether they're arguing with each other , telling stories of back home , or fighting the germans , they never go overboard and always seem believable .	1	-3	 whether[0] they're[0] arguing[-1] with[0] each[0] other[0] telling[0] stories[0] of[0] back[0] home[0] or[0] fighting[-2] the[0] germans[-1] they[0] never[0] go[0] overboard[0] and[0] always[0] seem[0] believable[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sure , there's a zinger here and there , but war doesn't change the fact boys will be boys . 	sure , there's a zinger here and there , but war doesn't change the fact boys will be boys .	1	-3	 sure[0] there's[0] a[0] zinger[0] here[0] and[0] there[0] but[0] war[-2] doesn't[0] change[0] the[0] fact[0] boys[0] will[0] be[0] boys[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if and when one dies we too can feel the loss , even though we hardly knew them . 	if and when one dies we too can feel the loss , even though we hardly knew them .	1	-3	 if[0] and[0] when[0] one[0] dies[0] we[0] too[0] can[0] feel[0] the[0] loss[-2] even[0] though[0] we[0] hardly[0] knew[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the final act brings the story full circle with another tremendous , violent battle sequence . 	the final act brings the story full circle with another tremendous , violent battle sequence .	1	-3	 the[0] final[0] act[0] brings[0] the[0] story[0] full[0] circle[0] with[0] another[0] tremendous[0] violent[-2] battle[-1] sequence[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
private ryan has been found , but facing four to one odds , can the americans defeat the germans and keep ryan alive ? 	private ryan has been found , but facing four to one odds , can the americans defeat the germans and keep ryan alive ?	1	-2	 private[0] ryan[0] has[0] been[0] found[0] but[0] facing[0] four[0] to[0] one[0] odds[0] can[0] the[0] americans[0] defeat[0] the[0] germans[-1] and[0] keep[0] ryan[0] alive[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that's not a premise for thrills , it's symbolic of everything the film has worked for . 	that's not a premise for thrills , it's symbolic of everything the film has worked for .	4	-1	 that's[0] not[0] a[0] premise[0] for[0] thrills[3] it's[0] symbolic[0] of[0] everything[0] the[0] film[0] has[0] worked[0] for[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it would be wrong to say the film has either a happy or sad ending , it ends the way it must end . 	it would be wrong to say the film has either a happy or sad ending , it ends the way it must end .	2	-4	 it[0] would[0] be[0] wrong[-1] to[0] say[0] the[0] film[0] has[0] either[0] a[0] happy[1] or[0] sad[-3] ending[0] it[0] ends[0] the[0] way[0] it[0] must[0] end[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i remember reading a " calvin & hobbes " comic strip where calvin asked his dad something like , " dad , how do armies of men killing each other solve problems ? " 	i remember reading a " calvin & hobbes " comic strip where calvin asked his dad something like , " dad , how do armies of men killing each other solve problems ?<br> "	2	-2	 i[0] remember[0] reading[0] a[0] calvin[0] &[0] hobbes[0] comic[0] strip[0] where[0] calvin[0] asked[0] his[0] dad[0] something[0] like[1] dad[0] how[0] do[0] armies[0] of[0] men[0] killing[-1] each[0] other[0] solve[0] problems[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " saving private ryan " is the adult version of that question . 	 " saving private ryan " is the adult version of that question .	1	-1	 saving[0] private[0] ryan[0] is[0] the[0] adult[0] version[0] of[0] that[0] question[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
