zero effect gets its title from the main character , daryl zero ( bill pullman ) , although we don't understand what it truly means until the very last line of dialogue in the film . 	Translation	Positive	Negative	EmotionRationale
i can idly enjoy movies about private investigators , and , every once in a while , a film like chinatown comes a long that blows me away ( actually , no private eye film has ever reached chinatown's greatness ) . 	i can idly enjoy movies about private investigators , and , every once in a while , a film like chinatown comes a long that blows me away ( actually , no private eye film has ever reached chinatown's greatness ) .	3	-1	 i[0] can[0] idly[0] enjoy[2] movies[0] about[0] private[0] investigators[0] and[0] every[0] once[0] in[0] a[0] while[0] a[0] film[0] like[1] chinatown[0] comes[0] a[0] long[0] that[0] blows[0] me[0] away[0] actually[0] no[0] private[0] eye[0] film[0] has[0] ever[0] reached[0] chinatown's[0] greatness[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
zero effect , which is jake kasdan's first effort as writer/director , is a film about a private investigator that succeeds in all attempts : it's an original , funny , and completely involving motion picture . 	zero effect , which is jake kasdan's first effort as writer/director , is a film about a private investigator that succeeds in all attempts : it's an original , funny , and completely involving motion picture .	3	-1	 zero[0] effect[0] which[0] is[0] jake[0] kasdan's[0] first[0] effort[0] as[0] writer/director[0] is[0] a[0] film[0] about[0] a[0] private[0] investigator[0] that[0] succeeds[2] in[0] all[0] attempts[0] it's[0] an[0] original[0] funny[1] and[0] completely[0] involving[0] motion[0] picture[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
with so many cliches available to this genre , i find it amazing that kasdan avoided all of them . 	with so many cliches available to this genre , i find it amazing that kasdan avoided all of them .	3	-2	 with[0] so[0] many[0] cliches[0] available[0] to[0] this[0] genre[0] i[0] find[0] it[0] amazing[2] that[0] kasdan[0] avoided[-1] all[0] of[0] them[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but he didn't just successfully avoid flaws : he has created a great film here , one that had me interested and fascinated from the first shot to the final moment . 	but he didn't just successfully avoid flaws : he has created a great film here , one that had me interested and fascinated from the first shot to the final moment .	3	-2	 but[0] he[0] didn't[0] just[0] successfully[2][-1 LastWordBoosterStrength] avoid[-1] flaws[0] he[0] has[0] created[0] a[0] great[2] film[0] here[0] one[0] that[0] had[0] me[0] interested[1] and[0] fascinated[0] from[0] the[0] first[0] shot[-1] to[0] the[0] final[0] moment[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
take , for starters , the great cast of characters . 	take , for starters , the great cast of characters .	3	-1	 take[0] for[0] starters[0] the[0] great[2] cast[0] of[0] characters[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
pullman is terrific as zero , showing a comic flair that i really haven't seen from him since spaceballs . 	pullman is terrific as zero , showing a comic flair that i really haven't seen from him since spaceballs .	4	-1	 pullman[0] is[0] terrific[3] as[0] zero[0] showing[0] a[0] comic[0] flair[0] that[0] i[0] really[0] haven't[0] seen[0] from[0] him[0] since[0] spaceballs[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
zero is the kind of guy who seems at ease switching personalities so frequently as he does here ; the fact that he's an almost exaggeratedly twisted , emotionally unstable man outside of his profession is not at all difficult to believe . 	zero is the kind of guy who seems at ease switching personalities so frequently as he does here ; the fact that he's an almost exaggeratedly twisted , emotionally unstable man outside of his profession is not at all difficult to believe .	2	-2	 zero[0] is[0] the[0] kind[1] of[0] guy[0] who[0] seems[0] at[0] ease[0] switching[0] personalities[0] so[0] frequently[0] as[0] he[0] does[0] here[0] the[0] fact[0] that[0] he's[0] an[0] almost[0] exaggeratedly[-1] twisted[0] emotionally[0] unstable[-1] man[0] outside[0] of[0] his[0] profession[0] is[0] not[0] at[0] all[0] difficult[-1] to[0] believe[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
pullman's performance is much more layered than it might seem at first glance , and the occasional voice-over as he's going through the motions of his job are insightful and often hilarious . 	pullman's performance is much more layered than it might seem at first glance , and the occasional voice-over as he's going through the motions of his job are insightful and often hilarious .	3	-1	 pullman's[0] performance[0] is[0] much[0] more[0] layered[0] than[0] it[0] might[0] seem[0] at[0] first[0] glance[0] and[0] the[0] occasional[0] voice[0] over[0] as[0] he's[0] going[0] through[0] the[0] motions[0] of[0] his[0] job[0] are[0] insightful[0] and[0] often[0] hilarious[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ben stiller is also a very funny individual ; he's the kind of comedian who makes normal lines sound funny . 	ben stiller is also a very funny individual ; he's the kind of comedian who makes normal lines sound funny .	3	-1	 ben[0] stiller[0] is[0] also[0] a[0] very[0] funny[1][1 LastWordBoosterStrength] individual[0] he's[0] the[0] kind[1] of[0] comedian[0] who[0] makes[0] normal[0] lines[0] sound[0] funny[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " i'll shoot you , " he says to stark at one point . 	 " i'll shoot you , " he says to stark at one point .	1	-2	 i'll[0] shoot[-1] you[0] he[0] says[0] to[0] stark[-1] at[0] one[0] point[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " i have a gun , and everything . " 	 " i have a gun , and everything .<br> "	1	-2	 i[0] have[0] a[0] gun[-1] and[0] everything[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his character is also well-drawn , with an interesting subplot involving his girlfriend ( angela featherstone ) who is not happy with the extensive amounts of time he must spend away from her due to the unpredictability of his job . 	his character is also well-drawn , with an interesting subplot involving his girlfriend ( angela featherstone ) who is not happy with the extensive amounts of time he must spend away from her due to the unpredictability of his job .	2	-2	 his[0] character[0] is[0] also[0] well[0] drawn[0] with[0] an[0] interesting[1] subplot[0] involving[0] his[0] girlfriend[0] angela[0] featherstone[0] who[0] is[0] not[0] happy[1][NegatedDueToPreviousWord] with[0] the[0] extensive[0] amounts[0] of[0] time[0] he[0] must[0] spend[0] away[0] from[0] her[0] due[0] to[0] the[0] unpredictability[0] of[0] his[0] job[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
o'neal also gives his character a bit of depth ; and kim dickens , last seen ( and underused ) in mercury rising , gets a chance to show us her talent here , giving gloria the realism this kind of character really needs . 	o'neal also gives his character a bit of depth ; and kim dickens , last seen ( and underused ) in mercury rising , gets a chance to show us her talent here , giving gloria the realism this kind of character really needs .	2	-1	 o'neal[0] also[0] gives[0] his[0] character[0] a[0] bit[0] of[0] depth[0] and[0] kim[0] dickens[0] last[0] seen[0] and[0] underused[0] in[0] mercury[0] rising[0] gets[0] a[0] chance[0] to[0] show[0] us[0] her[0] talent[1] here[0] giving[0] gloria[1] the[0] realism[0] this[0] kind[1] of[0] character[0] really[0] needs[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i find zero effect to be an immensely funny and witty film . 	i find zero effect to be an immensely funny and witty film .	2	-1	 i[0] find[0] zero[0] effect[0] to[0] be[0] an[0] immensely[0] funny[1] and[0] witty[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
kasdan's humor is of the best kind -- soft spoken , and mostly dialogue-driven ( though there are some great visual jokes ) . 	kasdan's humor is of the best kind - soft spoken , and mostly dialogue-driven ( though there are some great visual jokes ) .	3	-1	 kasdan's[0] humor[2] is[0] of[0] the[0] best[1] kind[1] soft[0] spoken[0] and[0] mostly[0] dialogue[0] driven[0] though[0] there[0] are[0] some[0] great[2][-1 LastWordBoosterStrength] visual[0] jokes[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's the kind of humor that's funny even after you've seen it five or six times . 	it's the kind of humor that's funny even after you've seen it five or six times .	3	-1	 it's[0] the[0] kind[1] of[0] humor[2] that's[0] funny[1] even[0] after[0] you've[0] seen[0] it[0] five[0] or[0] six[0] times[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there's one scene in which zero talks about how detached he is , an how that makes him such a great detective . 	there's one scene in which zero talks about how detached he is , an how that makes him such a great detective .	3	-1	 there's[0] one[0] scene[0] in[0] which[0] zero[0] talks[0] about[0] how[0] detached[0] he[0] is[0] an[0] how[0] that[0] makes[0] him[0] such[0] a[0] great[2] detective[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
what we see during this narration are various shots of him sitting on a bed , or standing motionlessly , with his hair destroyed and an utterly blank look painted on his unshaven face , his eyes pointing to something off camera , but obviously to nothing in particular . 	what we see during this narration are various shots of him sitting on a bed , or standing motionlessly , with his hair destroyed and an utterly blank look painted on his unshaven face , his eyes pointing to something off camera , but obviously to nothing in particular .	1	-3	 what[0] we[0] see[0] during[0] this[0] narration[0] are[0] various[0] shots[0] of[0] him[0] sitting[0] on[0] a[0] bed[0] or[0] standing[0] motionlessly[0] with[0] his[0] hair[0] destroyed[-2] and[0] an[0] utterly[0] blank[0] look[0] painted[0] on[0] his[0] unshaven[0] face[0] his[0] eyes[0] pointing[0] to[0] something[0] off[0] camera[0] but[0] obviously[0] to[0] nothing[0] in[0] particular[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i can't convey to you how funny this is , but what makes it great film making is that it has a point -- scenes like this are frequent , and they provide solid characterization of zero . 	i can't convey to you how funny this is , but what makes it great film making is that it has a point - scenes like this are frequent , and they provide solid characterization of zero .	3	-1	 i[0] can't[0] convey[0] to[0] you[0] how[0] funny[1] this[0] is[0] but[0] what[0] makes[0] it[0] great[2] film[0] making[0] is[0] that[0] it[0] has[0] a[0] point[0] scenes[0] like[1] this[0] are[0] frequent[0] and[0] they[0] provide[0] solid[0] characterization[0] of[0] zero[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as a side note , i don't consider myself an average viewer when it comes to comedy ( not to sound elitist ) -- i find things funny that many do not , and vice versa . 	as a side note , i don't consider myself an average viewer when it comes to comedy ( not to sound elitist ) - i find things funny that many do not , and vice versa .	2	-1	 as[0] a[0] side[0] note[0] i[0] don't[0] consider[0] myself[0] an[0] average[0] viewer[0] when[0] it[0] comes[0] to[0] comedy[0] not[0] to[0] sound[0] elitist[0] i[0] find[0] things[0] funny[1] that[0] many[0] do[0] not[0] and[0] vice[-1][NegatedDueToPreviousWord] versa[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there was a clump of people near me in the theater laughing uproariously through this film , and the rest of the theater was relatively silent through most of it . 	there was a clump of people near me in the theater laughing uproariously through this film , and the rest of the theater was relatively silent through most of it .	2	-1	 there[0] was[0] a[0] clump[0] of[0] people[0] near[0] me[0] in[0] the[0] theater[0] laughing[1] uproariously[0] through[0] this[0] film[0] and[0] the[0] rest[0] of[0] the[0] theater[0] was[0] relatively[0] silent[0] through[0] most[0] of[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i have a feeling the humor here won't appeal to everyone , but there's certainly enough story and character development to keep anyone's interest . 	i have a feeling the humor here won't appeal to everyone , but there's certainly enough story and character development to keep anyone's interest .	3	-1	 i[0] have[0] a[0] feeling[0] the[0] humor[2] here[0] won't[0] appeal[0] to[0] everyone[0] but[0] there's[0] certainly[0] enough[0] story[0] and[0] character[0] development[0] to[0] keep[0] anyone's[0] interest[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
jake kasdan , son of writer/director lawrence kasdan , is only 22 years old . 	jake kasdan , son of writer/director lawrence kasdan , is only 22 years old .	1	-1	 jake[0] kasdan[0] son[0] of[0] writer/director[0] lawrence[0] kasdan[0] is[0] only[0] 22[0] years[0] old[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i found this out after seeing the film , and i can't remember ever being so impressed with a film maker . 	i found this out after seeing the film , and i can't remember ever being so impressed with a film maker .	2	-1	 i[0] found[0] this[0] out[0] after[0] seeing[0] the[0] film[0] and[0] i[0] can't[0] remember[0] ever[0] being[0] so[0] impressed[1] with[0] a[0] film[0] maker[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his direction is stylish without being pretentious , and his writing is mature , full , and developed . 	his direction is stylish without being pretentious , and his writing is mature , full , and developed .	1	-2	 his[0] direction[0] is[0] stylish[0] without[0] being[0] pretentious[-1] and[0] his[0] writing[0] is[0] mature[0] full[0] and[0] developed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
zero effect is the kind of film that i'll buy for my collection -- smart , original films like this are rare as it is , but this one actually has a heart and a soul . 	zero effect is the kind of film that i'll buy for my collection - smart , original films like this are rare as it is , but this one actually has a heart and a soul .	2	-1	 zero[0] effect[0] is[0] the[0] kind[1] of[0] film[0] that[0] i'll[0] buy[0] for[0] my[0] collection[0] smart[1] original[0] films[0] like[1] this[0] are[0] rare[0] as[0] it[0] is[0] but[0] this[0] one[0] actually[0] has[0] a[0] heart[0] and[0] a[0] soul[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at the end of the film , i was involved in the characters , and i was satisfied with the outcome . 	at the end of the film , i was involved in the characters , and i was satisfied with the outcome .	2	-1	 at[0] the[0] end[0] of[0] the[0] film[0] i[0] was[0] involved[0] in[0] the[0] characters[0] and[0] i[0] was[0] satisfied[1] with[0] the[0] outcome[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and , with kasdan's undeniable talent at such a young age , all i can do is hope to see a lot more from him in the future . 	and , with kasdan's undeniable talent at such a young age , all i can do is hope to see a lot more from him in the future .	3	-1	 and[0] with[0] kasdan's[0] undeniable[0] talent[1] at[0] such[0] a[0] young[0] age[0] all[0] i[0] can[0] do[0] is[0] hope[2] to[0] see[0] a[0] lot[0] more[0] from[0] him[0] in[0] the[0] future[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
