when i saw the trailer for " the sixth sense , " i didn't expect much from it . 	Translation	Positive	Negative	EmotionRationale
if it hadn't , the first hour of the movie would be more engrossing because we wouldn't know what's wrong with cole . 	if it hadn't , the first hour of the movie would be more engrossing because we wouldn't know what's wrong with cole .	1	-2	 if[0] it[0] hadn't[0] the[0] first[0] hour[0] of[0] the[0] movie[0] would[0] be[0] more[0] engrossing[0] because[0] we[0] wouldn't[0] know[0] what's[0] wrong[-1] with[0] cole[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you're lucky enough to have not seen the trailer , stop reading this review right now and go see " the sixth sense . " 	if you're lucky enough to have not seen the trailer , stop reading this review right now and go see " the sixth sense .<br> "	2	-1	 if[0] you're[0] lucky[1] enough[0] to[0] have[0] not[0] seen[0] the[0] trailer[0] stop[0] reading[0] this[0] review[0] right[0] now[0] and[0] go[0] see[0] the[0] sixth[0] sense[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
anyway , since the trailer gave it away , i figure it's fair game to discuss here . 	anyway , since the trailer gave it away , i figure it's fair game to discuss here .	1	-1	 anyway[0] since[0] the[0] trailer[0] gave[0] it[0] away[0] i[0] figure[0] it's[0] fair[0] game[0] to[0] discuss[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
once malcolm gains cole's trust , cole reveals his secret : he sees ghosts everywhere . 	once malcolm gains cole's trust , cole reveals his secret : he sees ghosts everywhere .	2	-1	 once[0] malcolm[0] gains[0] cole's[0] trust[1] cole[0] reveals[0] his[0] secret[0] he[0] sees[0] ghosts[0] everywhere[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
dead people wander around not knowing that they're dead , invisible to everyone except cole . 	dead people wander around not knowing that they're dead , invisible to everyone except cole .	1	-3	 dead[-2] people[0] wander[0] around[0] not[0] knowing[0] that[0] they're[0] dead[-2] invisible[-1] to[0] everyone[0] except[0] cole[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
malcolm gradually begins to realize that cole is telling the truth . 	malcolm gradually begins to realize that cole is telling the truth .	2	-1	 malcolm[0] gradually[0] begins[0] to[0] realize[0] that[0] cole[0] is[0] telling[0] the[0] truth[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the box office success of " the sixth sense " has generated a lot of press about how horror movies rule the box office this year and lots of theories about why that's so . 	the box office success of " the sixth sense " has generated a lot of press about how horror movies rule the box office this year and lots of theories about why that's so .	3	-4	 the[0] box[0] office[0] success[2] of[0] the[0] sixth[0] sense[0] has[0] generated[0] a[0] lot[0] of[0] press[0] about[0] how[0] horror[-3] movies[0] rule[0] the[0] box[0] office[0] this[0] year[0] and[0] lots[0] of[0] theories[0] about[0] why[0] that's[0] so[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
i hate to burst anybody's bubble , but " the sixth sense " isn't really a horror film . 	i hate to burst anybody's bubble , but " the sixth sense " isn't really a horror film .	4	-4	 i[0] hate[-3] to[0] burst[0] anybody's[0] bubble[0] but[0] the[0] sixth[0] sense[0] isn't[0] really[0] a[0] horror[-3][NegatedDueToPreviousWord] film[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
at its core , " the sixth sense " is a touching story of how a troubled kid and an emotionally-scarred adult help each other to move past their problems . 	at its core , " the sixth sense " is a touching story of how a troubled kid and an emotionally-scarred adult help each other to move past their problems .	1	-2	 at[0] its[0] core[0] the[0] sixth[0] sense[0] is[0] a[0] touching[0] story[0] of[0] how[0] a[0] troubled[-1] kid[0] and[0] an[0] emotionally[0] scarred[0] adult[0] help[0] each[0] other[0] to[0] move[0] past[0] their[0] problems[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
some scenes with the ghosts are wonderfully creepy , though . 	some scenes with the ghosts are wonderfully creepy , though .	3	-1	 some[0] scenes[0] with[0] the[0] ghosts[0] are[0] wonderfully[2] creepy[0] though[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one that really got to me : the ghost of a boy says to cole , " i'll show you where my dad keeps his gun " ; when the ghost turns , we see the bullet wound in the back of his head . 	one that really got to me : the ghost of a boy says to cole , " i'll show you where my dad keeps his gun " ; when the ghost turns , we see the bullet wound in the back of his head .	1	-2	 one[0] that[0] really[0] got[0] to[0] me[0] the[0] ghost[0] of[0] a[0] boy[0] says[0] to[0] cole[0] i'll[0] show[0] you[0] where[0] my[0] dad[0] keeps[0] his[0] gun[-1] when[0] the[0] ghost[0] turns[0] we[0] see[0] the[0] bullet[-1] wound[-1] in[0] the[0] back[0] of[0] his[0] head[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
osment gives the best performance i've ever seen from a child actor . 	osment gives the best performance i've ever seen from a child actor .	2	-1	 osment[0] gives[0] the[0] best[1] performance[0] i've[0] ever[0] seen[0] from[0] a[0] child[0] actor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's hard enough to find a grown-up in hollywood who can give a subtle , realistic portrayal ! 	it's hard enough to find a grown-up in hollywood who can give a subtle , realistic portrayal !	1	-1	 it's[0] hard[0] enough[0] to[0] find[0] a[0] grown[0] up[0] in[0] hollywood[0] who[0] can[0] give[0] a[0] subtle[0] realistic[0] portrayal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although willis gets top billing , cole is really the protagonist of the story , and osment truly brings the complex kid to life . 	although willis gets top billing , cole is really the protagonist of the story , and osment truly brings the complex kid to life .	2	-1	 although[0] willis[0] gets[0] top[0] billing[0] cole[0] is[0] really[0] the[0] protagonist[0] of[0] the[0] story[0] and[0] osment[0] truly[1] brings[0] the[0] complex[0] kid[0] to[0] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if only willis' work were as impressive . 	if only willis' work were as impressive .	2	-1	 if[0] only[0] willis'[0] work[0] were[0] as[0] impressive[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
accustomed to delivering catchphrases rather than dialogue , willis is stiff and awkward as malcolm , his most challenging role to date . 	accustomed to delivering catchphrases rather than dialogue , willis is stiff and awkward as malcolm , his most challenging role to date .	1	-2	 accustomed[-1] to[0] delivering[0] catchphrases[0] rather[0] than[0] dialogue[0] willis[0] is[0] stiff[0] and[0] awkward[-1] as[0] malcolm[0] his[0] most[0] challenging[0] role[0] to[0] date[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( this is a bad omen for his next movie , " the story of us , " which chronicles the ups and downs of a marriage ) . 	 ( this is a bad omen for his next movie , " the story of us , " which chronicles the ups and downs of a marriage ) .	1	-2	 this[0] is[0] a[0] bad[-1] omen[0] for[0] his[0] next[0] movie[0] the[0] story[0] of[0] us[0] which[0] chronicles[0] the[0] ups[0] and[0] downs[0] of[0] a[0] marriage[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
writer/director m . night shyamalan has a light , poetic touch that goes to the heart of the viewer without seeming sappy or trite . 	writer/director m .<br> night shyamalan has a light , poetic touch that goes to the heart of the viewer without seeming sappy or trite .	1	-3	 writer/director[0] m[0] [[Sentence=-1,1=word max, 1-5]] night[0] shyamalan[-2] has[0] a[0] light[0] poetic[0] touch[0] that[0] goes[0] to[0] the[0] heart[0] of[0] the[0] viewer[0] without[0] seeming[0] sappy[0] or[0] trite[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he's also a skillful storyteller , as the movie's ending demonstrates . 	he's also a skillful storyteller , as the movie's ending demonstrates .	2	-1	 he's[0] also[0] a[0] skillful[1] storyteller[0] as[0] the[0] movie's[0] ending[0] demonstrates[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
only when the final secret is revealed do you realize that shyamalan has been hinting at it throughout the movie . 	only when the final secret is revealed do you realize that shyamalan has been hinting at it throughout the movie .	1	-3	 only[0] when[0] the[0] final[0] secret[0] is[0] revealed[0] do[0] you[0] realize[0] that[0] shyamalan[-2] has[0] been[0] hinting[0] at[0] it[0] throughout[0] the[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
look for a cameo by the director as a doctor who treats cole . 	look for a cameo by the director as a doctor who treats cole .	1	-1	 look[0] for[0] a[0] cameo[0] by[0] the[0] director[0] as[0] a[0] doctor[0] who[0] treats[0] cole[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bottom line : osment should get an oscar nomination , and you should go see this movie . 	bottom line : osment should get an oscar nomination , and you should go see this movie .	1	-1	 bottom[0] line[0] osment[0] should[0] get[0] an[0] oscar[0] nomination[0] and[0] you[0] should[0] go[0] see[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
