the happy bastard's quick movie review 	Translation	Positive	Negative	EmotionRationale
tony goldwyn is very convincing as the ape man ; minnie driver adds a delectable touch to the already-beautiful jane ; nigel hawthorne makes for a pretty nasty hunter voice ; rosie o' donnell keeps the laughs rolling as tarzan's best ape friend terk ; and wayne " newman " knight has his moments as a panicky elephant . 	tony goldwyn is very convincing as the ape man ; minnie driver adds a delectable touch to the already-beautiful jane ; nigel hawthorne makes for a pretty nasty hunter voice ; rosie o' donnell keeps the laughs rolling as tarzan's best ape friend terk ; and wayne " newman " knight has his moments as a panicky elephant .	3	-3	 tony[0] goldwyn[0] is[0] very[0] convincing[0] as[0] the[0] ape[0] man[0] minnie[0] driver[0] adds[0] a[0] delectable[2] touch[0] to[0] the[0] already[0] beautiful[2] jane[0] nigel[0] hawthorne[0] makes[0] for[0] a[0] pretty[2] nasty[-2] hunter[-1] voice[0] rosie[0] o'[0] donnell[0] keeps[0] the[0] laughs[1] rolling[0] as[0] tarzan's[0] best[1] ape[0] friend[1] terk[0] and[0] wayne[0] newman[0] knight[0] has[0] his[0] moments[0] as[0] a[0] panicky[-2] elephant[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the movie is superb throughout , mixing a great script with incredible computer-assisted visuals . 	the movie is superb throughout , mixing a great script with incredible computer-assisted visuals .	3	-1	 the[0] movie[0] is[0] superb[0] throughout[0] mixing[0] a[0] great[2] script[0] with[0] incredible[0] computer[0] assisted[0] visuals[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when tarzan tree-surfs ( a twist that was added on top of the same ol' vine swinging- and a great one , i might add ) , the camera twists and turns , allowing the trees all around to come to life vividly . 	when tarzan tree-surfs ( a twist that was added on top of the same ol' vine swinging- and a great one , i might add ) , the camera twists and turns , allowing the trees all around to come to life vividly .	3	-1	 when[0] tarzan[0] tree[0] surfs[0] a[0] twist[0] that[0] was[0] added[0] on[0] top[0] of[0] the[0] same[0] ol'[0] vine[0] swinging[0] and[0] a[0] great[2] one[0] i[0] might[0] add[0] the[0] camera[0] twists[0] and[0] turns[0] allowing[0] the[0] trees[0] all[0] around[0] to[0] come[0] to[0] life[0] vividly[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i couldn't believe my eyes- disney has come a long way since starting in a ballroom for beauty and the beast . 	i couldn't believe my eyes- disney has come a long way since starting in a ballroom for beauty and the beast .	3	-1	 i[0] couldn't[0] believe[0] my[0] eyes[0] disney[0] has[0] come[0] a[0] long[0] way[0] since[0] starting[0] in[0] a[0] ballroom[0] for[0] beauty[2] and[0] the[0] beast[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and the music's not half bad , either . 	and the music's not half bad , either .	2	-1	 and[0] the[0] music's[0] not[0] half[0] bad[-1][NegatedDueToPreviousWord] either[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
fortunately , there's no ridiculous singing characters here , just a great set of songs by phil collins that perfectly fit the mood . 	fortunately , there's no ridiculous singing characters here , just a great set of songs by phil collins that perfectly fit the mood .	3	-3	 fortunately[0] there's[0] no[0] ridiculous[-2] singing[0] characters[0] here[0] just[0] a[0] great[2] set[0] of[0] songs[0] by[0] phil[0] collins[0] that[0] perfectly[1] fit[0] the[0] mood[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
there's some great action sequences here as well , including a wonderfully done chase between tarzan , jane , and the aforementioned babboons . 	there's some great action sequences here as well , including a wonderfully done chase between tarzan , jane , and the aforementioned baboons .	3	-2	 there's[0] some[0] great[2][-1 LastWordBoosterStrength] action[0] sequences[0] here[0] as[0] well[0] including[0] a[0] wonderfully[2] done[0] chase[-1] between[0] tarzan[0] jane[0] and[0] the[0] aforementioned[0] babboons/baboons[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but , of course , it's not all action- there's a message here as well that has to do with family . 	but , of course , it's not all action- there's a message here as well that has to do with family .	1	-1	 but[0] of[0] course[0] it's[0] not[0] all[0] action[0] there's[0] a[0] message[0] here[0] as[0] well[0] that[0] has[0] to[0] do[0] with[0] family[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is easily one of disney's best animated films of the decade and it's one i can't wait to put in my home library . . . that 	this is easily one of disney's best animated films of the decade and it's one i can't wait to put in my home library .<br> .<br> .<br> that	2	-1	 this[0] is[0] easily[0] one[0] of[0] disney's[0] best[1] animated[0] films[0] of[0] the[0] decade[0] and[0] it's[0] one[0] i[0] can't[0] wait[0] to[0] put[0] in[0] my[0] home[0] library[0] [[Sentence=-1,2=word max, 1-5]] that[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
is , if my vcr still works in the year 2000 . 	is , if my vcr still works in the year 200 .	1	-1	 is[0] if[0] my[0] vcr[0] still[0] works[0] in[0] the[0] year[0] 2000/200[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
