another 'independent film' , this comedy , which was brought by miramax for $5 million , is good fun . 	Translation	Positive	Negative	EmotionRationale
they just seem to wander aimlessly in the background . 	they just seem to wander aimlessly in the background .	1	-2	 they[0] just[0] seem[0] to[0] wander[0] aimlessly[-1] in[0] the[0] background[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but again , the lines they say are usually pretty good , and they do have some funny parts . 	but again , the lines they say are usually pretty good , and they do have some funny parts .	3	-1	 but[0] again[0] the[0] lines[0] they[0] say[0] are[0] usually[0] pretty[2] good[1] and[0] they[0] do[0] have[0] some[0] funny[1][-1 LastWordBoosterStrength] parts[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's just a shame that they didn't have more meatier roles . 	it's just a shame that they didn't have more meatier roles .	1	-3	 it's[0] just[0] a[0] shame[-2] that[0] they[0] didn't[0] have[0] more[0] meatier[0] roles[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the acting is superb . 	the acting is superb .	1	-1	 the[0] acting[0] is[0] superb[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as said above , vaughn is superb as trent , he's definitely the best thing in the film . 	as said above , vaughn is superb as trent , he's definitely the best thing in the film .	2	-1	 as[0] said[0] above[0] vaughn[0] is[0] superb[0] as[0] trent[0] he's[0] definitely[0] the[0] best[1] thing[0] in[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
favreau is also good , acting as 'the little man' very well , and the way he always feels sorry for himself is very funny . 	favreau is also good , acting as 'the little man' very well , and the way he always feels sorry for himself is very funny .	3	-2	 favreau[0] is[0] also[0] good[1] acting[0] as[0] 'the[0] little[0] man'[0] very[0] well[0] and[0] the[0] way[0] he[0] always[0] feels[0] sorry[-1] for[0] himself[0] is[0] very[0] funny[1][1 LastWordBoosterStrength] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
graham ( boogie nights , 1997 ) has a small but good role as lorraine , a girl mike finally falls in love with . 	graham ( boogie nights , 1997 ) has a small but good role as lorraine , a girl mike finally falls in love with .	3	-1	 graham[0] boogie[0] nights[0] 1997[0] has[0] a[0] small[0] but[0] good[1] role[0] as[0] lorraine[0] a[0] girl[0] mike[0] finally[0] falls[0] in[0] love[2] with[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she hardly features in the film at all , but she still manages to make an impact on the audience . 	she hardly features in the film at all , but she still manages to make an impact on the audience .	1	-1	 she[0] hardly[0] features[0] in[0] the[0] film[0] at[0] all[0] but[0] she[0] still[0] manages[0] to[0] make[0] an[0] impact[0] on[0] the[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
swingers , then , is funny , but it does have some flaws . 	swingers , then , is funny , but it does have some flaws .	2	-1	 swingers[0] then[0] is[0] funny[1] but[0] it[0] does[0] have[0] some[0] flaws[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
firstly , the running time is a bit too short . 	firstly , the running time is a bit too short .	1	-1	 firstly[0] the[0] running[0] time[0] is[0] a[0] bit[0] too[0] short[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film comes to an abrupt halt , and i actually wanted the film to carry on longer . 	the film comes to an abrupt halt , and i actually wanted the film to carry on longer .	1	-2	 the[0] film[0] comes[0] to[0] an[0] abrupt[-1] halt[0] and[0] i[0] actually[0] wanted[0] the[0] film[0] to[0] carry[0] on[0] longer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it never really comes to a satisfying conclusion , which is a shame , as most films are too long ! 	it never really comes to a satisfying conclusion , which is a shame , as most films are too long !	2	-3	 it[0] never[0] really[0] comes[0] to[0] a[0] satisfying[1] conclusion[0] which[0] is[0] a[0] shame[-2] as[0] most[0] films[0] are[0] too[0] long[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
also , this type of film has been done too many times , such as sleep with me ( 1994 ) . 	also , this type of film has been done too many times , such as sleep with me ( 1994 ) .	1	-1	 also[0] this[0] type[0] of[0] film[0] has[0] been[0] done[0] too[0] many[0] times[0] such[0] as[0] sleep[0] with[0] me[0] 1994[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but these small flaws don't really spoil what is a funny , entertaining comedy . 	but these small flaws don't really spoil what is a funny , entertaining comedy .	3	-1	 but[0] these[0] small[0] flaws[0] don't[0] really[0] spoil[-1][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] what[0] is[0] a[0] funny[1] entertaining[0] comedy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
