jonathan demme's _beloved_ , based on the book toni morrison , is a study in skillful literary adaptation . 	Translation	Positive	Negative	EmotionRationale
invisible hands terrorize her family , flinging objects across rooms , shaking tables , rattling floorboards . 	invisible hands terrorize her family , flinging objects across rooms , shaking tables , rattling floorboards .	1	-3	 invisible[-1] hands[0] terrorize[-2] her[0] family[0] flinging[0] objects[0] across[0] rooms[0] shaking[-1] tables[0] rattling[0] floorboards[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sethe's sons run away , perhaps for good , leaving sethe and her daughter denver to fend for themselves . 	sethe's sons run away , perhaps for good , leaving sethe and her daughter denver to fend for themselves .	2	-1	 sethe's[0] sons[0] run[0] away[0] perhaps[0] for[0] good[1] leaving[0] sethe[0] and[0] her[0] daughter[0] denver[0] to[0] fend[0] for[0] themselves[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
demme's matter-of-fact handling of this supernatural element is just one of _beloved_'s intriguing aspects . 	demme's matter-of-fact handling of this supernatural element is just one of _beloved_'s intriguing aspects .	1	-1	 demme's[0] matter[0] of[0] fact[0] handling[0] of[0] this[0] supernatural[0] element[0] is[0] just[0] one[0] of[0] _beloved_'s[0] intriguing[0] aspects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all of the characters take for granted that ghosts are real . 	all of the characters take for granted that ghosts are real .	1	-1	 all[0] of[0] the[0] characters[0] take[0] for[0] granted[0] that[0] ghosts[0] are[0] real[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when paul d ( danny glover ) -- a former slave who escaped kentucky along with sethe -- arrives at the house eight years later and is confronted with the ghost's hellish visions , he doesn't run in terror . 	when paul d ( danny glover ) - a former slave who escaped kentucky along with sethe - arrives at the house eight years later and is confronted with the ghost's hellish visions , he doesn't run in terror .	1	-3	 when[0] paul[0] d[0] danny[0] glover[0] a[0] former[0] slave[0] who[0] escaped[0] kentucky[0] along[0] with[0] sethe[0] arrives[0] at[0] the[0] house[0] eight[0] years[0] later[0] and[0] is[0] confronted[-2] with[0] the[0] ghost's[0] hellish[-2] visions[0] he[0] doesn't[0] run[0] in[0] terror[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
instead , he asks who the ghost is . 	instead , he asks who the ghost is .	1	-1	 instead[0] he[0] asks[0] who[0] the[0] ghost[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as in morrison's novel , demme quickly establishes that the horror of the story will not come from the fact of the ghost itself , but from the terrifying past in which the ghost was created . 	as in morrison's novel , demme quickly establishes that the horror of the story will not come from the fact of the ghost itself , but from the terrifying past in which the ghost was created .	1	-4	 as[0] in[0] morrison's[0] novel[0] demme[0] quickly[0] establishes[0] that[0] the[0] horror[-3] of[0] the[0] story[0] will[0] not[0] come[0] from[0] the[0] fact[0] of[0] the[0] ghost[0] itself[0] but[0] from[0] the[0] terrifying[-3] past[0] in[0] which[0] the[0] ghost[0] was[0] created[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
sethe is the one being haunted , but the ghost in the house is the least of her fears . 	sethe is the one being haunted , but the ghost in the house is the least of her fears .	1	-3	 sethe[0] is[0] the[0] one[0] being[0] haunted[0] but[0] the[0] ghost[0] in[0] the[0] house[0] is[0] the[0] least[0] of[0] her[0] fears[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in fact , the ghost is one of the reasons she chooses to stay . 	in fact , the ghost is one of the reasons she chooses to stay .	1	-1	 in[0] fact[0] the[0] ghost[0] is[0] one[0] of[0] the[0] reasons[0] she[0] chooses[0] to[0] stay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story takes an bizarre turn with the appearance of beloved ( thandie newton ) , a young black-clad woman who appears on sethe's front lawn , leaned christ-like against a tree stump . 	the story takes an bizarre turn with the appearance of beloved ( thandie newton ) , a young black-clad woman who appears on sethe's front lawn , leaned christ-like against a tree stump .	3	-2	 the[0] story[0] takes[0] an[0] bizarre[-1] turn[0] with[0] the[0] appearance[0] of[0] beloved[2] thandie[0] newton[0] a[0] young[0] black[0] clad[0] woman[0] who[0] appears[0] on[0] sethe's[0] front[0] lawn[0] leaned[0] christ[0] like[1] against[-1] a[0] tree[0] stump[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
sethe and denver immediately take to the rasping woman and try to nurse her to health . 	sethe and denver immediately take to the rasping woman and try to nurse her to health .	1	-1	 sethe[0] and[0] denver[0] immediately[0] take[0] to[0] the[0] rasping[0] woman[0] and[0] try[0] to[0] nurse[0] her[0] to[0] health[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they know not who she is , but that doesn't matter . 	they know not who she is , but that doesn't matter .	1	-1	 they[0] know[0] not[0] who[0] she[0] is[0] but[0] that[0] doesn't[0] matter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
only paul d is suspicious of the stranger . 	only paul d is suspicious of the stranger .	1	-2	 only[0] paul[0] d[0] is[0] suspicious[-1] of[0] the[0] stranger[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
little does the family know that beloved will bring about many changes , and force sethe to release a guilt she has held onto so urgently for eighteen years . 	little does the family know that beloved will bring about many changes , and force sethe to release a guilt she has held onto so urgently for eighteen years .	3	-4	 little[0] does[0] the[0] family[0] know[0] that[0] beloved[2] will[0] bring[0] about[0] many[0] changes[0] and[0] force[-1] sethe[0] to[0] release[0] a[0] guilt[-3] she[0] has[0] held[0] onto[0] so[0] urgently[0] for[0] eighteen[0] years[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
winfrey is arguably beloved's greatest asset . 	winfrey is arguably beloved's greatest asset .	4	-2	 winfrey[0] is[0] arguably[-1] beloved's[2] greatest[2][+1 MultiplePositiveWords] asset[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
she inhabits the role of sethe so convincingly it is hard to believe this is the same woman who shines brightly on a tv talk show . 	she inhabits the role of sethe so convincingly it is hard to believe this is the same woman who shines brightly on a tv talk show .	1	-1	 she[0] inhabits[0] the[0] role[0] of[0] sethe[0] so[0] convincingly[0] it[0] is[0] hard[0] to[0] believe[0] this[0] is[0] the[0] same[0] woman[0] who[0] shines[0] brightly[0] on[0] a[0] tv[0] talk[0] show[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lisa gay hamilton does an impressive job in the emotionally demanding role as the younger sethe , whose appalling actions make her the disturbed woman we see eighteen years later . 	lisa gay hamilton does an impressive job in the emotionally demanding role as the younger sethe , whose appalling actions make her the disturbed woman we see eighteen years later .	2	-4	 lisa[0] gay[-1] hamilton[0] does[0] an[0] impressive[1] job[0] in[0] the[0] emotionally[0] demanding[0] role[0] as[0] the[0] younger[0] sethe[0] whose[0] appalling[-3] actions[0] make[0] her[0] the[0] disturbed[-1] woman[0] we[0] see[0] eighteen[0] years[0] later[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
danny glover is affable as the sympathetic paul d , as is kimberly elise as denver , sethe's wanderlusting daughter . 	danny glover is affable as the sympathetic paul d , as is kimberly elise as denver , sethe's wanderlusting daughter .	3	-1	 danny[0] glover[0] is[0] affable[2] as[0] the[0] sympathetic[0] paul[0] d[0] as[0] is[0] kimberly[0] elise[0] as[0] denver[0] sethe's[0] wanderlusting[0] daughter[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as sethe's sage-like mother-in-law old baby suggs , beah richards authoritatively commands every scene in which she appears . 	as sethe's sage-like mother-in-law old baby suggs , beah richards authoritatively commands every scene in which she appears .	2	-2	 as[0] sethe's[0] sage[-1] like[1] mother[0] in[0] law[0] old[0] baby[1] suggs[0] beah[0] richards[0] authoritatively[0] commands[0] every[0] scene[0] in[0] which[0] she[0] appears[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film's least palatable choice of casting is unfortunately that of the role of beloved herself . 	the film's least palatable choice of casting is unfortunately that of the role of beloved herself .	3	-2	 the[0] film's[0] least[0] palatable[1] choice[0] of[0] casting[0] is[0] unfortunately[-1] that[0] of[0] the[0] role[0] of[0] beloved[2] herself[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
thandie newton plays the glassy-eyed girl with a demented fervor which is endearing at first , but which becomes off-putting and unintentionally laughable by the end . 	thandie newton plays the glassy-eyed girl with a demented fervor which is endearing at first , but which becomes off-putting and unintentionally laughable by the end .	2	-2	 thandie[0] newton[0] plays[1] the[0] glassy[0] eyed[0] girl[0] with[0] a[0] demented[0] fervor[0] which[0] is[0] endearing[0] at[0] first[0] but[0] which[0] becomes[0] off[0] putting[0] and[0] unintentionally[0] laughable[-1] by[0] the[0] end[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
departing from the honed aesthetic he used in such films as _the silence of the lambs_ and _melvin & howard_ , director demme has used a bit of dramatic overstatement to get across the vivid descriptions in morrison's novel . 	departing from the honed aesthetic he used in such films as _the silence of the lambs_ and _melvin & howard_ , director demme has used a bit of dramatic overstatement to get across the vivid descriptions in morrison's novel .	1	-1	 departing[0] from[0] the[0] honed[0] aesthetic[0] he[0] used[0] in[0] such[0] films[0] as[0] _the[0] silence[0] of[0] the[0] lambs_[0] and[0] _melvin[0] &[0] howard_[0] director[0] demme[0] has[0] used[0] a[0] bit[0] of[0] dramatic[0] overstatement[0] to[0] get[0] across[0] the[0] vivid[0] descriptions[0] in[0] morrison's[0] novel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
totemic camera shots and color-saturated scenery are decidedly uncommon in demme's films , but the few he uses here work to the film's benefit . 	totemic camera shots and color-saturated scenery are decidedly uncommon in demme's films , but the few he uses here work to the film's benefit .	1	-1	 totemic[0] camera[0] shots[0] and[0] color[0] saturated[0] scenery[0] are[0] decidedly[0] uncommon[0] in[0] demme's[0] films[0] but[0] the[0] few[0] he[0] uses[0] here[0] work[0] to[0] the[0] film's[0] benefit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
_beloved_'s most memorable scenes are those of baby suggs' gatherings in a forest clearing , where the bright yellow-greens of nature entrance the viewer as much as suggs' words do . 	_beloved_'s most memorable scenes are those of baby suggs' gatherings in a forest clearing , where the bright yellow-greens of nature entrance the viewer as much as suggs' words do .	2	-1	 _beloved_'s[0] most[0] memorable[0] scenes[0] are[0] those[0] of[0] baby[1] suggs'[0] gatherings[0] in[0] a[0] forest[0] clearing[0] where[0] the[0] bright[0] yellow[0] greens[0] of[0] nature[0] entrance[0] the[0] viewer[0] as[0] much[0] as[0] suggs'[0] words[0] do[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for the most part , though , demme maintains his trademark directorial neutrality . 	for the most part , though , demme maintains his trademark directorial neutrality .	1	-1	 for[0] the[0] most[0] part[0] though[0] demme[0] maintains[0] his[0] trademark[0] directorial[0] neutrality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this , combined with morrison's equally frugal method of storytelling , may make _beloved_ somewhat of a challenge to watch , even to those familiar with the book . 	this , combined with morrison's equally frugal method of storytelling , may make _beloved_ somewhat of a challenge to watch , even to those familiar with the book .	1	-2	 this[0] combined[0] with[0] morrison's[0] equally[0] frugal[0] method[0] of[0] storytelling[0] may[0] make[0] _beloved_[0] somewhat[0] of[0] a[0] challenge[-1] to[0] watch[0] even[0] to[0] those[0] familiar[0] with[0] the[0] book[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
though the film compliments the book extraordinarily well , it falls short in allowing the sort of accessibility one usually expects from a film . 	though the film compliments the book extraordinarily well , it falls short in allowing the sort of accessibility one usually expects from a film .	2	-1	 though[0] the[0] film[0] compliments[1] the[0] book[0] extraordinarily[0] well[0] it[0] falls[0] short[0] in[0] allowing[0] the[0] sort[0] of[0] accessibility[0] one[0] usually[0] expects[0] from[0] a[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
nothing is spoon-fed to the viewer . 	nothing is spoon-fed to the viewer .	1	-1	 nothing[0] is[0] spoon[0] fed[0] to[0] the[0] viewer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
morrison's novel is just as enigmatic , but unlike a movie , a book can be put down to allow the various undercurrents and themes to churn and absorb . 	morrison's novel is just as enigmatic , but unlike a movie , a book can be put down to allow the various undercurrents and themes to churn and absorb .	1	-1	 morrison's[0] novel[0] is[0] just[0] as[0] enigmatic[0] but[0] unlike[0] a[0] movie[0] a[0] book[0] can[0] be[0] put[0] down[0] to[0] allow[0] the[0] various[0] undercurrents[0] and[0] themes[0] to[0] churn[0] and[0] absorb[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie begins like _poltergeist_ , and ends like _the color purple_ , with shades of _the scarlet letter_ and _little women_ somewhere in the middle . 	the movie begins like _poltergeist_ , and ends like _the color purple_ , with shades of _the scarlet letter_ and _little women_ somewhere in the middle .	2	-1	 the[0] movie[0] begins[0] like[1] _poltergeist_[0] and[0] ends[0] like[1] _the[0] color[0] purple_[0] with[0] shades[0] of[0] _the[0] scarlet[0] letter_[0] and[0] _little[0] women_[0] somewhere[0] in[0] the[0] middle[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
taken as a whole , beloved is a disquieting , one-of-a-kind experience , one to be viewed with guards down and spirits in abeyance . 	taken as a whole , beloved is a disquieting , one-of-a-kind experience , one to be viewed with guards down and spirits in abeyance .	3	-1	 taken[0] as[0] a[0] whole[0] beloved[2] is[0] a[0] disquieting[0] one[0] of[0] a[0] kind[1] experience[0] one[0] to[0] be[0] viewed[0] with[0] guards[0] down[0] and[0] spirits[0] in[0] abeyance[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
