it must be tough to be a mob boss . 	Translation	Positive	Negative	EmotionRationale
ramis has a knack for drawing laughs because he simply knows what's funny , and here he manages to accentuate the strengths of nearly all the actors . 	ramis has a knack for drawing laughs because he simply knows what's funny , and here he manages to accentuate the strengths of nearly all the actors .	2	-1	 ramis[0] has[0] a[0] knack[0] for[0] drawing[0] laughs[1] because[0] he[0] simply[0] knows[0] what's[0] funny[1] and[0] here[0] he[0] manages[0] to[0] accentuate[0] the[0] strengths[0] of[0] nearly[0] all[0] the[0] actors[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the only character who weakens the payoff is crystal's bride-to-be ( lisa kudrow ) . 	the only character who weakens the payoff is crystal's bride-to-be ( lisa kudrow ) .	1	-2	 the[0] only[0] character[0] who[0] weakens[-1] the[0] payoff[0] is[0] crystal's[0] bride[0] to[0] be[0] lisa[0] kudrow[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
playing the same dumbed-down role as she does in friends , kudrow is amusing , but doesn't fit into this comedy mold as well as the director may have hoped . 	playing the same dumbed-down role as she does in friends , kudrow is amusing , but doesn't fit into this comedy mold as well as the director may have hoped .	2	-2	 playing[1] the[0] same[0] dumbed[-1] down[0] role[0] as[0] she[0] does[0] in[0] friends[1] kudrow[0] is[0] amusing[1] but[0] doesn't[0] fit[0] into[0] this[0] comedy[0] mold[0] as[0] well[0] as[0] the[0] director[0] may[0] have[0] hoped[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the supporting cast sparkles . 	the supporting cast sparkles .	2	-1	 the[0] supporting[1] cast[0] sparkles[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
joe viterelli is hilarious as jelly , vitti's pea brained right-hand man , and chazz palminteri is a show stopper playing a fellow mobster who's in desperate need of the definition of  closure' . 	joe viterelli is hilarious as jelly , vitti's pea brained right-hand man , and chaz palminteri is a show stopper playing a fellow mobster who's in desperate need of the definition of  closure' .	3	-3	 joe[0] viterelli[0] is[0] hilarious[2] as[0] jelly[0] vitti's[0] pea[0] brained[0] right[0] hand[0] man[0] and[0] chazz/chaz[0] palminteri[0] is[0] a[0] show[0] stopper[0] playing[1] a[0] fellow[0] mobster[0] who's[0] in[0] desperate[-2] need[0] of[0] the[0] definition[0] of[0] closure'[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the movie manages to maintain consistent chuckles throughout , putting the emphasis on 3 or 4 really big laughs that will have audiences grasping their sides . 	the movie manages to maintain consistent chuckles throughout , putting the emphasis on 3 or 4 really big laughs that will have audiences grasping their sides .	3	-1	 the[0] movie[0] manages[0] to[0] maintain[0] consistent[0] chuckles[2] throughout[0] putting[0] the[0] emphasis[0] on[0] 3[0] or[0] 4[0] really[0] big[0] laughs[1] that[0] will[0] have[0] audiences[0] grasping[0] their[0] sides[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the situation is just too cute to resist . 	the situation is just too cute to resist .	2	-1	 the[0] situation[0] is[0] just[0] too[0] cute[1] to[0] resist[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's unfortunate that the language gets somewhat out of hand . 	it's unfortunate that the language gets somewhat out of hand .	1	-2	 it's[0] unfortunate[-1] that[0] the[0] language[0] gets[0] somewhat[0] out[0] of[0] hand[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but hey , if you're in the mafia , using obscenities probably comes naturally . 	but hey , if you're in the mafia , using obscenities probably comes naturally .	2	-1	 but[0] hey[1] if[0] you're[0] in[0] the[0] mafia[0] using[0] obscenities[0] probably[0] comes[0] naturally[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and near the end , seeing billy crystal attempt to walk and talk like a mob boss is truly a special treat . 	and near the end , seeing billy crystal attempt to walk and talk like a mob boss is truly a special treat .	2	-1	 and[0] near[0] the[0] end[0] seeing[0] billy[0] crystal[0] attempt[0] to[0] walk[0] and[0] talk[0] like[1] a[0] mob[0] boss[0] is[0] truly[1] a[0] special[1] treat[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
