 " well this is not mission : difficult , mr . hunt , it's mission : impossible . 	Translation	Positive	Negative	EmotionRationale
that problem has been rectified in the sequel by making the plot more accessible ( courtesy of one of the writers of the previous entry , robert towne ) and by turning the film into one gigantic action set piece under the steady hand of action film guru john woo . 	that problem has been rectified in the sequel by making the plot more accessible ( courtesy of one of the writers of the previous entry , robert towne ) and by turning the film into one gigantic action set piece under the steady hand of action film guru john woo .	1	-2	 that[0] problem[-1] has[0] been[0] rectified[0] in[0] the[0] sequel[0] by[0] making[0] the[0] plot[0] more[0] accessible[0] courtesy[0] of[0] one[0] of[0] the[0] writers[0] of[0] the[0] previous[0] entry[0] robert[0] towne[0] and[0] by[0] turning[0] the[0] film[0] into[0] one[0] gigantic[0] action[0] set[0] piece[0] under[0] the[0] steady[0] hand[0] of[0] action[0] film[0] guru[0] john[0] woo[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the end result is one of the most entertaining ( yet simple ) action films made in a long while . 	the end result is one of the most entertaining ( yet simple ) action films made in a long while .	1	-1	 the[0] end[0] result[0] is[0] one[0] of[0] the[0] most[0] entertaining[0] yet[0] simple[0] action[0] films[0] made[0] in[0] a[0] long[0] while[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , the first forty minutes or so are relatively slow , dwelling mainly on ethan and nyah's quickly blossoming romance and seeming more in place in a james bond film than with the less glamorous mission : impossible tv series . 	unfortunately , the first forty minutes or so are relatively slow , dwelling mainly on ethan and nyah's quickly blossoming romance and seeming more in place in a james bond film than with the less glamorous mission : impossible tv series .	4	-2	 unfortunately[-1] the[0] first[0] forty[0] minutes[0] or[0] so[0] are[0] relatively[0] slow[0] dwelling[0] mainly[0] on[0] ethan[0] and[0] nyah's[0] quickly[0] blossoming[0] romance[3] and[0] seeming[0] more[0] in[0] place[0] in[0] a[0] james[0] bond[0] film[0] than[0] with[0] the[0] less[0] glamorous[1] mission[0] impossible[0] tv[0] series[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
ethan's conflict is a compelling one , but it seems very rushed ( and comes about because of a near fatal car wreck that ethan himself causes ! ) . 	ethan's conflict is a compelling one , but it seems very rushed ( and comes about because of a near fatal car wreck that ethan himself causes !<br> ) .	1	-3	 ethan's[0] conflict[-1] is[0] a[0] compelling[0] one[0] but[0] it[0] seems[0] very[0] rushed[0] and[0] comes[0] about[0] because[0] of[0] a[0] near[0] fatal[-2] car[0] wreck[-1] that[0] ethan[0] himself[0] causes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
john woo handles all of this with an artistic flair that seems out of place , featuring a great deal of slow fades and dramatically framed close-ups . 	john woo handles all of this with an artistic flair that seems out of place , featuring a great deal of slow fades and dramatically framed close-ups .	3	-1	 john[0] woo[0] handles[0] all[0] of[0] this[0] with[0] an[0] artistic[0] flair[0] that[0] seems[0] out[0] of[0] place[0] featuring[0] a[0] great[2] deal[0] of[0] slow[0] fades[0] and[0] dramatically[0] framed[0] close[0] ups[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the surreal nature of these sequences are distracting and ultimately a detriment to the film . 	the surreal nature of these sequences are distracting and ultimately a detriment to the film .	1	-2	 the[0] surreal[0] nature[0] of[0] these[0] sequences[0] are[0] distracting[-1] and[0] ultimately[0] a[0] detriment[0] to[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
thankfully though , at the point ambrose discovers nyah's deception , mission : impossible ii becomes very entertaining and action-packed . 	thankfully though , at the point ambrose discovers nyah's deception , mission : impossible i becomes very entertaining and action-packed .	2	-2	 thankfully[1] though[0] at[0] the[0] point[0] ambrose[0] discovers[0] nyah's[0] deception[-1] mission[0] impossible[0] ii/i[0] becomes[0] very[0] entertaining[0] and[0] action[0] packed[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
robert towne's screenplay takes some of the conventions set up in the first film and parodies them during a sequence where ethan must break into a high-rise building and retrieve the remaining specimens of the virus . 	robert towne's screenplay takes some of the conventions set up in the first film and parodies them during a sequence where ethan must break into a high-rise building and retrieve the remaining specimens of the virus .	1	-1	 robert[0] towne's[0] screenplay[0] takes[0] some[0] of[0] the[0] conventions[0] set[0] up[0] in[0] the[0] first[0] film[0] and[0] parodies[0] them[0] during[0] a[0] sequence[0] where[0] ethan[0] must[0] break[0] into[0] a[0] high[0] rise[0] building[0] and[0] retrieve[0] the[0] remaining[0] specimens[0] of[0] the[0] virus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after that , the action scenes just begin to build in intensity , as is the case with many of woo's previous high-octane films . 	after that , the action scenes just begin to build in intensity , as is the case with many of woo's previous high-octane films .	1	-1	 after[0] that[0] the[0] action[0] scenes[0] just[0] begin[0] to[0] build[0] in[0] intensity[0] as[0] is[0] the[0] case[0] with[0] many[0] of[0] woo's[0] previous[0] high[0] octane[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the final half hour is an all out assault of action ( a good deal of which is ruined by the trailer , unfortunately ) . 	the final half hour is an all out assault of action ( a good deal of which is ruined by the trailer , unfortunately ) .	2	-3	 the[0] final[0] half[0] hour[0] is[0] an[0] all[0] out[0] assault[-2] of[0] action[0] a[0] good[1] deal[0] of[0] which[0] is[0] ruined[-1] by[0] the[0] trailer[0] unfortunately[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
as far as summer entertainment goes , mission : impossible ii is serviceable fare . 	as far as summer entertainment goes , mission : impossible i is serviceable fare .	1	-1	 as[0] far[0] as[0] summer[0] entertainment[0] goes[0] mission[0] impossible[0] ii/i[0] is[0] serviceable[0] fare[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anyone looking for hardcore action won't be disappointed ( except for during the first half of the film , perhaps ) . 	anyone looking for hardcore action won't be disappointed ( except for during the first half of the film , perhaps ) .	2	-1	 anyone[0] looking[0] for[0] hardcore[0] action[0] won't[0] be[0] disappointed[-1][NegatedDueToPreviousWord] except[0] for[0] during[0] the[0] first[0] half[0] of[0] the[0] film[0] perhaps[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even if you weren't a fan of the first film , this entry deserves some checking out . 	even if you weren't a fan of the first film , this entry deserves some checking out .	1	-1	 even[0] if[0] you[0] weren't[0] a[0] fan[0] of[0] the[0] first[0] film[0] this[0] entry[0] deserves[0] some[0] checking[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
[pg-13] 	[pg-13]	1	-1	 [pg[0] -13][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
