for the first reel of girls town , you just can't get over lili taylor . 	Translation	Positive	Negative	EmotionRationale
we fight for 20 minutes . " 	we fight for 20 minutes .<br> "	1	-3	 we[0] fight[-2] for[0] 20[0] minutes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's the admirable crux of this picture . 	there's the admirable crux of this picture .	3	-1	 there's[0] the[0] admirable[2] crux[0] of[0] this[0] picture[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
girls town is a political film , in that it calls for action . 	girls town is a political film , in that it calls for action .	1	-1	 girls[0] town[0] is[0] a[0] political[0] film[0] in[0] that[0] it[0] calls[0] for[0] action[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but it's incomplete-it's never quite sure how to justify that action , or what form it should take . 	but it's incomplete-it's never quite sure how to justify that action , or what form it should take .	1	-1	 but[0] it's[0] incomplete[0] it's[0] never[0] quite[0] sure[0] how[0] to[0] justify[0] that[0] action[0] or[0] what[0] form[0] it[0] should[0] take[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the trio become crusaders for their right to dignity , and it's surely one of this year's most stirring movie moments when emma lobs a concrete block through the passenger-side window of that damn jock's car ( doing the right thing ? ) . 	the trio become crusaders for their right to dignity , and it's surely one of this year's most stirring movie moments when emma lobs a concrete block through the passenger-side window of that damn jock's car ( doing the right thing ?<br> ) .	2	-2	 the[0] trio[0] become[0] crusaders[0] for[0] their[0] right[0] to[0] dignity[1] and[0] it's[0] surely[0] one[0] of[0] this[0] year's[0] most[0] stirring[0] movie[0] moments[0] when[0] emma[0] lobs[0] a[0] concrete[0] block[-1] through[0] the[0] passenger[0] side[0] window[0] of[0] that[0] damn[-1] jock's[0] car[0] doing[0] the[0] right[0] thing[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they hang out in the bathroom , chatting incessantly and scrawling slogans and naming names on the door to a toilet stall . 	they hang out in the bathroom , chatting incessantly and scrawling slogans and naming names on the door to a toilet stall .	1	-2	 they[0] hang[-1] out[0] in[0] the[0] bathroom[0] chatting[0] incessantly[0] and[0] scrawling[0] slogans[0] and[0] naming[0] names[0] on[0] the[0] door[0] to[0] a[0] toilet[0] stall[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " subvert the patriarchy , " emma writes , and then starts a hall of shame list underneath that other students begin to contribute to . 	 " subvert the patriarchy , " emma writes , and then starts a hall of shame list underneath that other students begin to contribute to .	1	-3	 subvert[-1] the[0] patriarchy[0] emma[0] writes[0] and[0] then[0] starts[0] a[0] hall[0] of[0] shame[-2] list[0] underneath[0] that[0] other[0] students[0] begin[0] to[0] contribute[0] to[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the girls silence their hecklers , take revenge on the deadbeat father of patti's child , and eventually come face-to-face with nikki's tormentor . 	the girls silence their hecklers , take revenge on the deadbeat father of patti's child , and eventually come face-to-face with niki's tormentor .	1	-2	 the[0] girls[0] silence[0] their[0] hecklers[0] take[0] revenge[-1] on[0] the[0] deadbeat[0] father[0] of[0] patti's[0] child[0] and[0] eventually[0] come[0] face[0] to[0] face[0] with[0] nikki's/niki's[0] tormentor[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
still , the movie has a desperately unfinished quality , and none of these subsequent exploits is particularly satisfying . 	still , the movie has a desperately unfinished quality , and none of these subsequent exploits is particularly satisfying .	2	-3	 still[0] the[0] movie[0] has[0] a[0] desperately[-2] unfinished[0] quality[0] and[0] none[0] of[0] these[0] subsequent[0] exploits[0] is[0] particularly[0] satisfying[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 ( you keep waiting for someone to call the cops on these brazen girls , but nobody thinks of it . ) 	 ( you keep waiting for someone to call the cops on these brazen girls , but nobody thinks of it .<br> )	1	-2	 you[0] keep[0] waiting[0] for[0] someone[0] to[0] call[0] the[0] cops[0] on[0] these[0] brazen[-1] girls[0] but[0] nobody[0] thinks[0] of[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
perhaps searching for a resolution missing from the material at hand , the film borrows its epigraphs from audre lorde and queen latifah ( " who you callin' a bitch ? " ) . 	perhaps searching for a resolution missing from the material at hand , the film borrows its epigraphs from audre lorde and queen latifah ( " who you callin' a bitch ?<br> " ) .	1	-2	 perhaps[0] searching[0] for[0] a[0] resolution[0] missing[0] from[0] the[0] material[0] at[0] hand[0] the[0] film[0] borrows[0] its[0] epigraphs[0] from[0] audre[0] lorde[0] and[0] queen[0] latifah[0] who[0] you[0] callin'[0] a[0] bitch[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the points are well taken , but they should have been unnecessary . 	the points are well taken , but they should have been unnecessary .	1	-2	 the[0] points[0] are[0] well[0] taken[0] but[0] they[0] should[0] have[0] been[0] unnecessary[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
long on characterization but a little short on story , girls town is less than it could have been , and too self-congratulatory for my own taste . 	long on characterization but a little short on story , girls town is less than it could have been , and too self-congratulatory for my own taste .	2	-1	 long[0] on[0] characterization[0] but[0] a[0] little[0] short[0] on[0] story[0] girls[0] town[0] is[0] less[0] than[0] it[0] could[0] have[0] been[0] and[0] too[0] self[0] congratulatory[1] for[0] my[0] own[0] taste[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
director jim mckay is best known as a consort of r . e . m . 's 	director jim mckay is best known as a consort of are .<br> e .<br> m .<br> 's	2	-1	 director[0] jim[0] mckay[0] is[0] best[1] known[0] as[0] a[0] consort[0] of[0] r[0] [[Sentence=-1,2=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]] m[0] [[Sentence=-1,1=word max, 1-5]] 's[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
michael stipe ( he directed the nearly unwatchable tourfilm for that band ) , and girls town is his first foray into feature filmmaking . 	michael stipe ( he directed the nearly unwatchable tourfilm for that band ) , and girls town is his first foray into feature filmmaking .	1	-1	 michael[0] stipe[0] he[0] directed[0] the[0] nearly[0] unwatchable[0] tourfilm[0] for[0] that[0] band[0] and[0] girls[0] town[0] is[0] his[0] first[0] foray[0] into[0] feature[0] filmmaking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie was created and scripted by committee , but mckay and his lead performers had to shoot on a shoestring when , predictably , the group couldn't secure funding . 	the movie was created and scripted by committee , but mckay and his lead performers had to shoot on a shoestring when , predictably , the group couldn't secure funding .	1	-2	 the[0] movie[0] was[0] created[0] and[0] scripted[0] by[0] committee[0] but[0] mckay[0] and[0] his[0] lead[0] performers[0] had[0] to[0] shoot[-1] on[0] a[0] shoestring[0] when[0] predictably[0] the[0] group[0] couldn't[0] secure[1][NegatedDueToPreviousWord] funding[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
then again , girls town on a budget would hardly be the same film . 	then again , girls town on a budget would hardly be the same film .	1	-1	 then[0] again[0] girls[0] town[0] on[0] a[0] budget[0] would[0] hardly[0] be[0] the[0] same[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie's slapdash quality is key to its significance . 	the movie's slapdash quality is key to its significance .	1	-2	 the[0] movie's[0] slapdash[-1] quality[0] is[0] key[0] to[0] its[0] significance[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
truth be told , all three of the leads look too wise for high school , but that's ok -- there's a once-removed quality to their fine , spontaneous performances , as the women take a very skillful look back at the girls they once were , the girls they wish they had been , or some combination . 	truth be told , all three of the leads look too wise for high school , but that's ok - there's a once-removed quality to their fine , spontaneous performances , as the women take a very skillful look back at the girls they once were , the girls they wish they had been , or some combination .	3	-1	 truth[1] be[0] told[0] all[0] three[0] of[0] the[0] leads[0] look[0] too[0] wise[0] for[0] high[0] school[0] but[0] that's[0] ok[0] there's[0] a[0] once[0] removed[0] quality[0] to[0] their[0] fine[2] spontaneous[0] performances[0] as[0] the[0] women[0] take[0] a[0] very[0] skillful[1][1 LastWordBoosterStrength] look[0] back[0] at[0] the[0] girls[0] they[0] once[0] were[0] the[0] girls[0] they[0] wish[0] they[0] had[0] been[0] or[0] some[0] combination[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
for all its flaws , this one gets extra points for having its uncertain head and heart in the same noble place . 	for all its flaws , this one gets extra points for having its uncertain head and heart in the same noble place .	1	-1	 for[0] all[0] its[0] flaws[0] this[0] one[0] gets[0] extra[0] points[0] for[0] having[0] its[0] uncertain[0] head[0] and[0] heart[0] in[0] the[0] same[0] noble[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
