i'm not quite sure what to say about mars attacks ! , which is obviously the work of a deranged genius . 	Translation	Positive	Negative	EmotionRationale
cinematographer peter suschitzky , who makes the most of wynn thomas's wildly imaginative production design ( thomas helped define the spike lee style ) , actually took time off from his mars attacks ! 	cinematographer peter suschitzky , who makes the most of wyn thomas's wildly imaginative production design ( thomas helped define the spike lee style ) , actually took time off from his mars attacks !	2	-3	 cinematographer[0] peter[0] suschitzky[0] who[0] makes[0] the[0] most[0] of[0] wynn/wyn[0] thomas's[0] wildly[0] imaginative[1] production[0] design[0] thomas[0] helped[0] define[0] the[0] spike[0] lee[0] style[0] actually[0] took[0] time[0] off[0] from[0] his[0] mars[0] attacks[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
regimen to shoot crash for david cronenberg . 	regimen to shoot crash for david cronenberg .	1	-2	 regimen[0] to[0] shoot[-1] crash[0] for[0] david[0] cronenberg[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cronenberg's movie will almost certainly be more somber -- it won't be released in the u . s . until early next year -- but mars attacks ! 	cronenberg's movie will almost certainly be more somber - it won't be released in the you .<br> s .<br> until early next year - but mars attacks !	1	-3	 cronenberg's[0] movie[0] will[0] almost[0] certainly[0] be[0] more[0] somber[-1] it[0] won't[0] be[0] released[0] in[0] the[0] u[0] [[Sentence=-2,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] until[0] early[0] next[0] year[0] but[0] mars[0] attacks[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
is surely a similarly elegant nightmare . 	is surely a similarly elegant nightmare .	2	-3	 is[0] surely[0] a[0] similarly[0] elegant[1] nightmare[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this is not a nice movie . 	this is not a nice movie .	1	-2	 this[0] is[0] not[0] a[0] nice[1][NegatedDueToPreviousWord] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( and which studio executive was duped into giving burton  70 million to make it ? ) 	 ( and which studio executive was duped into giving burton  70 million to make it ?<br> )	1	-1	 and[0] which[0] studio[0] executive[0] was[0] duped[0] into[0] giving[0] burton[0] 70[0] million[0] to[0] make[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by setting the film's final scenes in the nearly empty , holocaust-ravaged america that independence day conveniently avoided , burton's invasion epic suggests that the world we've got may not be worth saving until many of the people on it are dead . 	by setting the film's final scenes in the nearly empty , holocaust-ravaged america that independence day conveniently avoided , burton's invasion epic suggests that the world we've got may not be worth saving until many of the people on it are dead .	1	-3	 by[0] setting[0] the[0] film's[0] final[0] scenes[0] in[0] the[0] nearly[0] empty[0] holocaust[0] ravaged[-1] america[0] that[0] independence[0] day[0] conveniently[0] avoided[-1] burton's[0] invasion[0] epic[0] suggests[0] that[0] the[0] world[0] we've[0] got[0] may[0] not[0] be[0] worth[0] saving[0] until[0] many[0] of[0] the[0] people[0] on[0] it[0] are[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the victims of his invasion are naive , greedy , or disastrously self-absorbed -- and a good thing , too , since the movie's wicked charm is dependent on our ability to take this invasion partly as a wish-fulfillment fantasy . 	the victims of his invasion are naive , greedy , or disastrously self-absorbed - and a good thing , too , since the movie's wicked charm is dependent on our ability to take this invasion partly as a wish-fulfilment fantasy .	3	-4	 the[0] victims[-2] of[0] his[0] invasion[0] are[0] naive[-1] greedy[-2] or[0] disastrously[-3] self[0] absorbed[0] and[0] a[0] good[1] thing[0] too[0] since[0] the[0] movie's[0] wicked[2] charm[1] is[0] dependent[-1] on[0] our[0] ability[0] to[0] take[0] this[0] invasion[0] partly[0] as[0] a[0] wish[0] fulfillment/fulfilment[0] fantasy[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the surviving cast members are the innocents and the entertainers , who triumph by determining that the alien invaders -- the ultimate elitists -- are actually susceptible to the kitschiest strains of american pop culture . 	the surviving cast members are the innocents and the entertainers , who triumph by determining that the alien invaders - the ultimate elitists - are actually susceptible to the kitschiest strains of american pop culture .	3	-2	 the[0] surviving[0] cast[0] members[0] are[0] the[0] innocents[1] and[0] the[0] entertainers[0] who[0] triumph[2] by[0] determining[0] that[0] the[0] alien[-1] invaders[-1] the[0] ultimate[0] elitists[0] are[0] actually[0] susceptible[-1] to[0] the[0] kitschiest[0] strains[-1] of[0] american[0] pop[0] culture[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
ultimately , this messy masterpiece is the year's funniest comedy and a weird , winking affirmation of the power of the people . 	ultimately , this messy masterpiece is the year's funniest comedy and a weird , winking affirmation of the power of the people .	2	-2	 ultimately[0] this[0] messy[0] masterpiece[0] is[0] the[0] year's[0] funniest[1] comedy[0] and[0] a[0] weird[-1] winking[0] affirmation[0] of[0] the[0] power[0] of[0] the[0] people[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
