this movie was one of the first american films done by director paul verhoeven . 	Translation	Positive	Negative	EmotionRationale
the effects are still decent though . 	the effects are still decent though .	1	-1	 the[0] effects[0] are[0] still[0] decent[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this sequel isn't more of the same really , just a darker version robocop dealing more with drugs than with armed criminals . 	this sequel isn't more of the same really , just a darker version robocop dealing more with drugs than with armed criminals .	1	-2	 this[0] sequel[0] isn't[0] more[0] of[0] the[0] same[0] really[0] just[0] a[0] darker[0] version[0] robocop[0] dealing[0] more[0] with[0] drugs[0] than[0] with[0] armed[0] criminals[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you liked the first one , watch this . 	if you liked the first one , watch this .	3	-1	 if[0] you[0] liked[2] the[0] first[0] one[0] watch[0] this[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but be dissapointed . 	but be dissapointed .	1	-1	 but[0] be[0] dissapointed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so later comes . . . 	so later comes .<br> .<br> .	1	-1	 so[0] later[0] comes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
robocop 3 starring nancy allen and robert john burke 	robocop 3 starring nancy allen and robert john burke	1	-1	 robocop[0] 3[0] starring[0] nancy[0] allen[0] and[0] robert[0] john[0] burke[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ocp is now owned by a large japanese company . 	ocp is now owned by a large japanese company .	1	-1	 ocp[0] is[0] now[0] owned[0] by[0] a[0] large[0] japanese[0] company[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
robocop joins a band of rebels to counter-attack the evil empire , i mean ocp . 	robocop joins a band of rebels to counter-attack the evil empire , i mean ocp .	1	-3	 robocop[0] joins[0] a[0] band[0] of[0] rebels[-1] to[0] counter[0] attack[-2] the[0] evil[-2] empire[0] i[0] mean[0] ocp[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the japanese send a cyborg-ninja to deal with robocop . 	the japanese send a cyborg-ninja to deal with robocop .	1	-1	 the[0] japanese[0] send[0] a[0] cyborg[0] ninja[0] to[0] deal[0] with[0] robocop[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
among other things . . . 	among other things .<br> .<br> .	1	-1	 among[0] other[0] things[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this movie is easier to follow than the last one . 	this movie is easier to follow than the last one .	1	-1	 this[0] movie[0] is[0] easier[0] to[0] follow[0] than[0] the[0] last[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
which means the plot isn't quite as crowded . 	which means the plot isn't quite as crowded .	1	-1	 which[0] means[0] the[0] plot[0] isn't[0] quite[0] as[0] crowded[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this movie isn't anything special though . 	this movie isn't anything special though .	1	-2	 this[0] movie[0] isn't[0] anything[0] special[1][NegatedDueToPreviousWord] though[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
just more of robocop blasting things up in a more kid-friendly way . 	just more of robocop blasting things up in a more kid-friendly way .	2	-1	 just[0] more[0] of[0] robocop[0] blasting[0] things[0] up[0] in[0] a[0] more[0] kid[0] friendly[1] way[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
really not reccomended . 	really not reccomended .	1	-1	 really[0] not[0] reccomended[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
