andrew lloyd webber's musicals , preferably his early work with lyricist tim rice , present a musical which is totally unlike any musical before its time . 	Translation	Positive	Negative	EmotionRationale
this is why the beginning of " evita " is kind of a let-down . 	this is why the beginning of " evita " is kind of a let-down .	2	-1	 this[0] is[0] why[0] the[0] beginning[0] of[0] evita[0] is[0] kind[1] of[0] a[0] let[0] down[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
okay , it is a let-down . 	okay , it is a let-down .	1	-1	 okay[0] it[0] is[0] a[0] let[0] down[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm not saying the opening moments are bad , because they're pretty good . 	i'm not saying the opening moments are bad , because they're pretty good .	3	-2	 i'm[0] not[0] saying[0] the[0] opening[0] moments[0] are[0] bad[-1] because[0] they're[0] pretty[2] good[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but what comes after is a lifeless , un-entertaining , and totally unrewarding sequence where she cons a singer ( jimmy nail ) into taking eva to buenos aires after a one-night stand . 	but what comes after is a lifeless , un-entertaining , and totally unrewarding sequence where she cons a singer ( jimmy nail ) into taking eva to buenos aires after a one-night stand .	1	-2	 but[0] what[0] comes[0] after[0] is[0] a[0] lifeless[-1] un[0] entertaining[0] and[0] totally[0] unrewarding[0] sequence[0] where[0] she[0] cons[0] a[0] singer[0] jimmy[0] nail[0] into[0] taking[0] eva[0] to[0] buenos[0] aires[0] after[0] a[0] one[0] night[0] stand[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the musical , it's a fun , energetic sequence , culiminating in the show stopper , " buenos aires , " which is also lifeless . 	in the musical , it's a fun , energetic sequence , culiminating in the show stopper , " buenos aires , " which is also lifeless .	2	-2	 in[0] the[0] musical[0] it's[0] a[0] fun[1] energetic[0] sequence[0] culiminating[0] in[0] the[0] show[0] stopper[0] buenos[0] aires[0] which[0] is[0] also[0] lifeless[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
then a punch is pulled as we see eva being screwed over by the singer , instead of her leaving him , where she ends up singing the sad tune , " another suitcase in another hall , " which was meant for a later character , screwed over by eva . 	then a punch is pulled as we see eva being screwed over by the singer , instead of her leaving him , where she ends up singing the sad tune , " another suitcase in another hall , " which was meant for a later character , screwed over by eva .	1	-4	 then[0] a[0] punch[-1] is[0] pulled[0] as[0] we[0] see[0] eva[0] being[0] screwed[0] over[0] by[0] the[0] singer[0] instead[0] of[0] her[0] leaving[0] him[0] where[0] she[0] ends[0] up[0] singing[0] the[0] sad[-3] tune[0] another[0] suitcase[0] in[0] another[0] hall[0] which[0] was[0] meant[0] for[0] a[0] later[0] character[0] screwed[0] over[0] by[0] eva[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the portrayal of eva in the beginning is too soft , seeming like parker and oliver stone , who adapted it for the screen , are afraid to present her for what she is , even while it's being narrated by a hater of eva's , the omnipotent ( antonio banderas ) , who presents her in a negative light . 	the portrayal of eva in the beginning is too soft , seeming like parker and oliver stone , who adapted it for the screen , are afraid to present her for what she is , even while it's being narrated by a hater of eva's , the omnipotent ( antonio banderas ) , who presents her in a negative light .	2	-4	 the[0] portrayal[0] of[0] eva[0] in[0] the[0] beginning[0] is[0] too[0] soft[0] seeming[0] like[1] parker[0] and[0] oliver[0] stone[0] who[0] adapted[0] it[0] for[0] the[0] screen[0] are[0] afraid[-3] to[0] present[0] her[0] for[0] what[0] she[0] is[0] even[0] while[0] it's[0] being[0] narrated[0] by[0] a[0] hater[-3] of[0] eva's[0] the[0] omnipotent[0] antonio[0] banderas[0] who[0] presents[0] her[0] in[0] a[0] negative[-1] light[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
for a while , it looks like alan parker can't pull it off . 	for a while , it looks like alan parker can't pull it off .	2	-1	 for[0] a[0] while[0] it[0] looks[0] like[1] alan[0] parker[0] can't[0] pull[0] it[0] off[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , the film pulls itself together in a flash , and after that song is over , and the giddily nihilistic song " goodbye and thank you , " where we see eva go through a long line of lovers who help her ascend , is magnificent , darkly comical , and just gleeful . 	however , the film pulls itself together in a flash , and after that song is over , and the giddily nihilistic song " goodbye and thank you , " where we see eva go through a long line of lovers who help her ascend , is magnificent , darkly comical , and just gleeful .	4	-1	 however[0] the[0] film[0] pulls[0] itself[0] together[0] in[0] a[0] flash[0] and[0] after[0] that[0] song[0] is[0] over[0] and[0] the[0] giddily[0] nihilistic[0] song[0] goodbye[0] and[0] thank[1] you[0] where[0] we[0] see[0] eva[0] go[0] through[0] a[0] long[0] line[0] of[0] lovers[3] who[0] help[0] her[0] ascend[0] is[0] magnificent[3] darkly[0] comical[0] and[0] just[0] gleeful[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
from this point on , the film is hypnotic , satisfying , and satirical . 	from this point on , the film is hypnotic , satisfying , and satirical .	2	-1	 from[0] this[0] point[0] on[0] the[0] film[0] is[0] hypnotic[0] satisfying[1] and[0] satirical[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
no more punches are thrown , and the basic outline of the original musical are in tact . 	no more punches are thrown , and the basic outline of the original musical are in tact .	1	-2	 no[0] more[0] punches[-1] are[0] thrown[0] and[0] the[0] basic[0] outline[0] of[0] the[0] original[0] musical[0] are[0] in[0] tact[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we see eva woo and marry juan , get him out of jail , rise to stardom , falter a bit , come back , and then gradually die of cancer ( i think it was because of cancer ) . 	we see eva woo and marry juan , get him out of jail , rise to stardom , falter a bit , come back , and then gradually die of cancer ( i think it was because of cancer ) .	1	-4	 we[0] see[0] eva[0] woo[0] and[0] marry[0] juan[0] get[0] him[0] out[0] of[0] jail[-1] rise[0] to[0] stardom[0] falter[-1] a[0] bit[0] come[0] back[0] and[0] then[0] gradually[0] die[0] of[0] cancer[-3] i[0] think[0] it[0] was[0] because[0] of[0] cancer[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
more importantly , many of the themes from the musical carry on with this , as well as some filling-in-the-gaps reconnassaince work . 	more importantly , many of the themes from the musical carry on with this , as well as some filling-in-the-gaps reconnassaince work .	1	-1	 more[0] importantly[0] many[0] of[0] the[0] themes[0] from[0] the[0] musical[0] carry[0] on[0] with[0] this[0] as[0] well[0] as[0] some[0] filling[0] in[0] the[0] gaps[0] reconnassaince[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
juan , who is pretty underwritten in the musical , is given some extra scenes , and exposed as what he was for eva : an accessory . 	juan , who is pretty underwritten in the musical , is given some extra scenes , and exposed as what he was for eva : an accessory .	3	-2	 juan[0] who[0] is[0] pretty[2] underwritten[0] in[0] the[0] musical[0] is[0] given[0] some[0] extra[0] scenes[0] and[0] exposed[-1] as[0] what[0] he[0] was[0] for[0] eva[0] an[0] accessory[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
a muted scene where he tries to visit her respective room but is shunned allows us to learn more about juan , and understand his sadness more than we did before . 	a muted scene where he tries to visit her respective room but is shunned allows us to learn more about juan , and understand his sadness more than we did before .	3	-4	 a[0] muted[0] scene[0] where[0] he[0] tries[0] to[0] visit[0] her[0] respective[2] room[0] but[0] is[0] shunned[-1] allows[0] us[0] to[0] learn[0] more[0] about[0] juan[0] and[0] understand[0] his[0] sadness[-3] more[0] than[0] we[0] did[0] before[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
 from the " goodbye and thank you " number on , the film shows eva trying to cover up for the horrible government by doing cheap and petty things which wooed a nation , and saved a government , even while it left the nation's people downtrodden . 	 from the " goodbye and thank you " number on , the film shows eva trying to cover up for the horrible government by doing cheap and petty things which wooed a nation , and saved a government , even while it left the nation's people downtrodden .	2	-4	 from[0] the[0] goodbye[0] and[0] thank[1] you[0] number[0] on[0] the[0] film[0] shows[0] eva[0] trying[0] to[0] cover[0] up[0] for[0] the[0] horrible[-3] government[0] by[0] doing[0] cheap[-1] and[0] petty[0] things[0] which[0] wooed[0] a[0] nation[0] and[0] saved[1] a[0] government[0] even[0] while[0] it[0] left[0] the[0] nation's[0] people[0] downtrodden[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
but despite this , the nation still loved eva , and when she slipped into death , the world mourned her because she was a star . 	but despite this , the nation still loved eva , and when she slipped into death , the world mourned her because she was a star .	4	-3	 but[0] despite[0] this[0] the[0] nation[0] still[0] loved[3] eva[0] and[0] when[0] she[0] slipped[0] into[0] death[-2] the[0] world[0] mourned[-2] her[0] because[0] she[0] was[0] a[0] star[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
that's when our narrator , ch ? , comes out to show that she wasn't the great woman she really was , and expose her fame . 	that's when our narrator , ch ?<br> , comes out to show that she wasn't the great woman she really was , and expose her fame .	3	-2	 that's[0] when[0] our[0] narrator[0] ch[0] [[Sentence=-1,1=word max, 1-5]] comes[0] out[0] to[0] show[0] that[0] she[0] wasn't[0] the[0] great[2] woman[0] she[0] really[0] was[0] and[0] expose[-1] her[0] fame[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
describing this character is difficult , mainly because he has no real realistic background ( he's said to be based on the revolutionary ch ? guevera , but the two probably could have never met , like they do in the film ) , but he serves as a perspective on eva , but even his perspective can't help us from feeling bad when eva dies a pathetic death . 	describing this character is difficult , mainly because he has no real realistic background ( he's said to be based on the revolutionary ch ?<br> guevera , but the two probably could have never met , like they do in the film ) , but he serves as a perspective on eva , but even his perspective can't help us from feeling bad when eva dies a pathetic death .	1	-4	 describing[0] this[0] character[0] is[0] difficult[-1] mainly[0] because[0] he[0] has[0] no[0] real[0] realistic[0] background[0] he's[0] said[0] to[0] be[0] based[0] on[0] the[0] revolutionary[-1] ch[0] [[Sentence=-2,1=word max, 1-5]] guevera[0] but[0] the[0] two[0] probably[0] could[0] have[0] never[0] met[0] like[1][NegatedDueToPreviousWord] they[0] do[0] in[0] the[0] film[0] but[0] he[0] serves[0] as[0] a[0] perspective[0] on[0] eva[0] but[0] even[0] his[0] perspective[0] can't[0] help[0] us[0] from[0] feeling[0] bad[-1] when[0] eva[0] dies[0] a[0] pathetic[-2] death[-2][-1 MultiplePositiveWords] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
alan parker , no stranger to bizarre musicals ( he's done " fame , " " the committments , " " bugsy malone , " and " pink floyd the wall " - the latter which is absolutely brilliant ) , nails the film , exposing everything for what it is . 	alan parker , no stranger to bizarre musicals ( he's done " fame , " " the commitments , " " bugsy malone , " and " pink floyd the wall " - the latter which is absolutely brilliant ) , nails the film , exposing everything for what it is .	3	-2	 alan[0] parker[0] no[0] stranger[0] to[0] bizarre[-1] musicals[0] he's[0] done[0] fame[0] the[0] committments/commitments[0] bugsy[0] malone[0] and[0] pink[0] floyd[0] the[0] wall[0] the[0] latter[0] which[0] is[0] absolutely[0] brilliant[1][1 LastWordBoosterStrength] nails[0] the[0] film[0] exposing[0] everything[0] for[0] what[0] it[0] is[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
we cry for evita at the end because we feel we should , by the way it is presented . 	we cry for evita at the end because we feel we should , by the way it is presented .	1	-4	 we[0] cry[-3] for[0] evita[0] at[0] the[0] end[0] because[0] we[0] feel[0] we[0] should[0] by[0] the[0] way[0] it[0] is[0] presented[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
his direction is manipulative for a reason : to show the mourning for what it is . 	his direction is manipulative for a reason : to show the mourning for what it is .	1	-3	 his[0] direction[0] is[0] manipulative[-1] for[0] a[0] reason[0] to[0] show[0] the[0] mourning[-2] for[0] what[0] it[0] is[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and there is energy throughout , with lots of bright colors , and scenes which are cinematically entertaning , as well as enriching and deep , such as the balcony scene where she sings " don't cry for me , argentina , " and her death sequence , which is poignant becuase of how sad it is . 	and there is energy throughout , with lots of bright colors , and scenes which are cinematically entertaning , as well as enriching and deep , such as the balcony scene where she sings " don't cry for me , argentina , " and her death sequence , which is poignant becuase of how sad it is .	4	-4	 and[0] there[0] is[0] energy[0] throughout[0] with[0] lots[0] of[0] bright[0] colors[0] and[0] scenes[0] which[0] are[0] cinematically[0] entertaning[0] as[0] well[0] as[0] enriching[0] and[0] deep[0] such[0] as[0] the[0] balcony[0] scene[0] where[0] she[0] sings[0] don't[0] cry[-3][NegatedDueToPreviousWord] for[0] me[0] argentina[0] and[0] her[0] death[-2] sequence[0] which[0] is[0] poignant[0] becuase[0] of[0] how[0] sad[-3] it[0] is[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
madonna's golden globe winning performance is much like the movie : starts kinda downhill then goes up quickly , remaning there for the rest of the film . 	madonna's golden globe winning performance is much like the movie : starts kinda downhill then goes up quickly , remaning there for the rest of the film .	2	-1	 madonna's[0] golden[0] globe[0] winning[1] performance[0] is[0] much[0] like[1] the[0] movie[0] starts[0] kinda[0] downhill[0] then[0] goes[0] up[0] quickly[0] remaning[0] there[0] for[0] the[0] rest[0] of[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at the beginning , she looks like she's too busy concentrating on her singing to act , but she eventually gets it right , though never really getting the presence of , say , patti lupone ( who did the role in its american premiere back in the late 70s ) . 	at the beginning , she looks like she's too busy concentrating on her singing to act , but she eventually gets it right , though never really getting the presence of , say , patti lupone ( who did the role in its american premiere back in the late 70s ) .	2	-1	 at[0] the[0] beginning[0] she[0] looks[0] like[1] she's[0] too[0] busy[0] concentrating[0] on[0] her[0] singing[0] to[0] act[0] but[0] she[0] eventually[0] gets[0] it[0] right[0] though[0] never[0] really[0] getting[0] the[0] presence[0] of[0] say[0] patti[0] lupone[0] who[0] did[0] the[0] role[0] in[0] its[0] american[0] premiere[0] back[0] in[0] the[0] late[0] 70s[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
her death , though , is brilliant . 	her death , though , is brilliant .	2	-3	 her[0] death[-2] though[0] is[0] brilliant[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
her singing could be better though . 	her singing could be better though .	1	-1	 her[0] singing[0] could[0] be[0] better[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i know she took lessons to improve her range and all , but it still sounds like she's trying to hard . 	i know she took lessons to improve her range and all , but it still sounds like she's trying to hard .	2	-1	 i[0] know[0] she[0] took[0] lessons[0] to[0] improve[1] her[0] range[0] and[0] all[0] but[0] it[0] still[0] sounds[0] like[1] she's[0] trying[0] to[0] hard[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she sounds way too soft in several places where she should be comanding ( like . . . patti 	she sounds way too soft in several places where she should be comanding ( like .<br> .<br> .<br> patti	2	-1	 she[0] sounds[0] way[0] too[0] soft[0] in[0] several[0] places[0] where[0] she[0] should[0] be[0] comanding[0] like[1] [[Sentence=-1,2=word max, 1-5]] patti[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
lupone - i heard her sing on an old " evita " cd , and you could just feel her stage presence without even seeing her ) . 	lupone - i heard her sing on an old " evita " cd , and you could just feel her stage presence without even seeing her ) .	1	-1	 lupone[0] i[0] heard[0] her[0] sing[0] on[0] an[0] old[0] evita[0] cd[0] and[0] you[0] could[0] just[0] feel[0] her[0] stage[0] presence[0] without[0] even[0] seeing[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but it's generally very good , although not up to the brilliance the role really requires . 	but it's generally very good , although not up to the brilliance the role really requires .	3	-1	 but[0] it's[0] generally[0] very[0] good[1][1 LastWordBoosterStrength] although[0] not[0] up[0] to[0] the[0] brilliance[1] the[0] role[0] really[0] requires[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
antonio banderas , who is almost like a guilty pleasure these days ( i'm one of the few people who thinks he rocks ) , is extremely comanding in his performance , presenting a lovable narrator . 	antonio banderas , who is almost like a guilty pleasure these days ( i'm one of the few people who thinks he rocks ) , is extremely comanding in his performance , presenting a lovable narrator .	3	-4	 antonio[0] banderas[0] who[0] is[0] almost[0] like[1] a[0] guilty[-3] pleasure[2] these[0] days[0] i'm[0] one[0] of[0] the[0] few[0] people[0] who[0] thinks[0] he[0] rocks[0] is[0] extremely[0] comanding[0] in[0] his[0] performance[0] presenting[0] a[0] lovable[0] narrator[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
his singing is very good , though nothing compared to the original , mandy patinkin . 	his singing is very good , though nothing compared to the original , mandy patinkin .	3	-1	 his[0] singing[0] is[0] very[0] good[1][1 LastWordBoosterStrength] though[0] nothing[0] compared[0] to[0] the[0] original[0] mandy[0] patinkin[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he does have a pretty good singing voice , and a great range . 	he does have a pretty good singing voice , and a great range .	3	-1	 he[0] does[0] have[0] a[0] pretty[2] good[1] singing[0] voice[0] and[0] a[0] great[2] range[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and jonathan pryce is pretty awesome , although very brief at times , in his role as juan , seeming to put on a poker face for his melancholy facade . 	and jonathan pryce is pretty awesome , although very brief at times , in his role as juan , seeming to put on a poker face for his melancholy facade .	4	-4	 and[0] jonathan[0] pryce[-1] is[0] pretty[2] awesome[2][+1 MultiplePositiveWords] although[0] very[0] brief[0] at[0] times[0] in[0] his[0] role[0] as[0] juan[0] seeming[0] to[0] put[0] on[0] a[0] poker[0] face[0] for[0] his[0] melancholy[-3] facade[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
although it gets off to a rocky start ( " rocky " 's polite for what it really is ) , it soon picks up and becomes a wonderully poignant musical . 	although it gets off to a rocky start ( " rocky " 's polite for what it really is ) , it soon picks up and becomes a wonderully poignant musical .	1	-1	 although[0] it[0] gets[0] off[0] to[0] a[0] rocky[0] start[0] rocky[0] 's[0] polite[0] for[0] what[0] it[0] really[0] is[0] it[0] soon[0] picks[0] up[0] and[0] becomes[0] a[0] wonderully[0] poignant[0] musical[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like the other musical released in '96 ( woody allen's " everyone says i love you " ) , it's a reminder that the hollywood musical may be dead , but it can come back every now and then for a brief performance . 	like the other musical released in '96 ( woody allen's " everyone says i love you " ) , it's a reminder that the hollywood musical may be dead , but it can come back every now and then for a brief performance .	3	-3	 like[1] the[0] other[0] musical[0] released[0] in[0] '96[0] woody[0] allen's[0] everyone[0] says[0] i[0] love[2] you[0] it's[0] a[0] reminder[0] that[0] the[0] hollywood[0] musical[0] may[0] be[0] dead[-2] but[0] it[0] can[0] come[0] back[0] every[0] now[0] and[0] then[0] for[0] a[0] brief[0] performance[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
