are you tired of all the hot new releases being gone by the time you get to the video store ? 	Translation	Positive	Negative	EmotionRationale
they show the destroyed lives , families that have been split up , and the desolation that everyone attempts to cope with . 	they show the destroyed lives , families that have been split up , and the desolation that everyone attempts to cope with .	1	-3	 they[0] show[0] the[0] destroyed[-2] lives[0] families[0] that[0] have[0] been[0] split[0] up[0] and[0] the[0] desolation[-1] that[0] everyone[0] attempts[0] to[0] cope[0] with[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is best exemplified by the group of yugoslavians henderson , his producer and flynn have befriended . 	this is best exemplified by the group of yugoslavians henderson , his producer and flyn have befriended .	2	-1	 this[0] is[0] best[1] exemplified[0] by[0] the[0] group[0] of[0] yugoslavians[0] henderson[0] his[0] producer[0] and[0] flynn/flyn[0] have[0] befriended[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the group of twenty-somethings reside in a bombed out bar without life's simplest pleasures and amenities . 	the group of twenty-somethings reside in a bombed out bar without life's simplest pleasures and amenities .	3	-2	 the[0] group[0] of[0] twenty[0] somethings[0] reside[0] in[0] a[0] bombed[-1] out[0] bar[0] without[0] life's[0] simplest[0] pleasures[2] and[0] amenities[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
one of them is an accomplished musician who spends his days playing the piano and promising to play a concert when sarajevo is declared the most dangerous place on earth . 	one of them is an accomplished musician who spends his days playing the piano and promising to play a concert when sarajevo is declared the most dangerous place on earth .	2	-2	 one[0] of[0] them[0] is[0] an[0] accomplished[1] musician[0] who[0] spends[0] his[0] days[0] playing[1] the[0] piano[0] and[0] promising[1] to[0] play[0] a[0] concert[0] when[0] sarajevo[0] is[0] declared[0] the[0] most[0] dangerous[-1] place[0] on[0] earth[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
like the rest of those deeply effected by the war , this small group tries to survive instead of trying to live . 	like the rest of those deeply effected by the war , this small group tries to survive instead of trying to live .	2	-3	 like[1] the[0] rest[0] of[0] those[0] deeply[0] effected[0] by[0] the[0] war[-2] this[0] small[0] group[0] tries[0] to[0] survive[0] instead[0] of[0] trying[0] to[0] live[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
winterbottom brilliantly intersplices scenes with actual news footage to give the film the feel of a documentary and keeps the viewer aware that many of these horrors are being carried out thousands of miles away as you sit safely in your living room . 	winterbottom brilliantly intersplices scenes with actual news footage to give the film the feel of a documentary and keeps the viewer aware that many of these horrors are being carried out thousands of miles away as you sit safely in your living room .	2	-4	 winterbottom[0] brilliantly[1] intersplices[0] scenes[0] with[0] actual[0] news[0] footage[0] to[0] give[0] the[0] film[0] the[0] feel[0] of[0] a[0] documentary[0] and[0] keeps[0] the[0] viewer[0] aware[0] that[0] many[0] of[0] these[0] horrors[-3] are[0] being[0] carried[0] out[0] thousands[0] of[0] miles[0] away[0] as[0] you[0] sit[0] safely[1] in[0] your[0] living[0] room[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the picture is also bolstered by beautiful cinematography that captures the devastation of this city that hosted the 1984 olympics . 	the picture is also bolstered by beautiful cinematography that captures the devastation of this city that hosted the 1984 olympics .	3	-5	 the[0] picture[0] is[0] also[0] bolstered[0] by[0] beautiful[2] cinematography[0] that[0] captures[-1] the[0] devastation[-4] of[0] this[0] city[0] that[0] hosted[0] the[0] 1984[0] olympics[0] [[Sentence=-5,3=word max, 1-5]][[[3,-5 max of sentences]]]
winterbottom and boyce also produce a realistic portrayal of the reporters covering the atrocities . 	winterbottom and boyce also produce a realistic portrayal of the reporters covering the atrocities .	1	-1	 winterbottom[0] and[0] boyce[0] also[0] produce[0] a[0] realistic[0] portrayal[0] of[0] the[0] reporters[0] covering[0] the[0] atrocities[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this portrayal is much more flattering to reporters than earlier wafflemovies . com 	this portrayal is much more flattering to reporters than earlier wafflemovies .<br> com	1	-1	 this[0] portrayal[0] is[0] much[0] more[0] flattering[0] to[0] reporters[0] than[0] earlier[0] wafflemovies[0] [[Sentence=-1,1=word max, 1-5]] com[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
selection mad city . 	selection mad city .	1	-2	 selection[0] mad[-1] city[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we watch them struggle to cover the horror , while trying to remain professionally detached . 	we watch them struggle to cover the horror , while trying to remain professionally detached .	1	-4	 we[0] watch[0] them[0] struggle[-1] to[0] cover[0] the[0] horror[-3] while[0] trying[0] to[0] remain[0] professionally[0] detached[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
however , they are human and question the reason behind it all , why no one cares , and how they can get out . 	however , they are human and question the reason behind it all , why no one cares , and how they can get out .	2	-1	 however[0] they[0] are[0] human[0] and[0] question[0] the[0] reason[0] behind[0] it[0] all[0] why[0] no[0] one[0] cares[1] and[0] how[0] they[0] can[0] get[0] out[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
stephen dillane is wonderful as henderson . 	stephen dillane is wonderful as henderson .	3	-1	 stephen[0] dillane[0] is[0] wonderful[2] as[0] henderson[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he portrays the character as an everyman caught in the middle of extraordinary events . 	he portrays the character as an everyman caught in the middle of extraordinary events .	1	-1	 he[0] portrays[0] the[0] character[0] as[0] an[0] everyman[0] caught[0] in[0] the[0] middle[0] of[0] extraordinary[0] events[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dillane avoids making the character overly heroic and preachy . 	dillane avoids making the character overly heroic and preachy .	3	-2	 dillane[0] avoids[-1] making[0] the[0] character[0] overly[0] heroic[2] and[0] preachy[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
henderson realizes that he cannot save the world , but he can help a few . 	henderson realizes that he cannot save the world , but he can help a few .	1	-2	 henderson[0] realizes[0] that[0] he[0] cannot[0] save[1][NegatedDueToPreviousWord] the[0] world[0] but[0] he[0] can[0] help[0] a[0] few[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is a wonderful opportunity for dillane after he had to suffer through the denis leary-sandra bullock disaster two if by sea . 	it is a wonderful opportunity for dillane after he had to suffer through the denis leary-sandra bullock disaster two if by sea .	3	-4	 it[0] is[0] a[0] wonderful[2] opportunity[0] for[0] dillane[0] after[0] he[0] had[0] to[0] suffer[-3] through[0] the[0] denis[0] leary[0] sandra[0] bullock[0] disaster[-1] two[0] if[0] by[0] sea[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
woody harrelson continues to prove that he is one of the finest , most versatile actors of his generation . 	woody harrelson continues to prove that he is one of the finest , most versatile actors of his generation .	1	-1	 woody[0] harrelson[0] continues[0] to[0] prove[0] that[0] he[0] is[0] one[0] of[0] the[0] finest[0] most[0] versatile[0] actors[0] of[0] his[0] generation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
harrelson plays the cocky celebrity reporter with a heart of gold by allowing the character's caring nature and vulnerability shine through . 	harrelson plays the cocky celebrity reporter with a heart of gold by allowing the character's caring nature and vulnerability shine through .	3	-3	 harrelson[0] plays[1] the[0] cocky[-1] celebrity[0] reporter[0] with[0] a[0] heart[0] of[0] gold[0] by[0] allowing[0] the[0] character's[0] caring[2] nature[0] and[0] vulnerability[-2] shine[0] through[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
harrelson is equally adept at taking on roles as zany leading men ( cheers , white men can't jump ) as well as excellent supporting roles such as this one . 	harrelson is equally adept at taking on roles as zany leading men ( cheers , white men can't jump ) as well as excellent supporting roles such as this one .	4	-1	 harrelson[0] is[0] equally[0] adept[0] at[0] taking[0] on[0] roles[0] as[0] zany[0] leading[0] men[0] cheers[0] white[0] men[0] can't[0] jump[0] as[0] well[0] as[0] excellent[3] supporting[1] roles[0] such[0] as[0] this[0] one[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
this ability will serve him well and give him a long , successful career . 	this ability will serve him well and give him a long , successful career .	3	-1	 this[0] ability[0] will[0] serve[0] him[0] well[0] and[0] give[0] him[0] a[0] long[0] successful[2] career[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
america's involvement in this struggle comes seven years after the events of the movie take place . 	america's involvement in this struggle comes seven years after the events of the movie take place .	1	-2	 america's[0] involvement[0] in[0] this[0] struggle[-1] comes[0] seven[0] years[0] after[0] the[0] events[0] of[0] the[0] movie[0] take[0] place[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for those who do not have a full understanding of the history of the conflict , the entire movie , most importantly the opening scenes , provide a history lesson . 	for those who do not have a full understanding of the history of the conflict , the entire movie , most importantly the opening scenes , provide a history lesson .	1	-2	 for[0] those[0] who[0] do[0] not[0] have[0] a[0] full[0] understanding[0] of[0] the[0] history[0] of[0] the[0] conflict[-1] the[0] entire[0] movie[0] most[0] importantly[0] the[0] opening[0] scenes[0] provide[0] a[0] history[0] lesson[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
war is a foreign concept to most of us in america . 	war is a foreign concept to most of us in america .	1	-3	 war[-2] is[0] a[0] foreign[-1] concept[0] to[0] most[0] of[0] us[0] in[0] america[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
battles are fought thousands of miles away among people we have no attachment to . 	battles are fought thousands of miles away among people we have no attachment to .	1	-3	 battles[-1] are[0] fought[-2] thousands[0] of[0] miles[0] away[0] among[0] people[0] we[0] have[0] no[0] attachment[0] to[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
televised images of the gulf war are all the experience most of us have with war . 	televised images of the gulf war are all the experience most of us have with war .	1	-3	 televised[0] images[0] of[0] the[0] gulf[0] war[-2] are[0] all[0] the[0] experience[0] most[0] of[0] us[0] have[0] with[0] war[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this picture brings it right into your living room and makes you think outside of our own small world , something we don't do enough of in 90's america . 	this picture brings it right into your living room and makes you think outside of our own small world , something we don't do enough of in 90's america .	1	-1	 this[0] picture[0] brings[0] it[0] right[0] into[0] your[0] living[0] room[0] and[0] makes[0] you[0] think[0] outside[0] of[0] our[0] own[0] small[0] world[0] something[0] we[0] don't[0] do[0] enough[0] of[0] in[0] 90's[0] america[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
