urban legend surprised me . 	Translation	Positive	Negative	EmotionRationale
i don't think i need to tell you that a killer hacking people up ala urban folklore is much more frightening than a killer fisherman . 	i don't think i need to tell you that a killer hacking people up ala urban folklore is much more frightening than a killer fisherman .	1	-4	 i[0] don't[0] think[0] i[0] need[0] to[0] tell[0] you[0] that[0] a[0] killer[-1] hacking[0] people[0] up[0] ala[0] urban[0] folklore[0] is[0] much[0] more[0] frightening[-3] than[0] a[0] killer[-1] fisherman[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
urban legend begins with a sequence that reminded me of the classic scream opener , not so much in plotting as in attention to detail that makes for an absolutely chilling teaser for the rest of the film . 	urban legend begins with a sequence that reminded me of the classic scream opener , not so much in plotting as in attention to detail that makes for an absolutely chilling teaser for the rest of the film .	1	-4	 urban[0] legend[0] begins[0] with[0] a[0] sequence[0] that[0] reminded[0] me[0] of[0] the[0] classic[0] scream[-3] opener[0] not[0] so[0] much[0] in[0] plotting[0] as[0] in[0] attention[0] to[0] detail[0] that[0] makes[0] for[0] an[0] absolutely[0] chilling[0] teaser[-1] for[0] the[0] rest[0] of[0] the[0] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
a pretty young coed is driving down a deserted road when ( gasp ! ) a gas problem ( hee-hee ) forces her to stop at an equally deserted gas station for a refill . 	a pretty young coed is driving down a deserted road when ( gasp !<br> ) a gas problem ( he-he ) forces her to stop at an equally deserted gas station for a refill .	3	-2	 a[0] pretty[2] young[0] coed[0] is[0] driving[0] down[0] a[0] deserted[0] road[0] when[0] gasp[0] [[Sentence=-1,3=word max, 1-5]] a[0] gas[0] problem[-1] hee/he[0] hee/he[0] forces[0] her[0] to[0] stop[0] at[0] an[0] equally[0] deserted[0] gas[0] station[0] for[0] a[0] refill[0] [[Sentence=-2,1=word max, 1-5]][[[3,-2 max of sentences]]]
one problem , though . 	one problem , though .	1	-2	 one[0] problem[-1] though[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
would you want to stop at a station run by brad dourif ? 	would you want to stop at a station run by brad dourif ?	1	-1	 would[0] you[0] want[0] to[0] stop[0] at[0] a[0] station[0] run[0] by[0] brad[0] dourif[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i thought not . 	i thought not .	1	-1	 i[0] thought[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
predictably , the attendant ends up coaxing her into the main building to sort out a problem with the credit card company . 	predictably , the attendant ends up coaxing her into the main building to sort out a problem with the credit card company .	1	-2	 predictably[0] the[0] attendant[0] ends[0] up[0] coaxing[0] her[0] into[0] the[0] main[0] building[0] to[0] sort[0] out[0] a[0] problem[-1] with[0] the[0] credit[0] card[0] company[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's odd , though , when you pick up a phone to realize that nobody's on the other line . 	it's odd , though , when you pick up a phone to realize that nobody's on the other line .	1	-1	 it's[0] odd[0] though[0] when[0] you[0] pick[0] up[0] a[0] phone[0] to[0] realize[0] that[0] nobody's[0] on[0] the[0] other[0] line[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
naturally , the potential victim escapes into her car and drives off . 	naturally , the potential victim escapes into her car and drives off .	1	-3	 naturally[0] the[0] potential[0] victim[-2] escapes[0] into[0] her[0] car[0] and[0] drives[0] off[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and the when we least expect it . . . whack ! ! ! 	and the when we least expect it .<br> .<br> .<br> whack !<br> !<br> !	1	-2	 and[0] the[0] when[0] we[0] least[0] expect[0] it[0] [[Sentence=-1,1=word max, 1-5]] whack[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a decapitation . 	a decapitation .	1	-1	 a[0] decapitation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it turns out that the creepy looking attendant was just trying to warn her about the maniac in the back seat of the car . 	it turns out that the creepy looking attendant was just trying to warn her about the maniac in the back seat of the car .	1	-3	 it[0] turns[0] out[0] that[0] the[0] creepy[0] looking[0] attendant[0] was[0] just[0] trying[0] to[0] warn[0] her[0] about[0] the[0] maniac[-2] in[0] the[0] back[0] seat[0] of[0] the[0] car[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
so who is it this time ? 	so who is it this time ?	1	-1	 so[0] who[0] is[0] it[0] this[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the obvious candidate is the slightly off-kilter professor at the college the girl went to ( none other than freddy kruger himself , robert englund ) , who teaches a class on urban legends . 	the obvious candidate is the slightly off-kilter professor at the college the girl went to ( none other than freddy kruger himself , robert englund ) , who teaches a class on urban legends .	1	-1	 the[0] obvious[0] candidate[0] is[0] the[0] slightly[0] off[0] kilter[0] professor[0] at[0] the[0] college[0] the[0] girl[0] went[0] to[0] none[0] other[0] than[0] freddy[0] kruger[0] himself[0] robert[0] englund[0] who[0] teaches[0] a[0] class[0] on[0] urban[0] legends[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a-ha . 	a-ha .	2	-1	 a[0] ha[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
or could it be the fame-hungry local journalist ( leto ) looking for a meaty story to put on his resume ? 	or could it be the fame-hungry local journalist ( leto ) looking for a meaty story to put on his resume ?	1	-2	 or[0] could[0] it[0] be[0] the[0] fame[0] hungry[-1] local[0] journalist[0] leto[0] looking[0] for[0] a[0] meaty[0] story[0] to[0] put[0] on[0] his[0] resume[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
like all movies of this nature , one of the chief pleasures is trying to guess whodunit . 	like all movies of this nature , one of the chief pleasures is trying to guess whodunit .	3	-1	 like[1] all[0] movies[0] of[0] this[0] nature[0] one[0] of[0] the[0] chief[0] pleasures[2] is[0] trying[0] to[0] guess[0] whodunit[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and it turns out to be , of course , the one you didn't suspect . 	and it turns out to be , of course , the one you didn't suspect .	1	-2	 and[0] it[0] turns[0] out[0] to[0] be[0] of[0] course[0] the[0] one[0] you[0] didn't[0] suspect[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i'm not going to pretend urban legend is anything more than it is , but i must give credit where credit is due . 	i'm not going to pretend urban legend is anything more than it is , but i must give credit where credit is due .	1	-2	 i'm[0] not[0] going[0] to[0] pretend[-1] urban[0] legend[0] is[0] anything[0] more[0] than[0] it[0] is[0] but[0] i[0] must[0] give[0] credit[0] where[0] credit[0] is[0] due[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and this flick definitely deserves credit for being what not many other recent horror films have been . . . fun . 	and this flick definitely deserves credit for being what not many other recent horror films have been .<br> .<br> .<br> fun .	2	-4	 and[0] this[0] flick[0] definitely[0] deserves[0] credit[0] for[0] being[0] what[0] not[0] many[0] other[0] recent[0] horror[-3] films[0] have[0] been[0] [[Sentence=-4,1=word max, 1-5]] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-4 max of sentences]]]
 * complimentary movie ticket courtesy of valley cinemas in lodi , ca 	 * complimentary movie ticket courtesy of valley cinemas in lodi , ca	2	-1	 complimentary[1] movie[0] ticket[0] courtesy[0] of[0] valley[0] cinemas[0] in[0] lodi[0] ca[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
