you've got mail is a timely romance for this impersonal , computer-driven decade . 	Translation	Positive	Negative	EmotionRationale
ryan smoothly moves between spunky and vulnerable , with a sexy touch of winsomeness added to the brew . 	ryan smoothly moves between spunky and vulnerable , with a sexy touch of winsomeness added to the brew .	3	-3	 ryan[0] smoothly[0] moves[0] between[0] spunky[0] and[0] vulnerable[-2] with[0] a[0] sexy[2] touch[0] of[0] winsomeness[0] added[0] to[0] the[0] brew[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
their scenes together sparkle , even though they lack the nostalgic romanticism of sleepless in seattle . 	their scenes together sparkle , even though they lack the nostalgic romanticism of sleepless in seattle .	4	-2	 their[0] scenes[0] together[0] sparkle[0] even[0] though[0] they[0] lack[-1] the[0] nostalgic[0] romanticism[3] of[0] sleepless[-1] in[0] seattle[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
and the shadow of that earlier hit hangs over you've got mail like dried-up mistletoe . 	and the shadow of that earlier hit hangs over you've got mail like dried-up mistletoe .	2	-1	 and[0] the[0] shadow[0] of[0] that[0] earlier[0] hit[0] hangs[0] over[0] you've[0] got[0] mail[0] like[1] dried[0] up[0] mistletoe[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the sparks created by the earlier movie are , by necessity , not evident here . 	the sparks created by the earlier movie are , by necessity , not evident here .	1	-1	 the[0] sparks[0] created[0] by[0] the[0] earlier[0] movie[0] are[0] by[0] necessity[0] not[0] evident[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
true , these are two people seeking true love , but you've got mail is more comic and less poignant than its predecessor . 	true , these are two people seeking true love , but you've got mail is more comic and less poignant than its predecessor .	3	-1	 true[1] these[0] are[0] two[0] people[0] seeking[0] true[1] love[2] but[0] you've[0] got[0] mail[0] is[0] more[0] comic[0] and[0] less[0] poignant[0] than[0] its[0] predecessor[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the ephrons' script is witty and sharp . 	the ephrons' script is witty and sharp .	1	-1	 the[0] ephrons'[0] script[0] is[0] witty[0] and[0] sharp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , as a director nora ephron is a bit uneven . 	however , as a director nora ephron is a bit uneven .	1	-2	 however[0] as[0] a[0] director[0] nora[0] ephron[0] is[0] a[0] bit[0] uneven[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
some scenes drag , while others , especially when hanks and ryan are revealing their souls via e-mail , are crisp and tidy . 	some scenes drag , while others , especially when hanks and ryan are revealing their souls via e-mail , are crisp and tidy .	1	-2	 some[0] scenes[0] drag[-1] while[0] others[0] especially[0] when[0] hanks[0] and[0] ryan[0] are[0] revealing[0] their[0] souls[0] via[0] e[0] mail[0] are[0] crisp[0] and[0] tidy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
also , the script gets sloppy toward the end with characters merely disappearing from the story . 	also , the script gets sloppy toward the end with characters merely disappearing from the story .	1	-2	 also[0] the[0] script[0] gets[0] sloppy[-1] toward[0] the[0] end[0] with[0] characters[0] merely[0] disappearing[0] from[0] the[0] story[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a nice , romantic soundtrack adds to this date-night special . 	a nice , romantic soundtrack adds to this date-night special .	4	-1	 a[0] nice[1] romantic[3] soundtrack[0] adds[0] to[0] this[0] date[0] night[0] special[1] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
overall , you've got mail is a lush and cute outing , taking advantage of the star appeal of its two leads . 	overall , you've got mail is a lush and cute outing , taking advantage of the star appeal of its two leads .	2	-1	 overall[0] you've[0] got[0] mail[0] is[0] a[0] lush[0] and[0] cute[1] outing[0] taking[0] advantage[0] of[0] the[0] star[0] appeal[0] of[0] its[0] two[0] leads[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's a nice holiday movie , one for holding hands and snuggling . 	it's a nice holiday movie , one for holding hands and snuggling .	2	-1	 it's[0] a[0] nice[1] holiday[0] movie[0] one[0] for[0] holding[0] hands[0] and[0] snuggling[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
committed to lifelong learning through effective communication 	committed to lifelong learning through effective communication	1	-1	 committed[0] to[0] lifelong[0] learning[0] through[0] effective[0] communication[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
