contact ( pg ) there's a moment late in robert zemeckis's contact where i was reminded of why i started writing movie reviews in the first place . 	Translation	Positive	Negative	EmotionRationale
in the end , there is no right or wrong , nor is there one side that comes off more positive in the other , even slightly so--there are just two very viable points of view , each with their own merits , each with their own faults . 	in the end , there is no right or wrong , nor is there one side that comes off more positive in the other , even slightly so-there are just two very viable points of view , each with their own merits , each with their own faults .	3	-2	 in[0] the[0] end[0] there[0] is[0] no[0] right[0] or[0] wrong[-1] nor[0] is[0] there[0] one[0] side[0] that[0] comes[0] off[0] more[0] positive[2] in[0] the[0] other[0] even[0] slightly[0] so[0] there[0] are[0] just[0] two[0] very[0] viable[0] points[0] of[0] view[0] each[0] with[0] their[0] own[0] merits[1] each[0] with[0] their[0] own[0] faults[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the complex role of ellie is an actress's dream , and foster , a virtual shoo-in for yet another best actress oscar nomination next year , more than rises to the challenge . 	the complex role of ellie is an actress's dream , and foster , a virtual shoo-in for yet another best actress oscar nomination next year , more than rises to the challenge .	2	-2	 the[0] complex[0] role[0] of[0] ellie[0] is[0] an[0] actress's[0] dream[0] and[0] foster[0] a[0] virtual[0] shoo[0] in[0] for[0] yet[0] another[0] best[1] actress[0] oscar[0] nomination[0] next[0] year[0] more[0] than[0] rises[0] to[0] the[0] challenge[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
she conveys intelligence , determination , warmth , and , in a gutsy move , always on edge . 	she conveys intelligence , determination , warmth , and , in a gutsy move , always on edge .	1	-1	 she[0] conveys[0] intelligence[0] determination[0] warmth[0] and[0] in[0] a[0] gutsy[0] move[0] always[0] on[0] edge[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we root for ellie and feel for her , but we also feel at times that she goes too far . 	we root for ellie and feel for her , but we also feel at times that she goes too far .	1	-1	 we[0] root[0] for[0] ellie[0] and[0] feel[0] for[0] her[0] but[0] we[0] also[0] feel[0] at[0] times[0] that[0] she[0] goes[0] too[0] far[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
contact is clearly foster's vehicle , but others are given their chance to shine in smaller roles . 	contact is clearly foster's vehicle , but others are given their chance to shine in smaller roles .	1	-1	 contact[0] is[0] clearly[0] foster's[0] vehicle[0] but[0] others[0] are[0] given[0] their[0] chance[0] to[0] shine[0] in[0] smaller[0] roles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
matthew mcconaughey , who receives outrageously high billing for his smallish role , holds his own as the religious counterpoint to ellie , spiritual scholar and government adviser palmer joss ( however , his main storyline , the tentative palmer-ellie romance , is the film's weakest subplot ) . 	matthew mcconaughey , who receives outrageously high billing for his smallish role , holds his own as the religious counterpoint to ellie , spiritual scholar and government adviser palmer joss ( however , his main storyline , the tentative palmer-ellie romance , is the film's weakest subplot ) .	4	-3	 matthew[0] mcconaughey[0] who[0] receives[0] outrageously[-2] high[0] billing[0] for[0] his[0] smallish[0] role[0] holds[0] his[0] own[0] as[0] the[0] religious[0] counterpoint[0] to[0] ellie[0] spiritual[0] scholar[0] and[0] government[0] adviser[0] palmer[0] joss[0] however[0] his[0] main[0] storyline[0] the[0] tentative[0] palmer[0] ellie[0] romance[3] is[0] the[0] film's[0] weakest[-1] subplot[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
john hurt is effectively creepy as s . r . 	john hurt is effectively creepy as s .<br> are .	1	-3	 john[0] hurt[-2] is[0] effectively[0] creepy[0] as[0] s[0] [[Sentence=-3,1=word max, 1-5]] r[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
hadden , the wealthy eccentric who provides ellie with her research funding . 	hadden , the wealthy eccentric who provides ellie with her research funding .	1	-2	 hadden[0] the[0] wealthy[0] eccentric[-1] who[0] provides[0] ellie[0] with[0] her[0] research[0] funding[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
angela bassett continues to impress in her bit role as white house aide rachel constantine . 	angela bassett continues to impress in her bit role as white house aide rachel constantine .	2	-1	 angela[0] bassett[0] continues[0] to[0] impress[1] in[0] her[0] bit[0] role[0] as[0] white[0] house[0] aide[0] rachel[0] constantine[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
most memorable of all , though , are tom skerritt and james woods , who play rival scientist dr . david drumlin and national security adviser michael litz , respectively ; both , especially skerritt , embody these asshole characters that the audience hissed just about every single one of their appearances . 	most memorable of all , though , are tom skerritt and james woods , who play rival scientist dr .<br> david drumlin and national security adviser michael litz , respectively ; both , especially skerritt , embody these asshole characters that the audience hissed just about every single one of their appearances .	3	-3	 most[0] memorable[0] of[0] all[0] though[0] are[0] tom[0] skerritt[0] and[0] james[0] woods[0] who[0] play[0] rival[-1] scientist[0] dr[0] [[Sentence=-2,1=word max, 1-5]] david[0] drumlin[0] and[0] national[0] security[1] adviser[0] michael[0] litz[0] respectively[2] both[0] especially[0] skerritt[0] embody[0] these[0] asshole[-2] characters[0] that[0] the[0] audience[0] hissed[0] just[0] about[0] every[0] single[0] one[0] of[0] their[0] appearances[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
zemeckis comes off of his three-year break in top shape . 	zemeckis comes off of his three-year break in top shape .	1	-1	 zemeckis[0] comes[0] off[0] of[0] his[0] three[0] year[0] break[0] in[0] top[0] shape[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
always known as a director of effects-laden extravaganzas , it comes as no surprise that contact's visual effects are quite stunning . 	always known as a director of effects-laden extravaganzas , it comes as no surprise that contact's visual effects are quite stunning .	1	-1	 always[0] known[0] as[0] a[0] director[0] of[0] effects[0] laden[0] extravaganzas[0] it[0] comes[0] as[0] no[0] surprise[0] that[0] contact's[0] visual[0] effects[0] are[0] quite[0] stunning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the central space journey is more than a little reminiscent of the close of 2001 : a space odyssey , but with more advanced technology at his disposal , zemeckis's voyage is even trippier than stanley kubrick's yet more wondrously pure . 	the central space journey is more than a little reminiscent of the close of 2001 : a space odyssey , but with more advanced technology at his disposal , zemeckis's voyage is even trippier than stanley kubrick's yet more wondrously pure .	1	-2	 the[0] central[0] space[0] journey[0] is[0] more[0] than[0] a[0] little[0] reminiscent[0] of[0] the[0] close[0] of[0] 2001[0] a[0] space[0] odyssey[0] but[0] with[0] more[0] advanced[0] technology[0] at[0] his[0] disposal[-1] zemeckis's[0] voyage[0] is[0] even[0] trippier[0] than[0] stanley[0] kubrick's[0] yet[0] more[0] wondrously[0] pure[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and zemeckis doesn't resist the urge to use the always-interesting incorporate-actors-into-existing-film-footage effect , which is every bit as seamless here as it was in forrest gump . 	and zemeckis doesn't resist the urge to use the always-interesting incorporate-actors-into-existing-film-footage effect , which is every bit as seamless here as it was in forest gump .	2	-1	 and[0] zemeckis[0] doesn't[0] resist[0] the[0] urge[0] to[0] use[0] the[0] always[0] interesting[1] incorporate[0] actors[0] into[0] existing[0] film[0] footage[0] effect[0] which[0] is[0] every[0] bit[0] as[0] seamless[0] here[0] as[0] it[0] was[0] in[0] forrest/forest[0] gump[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
effects , however , are confined to only a few scenes and clearly take a back seat to the drama , emotion , and pure wonder , which zemeckis proved to be quite adept at in gump . 	effects , however , are confined to only a few scenes and clearly take a back seat to the drama , emotion , and pure wonder , which zemeckis proved to be quite adept at in gump .	1	-1	 effects[0] however[0] are[0] confined[0] to[0] only[0] a[0] few[0] scenes[0] and[0] clearly[0] take[0] a[0] back[0] seat[0] to[0] the[0] drama[0] emotion[0] and[0] pure[0] wonder[0] which[0] zemeckis[0] proved[0] to[0] be[0] quite[0] adept[0] at[0] in[0] gump[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it says a lot that , in a summer science fiction film such as this , it's not so much the effects that stay with you as it is the drama and the issues that are raised . 	it says a lot that , in a summer science fiction film such as this , it's not so much the effects that stay with you as it is the drama and the issues that are raised .	1	-1	 it[0] says[0] a[0] lot[0] that[0] in[0] a[0] summer[0] science[0] fiction[0] film[0] such[0] as[0] this[0] it's[0] not[0] so[0] much[0] the[0] effects[0] that[0] stay[0] with[0] you[0] as[0] it[0] is[0] the[0] drama[0] and[0] the[0] issues[0] that[0] are[0] raised[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the thought-provoking , two-hour-plus contact is a much-welcome change of pace from summer no-brainers , but the fact that it is a smart film does not mean that it also isn't entertaining . 	the thought-provoking , two-hour-plus contact is a much-welcome change of pace from summer no-brainers , but the fact that it is a smart film does not mean that it also isn't entertaining .	2	-1	 the[0] thought[0] provoking[0] two[0] hour[0] plus[0] contact[0] is[0] a[0] much[0] welcome[1] change[0] of[0] pace[0] from[0] summer[0] no[0] brainers[0] but[0] the[0] fact[0] that[0] it[0] is[0] a[0] smart[1] film[0] does[0] not[0] mean[0] that[0] it[0] also[0] isn't[0] entertaining[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for all the interesting questions it asks , the film is still what it's being sold as-- " a journey to the heart of the universe . " 	for all the interesting questions it asks , the film is still what it's being sold as- " a journey to the heart of the universe .<br> "	2	-1	 for[0] all[0] the[0] interesting[1] questions[0] it[0] asks[0] the[0] film[0] is[0] still[0] what[0] it's[0] being[0] sold[0] as[0] a[0] journey[0] to[0] the[0] heart[0] of[0] the[0] universe[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and what a fascinating , unforgettable journey it is . 	and what a fascinating , unforgettable journey it is .	1	-1	 and[0] what[0] a[0] fascinating[0] unforgettable[0] journey[0] it[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
