sam ( matthew broderick ) is an astronomer in a small american town and engaged to teacher linda ( kelly preston ) . 	Translation	Positive	Negative	EmotionRationale
meg ryan , known from " when harry met sally " or " sleepless in seattle " , surprises in a role that may finally help her get rid of her sweet little girl image . 	meg ryan , known from " when harry met sally " or " sleepless in seattle " , surprises in a role that may finally help her get rid of her sweet little girl image .	2	-2	 meg[0] ryan[0] known[0] from[0] when[0] harry[0] met[0] sally[0] or[0] sleepless[-1] in[0] seattle[0] surprises[0] in[0] a[0] role[0] that[0] may[0] finally[0] help[0] her[0] get[0] rid[-1] of[0] her[0] sweet[1] little[0] girl[0] image[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
she impresses the viewer as a maneating biker girl . 	she impresses the viewer as a maneating biker girl .	2	-1	 she[0] impresses[1] the[0] viewer[0] as[0] a[0] maneating[0] biker[0] girl[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even more surprising is the fact that the viewer believes her , much more so than in last years " courage under fire " where she played a gulf war pilot . 	even more surprising is the fact that the viewer believes her , much more so than in last years " courage under fire " where she played a gulf war pilot .	2	-3	 even[0] more[0] surprising[0] is[0] the[0] fact[0] that[0] the[0] viewer[0] believes[0] her[0] much[0] more[0] so[0] than[0] in[0] last[0] years[0] courage[1] under[0] fire[0] where[0] she[0] played[0] a[0] gulf[0] war[-2] pilot[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
matthew broderick is the goodnatured and somewhat naive sam who has trouble accepting reality . 	matthew broderick is the goodnatured and somewhat naive sam who has trouble accepting reality .	1	-2	 matthew[0] broderick[0] is[0] the[0] goodnatured[0] and[0] somewhat[0] naive[-1] sam[0] who[0] has[0] trouble[-1] accepting[0] reality[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the viewer can tell that he doesn't only watch the stars but also tries to reach out for them . 	the viewer can tell that he doesn't only watch the stars but also tries to reach out for them .	1	-1	 the[0] viewer[0] can[0] tell[0] that[0] he[0] doesn't[0] only[0] watch[0] the[0] stars[0] but[0] also[0] tries[0] to[0] reach[0] out[0] for[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has trouble keeping in touch with reality . 	he has trouble keeping in touch with reality .	1	-2	 he[0] has[0] trouble[-1] keeping[0] in[0] touch[0] with[0] reality[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after all , who would leave everything behind to chase a lost love ? 	after all , who would leave everything behind to chase a lost love ?	3	-2	 after[0] all[0] who[0] would[0] leave[0] everything[0] behind[0] to[0] chase[-1] a[0] lost[0] love[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
his naivet ? that we don't question for a minute throughout the movie clashes with maggies exaggerated wish for revenge . 	his naivet ?<br> that we don't question for a minute throughout the movie clashes with maggies exaggerated wish for revenge .	1	-2	 his[0] naivet[-1] [[Sentence=-2,1=word max, 1-5]] that[0] we[0] don't[0] question[0] for[0] a[0] minute[0] throughout[0] the[0] movie[0] clashes[0] with[0] maggies[0] exaggerated[-1] wish[0] for[0] revenge[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she would do anything to harm anton . 	she would do anything to harm anton .	1	-3	 she[0] would[0] do[0] anything[0] to[0] harm[-2] anton[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she doesn't hesitate to use sam for her plan and makes him understand right from the beginning that nothing will happen between the two of them . 	she doesn't hesitate to use sam for her plan and makes him understand right from the beginning that nothing will happen between the two of them .	1	-1	 she[0] doesn't[0] hesitate[0] to[0] use[0] sam[0] for[0] her[0] plan[0] and[0] makes[0] him[0] understand[0] right[0] from[0] the[0] beginning[0] that[0] nothing[0] will[0] happen[0] between[0] the[0] two[0] of[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that makes the scenes when they innocently share a bed , have potatoe chips and watch the action across the street like a saturday night show on tv even funnier . 	that makes the scenes when they innocently share a bed , have potatoe chips and watch the action across the street like a saturday night show on tv even funnier .	2	-1	 that[0] makes[0] the[0] scenes[0] when[0] they[0] innocently[1] share[0] a[0] bed[0] have[0] potatoe[0] chips[0] and[0] watch[0] the[0] action[0] across[0] the[0] street[0] like[1] a[0] saturday[0] night[0] show[0] on[0] tv[0] even[0] funnier[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
tch ? ky karyo is perfect as anton . 	tch ?<br> ky karyo is perfect as anton .	2	-1	 tch[0] [[Sentence=-1,1=word max, 1-5]] ky[0] karyo[0] is[0] perfect[1] as[0] anton[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he is , well , repulsive . 	he is , well , repulsive .	1	-4	 he[0] is[0] well[0] repulsive[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
that's all there is to say about him . 	that's all there is to say about him .	1	-1	 that's[0] all[0] there[0] is[0] to[0] say[0] about[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you can't really manage to pity him , even after all his mishaps . 	you can't really manage to pity him , even after all his mishaps .	1	-2	 you[0] can't[0] really[0] manage[0] to[0] pity[-1] him[0] even[0] after[0] all[0] his[0] mishaps[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he not only took sam's bride away from him , he is also a french chef . 	he not only took sam's bride away from him , he is also a french chef .	1	-1	 he[0] not[0] only[0] took[0] sam's[0] bride[0] away[0] from[0] him[0] he[0] is[0] also[0] a[0] french[0] chef[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
worlds collide , i . 	worlds collide , i .	1	-2	 worlds[0] collide[-1] i[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
e . 	e .	1	-1	 e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the usa and france . 	the usa and france .	1	-1	 the[0] usa[0] and[0] france[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this can only go wrong . 	this can only go wrong .	1	-2	 this[0] can[0] only[0] go[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even if maggies revenge schemes are at times shocking , you just can't sympathize with a man who plays " je t'aime . . . moi 	even if maggies revenge schemes are at times shocking , you just can't sympathize with a man who plays " je t'aime .<br> .<br> .<br> moi	2	-3	 even[0] if[0] maggies[0] revenge[-1] schemes[0] are[0] at[0] times[0] shocking[-2] you[0] just[0] can't[0] sympathize[0] with[0] a[0] man[0] who[0] plays[1] je[0] t'aime[0] [[Sentence=-3,2=word max, 1-5]] moi[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
non plus " on his tape deck . 	non plus " on his tape deck .	1	-1	 non[0] plus[0] on[0] his[0] tape[0] deck[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not everyone is captured by the french charme that linda and even maggie fell for . 	not everyone is captured by the french charme that linda and even maggie fell for .	2	-2	 not[0] everyone[0] is[0] captured[-1] by[0] the[0] french[0] charme[1] that[0] linda[0] and[0] even[0] maggie[0] fell[0] for[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
sam certainly isn't . 	sam certainly isn't .	1	-1	 sam[0] certainly[0] isn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
too bad for anton . 	too bad for anton .	1	-2	 too[0] bad[-1] for[0] anton[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for him things take a turn to the worse . 	for him things take a turn to the worse .	1	-3	 for[0] him[0] things[0] take[0] a[0] turn[0] to[0] the[0] worse[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " addicted to love " is one of this year's most pleasant surprises . 	 " addicted to love " is one of this year's most pleasant surprises .	3	-2	 addicted[-1] to[0] love[2] is[0] one[0] of[0] this[0] year's[0] most[0] pleasant[2] surprises[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
