synopsis : private detective tom welles is hired by a wealthy widow to uncover the origins of a snuff film owned by her late husband . 	Translation	Positive	Negative	EmotionRationale
the real star of the movie , though , must be peter stormare . 	the real star of the movie , though , must be peter stormare .	1	-1	 the[0] real[0] star[0] of[0] the[0] movie[0] though[0] must[0] be[0] peter[0] stormare[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stormare played the " really , really evil guy " in fargo , and his character , dino velvet , in this movie seems about ten times more evil and unpredictable . 	stormare played the " really , really evil guy " in fargo , and his character , dino velvet , in this movie seems about ten times more evil and unpredictable .	1	-4	 stormare[0] played[0] the[0] really[0] really[0] evil[-2][-1 LastWordBoosterStrength] guy[0] in[0] fargo[0] and[0] his[0] character[0] dino[0] velvet[0] in[0] this[0] movie[0] seems[0] about[0] ten[0] times[0] more[0] evil[-2] and[0] unpredictable[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
his performance is very chilling . 	his performance is very chilling .	1	-1	 his[0] performance[0] is[0] very[0] chilling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8 mm's success may hardly be surprising . 	8 mm's success may hardly be surprising .	3	-1	 8[0] mm's[0] success[2] may[0] hardly[0] be[0] surprising[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it was directed by joel schumacher , who , hopefully , saw this film as an apology for the absolutely dreadful batman and robin . 	it was directed by joel schumacher , who , hopefully , saw this film as an apology for the absolutely dreadful batman and robin .	1	-5	 it[0] was[0] directed[0] by[0] joel[0] schumacher[0] who[0] hopefully[0] saw[0] this[0] film[0] as[0] an[0] apology[0] for[0] the[0] absolutely[0] dreadful[-3][-1 LastWordBoosterStrength] batman[0] and[0] robin[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
before directing the last two batman duds , however , schumacher was responsible for several well-made horror flicks : lost boys , flatliners , and falling down . 	before directing the last two batman duds , however , schumacher was responsible for several well-made horror flicks : lost boys , flatliners , and falling down .	1	-4	 before[0] directing[0] the[0] last[0] two[0] batman[0] duds[0] however[0] schumacher[0] was[0] responsible[0] for[0] several[0] well[0] made[0] horror[-3] flicks[0] lost[0] boys[0] flatliners[0] and[0] falling[0] down[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
8 mm certainly joins the rank of these minor classics and is perhaps most reminiscent of falling down in that both films present an average man who self-destructs before the audience's eyes . 	8 m certainly joins the rank of these minor classics and is perhaps most reminiscent of falling down in that both films present an average man who self-destructs before the audience's eyes .	1	-1	 8[0] mm/m[0] certainly[0] joins[0] the[0] rank[0] of[0] these[0] minor[0] classics[0] and[0] is[0] perhaps[0] most[0] reminiscent[0] of[0] falling[0] down[0] in[0] that[0] both[0] films[0] present[0] an[0] average[0] man[0] who[0] self[0] destructs[0] before[0] the[0] audience's[0] eyes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8 mm was written by andrew kevin walker , who also penned the academy award-winning thriller seven a few years back . 	8 m was written by andrew kevin walker , who also penned the academy award-winning thriller seven a few years back .	2	-1	 8[0] mm/m[0] was[0] written[0] by[0] andrew[0] kevin[0] walker[0] who[0] also[0] penned[0] the[0] academy[0] award[0] winning[1] thriller[1] seven[0] a[0] few[0] years[0] back[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
like seven , 8 mm is full of dialogue which haunts you well after leaving the theater . 	like seven , 8 m is full of dialogue which haunts you well after leaving the theater .	2	-1	 like[1] seven[0] 8[0] mm/m[0] is[0] full[0] of[0] dialogue[0] which[0] haunts[0] you[0] well[0] after[0] leaving[0] the[0] theater[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
welles is searching for answers . 	welles is searching for answers .	2	-1	 welles[1] is[0] searching[0] for[0] answers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
how could anyone possibly drug and then slowly , methodically , sadistically kill a teenaged girl to make a film ? 	how could anyone possibly drug and then slowly , methodically , sadistically kill a teenaged girl to make a film ?	1	-2	 how[0] could[0] anyone[0] possibly[0] drug[0] and[0] then[0] slowly[0] methodically[0] sadistically[0] kill[-1] a[0] teenaged[0] girl[0] to[0] make[0] a[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when confronting one of the perpretrators at the end , the murderer responds that there are no reasons . 	when confronting one of the perpretrators at the end , the murderer responds that there are no reasons .	1	-4	 when[0] confronting[-2] one[0] of[0] the[0] perpretrators[0] at[0] the[0] end[0] the[0] murderer[-3] responds[0] that[0] there[0] are[0] no[0] reasons[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he just enjoys it . 	he just enjoys it .	2	-1	 he[0] just[0] enjoys[2][-1 LastWordBoosterStrength] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that , walker seems to suggest , is where the real terror lays : not in the crime itself but in the fact that rational motives do not exist . 	that , walker seems to suggest , is where the real terror lays : not in the crime itself but in the fact that rational motives do not exist .	1	-2	 that[0] walker[0] seems[0] to[0] suggest[0] is[0] where[0] the[0] real[0] terror[-1] lays[0] not[0] in[0] the[0] crime[-1] itself[0] but[0] in[0] the[0] fact[0] that[0] rational[0] motives[0] do[0] not[0] exist[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a couple minor faults led me to my four-star rating ( five stars is the highest rating i give ) . 	a couple minor faults led me to my four-star rating ( five stars is the highest rating i give ) .	1	-2	 a[0] couple[0] minor[0] faults[-1] led[0] me[0] to[0] my[0] four[0] star[0] rating[0] five[0] stars[0] is[0] the[0] highest[0] rating[0] i[0] give[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one , i found it a little difficult , early on , to accept the fact that a hardened private detective would get physically disgusted when first seeing a snuff film . 	one , i found it a little difficult , early on , to accept the fact that a hardened private detective would get physically disgusted when first seeing a snuff film .	1	-4	 one[0] i[0] found[0] it[0] a[0] little[0] difficult[-1] early[0] on[0] to[0] accept[0] the[0] fact[0] that[0] a[0] hardened[0] private[0] detective[0] would[0] get[0] physically[0] disgusted[-3] when[0] first[0] seeing[0] a[0] snuff[0] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
yes , snuff is a horrible thing , but a detective of welles' caliber has probably encountered awful things before . 	yes , snuff is a horrible thing , but a detective of welles' caliber has probably encountered awful things before .	2	-4	 yes[0] snuff[0] is[0] a[0] horrible[-3] thing[0] but[0] a[0] detective[0] of[0] welles'[1] caliber[0] has[0] probably[0] encountered[0] awful[-3] things[0] before[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
second , some of the clues welles gathers are too convenient . 	second , some of the clues welles gathers are too convenient .	2	-1	 second[0] some[0] of[0] the[0] clues[0] welles[1] gathers[0] are[0] too[0] convenient[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he discovers , for example , the victim's diary in her private bathroom , despite the fact the the police , the fbi , and her own mother have all investigated the room before . 	he discovers , for example , the victim's diary in her private bathroom , despite the fact the the police , the fbi , and her own mother have all investigated the room before .	1	-3	 he[0] discovers[0] for[0] example[0] the[0] victim's[-2] diary[0] in[0] her[0] private[0] bathroom[0] despite[0] the[0] fact[0] the[0] the[0] police[0] the[0] fbi[0] and[0] her[0] own[0] mother[0] have[0] all[0] investigated[0] the[0] room[0] before[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
finally , the closing scene seemed trite and improbable considering the rest of the film . 	finally , the closing scene seemed trite and improbable considering the rest of the film .	1	-3	 finally[0] the[0] closing[0] scene[0] seemed[0] trite[-2] and[0] improbable[0] considering[0] the[0] rest[0] of[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
despite the above criticisms , 8 mm is an engrossing story . 	despite the above criticisms , 8 m is an engrossing story .	1	-2	 despite[0] the[0] above[0] criticisms[-1] 8[0] mm/m[0] is[0] an[0] engrossing[0] story[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one of the best scenes in the film occurs toward the end as a crazed welles , who no longer seems like a hero , brutally beats one of the pornographers responsible for the snuff film . 	one of the best scenes in the film occurs toward the end as a crazed welles , who no longer seems like a hero , brutally beats one of the pornographers responsible for the snuff film .	3	-3	 one[0] of[0] the[0] best[1] scenes[0] in[0] the[0] film[0] occurs[0] toward[0] the[0] end[0] as[0] a[0] crazed[0] welles[1] who[0] no[0] longer[0] seems[0] like[1] a[0] hero[2] brutally[-2] beats[0] one[0] of[0] the[0] pornographers[0] responsible[0] for[0] the[0] snuff[0] film[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
he pulls a gun on the man and , for a relatively long amount of time , struggles to decide whether or not to kill him . 	he pulls a gun on the man and , for a relatively long amount of time , struggles to decide whether or not to kill him .	2	-2	 he[0] pulls[0] a[0] gun[-1] on[0] the[0] man[0] and[0] for[0] a[0] relatively[0] long[0] amount[0] of[0] time[0] struggles[-1] to[0] decide[0] whether[0] or[0] not[0] to[0] kill[-1][NegatedDueToPreviousWord] him[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he then leaves the building and calls the victim's mother , in the middle of the night , to basically see if she would support the action . 	he then leaves the building and calls the victim's mother , in the middle of the night , to basically see if she would support the action .	1	-3	 he[0] then[0] leaves[0] the[0] building[0] and[0] calls[0] the[0] victim's[-2] mother[0] in[0] the[0] middle[0] of[0] the[0] night[0] to[0] basically[0] see[0] if[0] she[0] would[0] support[1][-1 LastWordBoosterStrength] the[0] action[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the entire scene is tense , unpredictable , and emotionally charged . 	the entire scene is tense , unpredictable , and emotionally charged .	1	-3	 the[0] entire[0] scene[0] is[0] tense[-2] unpredictable[0] and[0] emotionally[0] charged[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
rarely , anymore , do horror films or thrillers provoke suspense in me as 8 mm , with scenes like this , did . 	rarely , anymore , do horror films or thrillers provoke suspense in me as 8 m , with scenes like this , did .	2	-4	 rarely[0] anymore[0] do[0] horror[-3] films[0] or[0] thrillers[1] provoke[-1] suspense[0] in[0] me[0] as[0] 8[0] mm/m[0] with[0] scenes[0] like[1] this[0] did[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
8 mm is most certainly not for the faint of heart . 	8 m is most certainly not for the faint of heart .	1	-2	 8[0] mm/m[0] is[0] most[0] certainly[0] not[0] for[0] the[0] faint[-1] of[0] heart[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is a graphic , oftentimes unflinching , look into the darkness which resides in both ordinary and extraordinary people . 	this is a graphic , oftentimes unflinching , look into the darkness which resides in both ordinary and extraordinary people .	1	-1	 this[0] is[0] a[0] graphic[0] oftentimes[0] unflinching[0] look[0] into[0] the[0] darkness[0] which[0] resides[0] in[0] both[0] ordinary[0] and[0] extraordinary[0] people[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you're prepared for a film of this nature , i give it an enthusiastic recommendation . 	if you're prepared for a film of this nature , i give it an enthusiastic recommendation .	3	-1	 if[0] you're[0] prepared[0] for[0] a[0] film[0] of[0] this[0] nature[0] i[0] give[0] it[0] an[0] enthusiastic[2] recommendation[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
