saving private ryan ( dreamworks ) running time : 2 hours 48 minutes . 	Translation	Positive	Negative	EmotionRationale
spielberg directs very well , putting the audience right in the heart of the action of the battle scenes . 	spielberg directs very well , putting the audience right in the heart of the action of the battle scenes .	1	-2	 spielberg[0] directs[0] very[0] well[0] putting[0] the[0] audience[0] right[0] in[0] the[0] heart[0] of[0] the[0] action[0] of[0] the[0] battle[-1] scenes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and what battle scenes they are ! 	and what battle scenes they are !	1	-2	 and[0] what[0] battle[-1] scenes[0] they[0] are[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they're truly terrifying , yet the audience cannot drag their eyes away from the screen . 	they're truly terrifying , yet the audience cannot drag their eyes away from the screen .	2	-4	 they're[0] truly[1] terrifying[-3] yet[0] the[0] audience[0] cannot[0] drag[-1][NegatedDueToPreviousWord] their[0] eyes[0] away[0] from[0] the[0] screen[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the battle scenes are filmed with a jerky hand-held camera , and the panic and confusion felt by the soldiers is emphasized by this technique . 	the battle scenes are filmed with a jerky hand-held camera , and the panic and confusion felt by the soldiers is emphasized by this technique .	1	-3	 the[0] battle[-1] scenes[0] are[0] filmed[0] with[0] a[0] jerky[0] hand[0] held[0] camera[0] and[0] the[0] panic[-2] and[0] confusion[-1] felt[0] by[0] the[0] soldiers[0] is[0] emphasized[0] by[0] this[0] technique[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the gore and violence isn't spared either , which body parts flying , and blood spurting . 	the gore and violence isn't spared either , which body parts flying , and blood spurting .	1	-4	 the[0] gore[0] and[0] violence[-3] isn't[0] spared[0] either[0] which[0] body[0] parts[0] flying[0] and[0] blood[0] spurting[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this film is certainly not for kids and sensitive adults . 	this film is certainly not for kids and sensitive adults .	1	-1	 this[0] film[0] is[0] certainly[0] not[0] for[0] kids[0] and[0] sensitive[0] adults[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
other factors help saving private ryan be a masterpiece of 90's film making . 	other factors help saving private ryan be a masterpiece of 90's film making .	1	-1	 other[0] factors[0] help[0] saving[0] private[0] ryan[0] be[0] a[0] masterpiece[0] of[0] 90's[0] film[0] making[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the cinematography is excellent , and the music score by john william's is also superb . 	the cinematography is excellent , and the music score by john william's is also superb .	4	-1	 the[0] cinematography[0] is[0] excellent[3] and[0] the[0] music[0] score[0] by[0] john[0] william's[0] is[0] also[0] superb[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it is never intrusive , and adds to the drama on-screen . 	it is never intrusive , and adds to the drama on-screen .	1	-1	 it[0] is[0] never[0] intrusive[0] and[0] adds[0] to[0] the[0] drama[0] on[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but while they are thousands of good things great about private ryan , there's one major flaw that detracts the genius of the film : the writing . 	but while they are thousands of good things great about private ryan , there's one major flaw that detracts the genius of the film : the writing .	3	-2	 but[0] while[0] they[0] are[0] thousands[0] of[0] good[1] things[0] great[2] about[0] private[0] ryan[0] there's[0] one[0] major[0] flaw[-1] that[0] detracts[-1] the[0] genius[0] of[0] the[0] film[0] the[0] writing[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it is unusually flat , with many of the speeches strangely weak . 	it is unusually flat , with many of the speeches strangely weak .	1	-2	 it[0] is[0] unusually[0] flat[0] with[0] many[0] of[0] the[0] speeches[0] strangely[0] weak[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film never really makes any profound statements . 	the film never really makes any profound statements .	1	-1	 the[0] film[0] never[0] really[0] makes[0] any[0] profound[0] statements[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is not a major gripe , as private ryan is a film of action , not words . 	this is not a major gripe , as private ryan is a film of action , not words .	1	-1	 this[0] is[0] not[0] a[0] major[0] gripe[0] as[0] private[0] ryan[0] is[0] a[0] film[0] of[0] action[0] not[0] words[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
still , the script could of been a lot better . 	still , the script could of been a lot better .	1	-1	 still[0] the[0] script[0] could[0] of[0] been[0] a[0] lot[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thankfully , the actors help partly to rectify the situation with their great delivery of their lines . 	thankfully , the actors help partly to rectify the situation with their great delivery of their lines .	3	-1	 thankfully[1] the[0] actors[0] help[0] partly[0] to[0] rectify[0] the[0] situation[0] with[0] their[0] great[2] delivery[0] of[0] their[0] lines[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
saving private ryan , in the end , is an excellent film , but not the 'greatest war movie' due to it's weak acting . 	saving private ryan , in the end , is an excellent film , but not the 'greatest war movie' due to it's weak acting .	4	-3	 saving[0] private[0] ryan[0] in[0] the[0] end[0] is[0] an[0] excellent[3] film[0] but[0] not[0] the[0] 'greatest[0] war[-2] movie'[0] due[0] to[0] it's[0] weak[-1] acting[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
this film should be viewed by everyone who has the stomach for it , as it's rewarding and extremely worthwhile . 	this film should be viewed by everyone who has the stomach for it , as it's rewarding and extremely worthwhile .	4	-1	 this[0] film[0] should[0] be[0] viewed[0] by[0] everyone[0] who[0] has[0] the[0] stomach[0] for[0] it[0] as[0] it's[0] rewarding[1] and[0] extremely[0] worthwhile[1][2 LastWordBoosterStrength] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it really shouldn't be missed , and dreamworks skg has finally found it's first hit movie . 	it really shouldn't be missed , and dreamworks skg has finally found it's first hit movie .	1	-2	 it[0] really[0] shouldn't[0] be[0] missed[-1] and[0] dreamworks[0] skg[0] has[0] finally[0] found[0] it's[0] first[0] hit[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
