eight years after its release , disney has decided to re-release the little mermaid theatrically for 17 days ( and 17 long nights ) only . 	Translation	Positive	Negative	EmotionRationale
the little mermaid is based on a hans christian anderson fairy tale , but it's disney-ized , which means lots of talking animals and bursting into song . 	the little mermaid is based on a hans christian anderson fairy tale , but it's disney-ized , which means lots of talking animals and bursting into song .	1	-1	 the[0] little[0] mermaid[0] is[0] based[0] on[0] a[0] hans[0] christian[0] anderson[0] fairy[0] tale[0] but[0] it's[0] disney[0] ized[0] which[0] means[0] lots[0] of[0] talking[0] animals[0] and[0] bursting[0] into[0] song[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it also means the heroine is a total babe who shows off cleavage from a seashell bra at all times . 	it also means the heroine is a total babe who shows off cleavage from a seashell bra at all times .	3	-1	 it[0] also[0] means[0] the[0] heroine[2] is[0] a[0] total[0] babe[0] who[0] shows[0] off[0] cleavage[0] from[0] a[0] seashell[0] bra[0] at[0] all[0] times[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i never wanted so much to be a pair of shells . . . 	i never wanted so much to be a pair of shells .<br> .<br> .	1	-1	 i[0] never[0] wanted[0] so[0] much[0] to[0] be[0] a[0] pair[0] of[0] shells[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the heroine , of course , is ariel ( voice of jodi benson ) , a 16-year-old mermaid who is going through that rebellious phase . 	the heroine , of course , is ariel ( voice of jodi benson ) , a 16-year-old mermaid who is going through that rebellious phase .	3	-2	 the[0] heroine[2] of[0] course[0] is[0] ariel[0] voice[0] of[0] jodi[0] benson[0] a[0] 16[0] year[0] old[0] mermaid[0] who[0] is[0] going[0] through[0] that[0] rebellious[-1] phase[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
she skips her concert to explore a wrecked ship and hang out with a seagull that talks like buddy hackett , who tries to orient her to the mysterious world of humans . 	she skips her concert to explore a wrecked ship and hang out with a seagull that talks like buddy hackett , who tries to orient her to the mysterious world of humans .	2	-2	 she[0] skips[0] her[0] concert[0] to[0] explore[0] a[0] wrecked[-1] ship[0] and[0] hang[-1] out[0] with[0] a[0] seagull[0] that[0] talks[0] like[1] buddy[0] hackett[0] who[0] tries[0] to[0] orient[0] her[0] to[0] the[0] mysterious[0] world[0] of[0] humans[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
she's also dealing with feelings she hasn't had before -- which comes when you get scales in places you didn't use to have them -- about a handsome prince ( no disney movie would be complete without one ) . 	she's also dealing with feelings she hasn't had before - which comes when you get scales in places you didn't use to have them - about a handsome prince ( no disney movie would be complete without one ) .	2	-1	 she's[0] also[0] dealing[0] with[0] feelings[0] she[0] hasn't[0] had[0] before[0] which[0] comes[0] when[0] you[0] get[0] scales[0] in[0] places[0] you[0] didn't[0] use[0] to[0] have[0] them[0] about[0] a[0] handsome[1] prince[0] no[0] disney[0] movie[0] would[0] be[0] complete[0] without[0] one[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
her father , king triton of the merpeople , strictly forbids such lusting after the ways of the " savage " humans , in a condemnation that reads as a not-so-subtle analogy about old- fashioned parents who forbid interracial dating . 	her father , king triton of the merpeople , strictly forbids such lusting after the ways of the " savage " humans , in a condemnation that reads as a not-so-subtle analogy about old- fashioned parents who forbid interracial dating .	1	-3	 her[0] father[0] king[0] triton[0] of[0] the[0] merpeople[0] strictly[-1] forbids[-1] such[0] lusting[0] after[0] the[0] ways[0] of[0] the[0] savage[-2] humans[0] in[0] a[0] condemnation[-1] that[0] reads[0] as[0] a[0] not[0] so[0] subtle[0] analogy[0] about[0] old[0] fashioned[0] parents[0] who[0] forbid[-1] interracial[0] dating[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what's a king to do , though ? 	what's a king to do , though ?	1	-1	 what's[0] a[0] king[0] to[0] do[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the girl's in love and even total destruction of her little shrine to the human world doesn't deter her . 	the girl's in love and even total destruction of her little shrine to the human world doesn't deter her .	3	-3	 the[0] girl's[0] in[0] love[2] and[0] even[0] total[0] destruction[-1][-1 LastWordBoosterStrength] of[0] her[0] little[0] shrine[0] to[0] the[0] human[0] world[0] doesn't[0] deter[-1] her[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
ariel saves the prince's life when a hurricane rises up , and just has to meet him . 	ariel saves the prince's life when a hurricane rises up , and just has to meet him .	2	-1	 ariel[0] saves[1] the[0] prince's[0] life[0] when[0] a[0] hurricane[0] rises[0] up[0] and[0] just[0] has[0] to[0] meet[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she makes a deal with ursula , the sea witch ( voice of pat carroll ) . 	she makes a deal with ursula , the sea witch ( voice of pat carroll ) .	1	-1	 she[0] makes[0] a[0] deal[0] with[0] ursula[0] the[0] sea[0] witch[0] voice[0] of[0] pat[0] carroll[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you know she's evil because she has a huge potbelly and one of the worst asses in cartoon history . 	you know she's evil because she has a huge potbelly and one of the worst asses in cartoon history .	1	-3	 you[0] know[0] she's[0] evil[-2] because[0] she[0] has[0] a[0] huge[0] potbelly[0] and[0] one[0] of[0] the[0] worst[-2] asses[0] in[0] cartoon[0] history[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she also has octopus tentacles for feet ( something those dr . scholl's corn pads will not fix ) and offers to help ariel out . 	she also has octopus tentacles for feet ( something those dr .<br> scholl's corn pads will not fix ) and offers to help ariel out .	1	-1	 she[0] also[0] has[0] octopus[0] tentacles[0] for[0] feet[0] something[0] those[0] dr[0] [[Sentence=-1,1=word max, 1-5]] scholl's[0] corn[0] pads[0] will[0] not[0] fix[0] and[0] offers[0] to[0] help[0] ariel[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she'll make her a human for three days if ariel will give up her pretty voice ; ariel has three days to make that prince kiss her , or else she becomes a slave to the witch forever . 	she'll make her a human for three days if ariel will give up her pretty voice ; ariel has three days to make that prince kiss her , or else she becomes a slave to the witch forever .	3	-1	 she'll[0] make[0] her[0] a[0] human[0] for[0] three[0] days[0] if[0] ariel[0] will[0] give[0] up[0] her[0] pretty[2] voice[0] ariel[0] has[0] three[0] days[0] to[0] make[0] that[0] prince[0] kiss[2] her[0] or[0] else[0] she[0] becomes[0] a[0] slave[0] to[0] the[0] witch[0] forever[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and if she pricks her finger on a sewing machine or eats an evil apple , she'll fall asleep forever . 	and if she pricks her finger on a sewing machine or eats an evil apple , she'll fall asleep forever .	1	-3	 and[0] if[0] she[0] pricks[-2] her[0] finger[0] on[0] a[0] sewing[0] machine[0] or[0] eats[0] an[0] evil[-2] apple[0] she'll[0] fall[0] asleep[0] forever[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's a simplistic plot , yes , but the little mermaid was a revolution in the disney world , coming after such lackluster efforts as the black cauldron and oliver and company . 	it's a simplistic plot , yes , but the little mermaid was a revolution in the disney world , coming after such lackluster efforts as the black cauldron and oliver and company .	1	-2	 it's[0] a[0] simplistic[-1] plot[0] yes[0] but[0] the[0] little[0] mermaid[0] was[0] a[0] revolution[-1] in[0] the[0] disney[0] world[0] coming[0] after[0] such[0] lackluster[0] efforts[0] as[0] the[0] black[0] cauldron[0] and[0] oliver[0] and[0] company[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it ranks as one of the best disney cartoons , certainly since the '50s . 	it ranks as one of the best disney cartoons , certainly since the '50s .	2	-1	 it[0] ranks[0] as[0] one[0] of[0] the[0] best[1] disney[0] cartoons[0] certainly[0] since[0] the[0] '50s[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
all the elements are there -- memorable songs like " under the sea " and " kiss the girl , " cartoon animals like sebastian and flounder , an evil villain who still has characterization and charm , and a fair amount of humor that caters to adults as well as children . 	all the elements are there - memorable songs like " under the sea " and " kiss the girl , " cartoon animals like sebastian and flounder , an evil villain who still has characterization and charm , and a fair amount of humor that caters to adults as well as children .	3	-4	 all[0] the[0] elements[0] are[0] there[0] memorable[0] songs[0] like[1] under[0] the[0] sea[0] and[0] kiss[2] the[0] girl[0] cartoon[0] animals[0] like[1] sebastian[0] and[0] flounder[-1] an[0] evil[-2] villain[-2][-1 MultiplePositiveWords] who[0] still[0] has[0] characterization[0] and[0] charm[1] and[0] a[0] fair[0] amount[0] of[0] humor[2] that[0] caters[0] to[0] adults[0] as[0] well[0] as[0] children[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the little mermaid is worth a big-screen ticket in 1997 , so hurry up , you only have five days left . 	the little mermaid is worth a big-screen ticket in 1997 , so hurry up , you only have five days left .	1	-1	 the[0] little[0] mermaid[0] is[0] worth[0] a[0] big[0] screen[0] ticket[0] in[0] 1997[0] so[0] hurry[0] up[0] you[0] only[0] have[0] five[0] days[0] left[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
serving america for more than 1/25th of a century ! 	serving america for more than 1/25th of a century !	1	-1	 serving[0] america[0] for[0] more[0] than[0] 1/25th[0] of[0] a[0] century[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
