i swear i have seen the edge before . 	Translation	Positive	Negative	EmotionRationale
the edge has the intelligence and smart characters , but this time the lack of originality is the downfall . 	the edge has the intelligence and smart characters , but this time the lack of originality is the downfall .	2	-2	 the[0] edge[0] has[0] the[0] intelligence[0] and[0] smart[1] characters[0] but[0] this[0] time[0] the[0] lack[-1] of[0] originality[0] is[0] the[0] downfall[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i must admit that it was very suspenseful , and had an original third half , but the first hour and a half is riddled with cliches and plot holes . 	i must admit that it was very suspenseful , and had an original third half , but the first hour and a half is riddled with cliches and plot holes .	1	-1	 i[0] must[0] admit[0] that[0] it[0] was[0] very[0] suspenseful[0] and[0] had[0] an[0] original[0] third[0] half[0] but[0] the[0] first[0] hour[0] and[0] a[0] half[0] is[0] riddled[0] with[0] cliches[0] and[0] plot[0] holes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is an example of the final act saving the film , instead of the other way around ( as in the lost world ) . 	this is an example of the final act saving the film , instead of the other way around ( as in the lost world ) .	1	-1	 this[0] is[0] an[0] example[0] of[0] the[0] final[0] act[0] saving[0] the[0] film[0] instead[0] of[0] the[0] other[0] way[0] around[0] as[0] in[0] the[0] lost[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if only the screenplay had maintained the final thirty minutes' intensity , it could have become a great action film ( and i use the term loosely ) . 	if only the screenplay had maintained the final thirty minutes' intensity , it could have become a great action film ( and i use the term loosely ) .	3	-1	 if[0] only[0] the[0] screenplay[0] had[0] maintained[0] the[0] final[0] thirty[0] minutes'[0] intensity[0] it[0] could[0] have[0] become[0] a[0] great[2] action[0] film[0] and[0] i[0] use[0] the[0] term[0] loosely[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the edge is pretty much a survival-of-the-fittest film . 	the edge is pretty much a survival-of-the-fittest film .	3	-1	 the[0] edge[0] is[0] pretty[2] much[0] a[0] survival[0] of[0] the[0] fittest[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but taking scream's lead , the edge makes fun of the genre's cliches , and then uses them ( though not quite as effectively ) . 	but taking scream's lead , the edge makes fun of the genre's cliches , and then uses them ( though not quite as effectively ) .	2	-4	 but[0] taking[0] scream's[-3] lead[0] the[0] edge[0] makes[0] fun[1] of[0] the[0] genre's[0] cliches[0] and[0] then[0] uses[0] them[0] though[0] not[0] quite[0] as[0] effectively[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
charles morse ( anthony hopkins ) is the main character , a rich and very intelligent man who wonders what the accumulation of all this knowledge has brought to him . 	charles morse ( anthony hopkins ) is the main character , a rich and very intelligent man who wonders what the accumulation of all this knowledge has brought to him .	3	-1	 charles[0] morse[0] anthony[0] hopkins[0] is[0] the[0] main[0] character[0] a[0] rich[0] and[0] very[0] intelligent[1][1 LastWordBoosterStrength] man[0] who[0] wonders[0] what[0] the[0] accumulation[0] of[0] all[0] this[0] knowledge[0] has[0] brought[0] to[0] him[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
for once , we don't immediately care for the main character . 	for once , we don't immediately care for the main character .	1	-2	 for[0] once[0] we[0] don't[0] immediately[0] care[1][NegatedDueToPreviousWord] for[0] the[0] main[0] character[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
instead , we like bob ( alec baldwin ) , a photographer who is going to take pictures of charles' wife , mickey ( elle macpherson ) , out in the wilderness . 	instead , we like bob ( alec baldwin ) , a photographer who is going to take pictures of charles' wife , mickey ( elle macpherson ) , out in the wilderness .	2	-1	 instead[0] we[0] like[1] bob[0] alec[0] baldwin[0] a[0] photographer[0] who[0] is[0] going[0] to[0] take[0] pictures[0] of[0] charles'[0] wife[0] mickey[0] elle[0] macpherson[0] out[0] in[0] the[0] wilderness[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they board a plane and head to a cabin somewhere in the arctic . 	they board a plane and head to a cabin somewhere in the arctic .	1	-1	 they[0] board[0] a[0] plane[0] and[0] head[0] to[0] a[0] cabin[0] somewhere[0] in[0] the[0] arctic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
charles' birthday is the same day , and he receives a gold watch from his wife , and a pocket knife from bob . 	charles' birthday is the same day , and he receives a gold watch from his wife , and a pocket knife from bob .	1	-2	 charles'[0] birthday[0] is[0] the[0] same[0] day[0] and[0] he[0] receives[0] a[0] gold[0] watch[0] from[0] his[0] wife[0] and[0] a[0] pocket[0] knife[-1] from[0] bob[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as action films go , these items do have importance to the rest of the story , but quite a bit more than we first expect . 	as action films go , these items do have importance to the rest of the story , but quite a bit more than we first expect .	1	-1	 as[0] action[0] films[0] go[0] these[0] items[0] do[0] have[0] importance[0] to[0] the[0] rest[0] of[0] the[0] story[0] but[0] quite[0] a[0] bit[0] more[0] than[0] we[0] first[0] expect[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
soon , however , bob wants to find a native to shoot pictures of because of his " personality . " 	soon , however , bob wants to find a native to shoot pictures of because of his " personality .<br> "	1	-2	 soon[0] however[0] bob[0] wants[0] to[0] find[0] a[0] native[0] to[0] shoot[-1] pictures[0] of[0] because[0] of[0] his[0] personality[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
charles , bob , bob's assistant steve ( harold perrineau ) , and the pilot head off to find him , and as shown in the previews , hit a flock of birds flying south for the winter . 	charles , bob , bob's assistant steve ( harold perrineau ) , and the pilot head off to find him , and as shown in the previews , hit a flock of birds flying south for the winter .	1	-1	 charles[0] bob[0] bob's[0] assistant[0] steve[0] harold[0] perrineau[0] and[0] the[0] pilot[0] head[0] off[0] to[0] find[0] him[0] and[0] as[0] shown[0] in[0] the[0] previews[0] hit[0] a[0] flock[0] of[0] birds[0] flying[0] south[0] for[0] the[0] winter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
down the plane goes , the pilot is killed , and the three are left to survive in the wilderness . 	down the plane goes , the pilot is killed , and the three are left to survive in the wilderness .	1	-4	 down[0] the[0] plane[0] goes[0] the[0] pilot[0] is[0] killed[-3] and[0] the[0] three[0] are[0] left[0] to[0] survive[0] in[0] the[0] wilderness[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
director lee tamahori is aware of the silly plot which is about to follow , and therefore has to create original ways to approach the situations . 	director lee tamahori is aware of the silly plot which is about to follow , and therefore has to create original ways to approach the situations .	1	-2	 director[0] lee[0] tamahori[0] is[0] aware[0] of[0] the[0] silly[-1] plot[0] which[0] is[0] about[0] to[0] follow[0] and[0] therefore[0] has[0] to[0] create[0] original[0] ways[0] to[0] approach[0] the[0] situations[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he succeeds often enough for us to enjoy the film . 	he succeeds often enough for us to enjoy the film .	3	-1	 he[0] succeeds[2] often[0] enough[0] for[0] us[0] to[0] enjoy[2] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
take , for instance , the entire man-hunting bear plot . 	take , for instance , the entire man-hunting bear plot .	1	-1	 take[0] for[0] instance[0] the[0] entire[0] man[0] hunting[0] bear[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this has been done many times in films with different animals , and even bears . 	this has been done many times in films with different animals , and even bears .	1	-1	 this[0] has[0] been[0] done[0] many[0] times[0] in[0] films[0] with[0] different[0] animals[0] and[0] even[0] bears[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but given the charles' intelligence , and bob's uncertainty , many of the cliches are given fresh twists . 	but given the charles' intelligence , and bob's uncertainty , many of the cliches are given fresh twists .	1	-1	 but[0] given[0] the[0] charles'[0] intelligence[0] and[0] bob's[0] uncertainty[0] many[0] of[0] the[0] cliches[0] are[0] given[0] fresh[0] twists[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even charles himself seems to have seen these action films before . 	even charles himself seems to have seen these action films before .	1	-1	 even[0] charles[0] himself[0] seems[0] to[0] have[0] seen[0] these[0] action[0] films[0] before[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my favorite line of the film comes from charles : " most people die in the wilderness because they didn't do the one thing that could save their life . . . 	my favorite line of the film comes from charles : " most people die in the wilderness because they didn't do the one thing that could save their life .<br> .<br> .	2	-1	 my[0] favorite[1] line[0] of[0] the[0] film[0] comes[0] from[0] charles[0] most[0] people[0] die[0] in[0] the[0] wilderness[0] because[0] they[0] didn't[0] do[0] the[0] one[0] thing[0] that[0] could[0] save[1][-1 LastWordBoosterStrength] their[0] life[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
thinking . " 	thinking .<br> "	1	-1	 thinking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite the predictability of the main plot , a subplot develops late in the film which took me by surprise , and made me smile when i realized that everything isn't as it seems anymore . 	despite the predictability of the main plot , a subplot develops late in the film which took me by surprise , and made me smile when i realized that everything isn't as it seems anymore .	3	-1	 despite[0] the[0] predictability[0] of[0] the[0] main[0] plot[0] a[0] subplot[0] develops[0] late[0] in[0] the[0] film[0] which[0] took[0] me[0] by[0] surprise[0] and[0] made[0] me[0] smile[2] when[0] i[0] realized[0] that[0] everything[0] isn't[0] as[0] it[0] seems[0] anymore[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i have to write cautiously as to not reveal this surprise , so instead i will avoid it entirely . 	i have to write cautiously as to not reveal this surprise , so instead i will avoid it entirely .	1	-2	 i[0] have[0] to[0] write[0] cautiously[0] as[0] to[0] not[0] reveal[0] this[0] surprise[0] so[0] instead[0] i[0] will[0] avoid[-1] it[0] entirely[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the first two-thirds of the edge have many humorous moments to push it along , and some of charles' survival techniques seem possible , even making fire from ice . 	the first two-thirds of the edge have many humorous moments to push it along , and some of charles' survival techniques seem possible , even making fire from ice .	3	-1	 the[0] first[0] two[0] thirds[0] of[0] the[0] edge[0] have[0] many[0] humorous[2] moments[0] to[0] push[0] it[0] along[0] and[0] some[0] of[0] charles'[0] survival[0] techniques[0] seem[0] possible[0] even[0] making[0] fire[0] from[0] ice[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
tamahori is able to create a lot of suspense from the stalking bear , but whenever the bear is present , the characters lose all sensibility . 	tamahori is able to create a lot of suspense from the stalking bear , but whenever the bear is present , the characters lose all sensibility .	1	-2	 tamahori[0] is[0] able[0] to[0] create[0] a[0] lot[0] of[0] suspense[0] from[0] the[0] stalking[0] bear[0] but[0] whenever[0] the[0] bear[0] is[0] present[0] the[0] characters[0] lose[-1] all[0] sensibility[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i have always wondered why characters in films walk over a log to get across water . 	i have always wondered why characters in films walk over a log to get across water .	1	-1	 i[0] have[0] always[0] wondered[0] why[0] characters[0] in[0] films[0] walk[0] over[0] a[0] log[0] to[0] get[0] across[0] water[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why not do what an intelligent person would and crawl across ? 	why not do what an intelligent person would and crawl across ?	2	-1	 why[0] not[0] do[0] what[0] an[0] intelligent[1] person[0] would[0] and[0] crawl[0] across[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i guess getting chased by a bear makes your thought process turn off for a while . 	i guess getting chased by a bear makes your thought process turn off for a while .	1	-2	 i[0] guess[0] getting[0] chased[-1] by[0] a[0] bear[0] makes[0] your[0] thought[0] process[0] turn[0] off[0] for[0] a[0] while[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
thankfully , we already have begun to care for the characters , and so we let this small detail slide . 	thankfully , we already have begun to care for the characters , and so we let this small detail slide .	2	-1	 thankfully[1] we[0] already[0] have[0] begun[0] to[0] care[1] for[0] the[0] characters[0] and[0] so[0] we[0] let[0] this[0] small[0] detail[0] slide[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but some of the technical details are awkward , such as the nice stitching done on the fur coat that charles and bob make ( where did they get thread and needles ? ) . 	but some of the technical details are awkward , such as the nice stitching done on the fur coat that charles and bob make ( where did they get thread and needles ?<br> ) .	2	-2	 but[0] some[0] of[0] the[0] technical[0] details[0] are[0] awkward[-1] such[0] as[0] the[0] nice[1] stitching[0] done[0] on[0] the[0] fur[0] coat[0] that[0] charles[0] and[0] bob[0] make[0] where[0] did[0] they[0] get[0] thread[0] and[0] needles[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the acting of the film is highly above average for a film of this nature , and borders on phenomenal . 	the acting of the film is highly above average for a film of this nature , and borders on phenomenal .	1	-1	 the[0] acting[0] of[0] the[0] film[0] is[0] highly[0] above[0] average[0] for[0] a[0] film[0] of[0] this[0] nature[0] and[0] borders[0] on[0] phenomenal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anthony hopkins gives a terrific performance , creating his most likeable and layered character since remains of the day . 	anthony hopkins gives a terrific performance , creating his most likeable and layered character since remains of the day .	4	-1	 anthony[0] hopkins[0] gives[0] a[0] terrific[3] performance[0] creating[0] his[0] most[0] likeable[2] and[0] layered[0] character[0] since[0] remains[0] of[0] the[0] day[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
hopkins usually brings greatness to his roles , but here he exceeds at gaining the audiences' sympathy , something he definitely did not do in silence of the lambs . 	hopkins usually brings greatness to his roles , but here he exceeds at gaining the audiences' sympathy , something he definitely did not do in silence of the lambs .	3	-1	 hopkins[0] usually[0] brings[0] greatness[2] to[0] his[0] roles[0] but[0] here[0] he[0] exceeds[0] at[0] gaining[0] the[0] audiences'[0] sympathy[0] something[0] he[0] definitely[0] did[0] not[0] do[0] in[0] silence[0] of[0] the[0] lambs[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
alec baldwin gives one of his best performances i have ever seen ( it sure is better from his fair game ) . 	alec baldwin gives one of his best performances i have ever seen ( it sure is better from his fair game ) .	2	-1	 alec[0] baldwin[0] gives[0] one[0] of[0] his[0] best[1] performances[0] i[0] have[0] ever[0] seen[0] it[0] sure[0] is[0] better[0] from[0] his[0] fair[0] game[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
baldwin can be a good or a bad character , and here he succeeds at both in a way . 	baldwin can be a good or a bad character , and here he succeeds at both in a way .	3	-2	 baldwin[0] can[0] be[0] a[0] good[1] or[0] a[0] bad[-1] character[0] and[0] here[0] he[0] succeeds[2] at[0] both[0] in[0] a[0] way[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
you can never quite guess if he is a nice or a vllainous character until the end , and baldwin is able to handle the double-natured photographer . 	you can never quite guess if he is a nice or a vllainous character until the end , and baldwin is able to handle the double-natured photographer .	2	-1	 you[0] can[0] never[0] quite[0] guess[0] if[0] he[0] is[0] a[0] nice[1] or[0] a[0] vllainous[0] character[0] until[0] the[0] end[0] and[0] baldwin[0] is[0] able[0] to[0] handle[0] the[0] double[0] natured[0] photographer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
elle macpherson gives a good performance , albeit slight . 	elle macpherson gives a good performance , albeit slight .	2	-1	 elle[0] macpherson[0] gives[0] a[0] good[1] performance[0] albeit[0] slight[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she isn't in the film all that much , but for the scenes she does have , she handles as an actress , not as a model . 	she isn't in the film all that much , but for the scenes she does have , she handles as an actress , not as a model .	1	-1	 she[0] isn't[0] in[0] the[0] film[0] all[0] that[0] much[0] but[0] for[0] the[0] scenes[0] she[0] does[0] have[0] she[0] handles[0] as[0] an[0] actress[0] not[0] as[0] a[0] model[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
harold perrineau is a good actor , and his scenes are nice and underplayed . 	harold perrineau is a good actor , and his scenes are nice and underplayed .	2	-1	 harold[0] perrineau[0] is[0] a[0] good[1] actor[0] and[0] his[0] scenes[0] are[0] nice[1] and[0] underplayed[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he is eliminated early , and i reveal nothing by saying this because it is inevitable and predictable . 	he is eliminated early , and i reveal nothing by saying this because it is inevitable and predictable .	1	-1	 he[0] is[0] eliminated[0] early[0] and[0] i[0] reveal[0] nothing[0] by[0] saying[0] this[0] because[0] it[0] is[0] inevitable[0] and[0] predictable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the edge is rated r for graphic violence , some gore , and language . 	the edge is rated are for graphic violence , some gore , and language .	1	-4	 the[0] edge[0] is[0] rated[0] r[0] for[0] graphic[0] violence[-3] some[0] gore[0] and[0] language[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
some of the violence is a little too disturbing , even for me . 	some of the violence is a little too disturbing , even for me .	1	-4	 some[0] of[0] the[0] violence[-3] is[0] a[0] little[0] too[0] disturbing[-1] even[0] for[0] me[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this film is a nice change from the mindless action most of us are used to , but too many cliches bog it down . 	this film is a nice change from the mindless action most of us are used to , but too many cliches bog it down .	2	-1	 this[0] film[0] is[0] a[0] nice[1] change[0] from[0] the[0] mindless[0] action[0] most[0] of[0] us[0] are[0] used[0] to[0] but[0] too[0] many[0] cliches[0] bog[0] it[0] down[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
director tamahori has created a very smooth and suspenseful action film out of recycled parts . 	director tamahori has created a very smooth and suspenseful action film out of recycled parts .	1	-1	 director[0] tamahori[0] has[0] created[0] a[0] very[0] smooth[0] and[0] suspenseful[0] action[0] film[0] out[0] of[0] recycled[0] parts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
david mamet's script , though , has a lot of humor to keep the first hour afloat , and the acting is solid . 	david mamet's script , though , has a lot of humor to keep the first hour afloat , and the acting is solid .	3	-1	 david[0] mamet's[0] script[0] though[0] has[0] a[0] lot[0] of[0] humor[2] to[0] keep[0] the[0] first[0] hour[0] afloat[0] and[0] the[0] acting[0] is[0] solid[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the best thing about the script is the ending which doesn't end with the normal high-strung action sequence , but with a small detail involving a certain gift . 	the best thing about the script is the ending which doesn't end with the normal high-strung action sequence , but with a small detail involving a certain gift .	2	-1	 the[0] best[1] thing[0] about[0] the[0] script[0] is[0] the[0] ending[0] which[0] doesn't[0] end[0] with[0] the[0] normal[0] high[0] strung[0] action[0] sequence[0] but[0] with[0] a[0] small[0] detail[0] involving[0] a[0] certain[0] gift[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's a nice touch considering what we have had to go through with the bear . 	it's a nice touch considering what we have had to go through with the bear .	2	-1	 it's[0] a[0] nice[1] touch[0] considering[0] what[0] we[0] have[0] had[0] to[0] go[0] through[0] with[0] the[0] bear[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and by the way , most people laughed when the film faded to black due to a large credit to bart the bear . 	and by the way , most people laughed when the film faded to black due to a large credit to bart the bear .	2	-1	 and[0] by[0] the[0] way[0] most[0] people[0] laughed[1] when[0] the[0] film[0] faded[0] to[0] black[0] due[0] to[0] a[0] large[0] credit[0] to[0] bart[0] the[0] bear[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
way to go , bart . 	way to go , bart .	1	-1	 way[0] to[0] go[0] bart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
