modern audiences are more likely to be familiar with les misirables from the pop-broadway musical rather than victor hugo's original tome . 	Translation	Positive	Negative	EmotionRationale
instead , cosette is sent to live with a cruel foster family which extorts money from fantine , and forces cosette into a life little better than a slave . 	instead , cosette is sent to live with a cruel foster family which extorts money from fantine , and forces cosette into a life little better than a slave .	1	-4	 instead[0] cosette[0] is[0] sent[0] to[0] live[0] with[0] a[0] cruel[-3] foster[0] family[0] which[0] extorts[0] money[0] from[0] fantine[0] and[0] forces[0] cosette[0] into[0] a[0] life[0] little[0] better[0] than[0] a[0] slave[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
director bille august manages to create a faithful adaptation of victor hugo's novel , which , though omitting some of the political undertones , remains true to the overall story and tone of the book . 	director bile august manages to create a faithful adaptation of victor hugo's novel , which , though omitting some of the political undertones , remains true to the overall story and tone of the book .	2	-1	 director[0] bille/bile[0] august[0] manages[0] to[0] create[0] a[0] faithful[1] adaptation[0] of[0] victor[0] hugo's[0] novel[0] which[0] though[0] omitting[0] some[0] of[0] the[0] political[0] undertones[0] remains[0] true[1] to[0] the[0] overall[0] story[0] and[0] tone[0] of[0] the[0] book[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
hopefully you won't , as some clueless members of the audience did , wonder where all the songs went . 	hopefully you won't , as some clueless members of the audience did , wonder where all the songs went .	1	-1	 hopefully[0] you[0] won't[0] as[0] some[0] clueless[0] members[0] of[0] the[0] audience[0] did[0] wonder[0] where[0] all[0] the[0] songs[0] went[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie manages to be completely engrossing without the andrew lloyd webber flourishes . 	the movie manages to be completely engrossing without the andrew lloyd webber flourishes .	1	-1	 the[0] movie[0] manages[0] to[0] be[0] completely[0] engrossing[0] without[0] the[0] andrew[0] lloyd[0] webber[0] flourishes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the experience is bolstered by strong performances throughout , though neeson and rush deservedly take center stage with their core roles . 	the experience is bolstered by strong performances throughout , though neeson and rush deservedly take center stage with their core roles .	1	-1	 the[0] experience[0] is[0] bolstered[0] by[0] strong[0] performances[0] throughout[0] though[0] neeson[0] and[0] rush[0] deservedly[0] take[0] center[0] stage[0] with[0] their[0] core[0] roles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
neeson in particular deserves kudos for his portrayal of a man trying to do good , but continually haunted by his past . 	neeson in particular deserves kudos for his portrayal of a man trying to do good , but continually haunted by his past .	2	-1	 neeson[0] in[0] particular[0] deserves[0] kudos[0] for[0] his[0] portrayal[0] of[0] a[0] man[0] trying[0] to[0] do[0] good[1] but[0] continually[0] haunted[0] by[0] his[0] past[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the supporting cast is also extraordinary . 	the supporting cast is also extraordinary .	2	-1	 the[0] supporting[1] cast[0] is[0] also[0] extraordinary[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the only actor who dims in comparison is hans matheson , playing the revolutionary , marius . 	the only actor who dims in comparison is hans matheson , playing the revolutionary , marius .	2	-2	 the[0] only[0] actor[0] who[0] dims[0] in[0] comparison[0] is[0] hans[0] matheson[0] playing[1] the[0] revolutionary[-1] marius[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film slightly loses its luster during his brief love affair , but it is transitory , and truly only distracting when contrasted with the rest of the film . 	the film slightly loses its luster during his brief love affair , but it is transitory , and truly only distracting when contrasted with the rest of the film .	3	-2	 the[0] film[0] slightly[0] loses[-1][--1 LastWordBoosterStrength] its[0] luster[0] during[0] his[0] brief[0] love[2] affair[0] but[0] it[0] is[0] transitory[0] and[0] truly[1] only[0] distracting[-1] when[0] contrasted[0] with[0] the[0] rest[0] of[0] the[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the novel les misirables is , by any account , an epic , both in its scope and in its length . 	the novel les misirables is , by any account , an epic , both in its scope and in its length .	1	-1	 the[0] novel[0] les[0] misirables[0] is[0] by[0] any[0] account[0] an[0] epic[0] both[0] in[0] its[0] scope[0] and[0] in[0] its[0] length[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while it would be nearly impossible to cram everything from its pages into a two hour movie , this latest attempt does an admirable job at the translation . 	while it would be nearly impossible to cram everything from its pages into a two hour movie , this latest attempt does an admirable job at the translation .	3	-2	 while[0] it[0] would[0] be[0] nearly[0] impossible[0] to[0] cram[-1] everything[0] from[0] its[0] pages[0] into[0] a[0] two[0] hour[0] movie[0] this[0] latest[0] attempt[0] does[0] an[0] admirable[2] job[0] at[0] the[0] translation[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it , too , is an epic . . . and one worth seeing . 	it , too , is an epic .<br> .<br> .<br> and one worth seeing .	1	-1	 it[0] too[0] is[0] an[0] epic[0] [[Sentence=-1,1=word max, 1-5]] and[0] one[0] worth[0] seeing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
