what i look for in a movie is not necessarily perfection . 	Translation	Positive	Negative	EmotionRationale
instead , he gets distracting self-consciousness . 	instead , he gets distracting self-consciousness .	1	-2	 instead[0] he[0] gets[0] distracting[-1] self[0] consciousness[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
aside from that , malick's direction is stunning . 	aside from that , malick's direction is stunning .	1	-1	 aside[0] from[0] that[0] malick's[0] direction[0] is[0] stunning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the tracking shots across windswept hills and around transports speeding toward shore are extraordinary . 	the tracking shots across windswept hills and around transports speeding toward shore are extraordinary .	1	-1	 the[0] tracking[0] shots[0] across[0] windswept[0] hills[0] and[0] around[0] transports[0] speeding[0] toward[0] shore[0] are[0] extraordinary[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sean penn , elias koteas , and nick nolte give the best performances . 	sean pen , elias koteas , and nick nolte give the best performances .	2	-1	 sean[0] penn/pen[0] elias[0] koteas[0] and[0] nick[0] nolte[0] give[0] the[0] best[1] performances[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
penn is subtle as a sergeant trying to hide his humanism , koteas is genuine as a compassionate captain , and nolte startling as a colonel whose blood vessels are about to burst if he cannot win his battle . 	pen is subtle as a sergeant trying to hide his humanism , koteas is genuine as a compassionate captain , and nolte startling as a colonel whose blood vessels are about to burst if he cannot win his battle .	2	-2	 penn/pen[0] is[0] subtle[0] as[0] a[0] sergeant[0] trying[0] to[0] hide[0] his[0] humanism[0] koteas[0] is[0] genuine[0] as[0] a[0] compassionate[1] captain[0] and[0] nolte[0] startling[-1] as[0] a[0] colonel[0] whose[0] blood[0] vessels[0] are[0] about[0] to[0] burst[0] if[0] he[0] cannot[0] win[0] his[0] battle[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
john travolta and george clooney are the worst in cameo roles . 	john travolta and george clooney are the worst in cameo roles .	1	-3	 john[0] travolta[0] and[0] george[0] clooney[0] are[0] the[0] worst[-2] in[0] cameo[0] roles[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
ultimately however , the thin red line's interest is not in the characters and it is not in drama . 	ultimately however , the thin red line's interest is not in the characters and it is not in drama .	2	-1	 ultimately[0] however[0] the[0] thin[0] red[0] line's[0] interest[1] is[0] not[0] in[0] the[0] characters[0] and[0] it[0] is[0] not[0] in[0] drama[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it has been frequently criticized for its lack of dramatic structure , but malick clearly has different things on his mind . 	it has been frequently criticized for its lack of dramatic structure , but malick clearly has different things on his mind .	1	-2	 it[0] has[0] been[0] frequently[0] criticized[-1] for[0] its[0] lack[-1] of[0] dramatic[0] structure[0] but[0] malick[0] clearly[0] has[0] different[0] things[0] on[0] his[0] mind[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
has no one ever thought that getting dramatic entertainment from war is exploitative ? 	has no one ever thought that getting dramatic entertainment from war is exploitative ?	1	-3	 has[0] no[0] one[0] ever[0] thought[0] that[0] getting[0] dramatic[0] entertainment[0] from[0] war[-2] is[0] exploitative[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what malick is working with is theme , and in that , the thin red line is most provoking . 	what malick is working with is theme , and in that , the thin red line is most provoking .	1	-1	 what[0] malick[0] is[0] working[0] with[0] is[0] theme[0] and[0] in[0] that[0] the[0] thin[0] red[0] line[0] is[0] most[0] provoking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
