most sequels don't do what they're supposed to do like " toy story 2 " does . 	Translation	Positive	Negative	EmotionRationale
this means woody now faces a difficult choice . 	this means woody now faces a difficult choice .	1	-2	 this[0] means[0] woody[0] now[0] faces[0] a[0] difficult[-1] choice[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with his friends coming to rescue him , does he go with them and spend a few more years with andy , or does he go to japan and be immortalized forever ? 	with his friends coming to rescue him , does he go with them and spend a few more years with andy , or does he go to japan and be immortalized forever ?	2	-1	 with[0] his[0] friends[1] coming[0] to[0] rescue[0] him[0] does[0] he[0] go[0] with[0] them[0] and[0] spend[0] a[0] few[0] more[0] years[0] with[0] andy[0] or[0] does[0] he[0] go[0] to[0] japan[0] and[0] be[0] immortalized[0] forever[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as in the original film , " toy story 2 " contains first-rate animation , and pixar studios has done a remarkable job improving on the impressive work they did there . 	as in the original film , " toy story 2 " contains first-rate animation , and pixar studios has done a remarkable job improving on the impressive work they did there .	2	-1	 as[0] in[0] the[0] original[0] film[0] toy[0] story[0] 2[0] contains[0] first[0] rate[0] animation[0] and[0] pixar[0] studios[0] has[0] done[0] a[0] remarkable[0] job[0] improving[1] on[0] the[0] impressive[1] work[0] they[0] did[0] there[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
reportedly , the film was originally slated for a direct-to-video release , but after seeing the improvements that had been made , disney rightly decided to release it into theaters . 	reportedly , the film was originally slated for a direct-to-video release , but after seeing the improvements that had been made , disney rightly decided to release it into theaters .	2	-1	 reportedly[0] the[0] film[0] was[0] originally[0] slated[0] for[0] a[0] direct[0] to[0] video[0] release[0] but[0] after[0] seeing[0] the[0] improvements[1] that[0] had[0] been[0] made[0] disney[0] rightly[0] decided[0] to[0] release[0] it[0] into[0] theaters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film is well worth seeing on the big screen . 	the film is well worth seeing on the big screen .	1	-1	 the[0] film[0] is[0] well[0] worth[0] seeing[0] on[0] the[0] big[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the colors are bright , the textures sharp , and even the human characters look more " human . " 	the colors are bright , the textures sharp , and even the human characters look more " human .<br> "	1	-1	 the[0] colors[0] are[0] bright[0] the[0] textures[0] sharp[0] and[0] even[0] the[0] human[0] characters[0] look[0] more[0] human[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the animation is consistently seamless , with the action fast and furious and the facial expressions believable . 	the animation is consistently seamless , with the action fast and furious and the facial expressions believable .	1	-4	 the[0] animation[0] is[0] consistently[0] seamless[0] with[0] the[0] action[0] fast[0] and[0] furious[-3] and[0] the[0] facial[0] expressions[0] believable[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there are so many impressive sequences that i'd find it impossible to list them here , but i was particularly wowed by a scene where buzz and his cohorts must get across a busy intersection to get to al' s toy barn , the store owned by woody's captor . 	there are so many impressive sequences that i'd find it impossible to list them here , but i was particularly wowed by a scene where buz and his cohorts must get across a busy intersection to get to al' s toy barn , the store owned by woody's captor .	3	-1	 there[0] are[0] so[0] many[0] impressive[1] sequences[0] that[0] i'd[0] find[0] it[0] impossible[0] to[0] list[0] them[0] here[0] but[0] i[0] was[0] particularly[0] wowed[2] by[0] a[0] scene[0] where[0] buzz/buz[0] and[0] his[0] cohorts[0] must[0] get[0] across[0] a[0] busy[0] intersection[0] to[0] get[0] to[0] al'[0] s[0] toy[0] barn[0] the[0] store[0] owned[0] by[0] woody's[0] captor[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
pixar's rendition of the family dog is also nicely done , with fur so realistic you almost feel you could reach out and touch it . 	pixar's rendition of the family dog is also nicely done , with fur so realistic you almost feel you could reach out and touch it .	2	-1	 pixar's[0] rendition[0] of[0] the[0] family[0] dog[0] is[0] also[0] nicely[1] done[0] with[0] fur[0] so[0] realistic[0] you[0] almost[0] feel[0] you[0] could[0] reach[0] out[0] and[0] touch[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the voice work is also perfectly complementary , and as with the first movie , does much to help further character development . 	the voice work is also perfectly complementary , and as with the first movie , does much to help further character development .	2	-1	 the[0] voice[0] work[0] is[0] also[0] perfectly[1] complementary[0] and[0] as[0] with[0] the[0] first[0] movie[0] does[0] much[0] to[0] help[0] further[0] character[0] development[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
tom hanks and tim allen again disappear into their roles as woody and buzz , making you forget who is doing the voice . 	tom hanks and tim allen again disappear into their roles as woody and buz , making you forget who is doing the voice .	1	-1	 tom[0] hanks[0] and[0] tim[0] allen[0] again[0] disappear[0] into[0] their[0] roles[0] as[0] woody[0] and[0] buzz/buz[0] making[0] you[0] forget[0] who[0] is[0] doing[0] the[0] voice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it was woody and buzz up there , not tom and tim . 	it was woody and buz up there , not tom and tim .	1	-1	 it[0] was[0] woody[0] and[0] buzz/buz[0] up[0] there[0] not[0] tom[0] and[0] tim[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all the cast members from the original reprise their roles , and each is excellent . 	all the cast members from the original reprise their roles , and each is excellent .	4	-1	 all[0] the[0] cast[0] members[0] from[0] the[0] original[0] reprise[0] their[0] roles[0] and[0] each[0] is[0] excellent[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
several new voices have been added , with joan cusack , kelsey grammer , and wayne knight doing fine work . 	several new voices have been added , with joan cusack , kelsey grammer , and wayne knight doing fine work .	3	-1	 several[0] new[0] voices[0] have[0] been[0] added[0] with[0] joan[0] cusack[0] kelsey[0] grammer[0] and[0] wayne[0] knight[0] doing[0] fine[2] work[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " toy story 2 " is strong in characterization , and is able to expand on what we saw in the first movie . 	 " toy story 2 " is strong in characterization , and is able to expand on what we saw in the first movie .	1	-1	 toy[0] story[0] 2[0] is[0] strong[0] in[0] characterization[0] and[0] is[0] able[0] to[0] expand[0] on[0] what[0] we[0] saw[0] in[0] the[0] first[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
woody faces difficult choices , while buzz is confronted with a new buzz who hasn't yet realized his status as a toy , forcing him to see what he used to be like . 	woody faces difficult choices , while buz is confronted with a new buz who hasn't yet realized his status as a toy , forcing him to see what he used to be like .	2	-3	 woody[0] faces[0] difficult[-1] choices[0] while[0] buzz/buz[0] is[0] confronted[-2] with[0] a[0] new[0] buzz/buz[0] who[0] hasn't[0] yet[0] realized[0] his[0] status[0] as[0] a[0] toy[0] forcing[0] him[0] to[0] see[0] what[0] he[0] used[0] to[0] be[0] like[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the new characters are also developed quite well , especially jesse , who narrates a sarah mclachlan-aided flashback illustrating how she was loved , then forgotten by her owner . 	the new characters are also developed quite well , especially jesse , who narrates a sarah mclachlan-aided flashback illustrating how she was loved , then forgotten by her owner .	4	-1	 the[0] new[0] characters[0] are[0] also[0] developed[0] quite[0] well[0] especially[0] jesse[0] who[0] narrates[0] a[0] sarah[0] mclachlan[0] aided[0] flashback[0] illustrating[0] how[0] she[0] was[0] loved[3] then[0] forgotten[0] by[0] her[0] owner[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
it may be computer-animated , and it may have sappy music , but it's downright touching . 	it may be computer-animated , and it may have sappy music , but it's downright touching .	1	-1	 it[0] may[0] be[0] computer[0] animated[0] and[0] it[0] may[0] have[0] sappy[0] music[0] but[0] it's[0] downright[0] touching[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the script , despite having a story and screenplay each credited to four different writers , is endlessly clever and inventive , especially considering that it's a sequel . 	the script , despite having a story and screenplay each credited to four different writers , is endlessly clever and inventive , especially considering that it's a sequel .	1	-1	 the[0] script[0] despite[0] having[0] a[0] story[0] and[0] screenplay[0] each[0] credited[0] to[0] four[0] different[0] writers[0] is[0] endlessly[0] clever[0] and[0] inventive[0] especially[0] considering[0] that[0] it's[0] a[0] sequel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the reason " toy story 2 " works where other movie sequels fail is that it refuses to just capitalize on the original's success by re-doing the same story and using the same characters . 	the reason " toy story 2 " works where other movie sequels fail is that it refuses to just capitalize on the original's success by re-doing the same story and using the same characters .	3	-3	 the[0] reason[0] toy[0] story[0] 2[0] works[0] where[0] other[0] movie[0] sequels[0] fail[-2] is[0] that[0] it[0] refuses[-1] to[0] just[0] capitalize[0] on[0] the[0] original's[0] success[2] by[0] re[0] doing[0] the[0] same[0] story[0] and[0] using[0] the[0] same[0] characters[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
not this one . 	not this one .	1	-1	 not[0] this[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we get character change , new characters , and new issues brought up . 	we get character change , new characters , and new issues brought up .	1	-1	 we[0] get[0] character[0] change[0] new[0] characters[0] and[0] new[0] issues[0] brought[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " toy story 2 " is also remarkable for the way in which it keeps reinventing itself . 	 " toy story 2 " is also remarkable for the way in which it keeps reinventing itself .	1	-1	 toy[0] story[0] 2[0] is[0] also[0] remarkable[0] for[0] the[0] way[0] in[0] which[0] it[0] keeps[0] reinventing[0] itself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is always another clever idea waiting just around the corner here . 	there is always another clever idea waiting just around the corner here .	1	-1	 there[0] is[0] always[0] another[0] clever[0] idea[0] waiting[0] just[0] around[0] the[0] corner[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the humor is sharp and witty , with something to amuse both kids and adults . 	the humor is sharp and witty , with something to amuse both kids and adults .	3	-1	 the[0] humor[2] is[0] sharp[0] and[0] witty[0] with[0] something[0] to[0] amuse[1] both[0] kids[0] and[0] adults[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there are funny asides to films such as " star wars " and " jurassic park , " among others , new takes on classic toys like barbie and rock 'em sock 'em robots , and appearances from other pixar efforts " a bug's life " and the 1997 short " geri 's game . " 	there are funny asides to films such as " star wars " and " jurassic park , " among others , new takes on classic toys like barbie and rock 'em sock 'em robots , and appearances from other pixar efforts " a bug's life " and the 1997 short " geri 's game .<br> "	2	-3	 there[0] are[0] funny[1] asides[0] to[0] films[0] such[0] as[0] star[0] wars[-2] and[0] jurassic[0] park[0] among[0] others[0] new[0] takes[0] on[0] classic[0] toys[0] like[1] barbie[0] and[0] rock[1] 'em[0] sock[0] 'em[0] robots[0] and[0] appearances[0] from[0] other[0] pixar[0] efforts[0] a[0] bug's[0] life[0] and[0] the[0] 1997[0] short[0] geri[0] 's[0] game[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 ( geri himself makes an appearance as a toy repairman who fixes woody's broken arm . ) 	 ( geri himself makes an appearance as a toy repairman who fixes woody's broken arm .<br> )	1	-2	 geri[0] himself[0] makes[0] an[0] appearance[0] as[0] a[0] toy[0] repairman[0] who[0] fixes[0] woody's[0] broken[-1] arm[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the action is fast and furious , and the chases ( in the street , in a toy store , in an elevator , on a baggage carousel , and in an airplane ) keep getting bigger and better . 	the action is fast and furious , and the chases ( in the street , in a toy store , in an elevator , on a baggage carousel , and in an airplane ) keep getting bigger and better .	1	-4	 the[0] action[0] is[0] fast[0] and[0] furious[-3] and[0] the[0] chases[-1] in[0] the[0] street[0] in[0] a[0] toy[0] store[0] in[0] an[0] elevator[0] on[0] a[0] baggage[0] carousel[0] and[0] in[0] an[0] airplane[0] keep[0] getting[0] bigger[0] and[0] better[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 " toy story 2 " never grows stagnant , because there is always something new to hold your interest . 	 " toy story 2 " never grows stagnant , because there is always something new to hold your interest .	2	-1	 toy[0] story[0] 2[0] never[0] grows[0] stagnant[-1][NegatedDueToPreviousWord] because[0] there[0] is[0] always[0] something[0] new[0] to[0] hold[0] your[0] interest[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the more you pay attention to it , the more rewarding it is . 	the more you pay attention to it , the more rewarding it is .	2	-1	 the[0] more[0] you[0] pay[0] attention[0] to[0] it[0] the[0] more[0] rewarding[1] it[0] is[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's rare to see a film like " toy story 2 " come along , because it's the kind of film that's almost impossible to dislike . 	it's rare to see a film like " toy story 2 " come along , because it's the kind of film that's almost impossible to dislike .	2	-3	 it's[0] rare[0] to[0] see[0] a[0] film[0] like[1] toy[0] story[0] 2[0] come[0] along[0] because[0] it's[0] the[0] kind[1] of[0] film[0] that's[0] almost[0] impossible[0] to[0] dislike[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's created purely to entertain , and though i enjoy a thought-provoking drama as much as the next person , it's nice to see that films are still trying to do exactly what movies first tried to do : send us out with a smile . 	it's created purely to entertain , and though i enjoy a thought-provoking drama as much as the next person , it's nice to see that films are still trying to do exactly what movies first tried to do : send us out with a smile .	3	-1	 it's[0] created[0] purely[0] to[0] entertain[0] and[0] though[0] i[0] enjoy[2] a[0] thought[0] provoking[0] drama[0] as[0] much[0] as[0] the[0] next[0] person[0] it's[0] nice[1] to[0] see[0] that[0] films[0] are[0] still[0] trying[0] to[0] do[0] exactly[0] what[0] movies[0] first[0] tried[0] to[0] do[0] send[0] us[0] out[0] with[0] a[0] smile[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's a fair bet that the whole family will have smiles on their collective faces after seeing " toy story 2 . " it's the rare sequel that manages to expand on , and live up to , the original . 	it's a fair bet that the whole family will have smiles on their collective faces after seeing " toy story 2 .<br> " it's the rare sequel that manages to expand on , and live up to , the original .	3	-1	 it's[0] a[0] fair[0] bet[0] that[0] the[0] whole[0] family[0] will[0] have[0] smiles[2] on[0] their[0] collective[0] faces[0] after[0] seeing[0] toy[0] story[0] 2[0] [[Sentence=-1,3=word max, 1-5]] it's[0] the[0] rare[0] sequel[0] that[0] manages[0] to[0] expand[0] on[0] and[0] live[0] up[0] to[0] the[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
