matthew broderick and high school comedy . 	Translation	Positive	Negative	EmotionRationale
tracy is the type of person that you remember from high school . 	tracy is the type of person that you remember from high school .	1	-1	 tracy[0] is[0] the[0] type[0] of[0] person[0] that[0] you[0] remember[0] from[0] high[0] school[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she is the girl that would be labeled " most likely to achieve anything she wants " in the yearbook , and everyone secretly envied her because of that . 	she is the girl that would be labeled " most likely to achieve anything she wants " in the yearbook , and everyone secretly envied her because of that .	1	-3	 she[0] is[0] the[0] girl[0] that[0] would[0] be[0] labeled[0] most[0] likely[0] to[0] achieve[0] anything[0] she[0] wants[0] in[0] the[0] yearbook[0] and[0] everyone[0] secretly[0] envied[-2] her[0] because[0] of[0] that[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
jim is a teacher that takes the trust that students give him as a privilege , and uses it to his own amoral advantage . 	jim is a teacher that takes the trust that students give him as a privilege , and uses it to his own amoral advantage .	2	-3	 jim[0] is[0] a[0] teacher[0] that[0] takes[0] the[0] trust[1] that[0] students[0] give[0] him[0] as[0] a[0] privilege[1] and[0] uses[0] it[0] to[0] his[0] own[0] amoral[-2] advantage[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
everyone , including the principal , a former teacher , all the candidates , and even paul's girlfriend are two sided characters . 	everyone , including the principal , a former teacher , all the candidates , and even paul's girlfriend are two sided characters .	1	-1	 everyone[0] including[0] the[0] principal[0] a[0] former[0] teacher[0] all[0] the[0] candidates[0] and[0] even[0] paul's[0] girlfriend[0] are[0] two[0] sided[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that is much of this film's beauty , it doesn't have the typical good guys that hollywood likes , instead it is a realistic portrayal of the real world , specializing in revealing the type of sexual perversions that people usually keep to themselves . 	that is much of this film's beauty , it doesn't have the typical good guys that hollywood likes , instead it is a realistic portrayal of the real world , specializing in revealing the type of sexual perversions that people usually keep to themselves .	3	-2	 that[0] is[0] much[0] of[0] this[0] film's[0] beauty[2] it[0] doesn't[0] have[0] the[0] typical[0] good[1] guys[0] that[0] hollywood[0] likes[2] instead[0] it[0] is[0] a[0] realistic[0] portrayal[0] of[0] the[0] real[0] world[0] specializing[1] in[0] revealing[0] the[0] type[0] of[0] sexual[0] perversions[-1] that[0] people[0] usually[0] keep[0] to[0] themselves[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
matthew broderick couldn't have been any more perfect for this role . 	matthew broderick couldn't have been any more perfect for this role .	2	-1	 matthew[0] broderick[0] couldn't[0] have[0] been[0] any[0] more[0] perfect[1] for[0] this[0] role[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his character is often similar bill murray's award winning role in the 1998 film , rushmore . 	his character is often similar bill murray's award winning role in the 1998 film , rushmore .	2	-1	 his[0] character[0] is[0] often[0] similar[0] bill[0] murray's[0] award[0] winning[1] role[0] in[0] the[0] 1998[0] film[0] rushmore[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
of the two acting jobs , broderick's is far superior . 	of the two acting jobs , broderick's is far superior .	3	-1	 of[0] the[0] two[0] acting[0] jobs[0] broderick's[0] is[0] far[0] superior[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but even he is overshadowed by the young reese witherspoon . 	but even he is overshadowed by the young reese witherspoon .	1	-1	 but[0] even[0] he[0] is[0] overshadowed[0] by[0] the[0] young[0] reese[0] witherspoon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the hatred that she causes the audience to develop towards her , is simply indescribable . 	the hatred that she causes the audience to develop towards her , is simply indescribable .	1	-4	 the[0] hatred[-3] that[0] she[0] causes[0] the[0] audience[0] to[0] develop[0] towards[0] her[0] is[0] simply[0] indescribable[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
broderick and witherspoon are simply at their best when they are playing off each other in various scenes . 	broderick and witherspoon are simply at their best when they are playing off each other in various scenes .	2	-1	 broderick[0] and[0] witherspoon[0] are[0] simply[0] at[0] their[0] best[1] when[0] they[0] are[0] playing[1] off[0] each[0] other[0] in[0] various[0] scenes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one such moment occurs when she approaches him in his car as he is leaving school one day . 	one such moment occurs when she approaches him in his car as he is leaving school one day .	1	-1	 one[0] such[0] moment[0] occurs[0] when[0] she[0] approaches[0] him[0] in[0] his[0] car[0] as[0] he[0] is[0] leaving[0] school[0] one[0] day[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you can see her self pride in her eyes as she presents him a list of signatures , making her an eligible candidate . 	you can see her self pride in her eyes as she presents him a list of signatures , making her an eligible candidate .	2	-1	 you[0] can[0] see[0] her[0] self[0] pride[1] in[0] her[0] eyes[0] as[0] she[0] presents[0] him[0] a[0] list[0] of[0] signatures[0] making[0] her[0] an[0] eligible[0] candidate[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and his subtle disgust with her is apparent , although he tries to mask it between the lines and attempts to put on a happy face . 	and his subtle disgust with her is apparent , although he tries to mask it between the lines and attempts to put on a happy face .	2	-4	 and[0] his[0] subtle[0] disgust[-3] with[0] her[0] is[0] apparent[0] although[0] he[0] tries[0] to[0] mask[0] it[0] between[0] the[0] lines[0] and[0] attempts[0] to[0] put[0] on[0] a[0] happy[1] face[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the supporting cast is one with little hollywood experience . 	the supporting cast is one with little hollywood experience .	2	-1	 the[0] supporting[1] cast[0] is[0] one[0] with[0] little[0] hollywood[0] experience[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but that is far from apparent as everyone takes control of their part . 	but that is far from apparent as everyone takes control of their part .	1	-1	 but[0] that[0] is[0] far[0] from[0] apparent[0] as[0] everyone[0] takes[0] control[0] of[0] their[0] part[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , the real treat is jessica campbell in her confused role as a young homosexual girl . 	however , the real treat is jessica campbell in her confused role as a young homosexual girl .	2	-2	 however[0] the[0] real[0] treat[1] is[0] jessica[0] campbell[0] in[0] her[0] confused[-1] role[0] as[0] a[0] young[0] homosexual[0] girl[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this is never more apparent than the scene where she delivers her speech announcing her so-called platform for presidency . 	this is never more apparent than the scene where she delivers her speech announcing her so-called platform for presidency .	1	-1	 this[0] is[0] never[0] more[0] apparent[0] than[0] the[0] scene[0] where[0] she[0] delivers[0] her[0] speech[0] announcing[0] her[0] so[0] called[0] platform[0] for[0] presidency[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she is just marvelous as her hatred towards what she thinks to be an unjust system is expressed . 	she is just marvelous as her hatred towards what she thinks to be an unjust system is expressed .	1	-4	 she[0] is[0] just[0] marvelous[0] as[0] her[0] hatred[-3] towards[0] what[0] she[0] thinks[0] to[0] be[0] an[0] unjust[-1] system[0] is[0] expressed[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
if ferris buehler made you feel good about american high schools , and gave you an innocent laugh or two , then the movie achieved its goal . 	if ferris buehler made you feel good about american high schools , and gave you an innocent laugh or two , then the movie achieved its goal .	2	-1	 if[0] ferris[0] buehler[0] made[0] you[0] feel[0] good[1] about[0] american[0] high[0] schools[0] and[0] gave[0] you[0] an[0] innocent[1] laugh[1] or[0] two[0] then[0] the[0] movie[0] achieved[0] its[0] goal[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but don't you dare think that election's goals are similar . 	but don't you dare think that election's goals are similar .	1	-1	 but[0] don't[0] you[0] dare[0] think[0] that[0] election's[0] goals[0] are[0] similar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is just as real in its portrayal of high school , as its characters are in the real world . 	it is just as real in its portrayal of high school , as its characters are in the real world .	1	-1	 it[0] is[0] just[0] as[0] real[0] in[0] its[0] portrayal[0] of[0] high[0] school[0] as[0] its[0] characters[0] are[0] in[0] the[0] real[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there certainly is no pile of marshmallows here . 	there certainly is no pile of marshmallows here .	1	-1	 there[0] certainly[0] is[0] no[0] pile[0] of[0] marshmallows[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
