with his last two films - shine and snow falling on cedars - australian director scott hicks has proven his cinematic flashbacks to be some of the best out there , and his latest , hearts in atlantis , is no different . 	Translation	Positive	Negative	EmotionRationale
atlantis' present-day setting which bookends the film is based on the novel's final chapter , titled heavenly shades of night are falling , and features david morse ( in yet another connection to the green mile ) as a married , middle-aged bobby who learns of the death of both of his childhood friends and returns to the dilapidated boarding house in which he spent his formative years . 	atlantis' present-day setting which bookends the film is based on the novel's final chapter , titled heavenly shades of night are falling , and features david morse ( in yet another connection to the green mile ) as a married , middle-aged bobby who learns of the death of both of his childhood friends and returns to the dilapidated boarding house in which he spent his formative years .	2	-3	 atlantis'[0] present[0] day[0] setting[0] which[0] bookends[0] the[0] film[0] is[0] based[0] on[0] the[0] novel's[0] final[0] chapter[0] titled[0] heavenly[1] shades[0] of[0] night[0] are[0] falling[0] and[0] features[0] david[0] morse[0] in[0] yet[0] another[0] connection[0] to[0] the[0] green[0] mile[0] as[0] a[0] married[0] middle[0] aged[0] bobby[0] who[0] learns[0] of[0] the[0] death[-2] of[0] both[0] of[0] his[0] childhood[0] friends[1] and[0] returns[0] to[0] the[0] dilapidated[0] boarding[0] house[0] in[0] which[0] he[0] spent[0] his[0] formative[0] years[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
atlantis is nowhere near as flashy as hicks' cedars , which is disappointing but understandable considering the switch from the completely amazing robert richardson to the occasionally amazing piotr sobocinski , the oscar-nominated cinematographer behind krzysztof kieslowski's red . 	atlantis is nowhere near as flashy as hicks' cedars , which is disappointing but understandable considering the switch from the completely amazing robert richardson to the occasionally amazing piotr sobocinski , the oscar-nominated cinematographer behind krzysztof kieslowski's red .	4	-2	 atlantis[0] is[0] nowhere[0] near[0] as[0] flashy[0] as[0] hicks'[0] cedars[0] which[0] is[0] disappointing[-1] but[0] understandable[0] considering[0] the[0] switch[0] from[0] the[0] completely[0] amazing[2][1 LastWordBoosterStrength] robert[0] richardson[0] to[0] the[0] occasionally[0] amazing[2] piotr[0] sobocinski[0] the[0] oscar[0] nominated[0] cinematographer[0] behind[0] krzysztof[0] kieslowski's[0] red[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the acting is solid from everyone , including hopkins , who never once makes you think of dr . lecter . 	the acting is solid from everyone , including hopkins , who never once makes you think of dr .<br> lecter .	1	-1	 the[0] acting[0] is[0] solid[0] from[0] everyone[0] including[0] hopkins[0] who[0] never[0] once[0] makes[0] you[0] think[0] of[0] dr[0] [[Sentence=-1,1=word max, 1-5]] lecter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most impressive are youngsters yelchin and boorem , who both had tiny parts in along came a spider . 	most impressive are youngsters yelchin and boorem , who both had tiny parts in along came a spider .	2	-1	 most[0] impressive[1] are[0] youngsters[0] yelchin[0] and[0] boorem[0] who[0] both[0] had[0] tiny[0] parts[0] in[0] along[0] came[0] a[0] spider[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while i didn't really have much of a problem with goldman's screenplay , i do need to point out at least one inconsistency . 	while i didn't really have much of a problem with goldman's screenplay , i do need to point out at least one inconsistency .	1	-2	 while[0] i[0] didn't[0] really[0] have[0] much[0] of[0] a[0] problem[-1] with[0] goldman's[0] screenplay[0] i[0] do[0] need[0] to[0] point[0] out[0] at[0] least[0] one[0] inconsistency[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
goldman , for those of you who don't read premiere , writes what seems like an annual criticism of everybody else's films , carefully explaining why they all suck , make no sense and insult their audiences , while somehow failing to mention the crap that he's penned ( like the general's daughter ) . 	goldman , for those of you who don't read premiere , writes what seems like an annual criticism of everybody else's films , carefully explaining why they all suck , make no sense and insult their audiences , while somehow failing to mention the crap that he's penned ( like the general's daughter ) .	2	-3	 goldman[0] for[0] those[0] of[0] you[0] who[0] don't[0] read[0] premiere[0] writes[0] what[0] seems[0] like[1] an[0] annual[0] criticism[-1] of[0] everybody[0] else's[0] films[0] carefully[0] explaining[0] why[0] they[0] all[0] suck[-1] make[0] no[0] sense[0] and[0] insult[-2] their[0] audiences[0] while[0] somehow[0] failing[-2] to[0] mention[0] the[0] crap[-2] that[0] he's[0] penned[0] like[1] the[0] general's[0] daughter[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's mean-spirited but fun to read , mostly on account of nobody else in hollywood having the balls to say anything remotely negative about anybody else in the business ( including michael jackson , o . j . 	it's mean-spirited but fun to read , mostly on account of nobody else in hollywood having the balls to say anything remotely negative about anybody else in the business ( including michael jackson , o .<br> j .	2	-2	 it's[0] mean[0] spirited[0] but[0] fun[1] to[0] read[0] mostly[0] on[0] account[0] of[0] nobody[0] else[0] in[0] hollywood[0] having[0] the[0] balls[0] to[0] say[0] anything[0] remotely[0] negative[-1] about[0] anybody[0] else[0] in[0] the[0] business[0] including[0] michael[0] jackson[0] o[0] [[Sentence=-2,2=word max, 1-5]] j[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
and robert blake ) . 	and robert blake ) .	1	-1	 and[0] robert[0] blake[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in atlantis , which is supposed to be told through the eyes of young bobby , one would assume he would have to be in each scene in order to have the memory to which to flash back . 	in atlantis , which is supposed to be told through the eyes of young bobby , one would assume he would have to be in each scene in order to have the memory to which to flash back .	1	-1	 in[0] atlantis[0] which[0] is[0] supposed[0] to[0] be[0] told[0] through[0] the[0] eyes[0] of[0] young[0] bobby[0] one[0] would[0] assume[0] he[0] would[0] have[0] to[0] be[0] in[0] each[0] scene[0] in[0] order[0] to[0] have[0] the[0] memory[0] to[0] which[0] to[0] flash[0] back[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , he's not , and it doesn't make sense . 	well , he's not , and it doesn't make sense .	1	-1	 well[0] he's[0] not[0] and[0] it[0] doesn't[0] make[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1 : 41 - pg-13 for violence and thematic elements 	1 : 41 - pg-13 for violence and thematic elements	1	-4	 1[0] 41[0] pg[0] -13[0] for[0] violence[-3] and[0] thematic[0] elements[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
