robert benton has assembled a stellar , mature cast for his latest feature , twilight , a film noir mystery set amid the fading stars of hollywood . 	Translation	Positive	Negative	EmotionRationale
luckily , there's more to the film than some sort of actor's recognition ceremony . 	luckily , there's more to the film than some sort of actor's recognition ceremony .	3	-1	 luckily[2] there's[0] more[0] to[0] the[0] film[0] than[0] some[0] sort[0] of[0] actor's[0] recognition[0] ceremony[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
twilight has a solid film noir-ish plot . 	twilight has a solid film noir-ish plot .	1	-1	 twilight[0] has[0] a[0] solid[0] film[0] noir[0] ish[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it may not have as many twists and turns as some of the classics , but it has much more than a lot of what passes for film these days . 	it may not have as many twists and turns as some of the classics , but it has much more than a lot of what passes for film these days .	1	-1	 it[0] may[0] not[0] have[0] as[0] many[0] twists[0] and[0] turns[0] as[0] some[0] of[0] the[0] classics[0] but[0] it[0] has[0] much[0] more[0] than[0] a[0] lot[0] of[0] what[0] passes[0] for[0] film[0] these[0] days[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the major cast members all deliver strong performances , as can be expected of their caliber . 	the major cast members all deliver strong performances , as can be expected of their caliber .	1	-1	 the[0] major[0] cast[0] members[0] all[0] deliver[0] strong[0] performances[0] as[0] can[0] be[0] expected[0] of[0] their[0] caliber[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , none of them have that little extra oomph which would make them memorable . 	however , none of them have that little extra oomph which would make them memorable .	1	-1	 however[0] none[0] of[0] them[0] have[0] that[0] little[0] extra[0] oomph[0] which[0] would[0] make[0] them[0] memorable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the supporting cast is enjoyable , if a little underdrawn . 	the supporting cast is enjoyable , if a little underdrawn .	3	-1	 the[0] supporting[1] cast[0] is[0] enjoyable[2] if[0] a[0] little[0] underdrawn[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
stockard channing's character , in particular , is a cipher . 	stockard channing's character , in particular , is a cipher .	1	-1	 stockard[0] channing's[0] character[0] in[0] particular[0] is[0] a[0] cipher[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's more to her character than the film takes the time to describe . 	there's more to her character than the film takes the time to describe .	1	-1	 there's[0] more[0] to[0] her[0] character[0] than[0] the[0] film[0] takes[0] the[0] time[0] to[0] describe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a minor , but irritating , flaw . 	it's a minor , but irritating , flaw .	1	-3	 it's[0] a[0] minor[0] but[0] irritating[-2] flaw[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
with a solid cast , and a good plot , there's a lot to recommend about twilight . 	with a solid cast , and a good plot , there's a lot to recommend about twilight .	2	-1	 with[0] a[0] solid[0] cast[0] and[0] a[0] good[1] plot[0] there's[0] a[0] lot[0] to[0] recommend[0] about[0] twilight[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's biggest flaw is actually its short running time . 	it's biggest flaw is actually its short running time .	1	-2	 it's[0] biggest[0] flaw[-1] is[0] actually[0] its[0] short[0] running[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at a slim 94 minutes , there's a lot of stuff that's packed into an awfully small package . 	at a slim 94 minutes , there's a lot of stuff that's packed into an awfully small package .	1	-4	 at[0] a[0] slim[0] 94[0] minutes[0] there's[0] a[0] lot[0] of[0] stuff[0] that's[0] packed[0] into[0] an[0] awfully[-3] small[0] package[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
still , the chance to see newman , sarandon and hackman working together is worth a cramp or two . 	still , the chance to see newman , sarandon and hackman working together is worth a cramp or two .	1	-2	 still[0] the[0] chance[0] to[0] see[0] newman[0] sarandon[0] and[0] hackman[0] working[0] together[0] is[0] worth[0] a[0] cramp[-1] or[0] two[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
