driving miss daisy takes its sweet time to tell a small , intimate story . 	Translation	Positive	Negative	EmotionRationale
the insurance company cancels her insurance , and her son , boolie , decides to hire her a chauffeur . 	the insurance company cancels her insurance , and her son , boolie , decides to hire her a chauffeur .	1	-2	 the[0] insurance[0] company[0] cancels[-1] her[0] insurance[0] and[0] her[0] son[0] boolie[0] decides[0] to[0] hire[0] her[0] a[0] chauffeur[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
freeman , reprising his role from the play , plays the chauffeur , hoke . 	freeman , reprising his role from the play , plays the chauffeur , hoke .	2	-1	 freeman[0] reprising[0] his[0] role[0] from[0] the[0] play[0] plays[1] the[0] chauffeur[0] hoke[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film chronicles the warm friendship that slowly but surely blossoms between the chauffeur and his reluctant passenger . 	the film chronicles the warm friendship that slowly but surely blossoms between the chauffeur and his reluctant passenger .	2	-2	 the[0] film[0] chronicles[0] the[0] warm[0] friendship[1] that[0] slowly[0] but[0] surely[0] blossoms[0] between[0] the[0] chauffeur[0] and[0] his[0] reluctant[-1] passenger[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
driving miss daisy is a movie about human nature , aging , prejudice , and a great many other things , but more than anything it's about a relationship : one that spans 25 years , 4 cars , the advent of civil rights , and one gravely important 33 cent can of salmon . 	driving miss daisy is a movie about human nature , aging , prejudice , and a great many other things , but more than anything it's about a relationship : one that spans 25 years , 4 cars , the advent of civil rights , and one gravely important 33 cent can of salmon .	3	-3	 driving[0] miss[-1] daisy[0] is[0] a[0] movie[0] about[0] human[0] nature[0] aging[0] prejudice[-2] and[0] a[0] great[2] many[0] other[0] things[0] but[0] more[0] than[0] anything[0] it's[0] about[0] a[0] relationship[0] one[0] that[0] spans[0] 25[0] years[0] 4[0] cars[0] the[0] advent[0] of[0] civil[0] rights[0] and[0] one[0] gravely[0] important[0] 33[0] cent[0] can[0] of[0] salmon[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
daisy is strong-willed and set in her ways , and , from the outset , she is utterly opposed to the idea of having a chauffeur . 	daisy is strong-willed and set in her ways , and , from the outset , she is utterly opposed to the idea of having a chauffeur .	1	-1	 daisy[0] is[0] strong[0] willed[0] and[0] set[0] in[0] her[0] ways[0] and[0] from[0] the[0] outset[0] she[0] is[0] utterly[0] opposed[0] to[0] the[0] idea[0] of[0] having[0] a[0] chauffeur[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
initially , she treats hoke with contempt , refusing to let him drive her anywhere . 	initially , she treats hoke with contempt , refusing to let him drive her anywhere .	1	-4	 initially[0] she[0] treats[0] hoke[0] with[0] contempt[-3] refusing[0] to[0] let[0] him[0] drive[0] her[0] anywhere[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
once she does get in the car , daisy is the ultimate back-seat driver . 	once she does get in the car , daisy is the ultimate back-seat driver .	1	-1	 once[0] she[0] does[0] get[0] in[0] the[0] car[0] daisy[0] is[0] the[0] ultimate[0] back[0] seat[0] driver[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to make matters worse , she is extremely self-conscious about what others might think if they were to see her being escorted around town by a hired hand . 	to make matters worse , she is extremely self-conscious about what others might think if they were to see her being escorted around town by a hired hand .	1	-3	 to[0] make[0] matters[0] worse[-2] she[0] is[0] extremely[0] self[0] conscious[0] about[0] what[0] others[0] might[0] think[0] if[0] they[0] were[0] to[0] see[0] her[0] being[0] escorted[0] around[0] town[0] by[0] a[0] hired[0] hand[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
eventually , however , daisy is worn down by hoke's good-natured charm and infectious cheer ; she softens and opens up to him . 	eventually , however , daisy is worn down by hoke's good-natured charm and infectious cheer ; she softens and opens up to him .	2	-2	 eventually[0] however[0] daisy[0] is[0] worn[-1] down[0] by[0] hoke's[0] good[1] natured[0] charm[1] and[0] infectious[-1] cheer[1] she[0] softens[0] and[0] opens[0] up[0] to[0] him[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
tandy plays the part of daisy exceedingly well , but unfortunately this feisty , cantankerous character is just a smidgen too commonplace . 	tandy plays the part of daisy exceedingly well , but unfortunately this feisty , cantankerous character is just a smidgen too commonplace .	2	-2	 tandy[0] plays[1] the[0] part[0] of[0] daisy[0] exceedingly[0] well[0] but[0] unfortunately[-1] this[0] feisty[0] cantankerous[0] character[0] is[0] just[0] a[0] smidgen[0] too[0] commonplace[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we've seen this woman countless times before in other incarnations , from on golden pond to cocoon . 	we've seen this woman countless times before in other incarnations , from on golden pond to cocoon .	1	-1	 we've[0] seen[0] this[0] woman[0] countless[0] times[0] before[0] in[0] other[0] incarnations[0] from[0] on[0] golden[0] pond[0] to[0] cocoon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nevertheless , tandy manages to put enough of a personal stamp on the familiar character to make it her own . 	nevertheless , tandy manages to put enough of a personal stamp on the familiar character to make it her own .	1	-1	 nevertheless[0] tandy[0] manages[0] to[0] put[0] enough[0] of[0] a[0] personal[0] stamp[0] on[0] the[0] familiar[0] character[0] to[0] make[0] it[0] her[0] own[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
freeman , as hoke , on the other hand , gives the more distinctive of the two performances . 	freeman , as hoke , on the other hand , gives the more distinctive of the two performances .	1	-1	 freeman[0] as[0] hoke[0] on[0] the[0] other[0] hand[0] gives[0] the[0] more[0] distinctive[0] of[0] the[0] two[0] performances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is something profoundly moving about the way hoke maintains his pride and dignity in a society which forbids him from using public rest rooms because of his skin color . 	there is something profoundly moving about the way hoke maintains his pride and dignity in a society which forbids him from using public rest rooms because of his skin color .	2	-2	 there[0] is[0] something[0] profoundly[0] moving[0] about[0] the[0] way[0] hoke[0] maintains[0] his[0] pride[1] and[0] dignity[1] in[0] a[0] society[0] which[0] forbids[-1] him[0] from[0] using[0] public[0] rest[0] rooms[0] because[0] of[0] his[0] skin[0] color[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
hoke is uneducated and illiterate , but freeman always suggests that there is something more to this man , an inner strength beneath the simpleton exterior . 	hoke is uneducated and illiterate , but freeman always suggests that there is something more to this man , an inner strength beneath the simpleton exterior .	1	-2	 hoke[0] is[0] uneducated[0] and[0] illiterate[-1] but[0] freeman[0] always[0] suggests[0] that[0] there[0] is[0] something[0] more[0] to[0] this[0] man[0] an[0] inner[0] strength[0] beneath[0] the[0] simpleton[-1] exterior[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
both freeman and tandy seem to be in their element , in full command of their natural charisma . 	both freeman and tandy seem to be in their element , in full command of their natural charisma .	1	-1	 both[0] freeman[0] and[0] tandy[0] seem[0] to[0] be[0] in[0] their[0] element[0] in[0] full[0] command[0] of[0] their[0] natural[0] charisma[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they flirt with the camera and dominate scenes without overtly calling attention to themselves . 	they flirt with the camera and dominate scenes without overtly calling attention to themselves .	2	-2	 they[0] flirt[1] with[0] the[0] camera[0] and[0] dominate[-1] scenes[0] without[0] overtly[0] calling[0] attention[0] to[0] themselves[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they bring a light touch to their humorous banter and to the movie's gentle humor . 	they bring a light touch to their humorous banter and to the movie's gentle humor .	3	-1	 they[0] bring[0] a[0] light[0] touch[0] to[0] their[0] humorous[2] banter[0] and[0] to[0] the[0] movie's[0] gentle[1] humor[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
at the same time , tandy and freeman provide more than a few moments of truly poignant drama . 	at the same time , tandy and freeman provide more than a few moments of truly poignant drama .	2	-1	 at[0] the[0] same[0] time[0] tandy[0] and[0] freeman[0] provide[0] more[0] than[0] a[0] few[0] moments[0] of[0] truly[1] poignant[0] drama[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in his first dramatic role , dan aykroyd is surprisingly chubby and unexpectedly effective as boolie , tandy's loving and patient son . 	in his first dramatic role , dan aykroyd is surprisingly chubby and unexpectedly effective as boolie , tandy's loving and patient son .	4	-2	 in[0] his[0] first[0] dramatic[0] role[0] dan[0] aykroyd[0] is[0] surprisingly[0] chubby[0] and[0] unexpectedly[-1] effective[0] as[0] boolie[0] tandy's[0] loving[3] and[0] patient[0] son[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
drama seems to agree with aykroyd ; taking a break from comedy seems like a good move for the actor , especially when you consider the wretched comedies he has made recently ( ghostbusters ii , the great outdoors , my stepmother is an alien ) . 	drama seems to agree with aykroyd ; taking a break from comedy seems like a good move for the actor , especially when you consider the wretched comedies he has made recently ( ghostbusters i , the great outdoors , my stepmother is an alien ) .	3	-3	 drama[0] seems[0] to[0] agree[0] with[0] aykroyd[0] taking[0] a[0] break[0] from[0] comedy[0] seems[0] like[1] a[0] good[1] move[0] for[0] the[0] actor[0] especially[0] when[0] you[0] consider[0] the[0] wretched[-2] comedies[0] he[0] has[0] made[0] recently[0] ghostbusters[0] ii/i[0] the[0] great[2] outdoors[0] my[0] stepmother[0] is[0] an[0] alien[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the only other significant characters in the film are daisy's housekeeper , idella , marvelously played by esther rolle ( " good times " ) , and boolie's pretentious wife , played by patti lupone . 	the only other significant characters in the film are daisy's housekeeper , idella , marvelously played by esther role ( " good times " ) , and boolie's pretentious wife , played by patti lupone .	2	-2	 the[0] only[0] other[0] significant[0] characters[0] in[0] the[0] film[0] are[0] daisy's[0] housekeeper[0] idella[0] marvelously[0] played[0] by[0] esther[0] rolle/role[0] good[1] times[0] and[0] boolie's[0] pretentious[-1] wife[0] played[0] by[0] patti[0] lupone[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
under the direction of bruce beresford ( crimes of the heart , tender mercies ) , driving miss daisy seems a bit stagey now and again . 	under the direction of bruce beresford ( crimes of the heart , tender mercies ) , driving miss daisy seems a bit stagey now and again .	3	-2	 under[0] the[0] direction[0] of[0] bruce[0] beresford[0] crimes[-1] of[0] the[0] heart[0] tender[2] mercies[0] driving[0] miss[-1] daisy[0] seems[0] a[0] bit[0] stagey[0] now[0] and[0] again[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but fortunately , beresford never forgets he's shooting a movie , and accordingly , he offers plenty of striking cinematic touches , such as gorgeous shots of flowers , trees , and tomatoes . 	but fortunately , beresford never forgets he's shooting a movie , and accordingly , he offers plenty of striking cinematic touches , such as gorgeous shots of flowers , trees , and tomatoes .	3	-2	 but[0] fortunately[0] beresford[0] never[0] forgets[0] he's[0] shooting[-1] a[0] movie[0] and[0] accordingly[0] he[0] offers[0] plenty[0] of[0] striking[0] cinematic[0] touches[0] such[0] as[0] gorgeous[2] shots[0] of[0] flowers[0] trees[0] and[0] tomatoes[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in adapting driving miss daisy from the stage to the screen , the filmmakers have achieved a delicate subtlety . 	in adapting driving miss daisy from the stage to the screen , the filmmakers have achieved a delicate subtlety .	2	-2	 in[0] adapting[0] driving[0] miss[-1] daisy[0] from[0] the[0] stage[0] to[0] the[0] screen[0] the[0] filmmakers[0] have[0] achieved[0] a[0] delicate[0] subtlety[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
uhry understands that what his characters do not say can be just as important as what they do say . 	uhry understands that what his characters do not say can be just as important as what they do say .	1	-1	 uhry[0] understands[0] that[0] what[0] his[0] characters[0] do[0] not[0] say[0] can[0] be[0] just[0] as[0] important[0] as[0] what[0] they[0] do[0] say[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
beresford wisely exercises restraint in the film's dramatic moments . 	beresford wisely exercises restraint in the film's dramatic moments .	1	-1	 beresford[0] wisely[0] exercises[0] restraint[0] in[0] the[0] film's[0] dramatic[0] moments[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie tugs at your heart , but it never goes for the jugular . 	the movie tugs at your heart , but it never goes for the jugular .	1	-1	 the[0] movie[0] tugs[0] at[0] your[0] heart[0] but[0] it[0] never[0] goes[0] for[0] the[0] jugular[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only sap in driving miss daisy is in the trees . 	the only sap in driving miss daisy is in the trees .	2	-2	 the[0] only[0] sap[-1] in[0] driving[0] miss[-1] daisy[0] is[0] in[0] the[0] trees[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
