i want to correct what i wrote in a former retrospective of david lean's war picture . 	Translation	Positive	Negative	EmotionRationale
a flaw of the picture is the clich ? d characterization of the japanese people . 	a flaw of the picture is the clich ?<br> d characterization of the japanese people .	1	-2	 a[0] flaw[-1] of[0] the[0] picture[0] is[0] the[0] clich[0] [[Sentence=-2,1=word max, 1-5]] d[0] characterization[0] of[0] the[0] japanese[0] people[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
they are presented as if they were intellectually inferior to the british - as if the japanese were incapable of building a bridge . 	they are presented as if they were intellectually inferior to the british - as if the japanese were incapable of building a bridge .	1	-2	 they[0] are[0] presented[0] as[0] if[0] they[0] were[0] intellectually[0] inferior[-1] to[0] the[0] british[0] as[0] if[0] the[0] japanese[0] were[0] incapable[-1] of[0] building[0] a[0] bridge[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and the film doesn't consistently question the military spirit as kubrick does in " paths of glory " . 	and the film doesn't consistently question the military spirit as kubrick does in " paths of glory " .	2	-1	 and[0] the[0] film[0] doesn't[0] consistently[0] question[0] the[0] military[0] spirit[0] as[0] kubrick[0] does[0] in[0] paths[0] of[0] glory[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
lean seems rather fascinated by the military hierarchies . 	lean seems rather fascinated by the military hierarchies .	1	-1	 lean[0] seems[0] rather[0] fascinated[0] by[0] the[0] military[0] hierarchies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is also perceptible in the conversations between col . nicholson and col . saito . 	this is also perceptible in the conversations between col .<br> nicholson and col .<br> saito .	1	-1	 this[0] is[0] also[0] perceptible[0] in[0] the[0] conversations[0] between[0] col[0] [[Sentence=-1,1=word max, 1-5]] nicholson[0] and[0] col[0] [[Sentence=-1,1=word max, 1-5]] saito[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in this regard it is symptomatic that shears , who doubts the military logic , is a somehow unpleasant person in the film . 	in this regard it is symptomatic that shears , who doubts the military logic , is a somehow unpleasant person in the film .	1	-3	 in[0] this[0] regard[0] it[0] is[0] symptomatic[-1] that[0] shears[0] who[0] doubts[-1] the[0] military[0] logic[0] is[0] a[0] somehow[0] unpleasant[-2] person[0] in[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the audience is supposed to applaud col . nicholson's perseverance concerning the question if his officers shall work on the bridge or not . 	the audience is supposed to applaud col .<br> nicholson's perseverance concerning the question if his officers shall work on the bridge or not .	2	-2	 the[0] audience[0] is[0] supposed[0] to[0] applaud[1] col[0] [[Sentence=-1,2=word max, 1-5]] nicholson's[0] perseverance[0] concerning[-1] the[0] question[0] if[0] his[0] officers[0] shall[0] work[0] on[0] the[0] bridge[0] or[0] not[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
the spectators are supposed to neglect the risks col . nicholson takes for his men . 	the spectators are supposed to neglect the risks col .<br> nicholson takes for his men .	1	-2	 the[0] spectators[0] are[0] supposed[0] to[0] neglect[0] the[0] risks[-1] col[0] [[Sentence=-2,1=word max, 1-5]] nicholson[0] takes[0] for[0] his[0] men[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( the plot by-passes these risks . ) 	 ( the plot by-passes these risks .<br> )	1	-2	 the[0] plot[0] by[0] passes[0] these[0] risks[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that means , the picture isn't perfect . 	that means , the picture isn't perfect .	1	-2	 that[0] means[0] the[0] picture[0] isn't[0] perfect[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but it has a lot of virtues as well . 	but it has a lot of virtues as well .	3	-1	 but[0] it[0] has[0] a[0] lot[0] of[0] virtues[2] as[0] well[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it shows the " madness " of war and what war can produce in people's minds . 	it shows the " madness " of war and what war can produce in people's minds .	1	-3	 it[0] shows[0] the[0] madness[-1] of[0] war[-2] and[0] what[0] war[-2] can[0] produce[0] in[0] people's[0] minds[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it shows how col . nicholson becomes possessed by the idea of being a hero and that others ( like shears ) get cynics . 	it shows how col .<br> nicholson becomes possessed by the idea of being a hero and that others ( like shears ) get cynics .	3	-2	 it[0] shows[0] how[0] col[0] [[Sentence=-1,1=word max, 1-5]] nicholson[0] becomes[0] possessed[0] by[0] the[0] idea[0] of[0] being[0] a[0] hero[2] and[0] that[0] others[0] like[1] shears[0] get[0] cynics[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and " the bridge on the river kwai " is an interesting study of characters with clashing interests . 	and " the bridge on the river kwai " is an interesting study of characters with clashing interests .	2	-1	 and[0] the[0] bridge[0] on[0] the[0] river[0] kwai[0] is[0] an[0] interesting[1] study[0] of[0] characters[0] with[0] clashing[0] interests[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
these points and the sometimes ironic dialogue make this film an anti-war film ( despite the inconsistencies in the treatment of this theme ) . 	these points and the sometimes ironic dialogue make this film an anti-war film ( despite the inconsistencies in the treatment of this theme ) .	1	-3	 these[0] points[0] and[0] the[0] sometimes[0] ironic[-1][--1 LastWordBoosterStrength] dialogue[0] make[0] this[0] film[0] an[0] anti[0] war[-2] film[0] despite[0] the[0] inconsistencies[-1] in[0] the[0] treatment[0] of[0] this[0] theme[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
david lean's effective and atmospherically perfect direction creates a high suspense , especially in the dramatic ( though not wholly plausible ) showdown . 	david lean's effective and atmospherically perfect direction creates a high suspense , especially in the dramatic ( though not wholly plausible ) showdown .	2	-1	 david[0] lean's[0] effective[0] and[0] atmospherically[0] perfect[1] direction[0] creates[0] a[0] high[0] suspense[0] especially[0] in[0] the[0] dramatic[0] though[0] not[0] wholly[0] plausible[0] showdown[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
alec guinness does a magnificent job of bringing col . nicholson to life and making him such an interesting character . 	alec guinness does a magnificent job of bringing col .<br> nicholson to life and making him such an interesting character .	4	-1	 alec[0] guinness[0] does[0] a[0] magnificent[3] job[0] of[0] bringing[0] col[0] [[Sentence=-1,4=word max, 1-5]] nicholson[0] to[0] life[0] and[0] making[0] him[0] such[0] an[0] interesting[1] character[0] [[Sentence=-1,2=word max, 1-5]][[[4,-1 max of sentences]]]
the other actors deliver very good performances as well . 	the other actors deliver very good performances as well .	3	-1	 the[0] other[0] actors[0] deliver[0] very[0] good[1][1 LastWordBoosterStrength] performances[0] as[0] well[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
jack hildyard's fine color cinematography and the apt score are also helpful . 	jack hildyard's fine color cinematography and the apt score are also helpful .	3	-1	 jack[0] hildyard's[0] fine[2] color[0] cinematography[0] and[0] the[0] apt[0] score[0] are[0] also[0] helpful[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i like this extraordinary film despite its weaknesses . 	i like this extraordinary film despite its weaknesses .	2	-2	 i[0] like[1] this[0] extraordinary[0] film[0] despite[0] its[0] weaknesses[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ( c ) karl rackwitz ( klein k ? ris , germany , 1999 ) 	 ( c ) karl rackwitz ( klein k ?<br> ris , germany , 199 )	1	-2	 c[0] karl[0] rackwitz[0] klein[0] k[0] [[Sentence=-1,1=word max, 1-5]] ris[0] germany[-1] 1999/199[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
