titantic , writer and director james cameron's much anticipated and sometimes ridiculed $200 , 000 , 000 epic , arrives shortly into the theaters so the question naturally arises , whether the film is worth it ? 	Translation	Positive	Negative	EmotionRationale
the necklace's hundred-year-old former owner , rose dewitt bukater ( gloria stuart ) , finds brock to tell him her story . 	the necklace's hundred-year-old former owner , rose dewitt bukater ( gloria stuart ) , finds brock to tell him her story .	2	-1	 the[0] necklace's[0] hundred[0] year[0] old[0] former[0] owner[0] rose[0] dewitt[0] bukater[0] gloria[1] stuart[0] finds[0] brock[0] to[0] tell[0] him[0] her[0] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although almost all of the movie happens in flashback , one of the engineers shows the elderly rose exactly how the ship was sunk . 	although almost all of the movie happens in flashback , one of the engineers shows the elderly rose exactly how the ship was sunk .	1	-1	 although[0] almost[0] all[0] of[0] the[0] movie[0] happens[0] in[0] flashback[0] one[0] of[0] the[0] engineers[0] shows[0] the[0] elderly[0] rose[0] exactly[0] how[0] the[0] ship[0] was[0] sunk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
using a computer simulation , the movie takes the time to explain what will happen later , which adds immensely to making a lucid story out of what would have otherwise been hopelessly confusing . 	using a computer simulation , the movie takes the time to explain what will happen later , which adds immensely to making a lucid story out of what would have otherwise been hopelessly confusing .	1	-4	 using[0] a[0] computer[0] simulation[0] the[0] movie[0] takes[0] the[0] time[0] to[0] explain[0] what[0] will[0] happen[0] later[0] which[0] adds[0] immensely[0] to[0] making[0] a[0] lucid[0] story[0] out[0] of[0] what[0] would[0] have[0] otherwise[0] been[0] hopelessly[-3] confusing[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
after twenty minutes , the story makes its jump to the past as the titanic leaves on her maiden voyage . 	after twenty minutes , the story makes its jump to the past as the titanic leaves on her maiden voyage .	1	-1	 after[0] twenty[0] minutes[0] the[0] story[0] makes[0] its[0] jump[0] to[0] the[0] past[0] as[0] the[0] titanic[0] leaves[0] on[0] her[0] maiden[0] voyage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a classic movie theme , the two parts of the ship , first class and steerage ( third-class ) exist in sharp contrast . 	in a classic movie theme , the two parts of the ship , first class and steerage ( third-class ) exist in sharp contrast .	1	-1	 in[0] a[0] classic[0] movie[0] theme[0] the[0] two[0] parts[0] of[0] the[0] ship[0] first[0] class[0] and[0] steerage[0] third[0] class[0] exist[0] in[0] sharp[0] contrast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the strength of the script is the way it paints the differences between rich and poor without excessive moralizing . 	the strength of the script is the way it paints the differences between rich and poor without excessive moralizing .	1	-2	 the[0] strength[0] of[0] the[0] script[0] is[0] the[0] way[0] it[0] paints[0] the[0] differences[0] between[0] rich[0] and[0] poor[-1] without[0] excessive[-1] moralizing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
entering the ship on its day out is rose along with her millionaire fiance , cal hockley , played with perfect snobbishness by billy zane . 	entering the ship on its day out is rose along with her millionaire fiance , cal hockley , played with perfect snobbishness by billy zane .	2	-3	 entering[0] the[0] ship[0] on[0] its[0] day[0] out[0] is[0] rose[0] along[0] with[0] her[0] millionaire[0] fiance[0] cal[0] hockley[0] played[0] with[0] perfect[1] snobbishness[-2] by[0] billy[0] zane[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and thanks to a last minute winning poker hand , an itinerant artist named jack dawson gets himself into a little shared cabin in third class . 	and thanks to a last minute winning poker hand , an itinerant artist named jack dawson gets himself into a little shared cabin in third class .	2	-1	 and[0] thanks[1] to[0] a[0] last[0] minute[0] winning[1] poker[0] hand[0] an[0] itinerant[0] artist[0] named[0] jack[0] dawson[0] gets[0] himself[0] into[0] a[0] little[0] shared[0] cabin[0] in[0] third[0] class[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even with her own promenade deck , rose feels trapped on the ship , what with an upcoming marriage to a man she loathes . 	even with her own promenade deck , rose feels trapped on the ship , what with an upcoming marriage to a man she loathes .	1	-1	 even[0] with[0] her[0] own[0] promenade[0] deck[0] rose[0] feels[0] trapped[0] on[0] the[0] ship[0] what[0] with[0] an[0] upcoming[0] marriage[0] to[0] a[0] man[0] she[0] loathes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in contrast , jack can barely contain his euphoria at being on board . 	in contrast , jack can barely contain his euphoria at being on board .	1	-1	 in[0] contrast[0] jack[0] can[0] barely[0] contain[0] his[0] euphoria[0] at[0] being[0] on[0] board[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after jack saves rose from committing suicide , they start a brief but impassioned love affair . 	after jack saves rose from committing suicide , they start a brief but impassioned love affair .	3	-4	 after[0] jack[0] saves[1] rose[0] from[0] committing[0] suicide[-3] they[0] start[0] a[0] brief[0] but[0] impassioned[0] love[2] affair[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
never tawdry and rarely explicit , their romance has the power to sweep the audience into the story . 	never tawdry and rarely explicit , their romance has the power to sweep the audience into the story .	4	-1	 never[0] tawdry[0] and[0] rarely[0] explicit[0] their[0] romance[3] has[0] the[0] power[0] to[0] sweep[0] the[0] audience[0] into[0] the[0] story[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
leonardo dicaprio in his best performance ever plays jack with confidence and charisma . 	leonardo dicaprio in his best performance ever plays jack with confidence and charisma .	2	-1	 leonardo[0] dicaprio[0] in[0] his[0] best[1] performance[0] ever[0] plays[1] jack[0] with[0] confidence[1] and[0] charisma[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in so many ways , small and large , he makes all the right decisions in his approach to the part . 	in so many ways , small and large , he makes all the right decisions in his approach to the part .	1	-1	 in[0] so[0] many[0] ways[0] small[0] and[0] large[0] he[0] makes[0] all[0] the[0] right[0] decisions[0] in[0] his[0] approach[0] to[0] the[0] part[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when he confronts cal , for example , he remains composed and polite and yet subtly undermines every one of cal's supercilious put-downs . 	when he confronts cal , for example , he remains composed and polite and yet subtly undermines every one of cal's supercilious put-downs .	1	-3	 when[0] he[0] confronts[-2] cal[0] for[0] example[0] he[0] remains[0] composed[0] and[0] polite[0] and[0] yet[0] subtly[0] undermines[-1] every[0] one[0] of[0] cal's[0] supercilious[0] put[0] downs[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
kate winslet gives a wonderfully captivating performance as young rose . 	kate winslet gives a wonderfully captivating performance as young rose .	3	-1	 kate[0] winslet[0] gives[0] a[0] wonderfully[2] captivating[0] performance[0] as[0] young[0] rose[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the chemistry between these two academy award nominees , him for what's eating gilbert grape and her for sense and sensibility , is nothing short of astonishing . 	the chemistry between these two academy award nominees , him for what's eating gilbert grape and her for sense and sensibility , is nothing short of astonishing .	1	-1	 the[0] chemistry[0] between[0] these[0] two[0] academy[0] award[0] nominees[0] him[0] for[0] what's[0] eating[0] gilbert[0] grape[0] and[0] her[0] for[0] sense[0] and[0] sensibility[0] is[0] nothing[0] short[0] of[0] astonishing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from the scene where he embarrasses her by repeatedly asking if she loves her finace to the beautiful one of them hanging off the ship's bow to the one where she embarrasses him by asking him to paint her nude , they dazzle the screen with a pair of mesmerizing performances . 	from the scene where he embarrasses her by repeatedly asking if she loves her finace to the beautiful one of them hanging off the ship's bow to the one where she embarrasses him by asking him to paint her nude , they dazle the screen with a pair of mesmerizing performances .	3	-3	 from[0] the[0] scene[0] where[0] he[0] embarrasses[-2] her[0] by[0] repeatedly[0] asking[0] if[0] she[0] loves[2] her[0] finace[0] to[0] the[0] beautiful[2] one[0] of[0] them[0] hanging[0] off[0] the[0] ship's[0] bow[0] to[0] the[0] one[0] where[0] she[0] embarrasses[-2] him[0] by[0] asking[0] him[0] to[0] paint[0] her[0] nude[0] they[0] dazzle/dazle[0] the[0] screen[0] with[0] a[0] pair[0] of[0] mesmerizing[0] performances[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
if the film breaks after an hour and a half , which is how long cameron wisely waits to have the iceberg show up , you will still get one of the best films of the year . 	if the film breaks after an hour and a half , which is how long cameron wisely waits to have the iceberg show up , you will still get one of the best films of the year .	2	-1	 if[0] the[0] film[0] breaks[0] after[0] an[0] hour[0] and[0] a[0] half[0] which[0] is[0] how[0] long[0] cameron[0] wisely[0] waits[0] to[0] have[0] the[0] iceberg[0] show[0] up[0] you[0] will[0] still[0] get[0] one[0] of[0] the[0] best[1] films[0] of[0] the[0] year[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
peter lamont's sets are more than authentic . 	peter lamont's sets are more than authentic .	1	-1	 peter[0] lamont's[0] sets[0] are[0] more[0] than[0] authentic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one scene , for example , starts with the planning-to-retire captain , played with insouciance by bernard hill , having his tea on deck . 	one scene , for example , starts with the planning-to-retire captain , played with insouciance by bernard hill , having his tea on deck .	1	-2	 one[0] scene[0] for[0] example[0] starts[0] with[0] the[0] planning[0] to[0] retire[-1] captain[0] played[0] with[0] insouciance[0] by[0] bernard[0] hill[0] having[0] his[0] tea[0] on[0] deck[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it then shifts to the ship's massive gears and then to the bright-hot boiler room filled with sweating muscular men shoveling in the coals . 	it then shifts to the ship's massive gears and then to the bright-hot boiler room filled with sweating muscular men shoveling in the coals .	1	-1	 it[0] then[0] shifts[0] to[0] the[0] ship's[0] massive[0] gears[0] and[0] then[0] to[0] the[0] bright[0] hot[0] boiler[0] room[0] filled[0] with[0] sweating[0] muscular[0] men[0] shoveling[0] in[0] the[0] coals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the handsome interior common rooms of the ship resemble a palace more than an ocean liner . 	the handsome interior common rooms of the ship resemble a palace more than an ocean liner .	2	-1	 the[0] handsome[1] interior[0] common[0] rooms[0] of[0] the[0] ship[0] resemble[0] a[0] palace[0] more[0] than[0] an[0] ocean[0] liner[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
easily the most fascinating part of the story is what happens after the iceberg hits and before the battle with the water begins in earnest . 	easily the most fascinating part of the story is what happens after the iceberg hits and before the battle with the water begins in earnest .	1	-2	 easily[0] the[0] most[0] fascinating[0] part[0] of[0] the[0] story[0] is[0] what[0] happens[0] after[0] the[0] iceberg[0] hits[0] and[0] before[0] the[0] battle[-1] with[0] the[0] water[0] begins[0] in[0] earnest[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at first , since the iceberg tears a series of little gashes in the hull , not some big gaping hole , the passengers view the hit as more of curiosity than anything else . 	at first , since the iceberg tears a series of little gashes in the hull , not some big gaping hole , the passengers view the hit as more of curiosity than anything else .	1	-4	 at[0] first[0] since[0] the[0] iceberg[0] tears[-3] a[0] series[0] of[0] little[0] gashes[-1] in[0] the[0] hull[0] not[0] some[0] big[0] gaping[0] hole[0] the[0] passengers[0] view[0] the[0] hit[0] as[0] more[0] of[0] curiosity[0] than[0] anything[0] else[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
what a lark . 	what a lark .	1	-1	 what[0] a[0] lark[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we've struck an iceberg . 	we've struck an iceberg .	1	-2	 we've[0] struck[-1] an[0] iceberg[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
now let's get back to our brandy and cigars . 	now let's get back to our brandy and cigars .	1	-1	 now[0] let's[0] get[0] back[0] to[0] our[0] brandy[0] and[0] cigars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the ship's musicians play like troopers through it all , even after the panic sets in . 	the ship's musicians play like troopers through it all , even after the panic sets in .	2	-3	 the[0] ship's[0] musicians[0] play[0] like[1] troopers[0] through[0] it[0] all[0] even[0] after[0] the[0] panic[-2] sets[0] in[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
after all , they see it as their duty to calm the passengers . 	after all , they see it as their duty to calm the passengers .	2	-2	 after[0] all[0] they[0] see[0] it[0] as[0] their[0] duty[-1] to[0] calm[1] the[0] passengers[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when the musicians are about to die , they politely thank each other for the pleasure of being able to play together , and they mean it . 	when the musicians are about to die , they politely thank each other for the pleasure of being able to play together , and they mean it .	3	-1	 when[0] the[0] musicians[0] are[0] about[0] to[0] die[0] they[0] politely[0] thank[1] each[0] other[0] for[0] the[0] pleasure[2] of[0] being[0] able[0] to[0] play[0] together[0] and[0] they[0] mean[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
their civility borders on insanity , but it is touching nevertheless . 	their civility borders on insanity , but it is touching nevertheless .	1	-1	 their[0] civility[0] borders[0] on[0] insanity[0] but[0] it[0] is[0] touching[0] nevertheless[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story is so rich that my description has merely touched the surface . 	the story is so rich that my description has merely touched the surface .	1	-1	 the[0] story[0] is[0] so[0] rich[0] that[0] my[0] description[0] has[0] merely[0] touched[0] the[0] surface[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are more than enough characters to love and to hate , and all of the casting is dead-on . 	there are more than enough characters to love and to hate , and all of the casting is dead-on .	3	-4	 there[0] are[0] more[0] than[0] enough[0] characters[0] to[0] love[2] and[0] to[0] hate[-3] and[0] all[0] of[0] the[0] casting[0] is[0] dead[-2] on[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
special effects work best when their presence becomes almost undetectable . 	special effects work best when their presence becomes almost undetectable .	2	-1	 special[1] effects[0] work[0] best[1] when[0] their[0] presence[0] becomes[0] almost[0] undetectable[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in titanic , for which he created a nine-tenths scale model of the entire ship , cameron strove for accuracy at all costs . 	in titanic , for which he created a nine-tenths scale model of the entire ship , cameron strove for accuracy at all costs .	1	-1	 in[0] titanic[0] for[0] which[0] he[0] created[0] a[0] nine[0] tenths[0] scale[0] model[0] of[0] the[0] entire[0] ship[0] cameron[0] strove[0] for[0] accuracy[0] at[0] all[0] costs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the most dramatic moment in the film happens when the ship breaks in two , and the front section becomes vertical in the water . 	the most dramatic moment in the film happens when the ship breaks in two , and the front section becomes vertical in the water .	1	-1	 the[0] most[0] dramatic[0] moment[0] in[0] the[0] film[0] happens[0] when[0] the[0] ship[0] breaks[0] in[0] two[0] and[0] the[0] front[0] section[0] becomes[0] vertical[0] in[0] the[0] water[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
people are flung like ants either into the water to be shortly frozen to death or into other parts of the ship to be crushed immediately . 	people are flung like ants either into the water to be shortly frozen to death or into other parts of the ship to be crushed immediately .	2	-3	 people[0] are[0] flung[0] like[1] ants[0] either[0] into[0] the[0] water[0] to[0] be[0] shortly[0] frozen[0] to[0] death[-2] or[0] into[0] other[0] parts[0] of[0] the[0] ship[0] to[0] be[0] crushed[0] immediately[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
besides being romantic and dramatic , the script includes liberal doses of humor . 	besides being romantic and dramatic , the script includes liberal doses of humor .	4	-1	 besides[0] being[0] romantic[3] and[0] dramatic[0] the[0] script[0] includes[0] liberal[0] doses[0] of[0] humor[2] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
from the many deliciously subtle verbal put-downs to the physical comedy , as when jack teaches rose to spit like a man , the show elicits laughter in addition to perhaps a few tears . 	from the many deliciously subtle verbal put-downs to the physical comedy , as when jack teaches rose to spit like a man , the show elicits laughter in addition to perhaps a few tears .	3	-4	 from[0] the[0] many[0] deliciously[2] subtle[0] verbal[0] put[0] downs[0] to[0] the[0] physical[0] comedy[0] as[0] when[0] jack[0] teaches[0] rose[0] to[0] spit[0] like[1] a[0] man[0] the[0] show[0] elicits[0] laughter[1] in[0] addition[0] to[0] perhaps[0] a[0] few[0] tears[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
 " it's good-bye for a little while , " a less than confident father tells his little girl since it was indeed women and children first . 	 " it's good-bye for a little while , " a less than confident father tells his little girl since it was indeed women and children first .	2	-1	 it's[0] good[1] bye[0] for[0] a[0] little[0] while[0] a[0] less[0] than[0] confident[1] father[0] tells[0] his[0] little[0] girl[0] since[0] it[0] was[0] indeed[0] women[0] and[0] children[0] first[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " this boat's for mommies and children . 	 " this boat's for mommies and children .	1	-1	 this[0] boat's[0] for[0] mommies[0] and[0] children[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there'll be a boat in a little while for daddies . " 	there'll be a boat in a little while for daddies .<br> "	1	-1	 there'll[0] be[0] a[0] boat[0] in[0] a[0] little[0] while[0] for[0] daddies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
basically there was a design decision to have fewer than half of the necessary life boats -- it made the decks look too crowded otherwise . 	basically there was a design decision to have fewer than half of the necessary life boats - it made the decks look too crowded otherwise .	1	-1	 basically[0] there[0] was[0] a[0] design[0] decision[0] to[0] have[0] fewer[0] than[0] half[0] of[0] the[0] necessary[0] life[0] boats[0] it[0] made[0] the[0] decks[0] look[0] too[0] crowded[0] otherwise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps the sinking is best summarized by one of the guggenheim's on-board the ship . 	perhaps the sinking is best summarized by one of the guggenheim's on-board the ship .	2	-1	 perhaps[0] the[0] sinking[0] is[0] best[1] summarized[0] by[0] one[0] of[0] the[0] guggenheim's[0] on[0] board[0] the[0] ship[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the dining room with the lifeboats gone and the ship certain to sink , he is offered a life jacket by one of the crew . 	in the dining room with the lifeboats gone and the ship certain to sink , he is offered a life jacket by one of the crew .	1	-1	 in[0] the[0] dining[0] room[0] with[0] the[0] lifeboats[0] gone[0] and[0] the[0] ship[0] certain[0] to[0] sink[0] he[0] is[0] offered[0] a[0] life[0] jacket[0] by[0] one[0] of[0] the[0] crew[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " no thanks , " the elegantly attired guggenheim replies . 	 " no thanks , " the elegantly attired guggenheim replies .	2	-1	 no[0] thanks[1] the[0] elegantly[1] attired[0] guggenheim[0] replies[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " we're dressed in our best and would prefer to go down like gentlemen . 	 " we're dressed in our best and would prefer to go down like gentlemen .	2	-1	 we're[0] dressed[0] in[0] our[0] best[1] and[0] would[0] prefer[0] to[0] go[0] down[0] like[1] gentlemen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but we would like a brandy . " 	but we would like a brandy .<br> "	1	-1	 but[0] we[0] would[0] like[1][-1 LastWordBoosterStrength] a[0] brandy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
titanic runs 3 : 14 . 	titanic runs 3 : 14 .	1	-1	 titanic[0] runs[0] 3[0] 14[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is rated pg-13 for tastefully and delicately presented sex and nudity and would be fine for kids twelve and up . 	it is rated pg-13 for tastefully and delicately presented sex and nudity and would be fine for kids twelve and up .	3	-1	 it[0] is[0] rated[0] pg[0] -13[0] for[0] tastefully[0] and[0] delicately[0] presented[0] sex[0] and[0] nudity[0] and[0] would[0] be[0] fine[2] for[0] kids[0] twelve[0] and[0] up[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
