after the simple looking little spacecraft lands in a automobile wrecking yard , out steps a steel-gray , human-like creature with aquamarine eyes and clad in a muscular suit . 	Translation	Positive	Negative	EmotionRationale
as 12-year-old spencer , joseph mazzello from the jurassic park film series gives a remarkably good performance as a wimpy and initially tongue-tied kid . 	as 12-year-old spencer , joseph mazello from the jurassic park film series gives a remarkably good performance as a wimpy and initially tongue-tied kid .	2	-3	 as[0] 12[0] year[0] old[0] spencer[0] joseph[0] mazzello/mazello[0] from[0] the[0] jurassic[0] park[0] film[0] series[0] gives[0] a[0] remarkably[0] good[1] performance[0] as[0] a[0] wimpy[-2] and[0] initially[0] tongue[0] tied[0] kid[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
even when enclosed in his powerful new cyborsuit , he has his fears but he learns to overcome them . 	even when enclosed in his powerful new cyborsuit , he has his fears but he learns to overcome them .	1	-3	 even[0] when[0] enclosed[0] in[0] his[0] powerful[0] new[0] cyborsuit[0] he[0] has[0] his[0] fears[-2] but[0] he[0] learns[0] to[0] overcome[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " if you run away , things don't get better , whether it's bullies , spiders , or girls , " his science teacher advises him after he has difficulties dealing with all three . 	 " if you run away , things don't get better , whether it's bullies , spiders , or girls , " his science teacher advises him after he has difficulties dealing with all three .	1	-2	 if[0] you[0] run[0] away[0] things[0] don't[0] get[0] better[0] whether[0] it's[0] bullies[0] spiders[0] or[0] girls[0] his[0] science[0] teacher[0] advises[0] him[0] after[0] he[0] has[0] difficulties[-1] dealing[0] with[0] all[0] three[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
turbo ( joey simmrin ) , the school's chubby bully , beats up on him , spiders frighten him , and , most embarrassing of all , he can't speak when in the presence of his would-be girlfriend . 	turbo ( joey simmrin ) , the school's chubby bully , beats up on him , spiders frighten him , and , most embarrassing of all , he can't speak when in the presence of his would-be girlfriend .	1	-4	 turbo[0] joey[0] simmrin[0] the[0] school's[0] chubby[0] bully[0] beats[0] up[0] on[0] him[0] spiders[0] frighten[-3] him[0] and[0] most[0] embarrassing[-2] of[0] all[0] he[0] can't[0] speak[0] when[0] in[0] the[0] presence[0] of[0] his[0] would[0] be[0] girlfriend[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
with his cyborsuit on , he learns some bravery that transcends his time inside cy . 	with his cyborsuit on , he learns some bravery that transcends his time inside cy .	2	-1	 with[0] his[0] cyborsuit[0] on[0] he[0] learns[0] some[0] bravery[2][-1 LastWordBoosterStrength] that[0] transcends[0] his[0] time[0] inside[0] cy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
spencer lives with his dad and his older teenage sister stacey , played by a smart-mouthed ashlee levitch , who looks like a younger sarah jessica parker . 	spencer lives with his dad and his older teenage sister stacey , played by a smart-mouthed ashlee levitch , who looks like a younger sarah jessica parker .	2	-1	 spencer[0] lives[0] with[0] his[0] dad[0] and[0] his[0] older[0] teenage[0] sister[0] stacey[0] played[0] by[0] a[0] smart[1] mouthed[0] ashlee[0] levitch[0] who[0] looks[0] like[1] a[0] younger[0] sarah[0] jessica[0] parker[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
stacey derides her brother , whom she barely tolerates , by referring to him only as " the fungus . " 	stacey derides her brother , whom she barely tolerates , by referring to him only as " the fungus .<br> "	1	-1	 stacey[0] derides[0] her[0] brother[0] whom[0] she[0] barely[0] tolerates[0] by[0] referring[0] to[0] him[0] only[0] as[0] the[0] fungus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this whole setup for spencer's downtrodden and delightfully funny life makes his acquisition of some superhuman powers a source of mirth and empowerment . 	this whole setup for spencer's downtrodden and delightfully funny life makes his acquisition of some superhuman powers a source of mirth and empowerment .	3	-2	 this[0] whole[0] setup[0] for[0] spencer's[0] downtrodden[0] and[0] delightfully[2] funny[1] life[0] makes[0] his[0] acquisition[0] of[0] some[0] superhuman[0] powers[0] a[0] source[-1] of[0] mirth[0] and[0] empowerment[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the beauty of mazzello's performance is that you can vicariously experience his fear and share in his enjoyment when he goes after the bully to teach him a lesson he'll not soon forget . 	the beauty of mazello's performance is that you can vicariously experience his fear and share in his enjoyment when he goes after the bully to teach him a lesson he'll not soon forget .	3	-4	 the[0] beauty[2] of[0] mazzello's/mazello's[0] performance[0] is[0] that[0] you[0] can[0] vicariously[0] experience[0] his[0] fear[-3] and[0] share[0] in[0] his[0] enjoyment[2] when[0] he[0] goes[0] after[0] the[0] bully[0] to[0] teach[0] him[0] a[0] lesson[0] he'll[0] not[0] soon[0] forget[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the ensuing mayhem has some of the home alone antics , but the slapstick is kept tightly under control by writer and director manny coto so that one never feels embarrassed to be laughing . 	the ensuing mayhem has some of the home alone antics , but the slapstick is kept tightly under control by writer and director many coto so that one never feels embarrassed to be laughing .	3	-2	 the[0] ensuing[0] mayhem[0] has[0] some[0] of[0] the[0] home[0] alone[0] antics[0] but[0] the[0] slapstick[-1] is[0] kept[0] tightly[0] under[0] control[0] by[0] writer[0] and[0] director[0] manny/many[0] coto[0] so[0] that[0] one[0] never[0] feels[0] embarrassed[-2][NegatedDueToPreviousWord] to[0] be[0] laughing[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the romantic angle is handled ever so delicately . 	the romantic angle is handled ever so delicately .	4	-1	 the[0] romantic[3] angle[0] is[0] handled[0] ever[0] so[0] delicately[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
when cy wishes to know if spencer wants to mate with the object of his desire , michelle ( lauren eckstrom ) , his eyes open wide in revulsion . 	when cy wishes to know if spencer wants to mate with the object of his desire , michelle ( lauren eckstrom ) , his eyes open wide in revulsion .	2	-1	 when[0] cy[0] wishes[0] to[0] know[0] if[0] spencer[0] wants[0] to[0] mate[1] with[0] the[0] object[0] of[0] his[0] desire[0] michelle[0] lauren[0] eckstrom[0] his[0] eyes[0] open[0] wide[0] in[0] revulsion[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " mate with her ! " 	 " mate with her !<br> "	2	-1	 mate[1] with[0] her[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
spencer exclaims . 	spencer exclaims .	1	-1	 spencer[0] exclaims[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " pllllleeeeease , i just like her that's all . " 	 " plleease , i just like her that's all .<br> "	2	-1	 pllllleeeeease/plleease[0][+0.6 MultipleLetters] i[0] just[0] like[1][-1 LastWordBoosterStrength] her[0] that's[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the show has many funny twists . 	the show has many funny twists .	2	-1	 the[0] show[0] has[0] many[0] funny[1] twists[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in one , cy sees a man in a barney-like costume and begins firing at him , thinking he is an alien life-form . 	in one , cy sees a man in a barney-like costume and begins firing at him , thinking he is an alien life-form .	2	-2	 in[0] one[0] cy[0] sees[0] a[0] man[0] in[0] a[0] barney[0] like[1] costume[0] and[0] begins[0] firing[0] at[0] him[0] thinking[0] he[0] is[0] an[0] alien[-1] life[0] form[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
soon things get way out of hand , and cy and spencer have to beat a hasty retreat . 	soon things get way out of hand , and cy and spencer have to beat a hasty retreat .	1	-2	 soon[0] things[0] get[0] way[0] out[0] of[0] hand[0] and[0] cy[0] and[0] spencer[0] have[0] to[0] beat[0] a[0] hasty[0] retreat[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as proof positive of the show's class , it actually contains tasteful bathroom humor -- thought that was an oxymoron in a kids' picture , didn't you ? 	as proof positive of the show's class , it actually contains tasteful bathroom humor - thought that was an oxymoron in a kids' picture , didn't you ?	3	-1	 as[0] proof[0] positive[2] of[0] the[0] show's[0] class[0] it[0] actually[0] contains[0] tasteful[0] bathroom[0] humor[2] thought[0] that[0] was[0] an[0] oxymoron[0] in[0] a[0] kids'[0] picture[0] didn't[0] you[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
cy cannot allow spencer to leave the cyborsuit , and what happens when he needs to urinate becomes both sweet and hilarious . 	cy cannot allow spencer to leave the cyborsuit , and what happens when he needs to urinate becomes both sweet and hilarious .	3	-1	 cy[0] cannot[0] allow[0] spencer[0] to[0] leave[0] the[0] cyborsuit[0] and[0] what[0] happens[0] when[0] he[0] needs[0] to[0] urinate[0] becomes[0] both[0] sweet[1] and[0] hilarious[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the director's staging of this sequence is one of the film's more charming moments . 	the director's staging of this sequence is one of the film's more charming moments .	2	-1	 the[0] director's[0] staging[0] of[0] this[0] sequence[0] is[0] one[0] of[0] the[0] film's[0] more[0] charming[1] moments[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
oh , and eating is pretty funny too . 	oh , and eating is pretty funny too .	3	-1	 oh[0] and[0] eating[0] is[0] pretty[2] funny[1] too[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
spencer , whose idol is the comic book character " midknight warrior , " gets to face the challenge of a lifetime when a broodwarrior comes to capture the cyborsuit . 	spencer , whose idol is the comic book character " midknight warrior , " gets to face the challenge of a lifetime when a broodwarrior comes to capture the cyborsuit .	1	-2	 spencer[0] whose[0] idol[0] is[0] the[0] comic[0] book[0] character[0] midknight[0] warrior[0] gets[0] to[0] face[0] the[0] challenge[-1] of[0] a[0] lifetime[0] when[0] a[0] broodwarrior[-1] comes[0] to[0] capture[-1] the[0] cyborsuit[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
spencer's valiant battle gives him a chance to find his mettle . 	spencer's valiant battle gives him a chance to find his mettle .	1	-2	 spencer's[0] valiant[0] battle[-1] gives[0] him[0] a[0] chance[0] to[0] find[0] his[0] mettle[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and the action sequences in the battle manage to be quite respectable for a kids' show full of inventiveness and lacking the usual repetition . 	and the action sequences in the battle manage to be quite respectable for a kids' show full of inventiveness and lacking the usual repetition .	3	-2	 and[0] the[0] action[0] sequences[0] in[0] the[0] battle[-1] manage[0] to[0] be[0] quite[0] respectable[2] for[0] a[0] kids'[0] show[0] full[0] of[0] inventiveness[0] and[0] lacking[0] the[0] usual[0] repetition[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
for a family movie mixing humor , fantasy , and action , star kid delivers . 	for a family movie mixing humor , fantasy , and action , star kid delivers .	3	-1	 for[0] a[0] family[0] movie[0] mixing[0] humor[2] fantasy[0] and[0] action[0] star[0] kid[0] delivers[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although it's probably not the sort of movie you'd want to see without kids , with them you'll have a magical time with a relatively straightforward but well developed story . 	although it's probably not the sort of movie you'd want to see without kids , with them you'll have a magical time with a relatively straightforward but well developed story .	1	-1	 although[0] it's[0] probably[0] not[0] the[0] sort[0] of[0] movie[0] you'd[0] want[0] to[0] see[0] without[0] kids[0] with[0] them[0] you'll[0] have[0] a[0] magical[0] time[0] with[0] a[0] relatively[0] straightforward[0] but[0] well[0] developed[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you'll be rooting for and laughing with spencer and his buddy cy all the way through . 	you'll be rooting for and laughing with spencer and his buddy cy all the way through .	2	-1	 you'll[0] be[0] rooting[0] for[0] and[0] laughing[1] with[0] spencer[0] and[0] his[0] buddy[0] cy[0] all[0] the[0] way[0] through[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
star kid runs 1 : 41 . 	star kid runs 1 : 41 .	1	-1	 star[0] kid[0] runs[0] 1[0] 41[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is rated pg for fantasy combat . 	it is rated pg for fantasy combat .	1	-2	 it[0] is[0] rated[0] pg[0] for[0] fantasy[0] combat[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although the basically cartoonish broodwarrior might scare the littlest kids , i saw none of this in evidence in our packed screening , so i would say the show is fine for kids five and up , and possibly the younger ones . 	although the basically cartoonish broodwarrior might scare the littlest kids , i saw none of this in evidence in our packed screening , so i would say the show is fine for kids five and up , and possibly the younger ones .	3	-3	 although[0] the[0] basically[0] cartoonish[0] broodwarrior[-1] might[0] scare[-3][--1 LastWordBoosterStrength] the[0] littlest[0] kids[0] i[0] saw[0] none[0] of[0] this[0] in[0] evidence[0] in[0] our[0] packed[0] screening[0] so[0] i[0] would[0] say[0] the[0] show[0] is[0] fine[2] for[0] kids[0] five[0] and[0] up[0] and[0] possibly[0] the[0] younger[0] ones[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
my son jeffrey , age 8 , got really excited about the picture . 	my son jeffrey , age 8 , got really excited about the picture .	4	-1	 my[0] son[0] jeffrey[0] age[0] 8[0] got[0] really[0] excited[2][1 LastWordBoosterStrength] about[0] the[0] picture[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
he called it " an especially good movie " and gave it * * * * . 	he called it " an especially good movie " and gave it * * * * .	3	-1	 he[0] called[0] it[0] an[0] especially[0] good[1][1 LastWordBoosterStrength] movie[0] and[0] gave[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when i asked him to tell me his favorite characters , he mentioned almost everyone in it from the boy to the cyborsuit to the bully . 	when i asked him to tell me his favorite characters , he mentioned almost everyone in it from the boy to the cyborsuit to the bully .	2	-1	 when[0] i[0] asked[0] him[0] to[0] tell[0] me[0] his[0] favorite[1] characters[0] he[0] mentioned[0] almost[0] everyone[0] in[0] it[0] from[0] the[0] boy[0] to[0] the[0] cyborsuit[0] to[0] the[0] bully[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
