an energetic , visually stunning , but intellectually hollow recreation of the mysterious life of jeanne d'arc . 	Translation	Positive	Negative	EmotionRationale
she starts seeing visions and signs that command her to raise an army and free france from the siege of the english tyranny . 	she starts seeing visions and signs that command her to raise an army and free france from the siege of the english tyranny .	1	-3	 she[0] starts[0] seeing[0] visions[0] and[0] signs[0] that[0] command[0] her[0] to[0] raise[0] an[0] army[0] and[0] free[0] france[0] from[0] the[0] siege[-1] of[0] the[0] english[0] tyranny[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
with the help of the wise yolande d'aragon ( faye dunaway ) and charles vii ( john malcovich ) , whose grand royal ambitions and life are at stake , jeanne raises an army and marches towards the english walls . 	with the help of the wise yolande d'aragon ( faye dunaway ) and charles vi ( john malcovich ) , whose grand royal ambitions and life are at stake , jeanne raises an army and marches towards the english walls .	2	-1	 with[0] the[0] help[0] of[0] the[0] wise[0] yolande[0] d'aragon[0] faye[0] dunaway[0] and[0] charles[0] vii/vi[0] john[0] malcovich[0] whose[0] grand[1] royal[0] ambitions[0] and[0] life[0] are[0] at[0] stake[0] jeanne[0] raises[0] an[0] army[0] and[0] marches[0] towards[0] the[0] english[0] walls[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after this the film stays mostly on the battlefield , where besson demonstrates his ability to direct amazing action sequences , only occasionally resorting to a calmer tempo . 	after this the film stays mostly on the battlefield , where besson demonstrates his ability to direct amazing action sequences , only occasionally resorting to a calmer tempo .	3	-2	 after[0] this[0] the[0] film[0] stays[0] mostly[0] on[0] the[0] battlefield[-1] where[0] besson[0] demonstrates[0] his[0] ability[0] to[0] direct[0] amazing[2] action[0] sequences[0] only[0] occasionally[0] resorting[0] to[0] a[0] calmer[1] tempo[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the movie is filled with dreamy , symbolic images of pure artistic craftsmanship , that create a surreal and occasionally paranoiac atmosphere . 	the movie is filled with dreamy , symbolic images of pure artistic craftsmanship , that create a surreal and occasionally paranoiac atmosphere .	1	-3	 the[0] movie[0] is[0] filled[0] with[0] dreamy[0] symbolic[0] images[0] of[0] pure[0] artistic[0] craftsmanship[0] that[0] create[0] a[0] surreal[0] and[0] occasionally[0] paranoiac[-2] atmosphere[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film is lost in time and space , hysterically jumping back and forth in jeanne's thoughts , imagination and conscience . 	the film is lost in time and space , hysterically jumping back and forth in jeanne's thoughts , imagination and conscience .	1	-1	 the[0] film[0] is[0] lost[0] in[0] time[0] and[0] space[0] hysterically[0] jumping[0] back[0] and[0] forth[0] in[0] jeanne's[0] thoughts[0] imagination[0] and[0] conscience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
besson's visual style permits the audience to enter the medieval age , feel the smell of fresh blood and the adrenaline pumping in your body in the heat of battle . 	besson's visual style permits the audience to enter the medieval age , feel the smell of fresh blood and the adrenaline pumping in your body in the heat of battle .	1	-2	 besson's[0] visual[0] style[0] permits[0] the[0] audience[0] to[0] enter[0] the[0] medieval[0] age[0] feel[0] the[0] smell[0] of[0] fresh[0] blood[0] and[0] the[0] adrenaline[0] pumping[0] in[0] your[0] body[0] in[0] the[0] heat[0] of[0] battle[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the film is far from being flawless . 	but the film is far from being flawless .	2	-1	 but[0] the[0] film[0] is[0] far[0] from[0] being[0] flawless[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the script needs a lot of polishing . 	the script needs a lot of polishing .	1	-1	 the[0] script[0] needs[0] a[0] lot[0] of[0] polishing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
except for jeanne , there are no real characters . 	except for jeanne , there are no real characters .	1	-1	 except[0] for[0] jeanne[0] there[0] are[0] no[0] real[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and although a grand star cast is assembled , their characters are nothing more than props , not more alive than the costumes that they are wearing . 	and although a grand star cast is assembled , their characters are nothing more than props , not more alive than the costumes that they are wearing .	2	-1	 and[0] although[0] a[0] grand[1] star[0] cast[0] is[0] assembled[0] their[0] characters[0] are[0] nothing[0] more[0] than[0] props[0] not[0] more[0] alive[0] than[0] the[0] costumes[0] that[0] they[0] are[0] wearing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as for the maiden of lorraine herself , she is portrayed as a simple girl , too small for her divine task . 	as for the maiden of lorraine herself , she is portrayed as a simple girl , too small for her divine task .	2	-1	 as[0] for[0] the[0] maiden[0] of[0] lorraine[0] herself[0] she[0] is[0] portrayed[0] as[0] a[0] simple[0] girl[0] too[0] small[0] for[0] her[0] divine[1] task[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the latter part of the film , we see her as hysterical , confused and on the brink of madness , with her past purity and innocence for ever lost . 	in the latter part of the film , we see her as hysterical , confused and on the brink of madness , with her past purity and innocence for ever lost .	2	-2	 in[0] the[0] latter[0] part[0] of[0] the[0] film[0] we[0] see[0] her[0] as[0] hysterical[-1] confused[-1] and[0] on[0] the[0] brink[0] of[0] madness[-1] with[0] her[0] past[0] purity[0] and[0] innocence[1] for[0] ever[0] lost[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jovovich handles the part with more panache than one might expect . 	jovovich handles the part with more panache than one might expect .	1	-1	 jovovich[0] handles[0] the[0] part[0] with[0] more[0] panache[0] than[0] one[0] might[0] expect[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but though her screen time is incredible excessive , both malcovich ( 'being john malcovich' ) and dunaway ( 'titus' ) surpass her rather overacted and simply unprofessional performance . 	but though her screen time is incredible excessive , both malcovich ( 'being john malcovich' ) and dunaway ( 'titus' ) surpass her rather overacted and simply unprofessional performance .	1	-2	 but[0] though[0] her[0] screen[0] time[0] is[0] incredible[0] excessive[-1] both[0] malcovich[0] 'being[0] john[0] malcovich'[0] and[0] dunaway[0] 'titus'[0] surpass[0] her[0] rather[0] overacted[0] and[0] simply[0] unprofessional[0] performance[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and even hoffman manages to breathe some life into his dreadfully small part . 	and even hoffman manages to breathe some life into his dreadfully small part .	1	-4	 and[0] even[0] hoffman[0] manages[0] to[0] breathe[0] some[0] life[0] into[0] his[0] dreadfully[-3] small[0] part[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
besides casting jovovich , besson's only mistake is his extreme sense of patriotism that in the end ruins his so gloriously crafted painting . 	besides casting jovovich , besson's only mistake is his extreme sense of patriotism that in the end ruins his so gloriously crafted painting .	2	-2	 besides[0] casting[0] jovovich[0] besson's[0] only[0] mistake[-1] is[0] his[0] extreme[0] sense[0] of[0] patriotism[0] that[0] in[0] the[0] end[0] ruins[0] his[0] so[0] gloriously[1] crafted[0] painting[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there are some viscously evil englishmen that murder , pillage and betray with a smile on their faces . 	there are some viscously evil englishmen that murder , pillage and betray with a smile on their faces .	3	-4	 there[0] are[0] some[0] viscously[0] evil[-2] englishmen[0] that[0] murder[-3] pillage[0] and[0] betray[-2] with[0] a[0] smile[2] on[0] their[0] faces[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
and some incredibly brave and noble frenchmen , represented by the " three musketeers " of this story -- the brave gilles de rais ( vincent cassel ) , the wise aulon ( desmond harrington ) and the strong la hire ( richard ridings ) . 	and some incredibly brave and noble frenchmen , represented by the " three musketeers " of this story - the brave gilles de rais ( vincent cassel ) , the wise aulon ( desmond harrington ) and the strong la hire ( richard ridings ) .	5	-1	 and[0] some[0] incredibly[0] brave[2][2 LastWordBoosterStrength] and[0] noble[0] frenchmen[0] represented[0] by[0] the[0] three[0] musketeers[0] of[0] this[0] story[0] the[0] brave[2] gilles[0] de[0] rais[0] vincent[0] cassel[0] the[0] wise[0] aulon[0] desmond[0] harrington[0] and[0] the[0] strong[0] la[0] hire[0] richard[0] ridings[0] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
though all those actor perform well , their characters are nothing more than symbols -- banners that proclaim the glory of france . 	though all those actor perform well , their characters are nothing more than symbols - banners that proclaim the glory of france .	2	-1	 though[0] all[0] those[0] actor[0] perform[0] well[0] their[0] characters[0] are[0] nothing[0] more[0] than[0] symbols[0] banners[0] that[0] proclaim[0] the[0] glory[1] of[0] france[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and thus , there is no sense of realism in this film . 	and thus , there is no sense of realism in this film .	1	-1	 and[0] thus[0] there[0] is[0] no[0] sense[0] of[0] realism[0] in[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
'the messenger' has muscles instead of brains . 	'the messenger' has muscles instead of brains .	1	-1	 'the[0] messenger'[0] has[0] muscles[0] instead[0] of[0] brains[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is some relief in the end , where besson lays down his armor and starts thinking . 	there is some relief in the end , where besson lays down his armor and starts thinking .	1	-1	 there[0] is[0] some[0] relief[1][-1 LastWordBoosterStrength] in[0] the[0] end[0] where[0] besson[0] lays[0] down[0] his[0] armor[0] and[0] starts[0] thinking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dustin hoffman's appearance helps and the film ends elegantly and surprisingly effective with a climax worthy of praise . 	dustin hoffman's appearance helps and the film ends elegantly and surprisingly effective with a climax worthy of praise .	3	-1	 dustin[0] hoffman's[0] appearance[0] helps[0] and[0] the[0] film[0] ends[0] elegantly[1] and[0] surprisingly[0] effective[0] with[0] a[0] climax[0] worthy[0] of[0] praise[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
jeanne's character is unlocked , but whether god was in the picture or not , is never quite explained . 	jeanne's character is unlocked , but whether god was in the picture or not , is never quite explained .	1	-1	 jeanne's[0] character[0] is[0] unlocked[0] but[0] whether[0] god[0] was[0] in[0] the[0] picture[0] or[0] not[0] is[0] never[0] quite[0] explained[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
was she a confused peasant girl driven by her own hunger for revenge ? 	was she a confused peasant girl driven by her own hunger for revenge ?	1	-2	 was[0] she[0] a[0] confused[-1] peasant[0] girl[0] driven[0] by[0] her[0] own[0] hunger[-1] for[0] revenge[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
or was she truly a messenger of god ? 	or was she truly a messenger of god ?	2	-1	 or[0] was[0] she[0] truly[1] a[0] messenger[0] of[0] god[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film poses as many questions as answers and nothing is completely obvious . 	the film poses as many questions as answers and nothing is completely obvious .	1	-1	 the[0] film[0] poses[0] as[0] many[0] questions[0] as[0] answers[0] and[0] nothing[0] is[0] completely[0] obvious[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bess o messenger' is nothing more than a fairly good film . 	bess o messenger' is nothing more than a fairly good film .	2	-1	 bess[0] o[0] messenger'[0] is[0] nothing[0] more[0] than[0] a[0] fairly[0] good[1] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is not much that you remember of it after you leave the theater . 	it is not much that you remember of it after you leave the theater .	1	-1	 it[0] is[0] not[0] much[0] that[0] you[0] remember[0] of[0] it[0] after[0] you[0] leave[0] the[0] theater[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe the sound , the dreamy sequences , but certainly not the dialogue . 	maybe the sound , the dreamy sequences , but certainly not the dialogue .	1	-1	 maybe[0] the[0] sound[0] the[0] dreamy[0] sequences[0] but[0] certainly[0] not[0] the[0] dialogue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is an elegant and adrenaline pumping history lesson for the mtv-generation , that although presents some interesting material , works better when it's on the battlefield . 	it is an elegant and adrenaline pumping history lesson for the mtv-generation , that although presents some interesting material , works better when it's on the battlefield .	2	-2	 it[0] is[0] an[0] elegant[1] and[0] adrenaline[0] pumping[0] history[0] lesson[0] for[0] the[0] mtv[0] generation[0] that[0] although[0] presents[0] some[0] interesting[1][-1 LastWordBoosterStrength] material[0] works[0] better[0] when[0] it's[0] on[0] the[0] battlefield[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
