it's wednesday , march 27 , and a murder investigation is underway in charlotte , south carolina . 	Translation	Positive	Negative	EmotionRationale
wayland suffers from a peculiar kind of epilepsy that can , in stressful situations , render him virtually catatonic or extremely violent . 	wayland suffers from a peculiar kind of epilepsy that can , in stressful situations , render him virtually catatonic or extremely violent .	2	-5	 wayland[0] suffers[-3] from[0] a[0] peculiar[0] kind[1] of[0] epilepsy[0] that[0] can[0] in[0] stressful[-1] situations[0] render[0] him[0] virtually[0] catatonic[0] or[0] extremely[0] violent[-2][-2 LastWordBoosterStrength] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
braxton , a compulsive gambler , is deep in debt to a local syndicate . 	braxton , a compulsive gambler , is deep in debt to a local syndicate .	1	-2	 braxton[0] a[0] compulsive[0] gambler[-1] is[0] deep[0] in[0] debt[0] to[0] a[0] local[0] syndicate[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and kennesaw is haunted by a dark , abusive side that delights in terrorizing women , especially his wife ( rosanna arquette ) , whom he suspects of being unfaithful . 	and kennesaw is haunted by a dark , abusive side that delights in terrorizing women , especially his wife ( rosanna arquette ) , whom he suspects of being unfaithful .	3	-4	 and[0] kennesaw[0] is[0] haunted[0] by[0] a[0] dark[0] abusive[-3] side[0] that[0] delights[2] in[0] terrorizing[-2] women[0] especially[0] his[0] wife[0] rosanna[0] arquette[0] whom[0] he[0] suspects[0] of[0] being[0] unfaithful[-1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the foibles and failings of these three are brought into the open as the mystery around elizabeth's death deepens and it becomes unclear who has the upper hand : the suspect or his questioners . 	the foibles and failings of these three are brought into the open as the mystery around elizabeth's death deepens and it becomes unclear who has the upper hand : the suspect or his questioners .	1	-3	 the[0] foibles[-1] and[0] failings[-2] of[0] these[0] three[0] are[0] brought[0] into[0] the[0] open[0] as[0] the[0] mystery[0] around[0] elizabeth's[0] death[-2] deepens[0] and[0] it[0] becomes[0] unclear[-1] who[0] has[0] the[0] upper[0] hand[0] the[0] suspect[-1] or[0] his[0] questioners[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
deceiver , which mostly transpires in a dimly-lit room and involves a lot of smart dialogue , has the feel of a david mamet play : edgy , claustrophobic , and tense . 	deceiver , which mostly transpires in a dimly-lit room and involves a lot of smart dialogue , has the feel of a david mamet play : edgy , claustrophobic , and tense .	2	-3	 deceiver[0] which[0] mostly[0] transpires[0] in[0] a[0] dimly[0] lit[0] room[0] and[0] involves[0] a[0] lot[0] of[0] smart[1] dialogue[0] has[0] the[0] feel[0] of[0] a[0] david[0] mamet[0] play[0] edgy[0] claustrophobic[0] and[0] tense[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the atmosphere is explosive , and some of pivotal moments of confrontation are riveting . 	the atmosphere is explosive , and some of pivotal moments of confrontation are riveting .	1	-3	 the[0] atmosphere[0] is[0] explosive[-1] and[0] some[0] of[0] pivotal[0] moments[0] of[0] confrontation[-2] are[0] riveting[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
deceiver has the power to grab an audience . 	deceiver has the power to grab an audience .	1	-2	 deceiver[0] has[0] the[0] power[0] to[0] grab[-1] an[0] audience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , in the end , it succumbs to the need to throw in one last , unexpected twist , and this is its undoing . 	unfortunately , in the end , it succumbs to the need to throw in one last , unexpected twist , and this is its undoing .	1	-2	 unfortunately[-1] in[0] the[0] end[0] it[0] succumbs[-1] to[0] the[0] need[0] to[0] throw[0] in[0] one[0] last[0] unexpected[0] twist[0] and[0] this[0] is[0] its[0] undoing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for , while this surprise will certainly shock most viewers , it also stretches our credulity too much , and raises more questions than it answers . 	for , while this surprise will certainly shock most viewers , it also stretches our credulity too much , and raises more questions than it answers .	1	-3	 for[0] while[0] this[0] surprise[0] will[0] certainly[0] shock[-2] most[0] viewers[0] it[0] also[0] stretches[0] our[0] credulity[0] too[0] much[0] and[0] raises[0] more[0] questions[0] than[0] it[0] answers[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's only an effective wrap-up if you don't think too carefully about its full implications . 	it's only an effective wrap-up if you don't think too carefully about its full implications .	1	-1	 it's[0] only[0] an[0] effective[0] wrap[0] up[0] if[0] you[0] don't[0] think[0] too[0] carefully[0] about[0] its[0] full[0] implications[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , the film as a whole plays fast and loose with reality and logic . 	of course , the film as a whole plays fast and loose with reality and logic .	2	-1	 of[0] course[0] the[0] film[0] as[0] a[0] whole[0] plays[1] fast[0] and[0] loose[0] with[0] reality[0] and[0] logic[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
police procedure is totally ignored and it's almost impossible to accept that any criminal investigation would or could proceed in this manner . 	police procedure is totally ignored and it's almost impossible to accept that any criminal investigation would or could proceed in this manner .	1	-2	 police[0] procedure[0] is[0] totally[0] ignored[0] and[0] it's[0] almost[0] impossible[0] to[0] accept[0] that[0] any[0] criminal[-1] investigation[0] would[0] or[0] could[0] proceed[0] in[0] this[0] manner[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the real focus in deceiver is on character interaction , not plot details . 	but the real focus in deceiver is on character interaction , not plot details .	1	-1	 but[0] the[0] real[0] focus[0] in[0] deceiver[0] is[0] on[0] character[0] interaction[0] not[0] plot[0] details[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
deceiver only occasionally gets out of the police station , and those instances occur primarily during flashbacks featuring the prostitute . 	deceiver only occasionally gets out of the police station , and those instances occur primarily during flashbacks featuring the prostitute .	1	-1	 deceiver[0] only[0] occasionally[0] gets[0] out[0] of[0] the[0] police[0] station[0] and[0] those[0] instances[0] occur[0] primarily[0] during[0] flashbacks[0] featuring[0] the[0] prostitute[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the pates employ a number of interesting techniques to present vignettes from elizabeth's final days and hours . 	the pates employ a number of interesting techniques to present vignettes from elizabeth's final days and hours .	2	-1	 the[0] pates[0] employ[0] a[0] number[0] of[0] interesting[1] techniques[0] to[0] present[0] vignettes[0] from[0] elizabeth's[0] final[0] days[0] and[0] hours[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the most intriguing of these is to use an unreliable narrator while underlining the discrepancies in his voice-over by visually showing what really happened . 	the most intriguing of these is to use an unreliable narrator while underlining the discrepancies in his voice-over by visually showing what really happened .	1	-2	 the[0] most[0] intriguing[0] of[0] these[0] is[0] to[0] use[0] an[0] unreliable[-1] narrator[0] while[0] underlining[0] the[0] discrepancies[0] in[0] his[0] voice[0] over[0] by[0] visually[0] showing[0] what[0] really[0] happened[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
moments like this are too effective to be dismissed as gimmicks . 	moments like this are too effective to be dismissed as gimmicks .	2	-2	 moments[0] like[1] this[0] are[0] too[0] effective[0] to[0] be[0] dismissed[-1] as[0] gimmicks[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the movie , obviously fashioned in the manner of classic film noir , drips atmosphere . 	the movie , obviously fashioned in the manner of classic film noir , drips atmosphere .	1	-1	 the[0] movie[0] obviously[0] fashioned[0] in[0] the[0] manner[0] of[0] classic[0] film[0] noir[0] drips[0] atmosphere[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are some fascinating stylistic touches ; for example , although the setting is contemporary , all of the telephones are old-fashioned , rotary models . 	there are some fascinating stylistic touches ; for example , although the setting is contemporary , all of the telephones are old-fashioned , rotary models .	1	-1	 there[0] are[0] some[0] fascinating[0] stylistic[0] touches[0] for[0] example[0] although[0] the[0] setting[0] is[0] contemporary[0] all[0] of[0] the[0] telephones[0] are[0] old[0] fashioned[0] rotary[0] models[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cinematographer bill butler is given an opportunity to use unconventional camera work to liven up deceiver's look . 	cinematographer bill butler is given an opportunity to use unconventional camera work to liven up deceiver's look .	1	-1	 cinematographer[0] bill[0] butler[0] is[0] given[0] an[0] opportunity[0] to[0] use[0] unconventional[0] camera[0] work[0] to[0] liven[0] up[0] deceiver's[0] look[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of the things he tries ( mostly those that involve the contrast between light and shadow ) work exceptionally well , while others ( like any of several lazy susan shots ) seem more like unnecessary visual tricks . 	some of the things he tries ( mostly those that involve the contrast between light and shadow ) work exceptionally well , while others ( like any of several lazy susan shots ) seem more like unnecessary visual tricks .	2	-2	 some[0] of[0] the[0] things[0] he[0] tries[0] mostly[0] those[0] that[0] involve[0] the[0] contrast[0] between[0] light[0] and[0] shadow[0] work[0] exceptionally[0] well[0] while[0] others[0] like[1] any[0] of[0] several[0] lazy[-1] susan[0] shots[0] seem[0] more[0] like[1] unnecessary[-1] visual[0] tricks[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as wayland , tim roth gives the film's top performance , despite occasionally treading the tightrope between acting and overacting . 	as wayland , tim roth gives the film's top performance , despite occasionally treading the tightrope between acting and overacting .	1	-1	 as[0] wayland[0] tim[0] roth[0] gives[0] the[0] film's[0] top[0] performance[0] despite[0] occasionally[0] treading[0] the[0] tightrope[0] between[0] acting[0] and[0] overacting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
roth makes us believe that wayland is both as brilliant and as troubled as he's supposed to be . 	roth makes us believe that wayland is both as brilliant and as troubled as he's supposed to be .	2	-2	 roth[0] makes[0] us[0] believe[0] that[0] wayland[0] is[0] both[0] as[0] brilliant[1] and[0] as[0] troubled[-1] as[0] he's[0] supposed[0] to[0] be[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the other two leads , chris penn and michael rooker , aren't as effective . 	the other two leads , chris pen and michael rooker , aren't as effective .	1	-1	 the[0] other[0] two[0] leads[0] chris[0] penn/pen[0] and[0] michael[0] rooker[0] aren't[0] as[0] effective[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
both play their characters like familiar types . 	both play their characters like familiar types .	2	-1	 both[0] play[0] their[0] characters[0] like[1] familiar[0] types[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
penn's performance is uninspired ; rooker's lacks subtlety . 	penn's performance is uninspired ; rooker's lacks subtlety .	1	-1	 penn's[0] performance[0] is[0] uninspired[0] rooker's[0] lacks[0] subtlety[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of the best work is turned in by the supporting actors . 	some of the best work is turned in by the supporting actors .	2	-1	 some[0] of[0] the[0] best[1] work[0] is[0] turned[0] in[0] by[0] the[0] supporting[1] actors[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
renee zellweger , in a role that's miles away from her star-making turn in jerry maguire , brings a note of vulnerability and humanity to a part that could easily have become a caricature . 	renee zellweger , in a role that's miles away from her star-making turn in jerry maguire , brings a note of vulnerability and humanity to a part that could easily have become a caricature .	1	-3	 renee[0] zellweger[0] in[0] a[0] role[0] that's[0] miles[0] away[0] from[0] her[0] star[0] making[0] turn[0] in[0] jerry[0] maguire[0] brings[0] a[0] note[0] of[0] vulnerability[-2] and[0] humanity[0] to[0] a[0] part[0] that[0] could[0] easily[0] have[0] become[0] a[0] caricature[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
rosanna arquette is solid as kennesaw's wife , and michael parks delivers several wonderful scenes as a psychiatrist who's entrusted with evaluating wayland's condition . 	rosanna arquette is solid as kennesaw's wife , and michael parks delivers several wonderful scenes as a psychiatrist who's entrusted with evaluating wayland's condition .	3	-1	 rosanna[0] arquette[0] is[0] solid[0] as[0] kennesaw's[0] wife[0] and[0] michael[0] parks[0] delivers[0] several[0] wonderful[2] scenes[0] as[0] a[0] psychiatrist[0] who's[0] entrusted[0] with[0] evaluating[0] wayland's[0] condition[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one of the best things about deceiver is that it never talks down to the audience . 	one of the best things about deceiver is that it never talks down to the audience .	2	-1	 one[0] of[0] the[0] best[1] things[0] about[0] deceiver[0] is[0] that[0] it[0] never[0] talks[0] down[0] to[0] the[0] audience[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
plot points aren't hammered home , and , although the ending has its weaknesses , everything isn't spelled out in bold letters . 	plot points aren't hammered home , and , although the ending has its weaknesses , everything isn't spelled out in bold letters .	1	-2	 plot[0] points[0] aren't[0] hammered[0] home[0] and[0] although[0] the[0] ending[0] has[0] its[0] weaknesses[-1] everything[0] isn't[0] spelled[0] out[0] in[0] bold[0] letters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the pates give audience members credit for having brains , which is an increasingly rare characteristic for film makers . 	the pates give audience members credit for having brains , which is an increasingly rare characteristic for film makers .	1	-1	 the[0] pates[0] give[0] audience[0] members[0] credit[0] for[0] having[0] brains[0] which[0] is[0] an[0] increasingly[0] rare[0] characteristic[0] for[0] film[0] makers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
occasionally gripping and never uninteresting , deceiver is a fine noir effort . 	occasionally gripping and never uninteresting , deceiver is a fine noir effort .	3	-1	 occasionally[0] gripping[0] and[0] never[0] uninteresting[0] deceiver[0] is[0] a[0] fine[2] noir[0] effort[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
