brian depalma needs a hit * really * badly . 	Translation	Positive	Negative	EmotionRationale
a jew in the world of puerto rican and italian wiseguys , kleinfeld is an outsider with a huge chip on his shoulder . 	a jew in the world of puerto rican and italian wiseguys , kleinfeld is an outsider with a huge chip on his shoulder .	1	-2	 a[0] jew[0] in[0] the[0] world[0] of[0] puerto[0] rican[0] and[0] italian[0] wiseguys[0] kleinfeld[0] is[0] an[0] outsider[-1] with[0] a[0] huge[0] chip[0] on[0] his[0] shoulder[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he could have been simply pathetic , a heavy drinker and cocaine addict playing tough with guys way out of his league , but penn invests kleinfeld with tremendous nervous energy and an overwhelming survival instinct . 	he could have been simply pathetic , a heavy drinker and cocaine addict playing tough with guys way out of his league , but pen invests kleinfeld with tremendous nervous energy and an overwhelming survival instinct .	2	-3	 he[0] could[0] have[0] been[0] simply[0] pathetic[-2] a[0] heavy[0] drinker[0] and[0] cocaine[0] addict[-1] playing[1] tough[-1] with[0] guys[0] way[0] out[0] of[0] his[0] league[0] but[0] penn/pen[0] invests[0] kleinfeld[0] with[0] tremendous[0] nervous[-2] energy[0] and[0] an[0] overwhelming[-2] survival[0] instinct[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he shows a man moving steadily towards the brink , making the moment he goes over quite jolting . 	he shows a man moving steadily towards the brink , making the moment he goes over quite jolting .	1	-1	 he[0] shows[0] a[0] man[0] moving[0] steadily[0] towards[0] the[0] brink[0] making[0] the[0] moment[0] he[0] goes[0] over[0] quite[0] jolting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as compelling as the narrative is , viewers may experience a profound sense of deja vu . 	as compelling as the narrative is , viewers may experience a profound sense of deja vu .	1	-1	 as[0] compelling[0] as[0] the[0] narrative[0] is[0] viewers[0] may[0] experience[0] a[0] profound[0] sense[0] of[0] deja[0] vu[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
depalma continues to steal shamelessly from other directors , this time adding scorsese to his repertoire with a point of view tracking shot and a copacabana scene with more than passing resemblances to goodfellas . 	depalma continues to steal shamelessly from other directors , this time adding scorsese to his repertoire with a point of view tracking shot and a copacabana scene with more than passing resemblances to goodfellas .	1	-4	 depalma[0] continues[0] to[0] steal[-2] shamelessly[-2][-1 MultiplePositiveWords] from[0] other[0] directors[0] this[0] time[0] adding[0] scorsese[0] to[0] his[0] repertoire[0] with[0] a[0] point[0] of[0] view[0] tracking[0] shot[-1] and[0] a[0] copacabana[0] scene[0] with[0] more[0] than[0] passing[0] resemblances[0] to[0] goodfellas[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he even recycles some of his own previous plagiarisms , like a 360 degree swing around a kiss ( vertigo via body double ) and the climactic shootout which will strike many as far too reminiscent of the train station sequence from the untouchables . 	he even recycles some of his own previous plagiarisms , like a 360 degree swing around a kiss ( vertigo via body double ) and the climactic shootout which will strike many as far too reminiscent of the train station sequence from the untouchables .	3	-2	 he[0] even[0] recycles[0] some[0] of[0] his[0] own[0] previous[0] plagiarisms[0] like[1] a[0] 360[0] degree[0] swing[0] around[0] a[0] kiss[2] vertigo[0] via[0] body[0] double[0] and[0] the[0] climactic[0] shootout[-1] which[0] will[0] strike[-1] many[0] as[0] far[0] too[0] reminiscent[0] of[0] the[0] train[0] station[0] sequence[0] from[0] the[0] untouchables[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
from a story standpoint , there's an obligatory love story with a cliche'd long-suffering girlfriend character . 	from a story standpoint , there's an obligatory love story with a cliche'd long-suffering girlfriend character .	3	-4	 from[0] a[0] story[0] standpoint[0] there's[0] an[0] obligatory[0] love[2] story[0] with[0] a[0] cliche'd[0] long[0] suffering[-3] girlfriend[0] character[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
penelope ann miller is a good but limited actor who doesn't do anything new with the role , and eventually she becomes just a distraction , never integrated fully enough into the story . 	penelope an miller is a good but limited actor who doesn't do anything new with the role , and eventually she becomes just a distraction , never integrated fully enough into the story .	2	-2	 penelope[0] ann/an[0] miller[0] is[0] a[0] good[1] but[0] limited[0] actor[0] who[0] doesn't[0] do[0] anything[0] new[0] with[0] the[0] role[0] and[0] eventually[0] she[0] becomes[0] just[0] a[0] distraction[-1] never[0] integrated[0] fully[0] enough[0] into[0] the[0] story[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
still , it's easier to be forgiving of superficial flaws when the backbone is so solid . 	still , it's easier to be forgiving of superficial flaws when the backbone is so solid .	2	-2	 still[0] it's[0] easier[0] to[0] be[0] forgiving[1] of[0] superficial[-1] flaws[0] when[0] the[0] backbone[0] is[0] so[0] solid[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the two principle characters held an iron grip on my attention , one all the cinematic thievery in the world couldn't break . 	the two principle characters held an iron grip on my attention , one all the cinematic thievery in the world couldn't break .	1	-2	 the[0] two[0] principle[0] characters[0] held[0] an[0] iron[0] grip[0] on[0] my[0] attention[0] one[0] all[0] the[0] cinematic[0] thievery[-1] in[0] the[0] world[0] couldn't[0] break[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
carlito's way plays like a tragic novel : deliberate , confident and powerful . 	carlito's way plays like a tragic novel : deliberate , confident and powerful .	2	-3	 carlito's[0] way[0] plays[1] like[1] a[0] tragic[-2] novel[0] deliberate[0] confident[1] and[0] powerful[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
those willing to grant depalma his tendencies towards the extreme should find themselves well- rewarded . 	those willing to grant depalma his tendencies towards the extreme should find themselves well- rewarded .	2	-1	 those[0] willing[0] to[0] grant[0] depalma[0] his[0] tendencies[0] towards[0] the[0] extreme[0] should[0] find[0] themselves[0] well[0] rewarded[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
