it's been a long time since walt disney has delivered us a classic along the lines of the little mermaid or beauty and the beast . 	Translation	Positive	Negative	EmotionRationale
gags that were magnified in other family films are kept quite minor here . 	gags that were magnified in other family films are kept quite minor here .	1	-1	 gags[0] that[0] were[0] magnified[0] in[0] other[0] family[0] films[0] are[0] kept[0] quite[0] minor[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most of the characters are amusing without being forced . 	most of the characters are amusing without being forced .	2	-1	 most[0] of[0] the[0] characters[0] are[0] amusing[1] without[0] being[0] forced[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as tarzan grows to manhood , the suspected antagonist stumbles into the picture . 	as tarzan grows to manhood , the suspected antagonist stumbles into the picture .	1	-2	 as[0] tarzan[0] grows[0] to[0] manhood[0] the[0] suspected[0] antagonist[-1] stumbles[0] into[0] the[0] picture[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
here , the notorious bad guy is the big game hunter clayton ( brian blessed ) , who's accompanying a hapless professor ( nigel hawthorne ) on an expedition through the jungle . 	here , the notorious bad guy is the big game hunter clayton ( brian blessed ) , who's accompanying a hapless professor ( nigel hawthorne ) on an expedition through the jungle .	2	-2	 here[0] the[0] notorious[-1] bad[-1] guy[0] is[0] the[0] big[0] game[0] hunter[-1] clayton[0] brian[0] blessed[1] who's[0] accompanying[0] a[0] hapless[-1] professor[0] nigel[0] hawthorne[0] on[0] an[0] expedition[0] through[0] the[0] jungle[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
of course , there's the professor's daughter , jane ( nicely vocalized by a cheerful minnie driver ) who will help supply the romantic quotient of the movie . 	of course , there's the professor's daughter , jane ( nicely vocalized by a cheerful minnie driver ) who will help supply the romantic quotient of the movie .	4	-1	 of[0] course[0] there's[0] the[0] professor's[0] daughter[0] jane[0] nicely[1] vocalized[0] by[0] a[0] cheerful[2] minnie[0] driver[0] who[0] will[0] help[0] supply[0] the[0] romantic[3] quotient[0] of[0] the[0] movie[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the thing that blew my socks off about this version of tarzan is the stunning animation . 	the thing that blew my socks off about this version of tarzan is the stunning animation .	1	-1	 the[0] thing[0] that[0] blew[0] my[0] socks[0] off[0] about[0] this[0] version[0] of[0] tarzan[0] is[0] the[0] stunning[0] animation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
directors chris buck and kevin lima have applied a breathtaking 3-d element to the movement of the athletic title character , and the fast-paced editing is absolutely a marvel . 	directors chris buck and kevin lima have applied a breathtaking 3-d element to the movement of the athletic title character , and the fast-paced editing is absolutely a marvel .	1	-1	 directors[0] chris[0] buck[0] and[0] kevin[0] lima[0] have[0] applied[0] a[0] breathtaking[0] 3[0] d[0] element[0] to[0] the[0] movement[0] of[0] the[0] athletic[0] title[0] character[0] and[0] the[0] fast[0] paced[0] editing[0] is[0] absolutely[0] a[0] marvel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as tarzan carries jane through the treetops , narrowly escaping a pack of nasty baboons , he slips and slides like a daredevil snow boarder or star surfer riding the big wave . 	as tarzan carries jane through the treetops , narrowly escaping a pack of nasty baboons , he slips and slides like a daredevil snow boarder or star surfer riding the big wave .	2	-3	 as[0] tarzan[0] carries[0] jane[0] through[0] the[0] treetops[0] narrowly[0] escaping[0] a[0] pack[0] of[0] nasty[-2] baboons[0] he[0] slips[0] and[0] slides[0] like[1] a[0] daredevil[0] snow[0] boarder[0] or[0] star[0] surfer[0] riding[0] the[0] big[0] wave[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
your eyes can barely keep up ; it's a fantastic accomplishment . 	your eyes can barely keep up ; it's a fantastic accomplishment .	3	-1	 your[0] eyes[0] can[0] barely[0] keep[0] up[0] it's[0] a[0] fantastic[2] accomplishment[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the subject matter here is also a notch or two above animation average . 	the subject matter here is also a notch or two above animation average .	1	-1	 the[0] subject[0] matter[0] here[0] is[0] also[0] a[0] notch[0] or[0] two[0] above[0] animation[0] average[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are important questions raised about tarzan's place in the world , and all are handled exceptionally well by the screenwriters . 	there are important questions raised about tarzan's place in the world , and all are handled exceptionally well by the screenwriters .	1	-1	 there[0] are[0] important[0] questions[0] raised[0] about[0] tarzan's[0] place[0] in[0] the[0] world[0] and[0] all[0] are[0] handled[0] exceptionally[0] well[0] by[0] the[0] screenwriters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is no shred of doubt left to ponder afterward , which is a surprising plus that i wasn't expecting to find here . 	there is no shred of doubt left to ponder afterward , which is a surprising plus that i wasn't expecting to find here .	1	-2	 there[0] is[0] no[0] shred[-1] of[0] doubt[-1] left[0] to[0] ponder[0] afterward[0] which[0] is[0] a[0] surprising[0] plus[0] that[0] i[0] wasn't[0] expecting[0] to[0] find[0] here[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
suffice to say , this film will have both adults and children thoroughly entertained . 	suffice to say , this film will have both adults and children thoroughly entertained .	1	-1	 suffice[0] to[0] say[0] this[0] film[0] will[0] have[0] both[0] adults[0] and[0] children[0] thoroughly[0] entertained[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the grown-up tarzan is voiced by tony goldwyn , who made a name for himself as the  big mean jerk' from ghost . 	the grown-up tarzan is voiced by tony goldwyn , who made a name for himself as the  big mean jerk' from ghost .	1	-1	 the[0] grown[0] up[0] tarzan[0] is[0] voiced[0] by[0] tony[0] goldwyn[0] who[0] made[0] a[0] name[0] for[0] himself[0] as[0] the[0] big[0] mean[0] jerk'[0] from[0] ghost[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
goldwyn is effective playing someone who's not aware of his world's dangers . 	goldwyn is effective playing someone who's not aware of his world's dangers .	2	-2	 goldwyn[0] is[0] effective[0] playing[1] someone[0] who's[0] not[0] aware[0] of[0] his[0] world's[0] dangers[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
glenn close is also memorable as his gorilla mother , and lance henriksen ( from tv's millennium ) is terrific as the silverback father unsure of how to accept the presence of a human child . 	glen close is also memorable as his gorilla mother , and lance henriksen ( from tv's millennium ) is terrific as the silverback father unsure of how to accept the presence of a human child .	4	-1	 glenn/glen[0] close[0] is[0] also[0] memorable[0] as[0] his[0] gorilla[0] mother[0] and[0] lance[0] henriksen[0] from[0] tv's[0] millennium[0] is[0] terrific[3] as[0] the[0] silverback[0] father[0] unsure[0] of[0] how[0] to[0] accept[0] the[0] presence[0] of[0] a[0] human[0] child[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
as the movie's villain , there is nothing particularly special or catching about the character of clayton . 	as the movie's villain , there is nothing particularly special or catching about the character of clayton .	2	-3	 as[0] the[0] movie's[0] villain[-2] there[0] is[0] nothing[0] particularly[0] special[1] or[0] catching[0] about[0] the[0] character[0] of[0] clayton[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it helps that brian blessed supplies his voice with game enthusiasm , but he is nothing compared to james woods' hilarious hades from hercules . 	it helps that brian blessed supplies his voice with game enthusiasm , but he is nothing compared to james woods' hilarious hades from hercules .	3	-1	 it[0] helps[0] that[0] brian[0] blessed[1] supplies[0] his[0] voice[0] with[0] game[0] enthusiasm[2] but[0] he[0] is[0] nothing[0] compared[0] to[0] james[0] woods'[0] hilarious[2] hades[0] from[0] hercules[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a burley guy with a big gun who just wants to capture the gorillas does not quite constitute for an all-together noticeable screen presence . 	a burley guy with a big gun who just wants to capture the gorillas does not quite constitute for an all-together noticeable screen presence .	1	-2	 a[0] burley[0] guy[0] with[0] a[0] big[0] gun[-1] who[0] just[0] wants[0] to[0] capture[-1] the[0] gorillas[0] does[0] not[0] quite[0] constitute[0] for[0] an[0] all[0] together[0] noticeable[0] screen[0] presence[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
still , this is one great thrill-ride that disney has constructed . 	still , this is one great thrill-ride that disney has constructed .	5	-1	 still[0] this[0] is[0] one[0] great[2] thrill[3][+1 MultiplePositiveWords] ride[0] that[0] disney[0] has[0] constructed[0] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
i never expected rice burrough's work to be transformed so successfully from live action to animation , nor with so much emotional depth . 	i never expected rice burrough's work to be transformed so successfully from live action to animation , nor with so much emotional depth .	3	-2	 i[0] never[0] expected[0] rice[0] burrough's[0] work[0] to[0] be[0] transformed[0] so[0] successfully[2] from[0] live[0] action[0] to[0] animation[0] nor[0] with[0] so[0] much[0] emotional[-1] depth[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
parents , along with all the kiddies , are going to find much to like in tarzan . 	parents , along with all the kiddies , are going to find much to like in tarzan .	2	-1	 parents[0] along[0] with[0] all[0] the[0] kiddies[0] are[0] going[0] to[0] find[0] much[0] to[0] like[1] in[0] tarzan[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
