we all know the fate of " child's play , " which is the same for almost any film these days that does marginally well financially : sequel hell . 	Translation	Positive	Negative	EmotionRationale
it plays with an idea stolen from a classic looney toons short that when someone knows that chucky is alive , they tell people about it , but when he tries to prove themselves , chucky does nothing , and everyone thinks they're crazy . 	it plays with an idea stolen from a classic looney tons short that when someone knows that chucky is alive , they tell people about it , but when he tries to prove themselves , chucky does nothing , and everyone thinks they're crazy .	2	-2	 it[0] plays[1] with[0] an[0] idea[0] stolen[-1] from[0] a[0] classic[0] looney[0] toons/tons[0] short[0] that[0] when[0] someone[0] knows[0] that[0] chucky[0] is[0] alive[0] they[0] tell[0] people[0] about[0] it[0] but[0] when[0] he[0] tries[0] to[0] prove[0] themselves[0] chucky[0] does[0] nothing[0] and[0] everyone[0] thinks[0] they're[0] crazy[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it plays with this , as well as the whole child-like thought that dolls and toys come to life , and even manages to cram in a couple really frightening moments . 	it plays with this , as well as the whole child-like thought that dolls and toys come to life , and even manages to cram in a couple really frightening moments .	2	-5	 it[0] plays[1] with[0] this[0] as[0] well[0] as[0] the[0] whole[0] child[0] like[1] thought[0] that[0] dolls[0] and[0] toys[0] come[0] to[0] life[0] and[0] even[0] manages[0] to[0] cram[-1] in[0] a[0] couple[0] really[0] frightening[-3][-1 LastWordBoosterStrength] moments[0] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
even if there's an entire sequence devoted to cliches ( a woman alone in a house hears a noise , goes to investigate it , and finds nothing , but wait for the kicker a second later ! ) , 	even if there's an entire sequence devoted to cliches ( a woman alone in a house hears a noise , goes to investigate it , and finds nothing , but wait for the kicker a second later !<br> ) ,	3	-2	 even[0] if[0] there's[0] an[0] entire[0] sequence[0] devoted[2] to[0] cliches[0] a[0] woman[0] alone[0] in[0] a[0] house[0] hears[0] a[0] noise[0] goes[0] to[0] investigate[0] it[0] and[0] finds[0] nothing[0] but[0] wait[0] for[0] the[0] kicker[-1] a[0] second[0] later[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there's also a harrowing car ride with chucky trying to knife the detective from the back seat , and then trying to attack him when the car finally crashes , leaving the viewer with at least rather visceral exprience . 	there's also a harrowing car ride with chucky trying to knife the detective from the back seat , and then trying to attack him when the car finally crashes , leaving the viewer with at least rather visceral exprience .	1	-3	 there's[0] also[0] a[0] harrowing[0] car[0] ride[0] with[0] chucky[0] trying[0] to[0] knife[-1] the[0] detective[0] from[0] the[0] back[0] seat[0] and[0] then[0] trying[0] to[0] attack[-2] him[0] when[0] the[0] car[0] finally[0] crashes[0] leaving[0] the[0] viewer[0] with[0] at[0] least[0] rather[0] visceral[0] exprience[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the ending is rather fun , as well , albeit a tad too drawn-out ( about four different endings , maybe five ) , and the characters are more intelligent than the average horror film line-up , making them easier to sympathize with . 	the ending is rather fun , as well , albeit a tad too drawn-out ( about four different endings , maybe five ) , and the characters are more intelligent than the average horror film line-up , making them easier to sympathize with .	2	-4	 the[0] ending[0] is[0] rather[0] fun[1] as[0] well[0] albeit[0] a[0] tad[0] too[0] drawn[0] out[0] about[0] four[0] different[0] endings[0] maybe[0] five[0] and[0] the[0] characters[0] are[0] more[0] intelligent[1] than[0] the[0] average[0] horror[-3] film[0] line[0] up[0] making[0] them[0] easier[0] to[0] sympathize[0] with[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
if there's one horrible thing about many horror films , it's that the protagonists are morons who you can't help but shout obscenities at , and for the most part , " child's play " steers away from that . 	if there's one horrible thing about many horror films , it's that the protagonists are morons who you can't help but shout obscenities at , and for the most part , " child's play " steers away from that .	1	-4	 if[0] there's[0] one[0] horrible[-3] thing[0] about[0] many[0] horror[-3] films[0] it's[0] that[0] the[0] protagonists[0] are[0] morons[-2] who[0] you[0] can't[0] help[0] but[0] shout[0] obscenities[0] at[0] and[0] for[0] the[0] most[0] part[0] child's[0] play[0] steers[0] away[0] from[0] that[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and most of all , the chucky character is a good one , not just because he provides instant comic relief ( look ! 	and most of all , the chucky character is a good one , not just because he provides instant comic relief ( look !	2	-1	 and[0] most[0] of[0] all[0] the[0] chucky[0] character[0] is[0] a[0] good[1] one[0] not[0] just[0] because[0] he[0] provides[0] instant[0] comic[0] relief[1] look[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that doll's moving on its own ! ) , but because he's a generally scary character . 	that doll's moving on its own !<br> ) , but because he's a generally scary character .	1	-4	 that[0] doll's[0] moving[0] on[0] its[0] own[0] [[Sentence=-1,1=word max, 1-5]] but[0] because[0] he's[0] a[0] generally[0] scary[-3] character[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
if there's anything really wrong with " child's play , " it's that it's too trite and has too less self esteem . 	if there's anything really wrong with " child's play , " it's that it's too trite and has too less self esteem .	1	-3	 if[0] there's[0] anything[0] really[0] wrong[-1][-1 LastWordBoosterStrength] with[0] child's[0] play[0] it's[0] that[0] it's[0] too[0] trite[-2] and[0] has[0] too[0] less[0] self[0] esteem[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
at almost 90 minutes , " child's play " features way too less to be a real classic of horror . 	at almost 90 minutes , " child's play " features way too less to be a real classic of horror .	1	-4	 at[0] almost[0] 90[0] minutes[0] child's[0] play[0] features[0] way[0] too[0] less[0] to[0] be[0] a[0] real[0] classic[0] of[0] horror[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it throws itself into a simple three act set-up that renders it quick and almost forgettable if it weren't for the fact that the film deals with a psychotic doll . 	it throws itself into a simple three act set-up that renders it quick and almost forgettable if it weren't for the fact that the film deals with a psychotic doll .	1	-1	 it[0] throws[0] itself[0] into[0] a[0] simple[0] three[0] act[0] set[0] up[0] that[0] renders[0] it[0] quick[0] and[0] almost[0] forgettable[0] if[0] it[0] weren't[0] for[0] the[0] fact[0] that[0] the[0] film[0] deals[0] with[0] a[0] psychotic[0] doll[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if the film had more confidence in what it was presenting , it would really push the envelope and become even more than just a short bit of horror escapism , which is precisely why this kind of film is only memorable as a cheap little horor film . . . which 	if the film had more confidence in what it was presenting , it would really push the envelope and become even more than just a short bit of horror escapism , which is precisely why this kind of film is only memorable as a cheap little horor film .<br> .<br> .<br> which	2	-4	 if[0] the[0] film[0] had[0] more[0] confidence[1] in[0] what[0] it[0] was[0] presenting[0] it[0] would[0] really[0] push[0] the[0] envelope[0] and[0] become[0] even[0] more[0] than[0] just[0] a[0] short[0] bit[0] of[0] horror[-3] escapism[0] which[0] is[0] precisely[0] why[0] this[0] kind[1] of[0] film[0] is[0] only[0] memorable[0] as[0] a[0] cheap[-1] little[0] horor[0] film[0] [[Sentence=-4,2=word max, 1-5]] which[0] [[Sentence=-1,1=word max, 1-5]][[[2,-4 max of sentences]]]
isn't necessarily a bad thing . 	isn't necessarily a bad thing .	1	-2	 isn't[0] necessarily[0] a[0] bad[-1] thing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as such , " child's play " is content to be just the short , typical horror film , but saves itself via a sense of humor and a nice quasi-campy feel that makes it much more enjoyable than the average short , typical horror film . 	as such , " child's play " is content to be just the short , typical horror film , but saves itself via a sense of humor and a nice quasi-campy feel that makes it much more enjoyable than the average short , typical horror film .	3	-4	 as[0] such[0] child's[0] play[0] is[0] content[0] to[0] be[0] just[0] the[0] short[0] typical[0] horror[-3] film[0] but[0] saves[1] itself[0] via[0] a[0] sense[0] of[0] humor[2] and[0] a[0] nice[1] quasi[0] campy[0] feel[0] that[0] makes[0] it[0] much[0] more[0] enjoyable[2] than[0] the[0] average[0] short[0] typical[0] horror[-3] film[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
