based on the relatively unknown ( in comparison to spider-man ) marvel comic book , blade tells the story of half-vampire half-human ( played by wesley snipes ) who was born of a vampire's latest meal . 	Translation	Positive	Negative	EmotionRationale
the comic book medium and come up with an appropriate atmosphere to match . 	the comic book medium and come up with an appropriate atmosphere to match .	1	-1	 the[0] comic[0] book[0] medium[0] and[0] come[0] up[0] with[0] an[0] appropriate[0] atmosphere[0] to[0] match[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the crow and batman comics call for a dark gothic atmosphere , which the director provided . 	the crow and batman comics call for a dark gothic atmosphere , which the director provided .	1	-1	 the[0] crow[0] and[0] batman[0] comics[0] call[0] for[0] a[0] dark[0] gothic[0] atmosphere[0] which[0] the[0] director[0] provided[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the mask features a wacky superhero with off the wall antics , which the casting and cg effects reflect . 	the mask features a wacky superhero with off the wall antics , which the casting and cg effects reflect .	1	-1	 the[0] mask[0] features[0] a[0] wacky[0] superhero[0] with[0] off[0] the[0] wall[0] antics[0] which[0] the[0] casting[0] and[0] cg[0] effects[0] reflect[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
superman 	superman	1	-1	 superman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is not over the top with colour and flash , and the film reflects this . 	is not over the top with colour and flash , and the film reflects this .	1	-1	 is[0] not[0] over[0] the[0] top[0] with[0] colour[0] and[0] flash[0] and[0] the[0] film[0] reflects[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
blade uses common notions of vampires and incorporates them into the film , creating an appropriate atmosphere . 	blade uses common notions of vampires and incorporates them into the film , creating an appropriate atmosphere .	1	-1	 blade[0] uses[0] common[0] notions[0] of[0] vampires[0] and[0] incorporates[0] them[0] into[0] the[0] film[0] creating[0] an[0] appropriate[0] atmosphere[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is in stark contrast to joel schumacher's contrived vision in batman and robin , reflecting the dated atmosphere in the 1960's television show . 	this is in stark contrast to joel schumacher's contrived vision in batman and robin , reflecting the dated atmosphere in the 1960's television show .	1	-2	 this[0] is[0] in[0] stark[-1] contrast[0] to[0] joel[0] schumacher's[0] contrived[0] vision[0] in[0] batman[0] and[0] robin[0] reflecting[0] the[0] dated[0] atmosphere[0] in[0] the[0] 1960's[0] television[0] show[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
batman and robin proved that the director failed to realize one fundamental fact : comics have grown up , and so has the audience ( i'm working on a scathing review of batman and robin and will post it up when i'm ready ) . 	batman and robin proved that the director failed to realize one fundamental fact : comics have grown up , and so has the audience ( i'm working on a scathing review of batman and robin and will post it up when i'm ready ) .	1	-3	 batman[0] and[0] robin[0] proved[0] that[0] the[0] director[0] failed[-2] to[0] realize[0] one[0] fundamental[0] fact[0] comics[0] have[0] grown[0] up[0] and[0] so[0] has[0] the[0] audience[0] i'm[0] working[0] on[0] a[0] scathing[0] review[0] of[0] batman[0] and[0] robin[0] and[0] will[0] post[0] it[0] up[0] when[0] i'm[0] ready[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
which brings me back to blade . 	which brings me back to blade .	1	-1	 which[0] brings[0] me[0] back[0] to[0] blade[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although he may be a familiar character to some , due to his appearances in the spider-man animated show on fox , one will find no single trace of the warm-and-fuzzy vampire hunter as depicted in the cartoon . 	although he may be a familiar character to some , due to his appearances in the spider-man animated show on fox , one will find no single trace of the warm-and-fuzy vampire hunter as depicted in the cartoon .	1	-2	 although[0] he[0] may[0] be[0] a[0] familiar[0] character[0] to[0] some[0] due[0] to[0] his[0] appearances[0] in[0] the[0] spider[0] man[0] animated[0] show[0] on[0] fox[0] one[0] will[0] find[0] no[0] single[0] trace[0] of[0] the[0] warm[0] and[0] fuzzy/fuzy[0] vampire[0] hunter[-1] as[0] depicted[0] in[0] the[0] cartoon[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film depicts a vicious vampire killer that 	the film depicts a vicious vampire killer that	1	-4	 the[0] film[0] depicts[0] a[0] vicious[-3] vampire[0] killer[-1] that[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
uses every single means at his disposal to reach his ends . 	uses every single means at his disposal to reach his ends .	1	-2	 uses[0] every[0] single[0] means[0] at[0] his[0] disposal[-1] to[0] reach[0] his[0] ends[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the end results are not pretty by any means . 	the end results are not pretty by any means .	1	-3	 the[0] end[0] results[0] are[0] not[0] pretty[2][NegatedDueToPreviousWord] by[0] any[0] means[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the story elements work very well -- for a comic book story . 	the story elements work very well - for a comic book story .	1	-1	 the[0] story[0] elements[0] work[0] very[0] well[0] for[0] a[0] comic[0] book[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
screenwriter david goyer ( who also wrote the crow ) incorporates interesting elements of vampire lore , using science to explain many of the ideas often dismissed in vampire films . 	screenwriter david goyer ( who also wrote the crow ) incorporates interesting elements of vampire lore , using science to explain many of the ideas often dismissed in vampire films .	2	-2	 screenwriter[0] david[0] goyer[0] who[0] also[0] wrote[0] the[0] crow[0] incorporates[0] interesting[1] elements[0] of[0] vampire[0] lore[0] using[0] science[0] to[0] explain[0] many[0] of[0] the[0] ideas[0] often[0] dismissed[-1] in[0] vampire[0] films[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this is presented through karen , a hematologist portrayed by n'bushe wright . 	this is presented through karen , a hematologist portrayed by n'bushe wright .	1	-1	 this[0] is[0] presented[0] through[0] karen[0] a[0] hematologist[0] portrayed[0] by[0] n'bushe[0] wright[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this leads to inventive use of standard medical treatments to kill vampires . 	this leads to inventive use of standard medical treatments to kill vampires .	1	-2	 this[0] leads[0] to[0] inventive[0] use[0] of[0] standard[0] medical[0] treatments[0] to[0] kill[-1] vampires[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
add this 	add this	1	-1	 add[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to the neat little gadgets that blade uses ( including a titanium sword complete with an " anti-theft device " ) , and one has an interesting premise . 	to the neat little gadgets that blade uses ( including a titanium sword complete with an " anti-theft device " ) , and one has an interesting premise .	2	-2	 to[0] the[0] neat[0] little[0] gadgets[0] that[0] blade[0] uses[0] including[0] a[0] titanium[0] sword[0] complete[0] with[0] an[0] anti[0] theft[-1] device[0] and[0] one[0] has[0] an[0] interesting[1] premise[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
however , the film works best as an action film . 	however , the film works best as an action film .	2	-1	 however[0] the[0] film[0] works[0] best[1] as[0] an[0] action[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
actor wesley snipes has 	actor wesley snipes has	1	-1	 actor[0] wesley[0] snipes[0] has[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an extensive background in martial arts ( most of which comes from capoeira , a brazillian form incorporating flashy kicks ) , choreographing every single move . 	an extensive background in martial arts ( most of which comes from capoeira , a brazillian form incorporating flashy kicks ) , choreographing every single move .	1	-3	 an[0] extensive[0] background[0] in[0] martial[0] arts[0] most[0] of[0] which[0] comes[0] from[0] capoeira[0] a[0] brazillian[0] form[0] incorporating[0] flashy[0] kicks[-1] choreographing[-2] every[0] single[0] move[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
proving that quick , flash cutting edits are no substitute for choreographed fight sequences ( see batman and robin for a 	proving that quick , flash cutting edits are no substitute for choreographed fight sequences ( see batman and robin for a	1	-4	 proving[0] that[0] quick[0] flash[0] cutting[0] edits[0] are[0] no[0] substitute[0] for[0] choreographed[-2] fight[-2][-1 MultiplePositiveWords] sequences[0] see[0] batman[0] and[0] robin[0] for[0] a[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
good example of that ) , wesley snipes dazzles the audience with some incredible fight scenes . 	good example of that ) , wesley snipes dazles the audience with some incredible fight scenes .	2	-3	 good[1] example[0] of[0] that[0] wesley[0] snipes[0] dazzles/dazles[0] the[0] audience[0] with[0] some[0] incredible[0] fight[-2] scenes[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
regardless , this film is far from perfect . 	regardless , this film is far from perfect .	2	-2	 regardless[-1] this[0] film[0] is[0] far[0] from[0] perfect[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film suffers from at least one major plot hole , regarding the summoning of the blood god . 	the film suffers from at least one major plot hole , regarding the summoning of the blood god .	1	-4	 the[0] film[0] suffers[-3] from[0] at[0] least[0] one[0] major[0] plot[0] hole[0] regarding[0] the[0] summoning[0] of[0] the[0] blood[0] god[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the ritual requires that a number of pure blood vampires are standing on 	the ritual requires that a number of pure blood vampires are standing on	1	-1	 the[0] ritual[0] requires[0] that[0] a[0] number[0] of[0] pure[0] blood[0] vampires[0] are[0] standing[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
marked squares , yet one of them is viciously murdered , allowing the ritual to pass ( and the murdered vampire is later shown standing on the square ) . 	marked squares , yet one of them is viciously murdered , allowing the ritual to pass ( and the murdered vampire is later shown standing on the square ) .	1	-5	 marked[0] squares[0] yet[0] one[0] of[0] them[0] is[0] viciously[-3] murdered[-3][-1 MultiplePositiveWords] allowing[0] the[0] ritual[0] to[0] pass[0] and[0] the[0] murdered[-3] vampire[0] is[0] later[0] shown[0] standing[0] on[0] the[0] square[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
obvious continuity errors also surface , especially during a scene where deacon frost takes a drag on his cigarette and is not exhaling it in the next frame ( there is no trace of smoke either ) . 	obvious continuity errors also surface , especially during a scene where deacon frost takes a drag on his cigarette and is not exhaling it in the next frame ( there is no trace of smoke either ) .	1	-2	 obvious[0] continuity[0] errors[-1] also[0] surface[0] especially[0] during[0] a[0] scene[0] where[0] deacon[0] frost[0] takes[0] a[0] drag[-1] on[0] his[0] cigarette[0] and[0] is[0] not[0] exhaling[0] it[0] in[0] the[0] next[0] frame[0] there[0] is[0] no[0] trace[0] of[0] smoke[0] either[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
much of the special effects are not that spectacular either . 	much of the special effects are not that spectacular either .	2	-1	 much[0] of[0] the[0] special[1] effects[0] are[0] not[0] that[0] spectacular[0] either[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while vampire disintegration scenes are intriguing to watch , other cgi ( computer generated imagery ) effects are almost slapped together , which is surprising when given the amount of time the film was given to be released ( the film's release date was pushed back multiple times ) . 	while vampire disintegration scenes are intriguing to watch , other cgi ( computer generated imagery ) effects are almost slapped together , which is surprising when given the amount of time the film was given to be released ( the film's release date was pushed back multiple times ) .	1	-2	 while[0] vampire[0] disintegration[0] scenes[0] are[0] intriguing[0] to[0] watch[0] other[0] cgi[0] computer[0] generated[0] imagery[0] effects[0] are[0] almost[0] slapped[-1] together[0] which[0] is[0] surprising[0] when[0] given[0] the[0] amount[0] of[0] time[0] the[0] film[0] was[0] given[0] to[0] be[0] released[0] the[0] film's[0] release[0] date[0] was[0] pushed[0] back[0] multiple[0] times[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
scenes with computer generated blood look extremely fake , knocking the believability factor down a few notches ( but then , i'm really hard to impress ) . 	scenes with computer generated blood look extremely fake , knocking the believability factor down a few notches ( but then , i'm really hard to impress ) .	2	-4	 scenes[0] with[0] computer[0] generated[0] blood[0] look[0] extremely[0] fake[-1][-2 LastWordBoosterStrength] knocking[0] the[0] believability[0] factor[0] down[0] a[0] few[0] notches[0] but[0] then[0] i'm[0] really[0] hard[0] to[0] impress[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the film's r rating comes from gory violence , but the lack of 	the film's are rating comes from gory violence , but the lack of	1	-4	 the[0] film's[0] r[0] rating[0] comes[0] from[0] gory[0] violence[-3] but[0] the[0] lack[-1] of[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
realism made me wonder why it got such a rating ( for realistic violence , 	realism made me wonder why it got such a rating ( for realistic violence ,	1	-4	 realism[0] made[0] me[0] wonder[0] why[0] it[0] got[0] such[0] a[0] rating[0] for[0] realistic[0] violence[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
watch " saving private ryan " ) . 	watch " saving private ryan " ) .	1	-1	 watch[0] saving[0] private[0] ryan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the overuse of cgi in films has made me yearn for the days of director george romero and makeup wizard rob bottin , both pioneers in the art of gore without extensive use of cgi . 	the overuse of cgi in films has made me yearn for the days of director george romero and makeup wizard rob bottin , both pioneers in the art of gore without extensive use of cgi .	1	-2	 the[0] overuse[0] of[0] cgi[0] in[0] films[0] has[0] made[0] me[0] yearn[-1] for[0] the[0] days[0] of[0] director[0] george[0] romero[0] and[0] makeup[0] wizard[0] rob[0] bottin[0] both[0] pioneers[0] in[0] the[0] art[0] of[0] gore[0] without[0] extensive[0] use[0] of[0] cgi[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
still , scenes involving non-cgi special effects do surface ( and look much more impressive ) , such as one particularly gruesome scene where a vampire tries to use blade's sword without deactivating the " anti-theft device " . 	still , scenes involving non-cgi special effects do surface ( and look much more impressive ) , such as one particularly gruesome scene where a vampire tries to use blade's sword without deactivating the " anti-theft device " .	2	-2	 still[0] scenes[0] involving[0] non[0] cgi[0] special[1] effects[0] do[0] surface[0] and[0] look[0] much[0] more[0] impressive[1] such[0] as[0] one[0] particularly[0] gruesome[0] scene[0] where[0] a[0] vampire[0] tries[0] to[0] use[0] blade's[0] sword[0] without[0] deactivating[0] the[0] anti[0] theft[-1] device[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
wesley snipes is the saving grace behind what would have otherwise been a muddled mess . 	wesley snipes is the saving grace behind what would have otherwise been a muddled mess .	3	-2	 wesley[0] snipes[0] is[0] the[0] saving[0] grace[2] behind[0] what[0] would[0] have[0] otherwise[0] been[0] a[0] muddled[-1] mess[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
while not talking much , he is a grand physical presence , leaving other comic book superheroes in the dust . 	while not talking much , he is a grand physical presence , leaving other comic book superheroes in the dust .	2	-1	 while[0] not[0] talking[0] much[0] he[0] is[0] a[0] grand[1] physical[0] presence[0] leaving[0] other[0] comic[0] book[0] superheroes[0] in[0] the[0] dust[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a decent ( by comic book film standards ) storyline also helps . 	a decent ( by comic book film standards ) storyline also helps .	1	-1	 a[0] decent[0] by[0] comic[0] book[0] film[0] standards[0] storyline[0] also[0] helps[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
