it may seem weird to begin a film about glam rock with a sequence that includes a spaceship , a green ovular pin , and the birth of oscar wilde , but if one really strains , they can see that perhaps maybe these connections are not half off . 	Translation	Positive	Negative	EmotionRationale
but the 70s scenes are engaging , though , not to mention addictively campy . 	but the 70s scenes are engaging , though , not to mention addictively campy .	1	-2	 but[0] the[0] 70s[0] scenes[0] are[0] engaging[0] though[0] not[0] to[0] mention[0] addictively[-1] campy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they radiate with gorgeous cinematography that nicely accentuates all the vibrant colors of the era , and a feel that's so eerily lighthearted that when combined with the then-footage , they become not only a symbol of decadence , but of times when everything seemed so simple . 	they radiate with gorgeous cinematography that nicely accentuates all the vibrant colors of the era , and a feel that's so eerily lighthearted that when combined with the then-footage , they become not only a symbol of decadence , but of times when everything seemed so simple .	3	-2	 they[0] radiate[0] with[0] gorgeous[2] cinematography[0] that[0] nicely[1] accentuates[0] all[0] the[0] vibrant[0] colors[0] of[0] the[0] era[0] and[0] a[0] feel[0] that's[0] so[0] eerily[0] lighthearted[0] that[0] when[0] combined[0] with[0] the[0] then[0] footage[0] they[0] become[0] not[0] only[0] a[0] symbol[0] of[0] decadence[-1] but[0] of[0] times[0] when[0] everything[0] seemed[0] so[0] simple[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
instead of creating the world the way it was , haynes paints their own world as if it were a narcotic fairy tale : the glam rock movement was full of so much freedom and liberation that after you've experienced it , everything else seems so mundane . 	instead of creating the world the way it was , haynes paints their own world as if it were a narcotic fairy tale : the glam rock movement was full of so much freedom and liberation that after you've experienced it , everything else seems so mundane .	2	-2	 instead[0] of[0] creating[0] the[0] world[0] the[0] way[0] it[0] was[0] haynes[0] paints[0] their[0] own[0] world[0] as[0] if[0] it[0] were[0] a[0] narcotic[0] fairy[0] tale[0] the[0] glam[0] rock[1] movement[0] was[0] full[0] of[0] so[0] much[0] freedom[0] and[0] liberation[0] that[0] after[0] you've[0] experienced[0] it[0] everything[0] else[0] seems[0] so[0] mundane[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there's no outside world to speak of , secluding these people inside a protective globe that will eventually crack . 	there's no outside world to speak of , secluding these people inside a protective globe that will eventually crack .	1	-1	 there's[0] no[0] outside[0] world[0] to[0] speak[0] of[0] secluding[0] these[0] people[0] inside[0] a[0] protective[0] globe[0] that[0] will[0] eventually[0] crack[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
haynes focuses his story on the tale of blade and the other fictitious rock hero , curt wild , and their relationship that created , molded , and then brought down the movement , reducing everyone else who contributed to it as merely that - contributors . 	haynes focuses his story on the tale of blade and the other fictitious rock hero , curt wild , and their relationship that created , molded , and then brought down the movement , reducing everyone else who contributed to it as merely that - contributors .	3	-2	 haynes[0] focuses[0] his[0] story[0] on[0] the[0] tale[0] of[0] blade[0] and[0] the[0] other[0] fictitious[0] rock[1] hero[2] curt[-1] wild[0] and[0] their[0] relationship[0] that[0] created[0] molded[0] and[0] then[0] brought[0] down[0] the[0] movement[0] reducing[0] everyone[0] else[0] who[0] contributed[0] to[0] it[0] as[0] merely[0] that[0] contributors[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
blade - played with reserve by the pouty jonathan rhys meyers - and wild - played with anarchic wildness by ewan mcgregor - are little more than thinly disguised recreations of david bowie and iggy pop , respectively , complete with the creation of a ziggy stardust persona named maxwell demon and the confirmation that the two rock stars may have very well not only have been one-time partners in music , but also partners in bed . 	blade - played with reserve by the pouty jonathan rhys meyers - and wild - played with anarchic wildness by ewan mcgregor - are little more than thinly disguised recreations of david bowie and iggy pop , respectively , complete with the creation of a ziggy stardust persona named maxwell demon and the confirmation that the two rock stars may have very well not only have been one-time partners in music , but also partners in bed .	3	-2	 blade[0] played[0] with[0] reserve[0] by[0] the[0] pouty[-1] jonathan[0] rhys[0] meyers[0] and[0] wild[0] played[0] with[0] anarchic[0] wildness[0] by[0] ewan[0] mcgregor[0] are[0] little[0] more[0] than[0] thinly[0] disguised[0] recreations[0] of[0] david[0] bowie[0] and[0] iggy[0] pop[0] respectively[2] complete[0] with[0] the[0] creation[0] of[0] a[0] ziggy[0] stardust[0] persona[0] named[0] maxwell[0] demon[-1] and[0] the[0] confirmation[0] that[0] the[0] two[0] rock[1] stars[0] may[0] have[0] very[0] well[0] not[0] only[0] have[0] been[0] one[0] time[0] partners[0] in[0] music[0] but[0] also[0] partners[0] in[0] bed[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
through discussions with slade's ex-manager cecil ( michael feast ) , ex-wife mandy ( toni collette , reinventing herself as an american blonde dish who fakes a british accent when with slade ) , and finally ex-partner wild , journalist stuart begins to remember his own experiences in the era , like his discovery of his rebelliousness cum conformity , including the moment when he began questioning his own sexuality ( when he opens up his first slade record , he finds a naked and green slade lying on a crimson blanket ) , and finally running away from home to be part of the london scene , finally resulting in leading a boring job in america . 	through discussions with slade's ex-manager cecil ( michael feast ) , ex-wife mandy ( toni collette , reinventing herself as an american blonde dish who fakes a british accent when with slade ) , and finally ex-partner wild , journalist stuart begins to remember his own experiences in the era , like his discovery of his rebelliousness cum conformity , including the moment when he began questioning his own sexuality ( when he opens up his first slade record , he finds a naked and green slade lying on a crimson blanket ) , and finally running away from home to be part of the london scene , finally resulting in leading a boring job in america .	2	-4	 through[0] discussions[0] with[0] slade's[0] ex[0] manager[0] cecil[0] michael[0] feast[0] ex[0] wife[0] mandy[0] toni[0] collette[0] reinventing[0] herself[0] as[0] an[0] american[0] blonde[0] dish[0] who[0] fakes[-1] a[0] british[0] accent[0] when[0] with[0] slade[0] and[0] finally[0] ex[0] partner[0] wild[0] journalist[0] stuart[0] begins[0] to[0] remember[0] his[0] own[0] experiences[0] in[0] the[0] era[0] like[1] his[0] discovery[0] of[0] his[0] rebelliousness[-1] cum[0] conformity[0] including[0] the[0] moment[0] when[0] he[0] began[0] questioning[0] his[0] own[0] sexuality[0] when[0] he[0] opens[0] up[0] his[0] first[0] slade[0] record[0] he[0] finds[0] a[0] naked[0] and[0] green[0] slade[0] lying[-3] on[0] a[0] crimson[0] blanket[0] and[0] finally[0] running[0] away[0] from[0] home[0] to[0] be[0] part[0] of[0] the[0] london[0] scene[0] finally[0] resulting[0] in[0] leading[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
haynes demonstrates that he's quite the visual auteur , molding scenes that are like long heald breaths , such as a seemingly long sequence juxtaposing a slade/wild concert of them performing a brian eno cover , " baby's on fire , " with scenes from a decadent drug party ; and the film's most wow-inspiring sequence , the first concert scene of wild with his band , the ratttz , where mcgregor lets loose so much anarchic steam that his wild iggy-esuqe movements ( including stripping naked ) and screams that the film captures that perfect moment when one discovers a major talent , and another ( slade ) discovers his idle . 	haynes demonstrates that he's quite the visual auteur , molding scenes that are like long heald breaths , such as a seemingly long sequence juxtaposing a slade/wild concert of them performing a brian eno cover , " baby's on fire , " with scenes from a decadent drug party ; and the film's most wow-inspiring sequence , the first concert scene of wild with his band , the rattz , where mcgregor lets loose so much anarchic steam that his wild iggy-esuqe movements ( including stripping naked ) and screams that the film captures that perfect moment when one discovers a major talent , and another ( slade ) discovers his idle .	4	-4	 haynes[0] demonstrates[0] that[0] he's[0] quite[0] the[0] visual[0] auteur[0] molding[0] scenes[0] that[0] are[0] like[1] long[0] heald[0] breaths[0] such[0] as[0] a[0] seemingly[0] long[0] sequence[0] juxtaposing[0] a[0] slade/wild[0] concert[0] of[0] them[0] performing[0] a[0] brian[0] eno[0] cover[0] baby's[0] on[0] fire[0] with[0] scenes[0] from[0] a[0] decadent[-1] drug[0] party[0] and[0] the[0] film's[0] most[0] wow[2] inspiring[2][+1 MultiplePositiveWords] sequence[0] the[0] first[0] concert[0] scene[0] of[0] wild[0] with[0] his[0] band[0] the[0] ratttz/rattz[0] where[0] mcgregor[0] lets[0] loose[0] so[0] much[0] anarchic[0] steam[0] that[0] his[0] wild[0] iggy[0] esuqe[0] movements[0] including[0] stripping[0] naked[0] and[0] screams[-3] that[0] the[0] film[0] captures[-1] that[0] perfect[1] moment[0] when[0] one[0] discovers[0] a[0] major[0] talent[1] and[0] another[0] slade[0] discovers[0] his[0] idle[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
even the brief music videos , spoofs of bowie's , have a rare visual flair that's pure camp , and which would cause ken russell to drool . 	even the brief music videos , spoofs of bowie's , have a rare visual flair that's pure camp , and which would cause ken russell to drool .	1	-1	 even[0] the[0] brief[0] music[0] videos[0] spoofs[0] of[0] bowie's[0] have[0] a[0] rare[0] visual[0] flair[0] that's[0] pure[0] camp[0] and[0] which[0] would[0] cause[0] ken[0] russell[0] to[0] drool[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the best sequence , though , may be the beginning , following the prelude , a sequence which acts as the middle ground for both the actual being of the movement and the post-movement era . 	the best sequence , though , may be the beginning , following the prelude , a sequence which acts as the middle ground for both the actual being of the movement and the post-movement era .	2	-1	 the[0] best[1] sequence[0] though[0] may[0] be[0] the[0] beginning[0] following[0] the[0] prelude[0] a[0] sequence[0] which[0] acts[0] as[0] the[0] middle[0] ground[0] for[0] both[0] the[0] actual[0] being[0] of[0] the[0] movement[0] and[0] the[0] post[0] movement[0] era[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in it , stuart and his mates are going to the infamous slade concert where he fakes his own death , where he kills off his alter ego maxwell demon in what appears to be a real assasination , which brought about the end of the era in one swift fake bullet . 	in it , stuart and his mates are going to the infamous slade concert where he fakes his own death , where he kills off his alter ego maxwell demon in what appears to be a real assasination , which brought about the end of the era in one swift fake bullet .	1	-3	 in[0] it[0] stuart[0] and[0] his[0] mates[0] are[0] going[0] to[0] the[0] infamous[-1] slade[0] concert[0] where[0] he[0] fakes[-1] his[0] own[0] death[-2] where[0] he[0] kills[0] off[0] his[0] alter[0] ego[0] maxwell[0] demon[-1] in[0] what[0] appears[0] to[0] be[0] a[0] real[0] assasination[0] which[0] brought[0] about[0] the[0] end[0] of[0] the[0] era[0] in[0] one[0] swift[0] fake[-1] bullet[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
with brian eno's famous " needle in the camel's eye " playing in the background , the scene has a detached exhileration - the song doesn't seem to be played in quite the same way the other songs are . 	with brian eno's famous " needle in the camel's eye " playing in the background , the scene has a detached exhileration - the song doesn't seem to be played in quite the same way the other songs are .	2	-1	 with[0] brian[0] eno's[0] famous[0] needle[0] in[0] the[0] camel's[0] eye[0] playing[1] in[0] the[0] background[0] the[0] scene[0] has[0] a[0] detached[0] exhileration[0] the[0] song[0] doesn't[0] seem[0] to[0] be[0] played[0] in[0] quite[0] the[0] same[0] way[0] the[0] other[0] songs[0] are[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it has a distance that's hard to put a finger on , and it seems to represent that all this is coming to a quick and sad ending , and when one sees slade in the dressing room before the show , docked in a silver frock with wings and blue hair , depressingly staring into the mirror , it comes off as a none-too-obvious prophecy of the finale in the beginning of the film . 	it has a distance that's hard to put a finger on , and it seems to represent that all this is coming to a quick and sad ending , and when one sees slade in the dressing room before the show , docked in a silver frock with wings and blue hair , depressingly staring into the mirror , it comes off as a none-too-obvious prophecy of the finale in the beginning of the film .	1	-4	 it[0] has[0] a[0] distance[0] that's[0] hard[0] to[0] put[0] a[0] finger[0] on[0] and[0] it[0] seems[0] to[0] represent[0] that[0] all[0] this[0] is[0] coming[0] to[0] a[0] quick[0] and[0] sad[-3] ending[0] and[0] when[0] one[0] sees[0] slade[0] in[0] the[0] dressing[0] room[0] before[0] the[0] show[0] docked[0] in[0] a[0] silver[0] frock[0] with[0] wings[0] and[0] blue[0] hair[0] depressingly[-3] staring[0] into[0] the[0] mirror[0] it[0] comes[0] off[0] as[0] a[0] none[0] too[0] obvious[0] prophecy[0] of[0] the[0] finale[0] in[0] the[0] beginning[0] of[0] the[0] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this movie's not so much about plot , but more about the way it is presented , making this one of those films which is classified as being " style over substance , " a statement which prompts many critics to line up for attack . 	this movie's not so much about plot , but more about the way it is presented , making this one of those films which is classified as being " style over substance , " a statement which prompts many critics to line up for attack .	1	-3	 this[0] movie's[0] not[0] so[0] much[0] about[0] plot[0] but[0] more[0] about[0] the[0] way[0] it[0] is[0] presented[0] making[0] this[0] one[0] of[0] those[0] films[0] which[0] is[0] classified[0] as[0] being[0] style[0] over[0] substance[0] a[0] statement[0] which[0] prompts[0] many[0] critics[0] to[0] line[0] up[0] for[0] attack[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , for the most part , the engaging part of this film is not the story but rather the way in which haynes creates this world , by using his sets , costumes , cinematography , and especially the music to play as characters in his film . 	however , for the most part , the engaging part of this film is not the story but rather the way in which haynes creates this world , by using his sets , costumes , cinematography , and especially the music to play as characters in his film .	1	-1	 however[0] for[0] the[0] most[0] part[0] the[0] engaging[0] part[0] of[0] this[0] film[0] is[0] not[0] the[0] story[0] but[0] rather[0] the[0] way[0] in[0] which[0] haynes[0] creates[0] this[0] world[0] by[0] using[0] his[0] sets[0] costumes[0] cinematography[0] and[0] especially[0] the[0] music[0] to[0] play[0] as[0] characters[0] in[0] his[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the music is especially notable . 	the music is especially notable .	1	-1	 the[0] music[0] is[0] especially[0] notable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the soundtrack , which is wall to wall , consists of old school glam rock tunes by the likes of brian eno , t-rex , and roxy music , as well as covers by slade's band ( with vocals by thom yorke , and occasionally rhys meyers himself ) , and even newer music by shudder to think that sounds uncannily bowie-like . 	the soundtrack , which is wall to wall , consists of old school glam rock tunes by the likes of brian eno , t-rex , and roxy music , as well as covers by slade's band ( with vocals by thom yorke , and occasionally rhys meyers himself ) , and even newer music by shudder to think that sounds uncannily bowie-like .	3	-1	 the[0] soundtrack[0] which[0] is[0] wall[0] to[0] wall[0] consists[0] of[0] old[0] school[0] glam[0] rock[1] tunes[0] by[0] the[0] likes[2] of[0] brian[0] eno[0] t[0] rex[0] and[0] roxy[0] music[0] as[0] well[0] as[0] covers[0] by[0] slade's[0] band[0] with[0] vocals[0] by[0] thom[0] yorke[0] and[0] occasionally[0] rhys[0] meyers[0] himself[0] and[0] even[0] newer[0] music[0] by[0] shudder[0] to[0] think[0] that[0] sounds[0] uncannily[0] bowie[0] like[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the cast is rather impressive , but no one really walks away with the film , and no performances are extremely good . 	the cast is rather impressive , but no one really walks away with the film , and no performances are extremely good .	4	-1	 the[0] cast[0] is[0] rather[0] impressive[1] but[0] no[0] one[0] really[0] walks[0] away[0] with[0] the[0] film[0] and[0] no[0] performances[0] are[0] extremely[0] good[1][2 LastWordBoosterStrength] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
although eddie izzard , as slade's manager ( who challenges slade's first manager to an arm-wrestling match to see who gets control of his career ) and michael feast as the first and tragic manager come off greatly , and collette and mcgregor have their moments , rhys meyers and bale are noticably sub-par , neither putting a lot of effort into their respective roles . 	although eddie izard , as slade's manager ( who challenges slade's first manager to an arm-wrestling match to see who gets control of his career ) and michael feast as the first and tragic manager come off greatly , and collette and mcgregor have their moments , rhys meyers and bale are noticably sub-par , neither putting a lot of effort into their respective roles .	3	-3	 although[0] eddie[0] izzard/izard[0] as[0] slade's[0] manager[0] who[0] challenges[-1] slade's[0] first[0] manager[0] to[0] an[0] arm[0] wrestling[0] match[0] to[0] see[0] who[0] gets[0] control[0] of[0] his[0] career[0] and[0] michael[0] feast[0] as[0] the[0] first[0] and[0] tragic[-2] manager[0] come[0] off[0] greatly[2] and[0] collette[0] and[0] mcgregor[0] have[0] their[0] moments[0] rhys[0] meyers[0] and[0] bale[0] are[0] noticably[0] sub[0] par[0] neither[0] putting[0] a[0] lot[0] of[0] effort[0] into[0] their[0] respective[2] roles[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
some of it is at fault with the actual construction of the film by haynes . 	some of it is at fault with the actual construction of the film by haynes .	1	-2	 some[0] of[0] it[0] is[0] at[0] fault[-1] with[0] the[0] actual[0] construction[0] of[0] the[0] film[0] by[0] haynes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
rhys meyers' brian slade remains merely a metaphor for the glam rock era , dying when he turned into a retro-garbo , resorting to a life of salinger-ism , and found in the mid-70s to be lying around , sniffing coke off the ass of a party girl . 	rhys meyers' brian slade remains merely a metaphor for the glam rock era , dying when he turned into a retro-garbo , resorting to a life of salinger-ism , and found in the mid-70s to be lying around , sniffing coke off the ass of a party girl .	2	-4	 rhys[0] meyers'[0] brian[0] slade[0] remains[0] merely[0] a[0] metaphor[0] for[0] the[0] glam[0] rock[1] era[0] dying[-1] when[0] he[0] turned[0] into[0] a[0] retro[0] garbo[0] resorting[0] to[0] a[0] life[0] of[0] salinger[0] ism[0] and[0] found[0] in[0] the[0] mid[0] -70s[0] to[0] be[0] lying[-3] around[0] sniffing[0] coke[0] off[0] the[0] ass[0] of[0] a[0] party[0] girl[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
in fact , no one in this film is really seen as a person , rather than just as a symbol or composite of a type who thrived during the era . 	in fact , no one in this film is really seen as a person , rather than just as a symbol or composite of a type who thrived during the era .	1	-1	 in[0] fact[0] no[0] one[0] in[0] this[0] film[0] is[0] really[0] seen[0] as[0] a[0] person[0] rather[0] than[0] just[0] as[0] a[0] symbol[0] or[0] composite[0] of[0] a[0] type[0] who[0] thrived[0] during[0] the[0] era[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bale's character is an especially tough sell : bitter and depressed by flashbacks to his young adulthood , he's not an extremely personal character , and his cliched experiences ( being hounded by the record store guys for buying a record put out by a " poof " ) never help us communicate with him . 	bale's character is an especially tough sell : bitter and depressed by flashbacks to his young adulthood , he's not an extremely personal character , and his cliched experiences ( being hounded by the record store guys for buying a record put out by a " poof " ) never help us communicate with him .	1	-4	 bale's[0] character[0] is[0] an[0] especially[0] tough[-1][-1 LastWordBoosterStrength] sell[0] bitter[-1] and[0] depressed[-3] by[0] flashbacks[0] to[0] his[0] young[0] adulthood[0] he's[0] not[0] an[0] extremely[0] personal[0] character[0] and[0] his[0] cliched[0] experiences[0] being[0] hounded[0] by[0] the[0] record[0] store[0] guys[0] for[0] buying[0] a[0] record[0] put[0] out[0] by[0] a[0] poof[0] never[0] help[0] us[0] communicate[0] with[0] him[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
nevertheless , rhys meyers and mcgregor have the excuses that their characters are not really characters but rather the results of an era that has left them , and others , bitter , part of which helps the film work , since this is a major piece of eye candy . 	nevertheless , rhys meyers and mcgregor have the excuses that their characters are not really characters but rather the results of an era that has left them , and others , bitter , part of which helps the film work , since this is a major piece of eye candy .	1	-2	 nevertheless[0] rhys[0] meyers[0] and[0] mcgregor[0] have[0] the[0] excuses[0] that[0] their[0] characters[0] are[0] not[0] really[0] characters[0] but[0] rather[0] the[0] results[0] of[0] an[0] era[0] that[0] has[0] left[0] them[0] and[0] others[0] bitter[-1] part[0] of[0] which[0] helps[0] the[0] film[0] work[0] since[0] this[0] is[0] a[0] major[0] piece[0] of[0] eye[0] candy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at the prime of the movie , they at least look the role of fashionable leaders - slade with his perpetually-changing , androgonys persona , and wild with his topless and unpredictable image , which clash and fuse into an unstable union . 	at the prime of the movie , they at least look the role of fashionable leaders - slade with his perpetually-changing , androgonys persona , and wild with his topless and unpredictable image , which clash and fuse into an unstable union .	1	-2	 at[0] the[0] prime[0] of[0] the[0] movie[0] they[0] at[0] least[0] look[0] the[0] role[0] of[0] fashionable[0] leaders[0] slade[0] with[0] his[0] perpetually[0] changing[0] androgonys[0] persona[0] and[0] wild[0] with[0] his[0] topless[0] and[0] unpredictable[0] image[0] which[0] clash[-1] and[0] fuse[0] into[0] an[0] unstable[-1] union[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
