 ( note : there are spoilers regarding the film's climax ; the election , of course ) 	Translation	Positive	Negative	EmotionRationale
and it's amazing the compassion that we have ; it seems so real to us , and not merely because it's happened before , splashed all over the front pages , but , because of the all around " nice " persona of these people , we easily dismiss the truly wayward deeds of the characters . 	and it's amazing the compassion that we have ; it seems so real to us , and not merely because it's happened before , splashed all over the front pages , but , because of the all around " nice " persona of these people , we easily dismiss the truly wayward deeds of the characters .	3	-2	 and[0] it's[0] amazing[2] the[0] compassion[1] that[0] we[0] have[0] it[0] seems[0] so[0] real[0] to[0] us[0] and[0] not[0] merely[0] because[0] it's[0] happened[0] before[0] splashed[0] all[0] over[0] the[0] front[0] pages[0] but[0] because[0] of[0] the[0] all[0] around[0] nice[1] persona[0] of[0] these[0] people[0] we[0] easily[0] dismiss[-1] the[0] truly[1] wayward[-1] deeds[0] of[0] the[0] characters[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's with mandy barnett's " if you'll be the teacher " playing winsomely over the closing credits that payne skewers the tenets of his detractors most ; a final , viscous injection of bittersweet irony . 	it's with mandy barnett's " if you'll be the teacher " playing winsomely over the closing credits that payne skewers the tenets of his detractors most ; a final , viscous injection of bittersweet irony .	2	-2	 it's[0] with[0] mandy[0] barnett's[0] if[0] you'll[0] be[0] the[0] teacher[0] playing[1] winsomely[0] over[0] the[0] closing[0] credits[0] that[0] payne[0] skewers[0] the[0] tenets[0] of[0] his[0] detractors[-1] most[0] a[0] final[0] viscous[0] injection[0] of[0] bittersweet[0] irony[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
sexuality , though , is not the only basis for payne's satire , or its success . 	sexuality , though , is not the only basis for payne's satire , or its success .	3	-1	 sexuality[0] though[0] is[0] not[0] the[0] only[0] basis[0] for[0] payne's[0] satire[0] or[0] its[0] success[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it also makes a telling point about politics , friendship , and class boundaries . 	it also makes a telling point about politics , friendship , and class boundaries .	2	-1	 it[0] also[0] makes[0] a[0] telling[0] point[0] about[0] politics[0] friendship[1] and[0] class[0] boundaries[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
satire is required ( or ought to be , anyway ) to take itself seriously , or act so , while the audience does not . 	satire is required ( or ought to be , anyway ) to take itself seriously , or act so , while the audience does not .	1	-1	 satire[0] is[0] required[0] or[0] ought[0] to[0] be[0] anyway[0] to[0] take[0] itself[0] seriously[0] or[0] act[0] so[0] while[0] the[0] audience[0] does[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a fine line to straddle , but some films ignore it altogether ( " drop dead gorgeous " leaps infuriatingly to mind ) . 	it's a fine line to straddle , but some films ignore it altogether ( " drop dead gorgeous " leaps infuriatingly to mind ) .	3	-3	 it's[0] a[0] fine[2] line[0] to[0] straddle[0] but[0] some[0] films[0] ignore[0] it[0] altogether[0] drop[-1] dead[-2] gorgeous[2] leaps[0] infuriatingly[0] to[0] mind[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
payne and taylor hit the right chord ; their characters are real people : neither is perfect , but rather both of the leads are flawed , misguided individuals who retain , somewhat , noble intentions at heart . 	payne and taylor hit the right chord ; their characters are real people : neither is perfect , but rather both of the leads are flawed , misguided individuals who retain , somewhat , noble intentions at heart .	2	-1	 payne[0] and[0] taylor[0] hit[0] the[0] right[0] chord[0] their[0] characters[0] are[0] real[0] people[0] neither[0] is[0] perfect[1] but[0] rather[0] both[0] of[0] the[0] leads[0] are[0] flawed[0] misguided[0] individuals[0] who[0] retain[0] somewhat[0] noble[0] intentions[0] at[0] heart[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we sympathize with them , but still , as a satire , their idiosyncratic behavior , and their wrongdoing , is taken to an extreme for the audience to knowingly chuckle , but also reflect and meditate , about . 	we sympathize with them , but still , as a satire , their idiosyncratic behavior , and their wrongdoing , is taken to an extreme for the audience to knowingly chuckle , but also reflect and meditate , about .	3	-3	 we[0] sympathize[0] with[0] them[0] but[0] still[0] as[0] a[0] satire[0] their[0] idiosyncratic[0] behavior[0] and[0] their[0] wrongdoing[-2] is[0] taken[0] to[0] an[0] extreme[0] for[0] the[0] audience[0] to[0] knowingly[0] chuckle[2] but[0] also[0] reflect[0] and[0] meditate[0] about[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
minus half a point , though , for payne admitting not to having seen " ferris bueller's day off " . 	minus half a point , though , for payne admitting not to having seen " ferris bueller's day off " .	1	-1	 minus[0] half[0] a[0] point[0] though[0] for[0] payne[0] admitting[0] not[0] to[0] having[0] seen[0] ferris[0] bueller's[0] day[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whatever . 	whatever .	1	-1	 whatever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
