although many people have compared this new gangster comedy to the hit hbo drama 'the sopranos , ' analyze this is witty and entertaining enough to be a good movie in it's own right . 	Translation	Positive	Negative	EmotionRationale
the supporting cast is apparently made up of the entire cast of casino and goodfellas , and are all funny caricatures , especially vitti's bodyguard jelly ( joe viterelli . ) 	the supporting cast is apparently made up of the entire cast of casino and goodfellas , and are all funny caricatures , especially vitti's bodyguard jelly ( joe viterelli .<br> )	2	-1	 the[0] supporting[1] cast[0] is[0] apparently[0] made[0] up[0] of[0] the[0] entire[0] cast[0] of[0] casino[0] and[0] goodfellas[0] and[0] are[0] all[0] funny[1] caricatures[0] especially[0] vitti's[0] bodyguard[0] jelly[0] joe[0] viterelli[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film genuinely plays like a proper gangster movie , but with laughs instead of hard ass talking . 	the film genuinely plays like a proper gangster movie , but with laughs instead of hard ass talking .	2	-1	 the[0] film[0] genuinely[0] plays[1] like[1] a[0] proper[0] gangster[0] movie[0] but[0] with[0] laughs[1] instead[0] of[0] hard[0] ass[0] talking[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it sometimes gets a little bloody for a light hearted film , but it strangely fits in . 	it sometimes gets a little bloody for a light hearted film , but it strangely fits in .	1	-2	 it[0] sometimes[0] gets[0] a[0] little[0] bloody[-1] for[0] a[0] light[0] hearted[0] film[0] but[0] it[0] strangely[0] fits[0] in[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
spoofs are made of famous gangster movies , including a nice parody of the godfather . 	spoofs are made of famous gangster movies , including a nice parody of the godfather .	2	-1	 spoofs[0] are[0] made[0] of[0] famous[0] gangster[0] movies[0] including[0] a[0] nice[1] parody[0] of[0] the[0] godfather[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the italian tunes playing throughout the soundtrack contribute to the fun . 	the italian tunes playing throughout the soundtrack contribute to the fun .	2	-1	 the[0] italian[0] tunes[0] playing[1] throughout[0] the[0] soundtrack[0] contribute[0] to[0] the[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's also some odd plot points : fbi guys appear and suddenly disappear for no apparent reason . 	there's also some odd plot points : fbi guys appear and suddenly disappear for no apparent reason .	1	-1	 there's[0] also[0] some[0] odd[0] plot[0] points[0] fbi[0] guys[0] appear[0] and[0] suddenly[0] disappear[0] for[0] no[0] apparent[0] reason[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is true that analyze this has had a somewhat chequered production history , and perhaps the plot points were expanded in a earlier version of the script . 	it is true that analyze this has had a somewhat chequered production history , and perhaps the plot points were expanded in a earlier version of the script .	2	-1	 it[0] is[0] true[1] that[0] analyze[0] this[0] has[0] had[0] a[0] somewhat[0] chequered[0] production[0] history[0] and[0] perhaps[0] the[0] plot[0] points[0] were[0] expanded[0] in[0] a[0] earlier[0] version[0] of[0] the[0] script[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately , this is hollywood , so we will never know . 	unfortunately , this is hollywood , so we will never know .	1	-2	 unfortunately[-1] this[0] is[0] hollywood[0] so[0] we[0] will[0] never[0] know[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
harold ramis , best known as egon from ghostbusters , has a deft touch with directing comedy , as shown in the immortal groundhog day , and the less immortal caddyshack . 	harold ramis , best known as egon from ghostbusters , has a deft touch with directing comedy , as shown in the immortal groundhog day , and the less immortal caddyshack .	2	-1	 harold[0] ramis[0] best[1] known[0] as[0] egon[0] from[0] ghostbusters[0] has[0] a[0] deft[0] touch[0] with[0] directing[0] comedy[0] as[0] shown[0] in[0] the[0] immortal[1] groundhog[0] day[0] and[0] the[0] less[0] immortal[1] caddyshack[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
all the comic potential in a scene is dug out and presented to the audience . 	all the comic potential in a scene is dug out and presented to the audience .	1	-1	 all[0] the[0] comic[0] potential[0] in[0] a[0] scene[0] is[0] dug[0] out[0] and[0] presented[0] to[0] the[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the script , written by ramis along with peter tolan and ken lonergan , starts off funny , remains funny for the most of the film , but sadly peters out somewhat during the last twenty minutes where it wrongly enters more serious territory . 	the script , written by ramis along with peter tolan and ken lonergan , starts off funny , remains funny for the most of the film , but sadly peters out somewhat during the last twenty minutes where it wrongly enters more serious territory .	2	-3	 the[0] script[0] written[0] by[0] ramis[0] along[0] with[0] peter[0] tolan[0] and[0] ken[0] lonergan[-1] starts[0] off[0] funny[1] remains[0] funny[1] for[0] the[0] most[0] of[0] the[0] film[0] but[0] sadly[-1] peters[0] out[0] somewhat[0] during[0] the[0] last[0] twenty[0] minutes[0] where[0] it[0] wrongly[-2] enters[0] more[0] serious[-1] territory[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the film is short , however , and just before audience interest is waning the film suddenly goes into a rather rushed and unsatisfying ending and the credits roll . 	the film is short , however , and just before audience interest is waning the film suddenly goes into a rather rushed and unsatisfying ending and the credits roll .	2	-1	 the[0] film[0] is[0] short[0] however[0] and[0] just[0] before[0] audience[0] interest[1] is[0] waning[0] the[0] film[0] suddenly[0] goes[0] into[0] a[0] rather[0] rushed[0] and[0] unsatisfying[0] ending[0] and[0] the[0] credits[0] roll[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
analyze this is a good comedy , and is certainly worth watching . 	analyze this is a good comedy , and is certainly worth watching .	2	-1	 analyze[0] this[0] is[0] a[0] good[1] comedy[0] and[0] is[0] certainly[0] worth[0] watching[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
robert de niro sobbing is reason enough to watch it , even though it does seem forced , or like a parody ( although i think this was intentional . ) 	robert de niro sobbing is reason enough to watch it , even though it does seem forced , or like a parody ( although i think this was intentional .<br> )	2	-4	 robert[0] de[0] niro[0] sobbing[-3] is[0] reason[0] enough[0] to[0] watch[0] it[0] even[0] though[0] it[0] does[0] seem[0] forced[0] or[0] like[1] a[0] parody[0] although[0] i[0] think[0] this[0] was[0] intentional[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
crystal is his most likeable in years , kudrow is given as little screen time as possible , which is a good thing , and de niro is just awesome . 	crystal is his most likeable in years , kudrow is given as little screen time as possible , which is a good thing , and de niro is just awesome .	3	-1	 crystal[0] is[0] his[0] most[0] likeable[2] in[0] years[0] kudrow[0] is[0] given[0] as[0] little[0] screen[0] time[0] as[0] possible[0] which[0] is[0] a[0] good[1] thing[0] and[0] de[0] niro[0] is[0] just[0] awesome[2][-1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's no goodfellas , and it probably won't be remembered as much as groundhog day , but analyze this is a well done comedy that won't leave you feel cheated . 	it's no goodfellas , and it probably won't be remembered as much as groundhog day , but analyze this is a well done comedy that won't leave you feel cheated .	1	-3	 it's[0] no[0] goodfellas[0] and[0] it[0] probably[0] won't[0] be[0] remembered[0] as[0] much[0] as[0] groundhog[0] day[0] but[0] analyze[0] this[0] is[0] a[0] well[0] done[0] comedy[0] that[0] won't[0] leave[0] you[0] feel[0] cheated[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
