vampire films , as well as other horror films , are usually dumb and predictable b-movies , meant to scare us by cliches and simple shocks . 	Translation	Positive	Negative	EmotionRationale
louis cannot kill with the impunity of lestat , but , to sate his hunger , he must feed , and the blood of animals is not enough . 	louis cannot kill with the impunity of lestat , but , to sate his hunger , he must feed , and the blood of animals is not enough .	2	-2	 louis[0] cannot[0] kill[-1][NegatedDueToPreviousWord] with[0] the[0] impunity[0] of[0] lestat[0] but[0] to[0] sate[0] his[0] hunger[-1] he[0] must[0] feed[0] and[0] the[0] blood[0] of[0] animals[0] is[0] not[0] enough[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
eventually , he pierces the neck of a grief-stricken young girl named claudia ( kirsten dunst ) , whom lestat then curses with his unholy form of resurrection so that she can be a surrogate daughter to both himself and louis . 	eventually , he pierces the neck of a grief-stricken young girl named claudia ( kirsten dunst ) , whom lestat then curses with his unholy form of resurrection so that she can be a surrogate daughter to both himself and louis .	1	-4	 eventually[0] he[0] pierces[0] the[0] neck[0] of[0] a[0] grief[-3] stricken[-1] young[0] girl[0] named[0] claudia[0] kirsten[0] dunst[0] whom[0] lestat[0] then[0] curses[-1] with[0] his[0] unholy[0] form[0] of[0] resurrection[0] so[0] that[0] she[0] can[0] be[0] a[0] surrogate[0] daughter[0] to[0] both[0] himself[0] and[0] louis[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
for a while , they are one " big , happy family . " 	for a while , they are one " big , happy family .<br> "	2	-1	 for[0] a[0] while[0] they[0] are[0] one[0] big[0] happy[1] family[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but all things end , and claudia's growing resentment of lestat fuels a bloody confrontation . 	but all things end , and claudia's growing resentment of lestat fuels a bloody confrontation .	1	-3	 but[0] all[0] things[0] end[0] and[0] claudia's[0] growing[0] resentment[-2] of[0] lestat[0] fuels[0] a[0] bloody[-1] confrontation[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when luis and claudia break loose from lestat , they travel to paris , where the euro-vamps santiago ( stephen rea ) and armand ( antonio banderas ) , who introduced them to a bigger world of the damned . 	when luis and claudia break loose from lestat , they travel to paris , where the euro-vamps santiago ( stephen rea ) and armand ( antonio banderas ) , who introduced them to a bigger world of the damned .	1	-2	 when[0] luis[0] and[0] claudia[0] break[0] loose[0] from[0] lestat[0] they[0] travel[0] to[0] paris[0] where[0] the[0] euro[0] vamps[0] santiago[0] stephen[0] rea[0] and[0] armand[0] antonio[0] banderas[0] who[0] introduced[0] them[0] to[0] a[0] bigger[0] world[0] of[0] the[0] damned[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
director neil jordan ( " the crying game " ) together with the talented director of cinematography philippe rousselot and composer elliot goldenthal has created an incredible atmosphere . 	director neil jordan ( " the crying game " ) together with the talented director of cinematography philippe rousselot and composer elliot goldenthal has created an incredible atmosphere .	2	-4	 director[0] neil[0] jordan[0] the[0] crying[-3] game[0] together[0] with[0] the[0] talented[1] director[0] of[0] cinematography[0] philippe[0] rousselot[0] and[0] composer[0] elliot[0] goldenthal[0] has[0] created[0] an[0] incredible[0] atmosphere[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
as the film begins , there is an incredible palette of colors , beautiful sunrises , lush golden fields , green forests , inky-blue clouds and blending sun . 	as the film begins , there is an incredible palette of colors , beautiful sunrises , lush golden fields , green forests , inky-blue clouds and blending sun .	3	-1	 as[0] the[0] film[0] begins[0] there[0] is[0] an[0] incredible[0] palette[0] of[0] colors[0] beautiful[2] sunrises[0] lush[0] golden[0] fields[0] green[0] forests[0] inky[0] blue[0] clouds[0] and[0] blending[0] sun[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when luis is " born to darkness " , everything suddenly changes to dark velvet , lit only by the silver moonlight . 	when luis is " born to darkness " , everything suddenly changes to dark velvet , lit only by the silver moonlight .	1	-1	 when[0] luis[0] is[0] born[0] to[0] darkness[0] everything[0] suddenly[0] changes[0] to[0] dark[0] velvet[0] lit[0] only[0] by[0] the[0] silver[0] moonlight[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the beautiful production design by dante ferretti , wonderful costumes and art direction by malcolm middleton re-create the multiple historical periods in the film . 	the beautiful production design by dante ferretti , wonderful costumes and art direction by malcolm middleton re-create the multiple historical periods in the film .	3	-1	 the[0] beautiful[2] production[0] design[0] by[0] dante[0] ferretti[0] wonderful[2] costumes[0] and[0] art[0] direction[0] by[0] malcolm[0] middleton[0] re[0] create[0] the[0] multiple[0] historical[0] periods[0] in[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
from the renaissance new orleans and the beautiful rococo paris of the 18th century , to our present days . 	from the renaissance new orleans and the beautiful rococo paris of the 18th century , to our present days .	3	-1	 from[0] the[0] renaissance[0] new[0] orleans[0] and[0] the[0] beautiful[2] rococo[0] paris[0] of[0] the[0] 18th[0] century[0] to[0] our[0] present[0] days[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the casting is likewise good , involving some of the most famous and beautiful stars of hollywood , ireland and spain . 	the casting is likewise good , involving some of the most famous and beautiful stars of hollywood , ireland and spain .	3	-1	 the[0] casting[0] is[0] likewise[0] good[1] involving[0] some[0] of[0] the[0] most[0] famous[0] and[0] beautiful[2] stars[0] of[0] hollywood[0] ireland[0] and[0] spain[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the controversial casting of tom cruise as lestat is incredibly effective . 	the controversial casting of tom cruise as lestat is incredibly effective .	1	-2	 the[0] controversial[-1] casting[0] of[0] tom[0] cruise[0] as[0] lestat[0] is[0] incredibly[0] effective[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cruise is energetic , sinister , charismatic , wild and bloodthirsty . 	cruise is energetic , sinister , charismatic , wild and bloodthirsty .	1	-4	 cruise[0] is[0] energetic[0] sinister[-3] charismatic[0] wild[0] and[0] bloodthirsty[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
cruise's lestat likes to seduce young women before exacting his dark red sustenance . 	cruise's lestat likes to seduce young women before exacting his dark red sustenance .	3	-1	 cruise's[0] lestat[0] likes[2] to[0] seduce[0] young[0] women[0] before[0] exacting[0] his[0] dark[0] red[0] sustenance[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
with alarming swiftness , the victims switch from sexual excitement to outright horror , as his murderous purpose becomes clear . 	with alarming swiftness , the victims switch from sexual excitement to outright horror , as his murderous purpose becomes clear .	3	-4	 with[0] alarming[-2] swiftness[0] the[0] victims[-2] switch[0] from[0] sexual[0] excitement[2] to[0] outright[0] horror[-3] as[0] his[0] murderous[-3] purpose[0] becomes[0] clear[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
 " . . . kill them mercifully , but do it . 	 " .<br> .<br> .<br> kill them mercifully , but do it .	1	-2	 kill[-1] them[0] mercifully[0] but[0] do[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you are what you are . . for 	you are what you are .<br> .<br> for	1	-1	 you[0] are[0] what[0] you[0] are[0] [[Sentence=-1,1=word max, 1-5]] for[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
do not doubt , you are a killer ! " 	do not doubt , you are a killer !<br> "	2	-2	 do[0] not[0] doubt[-1][NegatedDueToPreviousWord] you[0] are[0] a[0] killer[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that is how lestat is teaching luis . 	that is how lestat is teaching luis .	1	-1	 that[0] is[0] how[0] lestat[0] is[0] teaching[0] luis[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but behind that furious facade is anger and loneliness that he carries through the centuries and tries to smother with nightly rampages . 	but behind that furious facade is anger and loneliness that he carries through the centuries and tries to smother with nightly rampages .	1	-4	 but[0] behind[0] that[0] furious[-3] facade[0] is[0] anger[-3] and[0] loneliness[-1] that[0] he[0] carries[0] through[0] the[0] centuries[0] and[0] tries[0] to[0] smother[-1] with[0] nightly[0] rampages[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
brad pitt is equally convincing as the " vampire with a human soul " . 	brad pit is equally convincing as the " vampire with a human soul " .	1	-1	 brad[0] pitt/pit[0] is[0] equally[0] convincing[0] as[0] the[0] vampire[0] with[0] a[0] human[0] soul[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
antonio banderas and stephen rea are effective , but since they play more or less secondary characters , their performances are almost invisible . 	antonio banderas and stephen rea are effective , but since they play more or less secondary characters , their performances are almost invisible .	1	-2	 antonio[0] banderas[0] and[0] stephen[0] rea[0] are[0] effective[0] but[0] since[0] they[0] play[0] more[0] or[0] less[0] secondary[0] characters[0] their[0] performances[0] are[0] almost[0] invisible[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the greatest performance in the film comes suprisingly from the young kristen dunst , who manages to create an incredibly emotional and believable character . 	the greatest performance in the film comes suprisingly from the young kristen dunst , who manages to create an incredibly emotional and believable character .	3	-4	 the[0] greatest[2] performance[0] in[0] the[0] film[0] comes[0] suprisingly[0] from[0] the[0] young[0] kristen[0] dunst[0] who[0] manages[0] to[0] create[0] an[0] incredibly[0] emotional[-1][-2 LastWordBoosterStrength] and[0] believable[0] character[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the world is changing around the little child , but she does not . 	the world is changing around the little child , but she does not .	1	-1	 the[0] world[0] is[0] changing[0] around[0] the[0] little[0] child[0] but[0] she[0] does[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she remains unchangeable - a child for all eternity . 	she remains unchangeable - a child for all eternity .	1	-1	 she[0] remains[0] unchangeable[0] a[0] child[0] for[0] all[0] eternity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
only her wise , dark eyes reveal her age . 	only her wise , dark eyes reveal her age .	1	-1	 only[0] her[0] wise[0] dark[0] eyes[0] reveal[0] her[0] age[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ironically the film's only miss is the script . 	ironically the film's only miss is the script .	2	-2	 ironically[-1] the[0] film's[0] only[0] miss[-1] is[0] the[0] script[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
anne rice's novel is a very interesting read , and her script is rich , colorful and emotional , but it is also tiering and too melancholic , at times resembling a soap opera : 	anne rice's novel is a very interesting read , and her script is rich , colorful and emotional , but it is also tiering and too melancholic , at times resembling a soap opera :	3	-4	 anne[0] rice's[0] novel[0] is[0] a[0] very[0] interesting[1][1 LastWordBoosterStrength] read[0] and[0] her[0] script[0] is[0] rich[0] colorful[0] and[0] emotional[-1] but[0] it[0] is[0] also[0] tiering[0] and[0] too[0] melancholic[-3] at[0] times[0] resembling[0] a[0] soap[0] opera[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
claudia : " . . . . is that what i should do ? 	claudia : " .<br> .<br> .<br> .<br> is that what i should do ?	1	-1	 claudia[0] [[Sentence=-1,1=word max, 1-5]] is[0] that[0] what[0] i[0] should[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
let you go . . my 	let you go .<br> .<br> my	1	-1	 let[0] you[0] go[0] [[Sentence=-1,1=word max, 1-5]] my[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
father , my luis , who made me . . . who will look after me , my dark angel , when you are gone ? " 	father , my luis , who made me .<br> .<br> .<br> who will look after me , my dark angel , when you are gone ?<br> "	1	-1	 father[0] my[0] luis[0] who[0] made[0] me[0] [[Sentence=-1,1=word max, 1-5]] who[0] will[0] look[0] after[0] me[0] my[0] dark[0] angel[0] when[0] you[0] are[0] gone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
luis : " everything will be alright . . " 	luis : " everything will be alright .<br> .<br> "	1	-1	 luis[0] everything[0] will[0] be[0] alright[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
claudia : " do you really believe that ? " 	claudia : " do you really believe that ?<br> "	1	-1	 claudia[0] do[0] you[0] really[0] believe[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and then they hug emotionally . 	and then they hug emotionally .	3	-1	 and[0] then[0] they[0] hug[2] emotionally[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
moments like those displayed above and luis' self-pity is a bit tiresome . 	moments like those displayed above and luis' self-pity is a bit tiresome .	2	-2	 moments[0] like[1] those[0] displayed[0] above[0] and[0] luis'[0] self[0] pity[-1] is[0] a[0] bit[0] tiresome[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
however rice's script is otherwise strong and well structured , bringing up humor and comic episodes , that were more or less hidden in the book . 	however rice's script is otherwise strong and well structured , bringing up humor and comic episodes , that were more or less hidden in the book .	3	-1	 however[0] rice's[0] script[0] is[0] otherwise[0] strong[0] and[0] well[0] structured[0] bringing[0] up[0] humor[2] and[0] comic[0] episodes[0] that[0] were[0] more[0] or[0] less[0] hidden[0] in[0] the[0] book[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when lestat finds claudia's dead dressmaker , whom she has killed , he cries out : " who will make you that dress now ? 	when lestat finds claudia's dead dressmaker , whom she has killed , he cries out : " who will make you that dress now ?	1	-4	 when[0] lestat[0] finds[0] claudia's[0] dead[-2] dressmaker[0] whom[0] she[0] has[0] killed[-3] he[0] cries[-2] out[0] who[0] will[0] make[0] you[0] that[0] dress[0] now[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
be a little practical . . . . never 	be a little practical .<br> .<br> .<br> .<br> never	1	-1	 be[0] a[0] little[0] practical[0] [[Sentence=-1,1=word max, 1-5]] never[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the house ! " 	in the house !<br> "	1	-1	 in[0] the[0] house[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
moments like that are both entertaining and appealing . 	moments like that are both entertaining and appealing .	2	-1	 moments[0] like[1] that[0] are[0] both[0] entertaining[0] and[0] appealing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
neil jordan's direction is beautiful and sensual as he plays with interesting issues like eternity , homosexuality , love and loneliness . 	neil jordan's direction is beautiful and sensual as he plays with interesting issues like eternity , homosexuality , love and loneliness .	3	-2	 neil[0] jordan's[0] direction[0] is[0] beautiful[2] and[0] sensual[0] as[0] he[0] plays[1] with[0] interesting[1] issues[0] like[1] eternity[0] homosexuality[0] love[2] and[0] loneliness[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
his gothic saga is not meant to scare , but to display these issues differently . 	his gothic saga is not meant to scare , but to display these issues differently .	1	-4	 his[0] gothic[0] saga[-1] is[0] not[0] meant[0] to[0] scare[-3] but[0] to[0] display[0] these[0] issues[0] differently[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
wrapped up in mystery , his new , original picture brings vampire-films to a new height . 	wrapped up in mystery , his new , original picture brings vampire-films to a new height .	1	-1	 wrapped[0] up[0] in[0] mystery[0] his[0] new[0] original[0] picture[0] brings[0] vampire[0] films[0] to[0] a[0] new[0] height[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
