the opening crawl tells us that the galaxy is in turmoil over the taxation of trade routes , and the greedy trade federation has used it's armada of powerful space battleships to blockade the planet naboo . 	Translation	Positive	Negative	EmotionRationale
unfortunately , it is not our savior . 	unfortunately , it is not our savior .	1	-2	 unfortunately[-1] it[0] is[0] not[0] our[0] savior[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for weeks beforehand , i was going around telling people that this movie had better be damned good - stupendously good - miraculously good . 	for weeks beforehand , i was going around telling people that this movie had better be damned good - stupendously good - miraculously good .	2	-2	 for[0] weeks[0] beforehand[0] i[0] was[0] going[0] around[0] telling[0] people[0] that[0] this[0] movie[0] had[0] better[0] be[0] damned[-1] good[1] stupendously[0] good[1] miraculously[0] good[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
anything less and it'll be the biggest disappointment of the century . 	anything less and it'll be the biggest disappointment of the century .	1	-2	 anything[0] less[0] and[0] it'll[0] be[0] the[0] biggest[0] disappointment[-1] of[0] the[0] century[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i didn't want the doomsaying prophecy to come true , really i didn't , but this film nevertheless fails to reach the pinnacles of filmmaking . 	i didn't want the doomsaying prophecy to come true , really i didn't , but this film nevertheless fails to reach the pinnacles of filmmaking .	2	-3	 i[0] didn't[0] want[0] the[0] doomsaying[-1] prophecy[0] to[0] come[0] true[1] really[0] i[0] didn't[0] but[0] this[0] film[0] nevertheless[0] fails[-2] to[0] reach[0] the[0] pinnacles[0] of[0] filmmaking[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
character development is virtually nonexistent . 	character development is virtually nonexistent .	1	-1	 character[0] development[0] is[0] virtually[0] nonexistent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with the possible exception of qui-gon , most of the film's characters seem left with nothing to do but go through the motions . 	with the possible exception of qui-gon , most of the film's characters seem left with nothing to do but go through the motions .	1	-1	 with[0] the[0] possible[0] exception[0] of[0] qui[0] gon[0] most[0] of[0] the[0] film's[0] characters[0] seem[0] left[0] with[0] nothing[0] to[0] do[0] but[0] go[0] through[0] the[0] motions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
none seem very affected by their experiences , and few even show any passion at all . 	none seem very affected by their experiences , and few even show any passion at all .	3	-1	 none[0] seem[0] very[0] affected[0] by[0] their[0] experiences[0] and[0] few[0] even[0] show[0] any[0] passion[2] at[0] all[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
contrast this with the horribly irritating comic relief we are nearly continuously subjected to in the form of jar jar binks , a creature belonging to a race which lives in underwater cities on naboo , in precarious symbiosis with the land dwellers led by amidala . 	contrast this with the horribly irritating comic relief we are nearly continuously subjected to in the form of jar jar binks , a creature belonging to a race which lives in underwater cities on naboo , in precarious symbiosis with the land dwellers led by amidala .	2	-4	 contrast[0] this[0] with[0] the[0] horribly[-3] irritating[-2][-1 MultiplePositiveWords] comic[0] relief[1] we[0] are[0] nearly[0] continuously[0] subjected[0] to[0] in[0] the[0] form[0] of[0] jar[0] jar[0] binks[0] a[0] creature[0] belonging[0] to[0] a[0] race[0] which[0] lives[0] in[0] underwater[0] cities[0] on[0] naboo[0] in[0] precarious[-1] symbiosis[0] with[0] the[0] land[0] dwellers[0] led[0] by[0] amidala[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
jar jar's life is saved by qui-gon early in the film , and travels with our heroes for the sole reason of making us laugh ( or supposedly so ) . 	jar jar's life is saved by qui-gon early in the film , and travels with our heroes for the sole reason of making us laugh ( or supposedly so ) .	3	-1	 jar[0] jar's[0] life[0] is[0] saved[1] by[0] qui[0] gon[0] early[0] in[0] the[0] film[0] and[0] travels[0] with[0] our[0] heroes[2] for[0] the[0] sole[0] reason[0] of[0] making[0] us[0] laugh[1] or[0] supposedly[0] so[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his speech mannerisms are so " cute-ified " that i couldn't understand a third of what he was saying , and the slapstick he performed was just distracting . 	his speech mannerisms are so " cute-ified " that i couldn't understand a third of what he was saying , and the slapstick he performed was just distracting .	2	-2	 his[0] speech[0] mannerisms[0] are[0] so[0] cute[1] ified[0] that[0] i[0] couldn't[0] understand[0] a[0] third[0] of[0] what[0] he[0] was[0] saying[0] and[0] the[0] slapstick[-1] he[0] performed[0] was[0] just[0] distracting[-1][--1 LastWordBoosterStrength] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
his head gets caught in an electronic field , his foot gets caught in the stirrup of some large beast , he describes being in trouble as " deep doo doo , " and even manages to step in some of the same while walking around in mos eisley spaceport . 	his head gets caught in an electronic field , his foot gets caught in the stirrup of some large beast , he describes being in trouble as " deep do do , " and even manages to step in some of the same while walking around in mos eisley spaceport .	1	-2	 his[0] head[0] gets[0] caught[0] in[0] an[0] electronic[0] field[0] his[0] foot[0] gets[0] caught[0] in[0] the[0] stirrup[0] of[0] some[0] large[0] beast[0] he[0] describes[0] being[0] in[0] trouble[-1] as[0] deep[0] doo/do[0] doo/do[0] and[0] even[0] manages[0] to[0] step[0] in[0] some[0] of[0] the[0] same[0] while[0] walking[0] around[0] in[0] mos[0] eisley[0] spaceport[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
therein lies a key difference between this film and one of its predecessors . 	therein lies a key difference between this film and one of its predecessors .	1	-3	 therein[0] lies[-2] a[0] key[0] difference[0] between[0] this[0] film[0] and[0] one[0] of[0] its[0] predecessors[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in star wars , we had obi-wan telling us mos eisley was a " wretched hive of scum and villainy . " 	in star wars , we had obi-wan telling us mos eisley was a " wretched hive of scum and villainy .<br> "	1	-3	 in[0] star[0] wars[-2] we[0] had[0] obi[0] wan[0] telling[0] us[0] mos[0] eisley[0] was[0] a[0] wretched[-2] hive[0] of[0] scum[-2] and[0] villainy[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in the phantom menace , we get doo doo . 	in the phantom menace , we get do do .	1	-3	 in[0] the[0] phantom[0] menace[-2] we[0] get[0] doo/do[0] doo/do[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the films of the trilogy took me away from my everyday life and immersed me in a story " a long time ago in a galaxy far , far away . . . . " 	the films of the trilogy took me away from my everyday life and immersed me in a story " a long time ago in a galaxy far , far away .<br> .<br> .<br> .<br> "	1	-1	 the[0] films[0] of[0] the[0] trilogy[0] took[0] me[0] away[0] from[0] my[0] everyday[0] life[0] and[0] immersed[0] me[0] in[0] a[0] story[0] a[0] long[0] time[0] ago[0] in[0] a[0] galaxy[0] far[0] far[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film , on the other hand , constantly reminds me that it's only a movie by including situations and phrases that are so uniquely modern american that they seem incredibly out of place and serve to jerk the viewer from the experience . 	this film , on the other hand , constantly reminds me that it's only a movie by including situations and phrases that are so uniquely modern american that they seem incredibly out of place and serve to jerk the viewer from the experience .	1	-3	 this[0] film[0] on[0] the[0] other[0] hand[0] constantly[0] reminds[0] me[0] that[0] it's[0] only[0] a[0] movie[0] by[0] including[0] situations[0] and[0] phrases[0] that[0] are[0] so[0] uniquely[0] modern[0] american[0] that[0] they[0] seem[0] incredibly[0] out[0] of[0] place[0] and[0] serve[0] to[0] jerk[-2] the[0] viewer[0] from[0] the[0] experience[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
perhaps the most blatant offense occurs during a scene where young anakin skywalker enters into a pod racing competition ( it's kind of like chariot racing with large engines instead of horses ) , and there are a couple of commentators in a press box delivering indy 500-like play by play . 	perhaps the most blatant offense occurs during a scene where young anakin skywalker enters into a pod racing competition ( it's kind of like chariot racing with large engines instead of horses ) , and there are a couple of commentators in a press box delivering indy 500-like play by play .	2	-3	 perhaps[0] the[0] most[0] blatant[-1] offense[-2] occurs[0] during[0] a[0] scene[0] where[0] young[0] anakin[0] skywalker[0] enters[0] into[0] a[0] pod[0] racing[0] competition[0] it's[0] kind[1] of[0] like[1] chariot[0] racing[0] with[0] large[0] engines[0] instead[0] of[0] horses[0] and[0] there[0] are[0] a[0] couple[0] of[0] commentators[0] in[0] a[0] press[0] box[0] delivering[0] indy[0] 500[0] like[1] play[0] by[0] play[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i liked the pod race ; it was really exciting and ratcheted the tension , but when the heck did lucas think up the idea of putting in the sportscasters ? 	i liked the pod race ; it was really exciting and ratcheted the tension , but when the heck did lucas think up the idea of putting in the sportscasters ?	4	-3	 i[0] liked[2] the[0] pod[0] race[0] it[0] was[0] really[0] exciting[2][1 LastWordBoosterStrength] and[0] ratcheted[0] the[0] tension[-2] but[0] when[0] the[0] heck[0] did[0] lucas[0] think[0] up[0] the[0] idea[0] of[0] putting[0] in[0] the[0] sportscasters[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the race would have been even more exciting without the distraction . 	the race would have been even more exciting without the distraction .	3	-2	 the[0] race[0] would[0] have[0] been[0] even[0] more[0] exciting[2] without[0] the[0] distraction[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this aspect , coupled with the emphasis on humor simply baffled me . 	this aspect , coupled with the emphasis on humor simply baffled me .	3	-2	 this[0] aspect[0] coupled[0] with[0] the[0] emphasis[0] on[0] humor[2] simply[0] baffled[-1] me[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i suppose one may say that lucas was trying to appeal to the younger viewer , but would more intelligent scenes and dialog hurt this appeal at all ? 	i suppose one may say that lucas was trying to appeal to the younger viewer , but would more intelligent scenes and dialog hurt this appeal at all ?	2	-3	 i[0] suppose[0] one[0] may[0] say[0] that[0] lucas[0] was[0] trying[0] to[0] appeal[0] to[0] the[0] younger[0] viewer[0] but[0] would[0] more[0] intelligent[1] scenes[0] and[0] dialog[0] hurt[-2] this[0] appeal[0] at[0] all[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
didn't millions of youngsters still go back to see the original star wars in 1977 over and over again ? 	didn't millions of youngsters still go back to see the original star wars in 1977 over and over again ?	1	-3	 didn't[0] millions[0] of[0] youngsters[0] still[0] go[0] back[0] to[0] see[0] the[0] original[0] star[0] wars[-2] in[0] 1977[0] over[0] and[0] over[0] again[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
didn't the action figures still sell like hotcakes ? 	didn't the action figures still sell like hotcakes ?	2	-1	 didn't[0] the[0] action[0] figures[0] still[0] sell[0] like[1] hotcakes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
of course they did , and it's only poor judgment that allows the most-eagerly awaited film in history to be marred by pandering to children who would still have enjoyed a film with more appeal for adults . 	of course they did , and it's only poor judgment that allows the most-eagerly awaited film in history to be marred by pandering to children who would still have enjoyed a film with more appeal for adults .	3	-2	 of[0] course[0] they[0] did[0] and[0] it's[0] only[0] poor[-1] judgment[0] that[0] allows[0] the[0] most[0] eagerly[0] awaited[0] film[0] in[0] history[0] to[0] be[0] marred[0] by[0] pandering[0] to[0] children[0] who[0] would[0] still[0] have[0] enjoyed[2] a[0] film[0] with[0] more[0] appeal[0] for[0] adults[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
one aspect that will appeal broadly , however , is the use of special effects . 	one aspect that will appeal broadly , however , is the use of special effects .	2	-1	 one[0] aspect[0] that[0] will[0] appeal[0] broadly[0] however[0] is[0] the[0] use[0] of[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the people at lucas's industrial light and magic , the world's premiere effects house , outdid themselves in providing seamless integration of computer-generated images and real-life footage . 	the people at lucas's industrial light and magic , the world's premiere effects house , outdid themselves in providing seamless integration of computer-generated images and real-life footage .	1	-1	 the[0] people[0] at[0] lucas's[0] industrial[0] light[0] and[0] magic[0] the[0] world's[0] premiere[0] effects[0] house[0] outdid[0] themselves[0] in[0] providing[0] seamless[0] integration[0] of[0] computer[0] generated[0] images[0] and[0] real[0] life[0] footage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of the scenes have to be seen to be believed , especially the shots of a land battle between the federation's robot army and jar jar's countrymen . 	some of the scenes have to be seen to be believed , especially the shots of a land battle between the federation's robot army and jar jar's countrymen .	1	-2	 some[0] of[0] the[0] scenes[0] have[0] to[0] be[0] seen[0] to[0] be[0] believed[0] especially[0] the[0] shots[0] of[0] a[0] land[0] battle[-1] between[0] the[0] federation's[0] robot[0] army[0] and[0] jar[0] jar's[0] countrymen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the space battles are also impressive , although improved over past efforts by only subtle margins to the casual observer . 	the space battles are also impressive , although improved over past efforts by only subtle margins to the casual observer .	2	-2	 the[0] space[0] battles[-1] are[0] also[0] impressive[1] although[0] improved[1] over[0] past[0] efforts[0] by[0] only[0] subtle[0] margins[0] to[0] the[0] casual[0] observer[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this , however , is a testament to the work which ilm produced two decades ago and still holds up well today . 	this , however , is a testament to the work which ilm produced two decades ago and still holds up well today .	1	-1	 this[0] however[0] is[0] a[0] testament[0] to[0] the[0] work[0] which[0] ilm[0] produced[0] two[0] decades[0] ago[0] and[0] still[0] holds[0] up[0] well[0] today[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
john williams is back , of course , providing a score for the film as only he can . 	john williams is back , of course , providing a score for the film as only he can .	1	-1	 john[0] williams[0] is[0] back[0] of[0] course[0] providing[0] a[0] score[0] for[0] the[0] film[0] as[0] only[0] he[0] can[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his music is pervasive throughout , as rousing and as dramatic as ever , always serving to punctuate scenes noticeably and appropriately . 	his music is pervasive throughout , as rousing and as dramatic as ever , always serving to punctuate scenes noticeably and appropriately .	1	-1	 his[0] music[0] is[0] pervasive[0] throughout[0] as[0] rousing[0] and[0] as[0] dramatic[0] as[0] ever[0] always[0] serving[0] to[0] punctuate[0] scenes[0] noticeably[0] and[0] appropriately[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
since this film is supposed to be the first installment in a nine-episode story ( star wars , the empire strikes back and return of the jedi being episodes four , five and six , respectively ) , the phantom menace has the daunting task of setting up the origins of several characters we know already , in addition to those with whom we unfamiliar . 	since this film is supposed to be the first instalment in a nine-episode story ( star wars , the empire strikes back and return of the jedi being episodes four , five and six , respectively ) , the phantom menace has the daunting task of setting up the origins of several characters we know already , in addition to those with whom we unfamiliar .	3	-3	 since[0] this[0] film[0] is[0] supposed[0] to[0] be[0] the[0] first[0] installment/instalment[0] in[0] a[0] nine[0] episode[0] story[0] star[0] wars[-2] the[0] empire[0] strikes[0] back[0] and[0] return[0] of[0] the[0] jedi[0] being[0] episodes[0] four[0] five[0] and[0] six[0] respectively[2] the[0] phantom[0] menace[-2] has[0] the[0] daunting[-1] task[0] of[0] setting[0] up[0] the[0] origins[0] of[0] several[0] characters[0] we[0] know[0] already[0] in[0] addition[0] to[0] those[0] with[0] whom[0] we[0] unfamiliar[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
as a result , attention to history and characterization was spread a little thin . 	as a result , attention to history and characterization was spread a little thin .	1	-1	 as[0] a[0] result[0] attention[0] to[0] history[0] and[0] characterization[0] was[0] spread[0] a[0] little[0] thin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it would have been nice to get more in depth with yoda and obi-wan , for example , but given the fact that there were several new characters to cover , it is understandable that some of the development has been left for the next two films . 	it would have been nice to get more in depth with yoda and obi-wan , for example , but given the fact that there were several new characters to cover , it is understandable that some of the development has been left for the next two films .	2	-1	 it[0] would[0] have[0] been[0] nice[1] to[0] get[0] more[0] in[0] depth[0] with[0] yoda[0] and[0] obi[0] wan[0] for[0] example[0] but[0] given[0] the[0] fact[0] that[0] there[0] were[0] several[0] new[0] characters[0] to[0] cover[0] it[0] is[0] understandable[0] that[0] some[0] of[0] the[0] development[0] has[0] been[0] left[0] for[0] the[0] next[0] two[0] films[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one of the new characters is darth maul , hailed as the new villain with as much hype as marketing forces could muster prior to this film's release . 	one of the new characters is darth maul , hailed as the new villain with as much hype as marketing forces could muster prior to this film's release .	1	-3	 one[0] of[0] the[0] new[0] characters[0] is[0] darth[0] maul[0] hailed[0] as[0] the[0] new[0] villain[-2] with[0] as[0] much[0] hype[0] as[0] marketing[0] forces[0] could[0] muster[0] prior[0] to[0] this[0] film's[0] release[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in spite of the hype , darth maul is a character which almost didn't have to be in the film , his role is so insignificant . 	in spite of the hype , darth maul is a character which almost didn't have to be in the film , his role is so insignificant .	1	-4	 in[0] spite[-3] of[0] the[0] hype[0] darth[0] maul[0] is[0] a[0] character[0] which[0] almost[0] didn't[0] have[0] to[0] be[0] in[0] the[0] film[0] his[0] role[0] is[0] so[0] insignificant[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he has maybe three spoken lines ( believe it or not , a second actor voices the character ) and the rest of the time just scowls and looks mean . 	he has maybe three spoken lines ( believe it or not , a second actor voices the character ) and the rest of the time just scowls and looks mean .	1	-1	 he[0] has[0] maybe[0] three[0] spoken[0] lines[0] believe[0] it[0] or[0] not[0] a[0] second[0] actor[0] voices[0] the[0] character[0] and[0] the[0] rest[0] of[0] the[0] time[0] just[0] scowls[-1][--1 LastWordBoosterStrength] and[0] looks[0] mean[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with that working against him , he never has a chance at being interesting and instead ends up an utter disappointment . 	with that working against him , he never has a chance at being interesting and instead ends up an utter disappointment .	2	-2	 with[0] that[0] working[0] against[-1] him[0] he[0] never[0] has[0] a[0] chance[0] at[0] being[0] interesting[1] and[0] instead[0] ends[0] up[0] an[0] utter[0] disappointment[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
lucas seems to have wanted to develop the spiritual nature of the star wars universe , something which has been prominent throughout . 	lucas seems to have wanted to develop the spiritual nature of the star wars universe , something which has been prominent throughout .	1	-3	 lucas[0] seems[0] to[0] have[0] wanted[0] to[0] develop[0] the[0] spiritual[0] nature[0] of[0] the[0] star[0] wars[-2] universe[0] something[0] which[0] has[0] been[0] prominent[0] throughout[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , he does so largely by paralleling the star wars spirituality with the bible , offering an easy out for story-writing and once again bringing the viewer back to planet earth with a real-life connection . 	however , he does so largely by paralleling the star wars spirituality with the bible , offering an easy out for story-writing and once again bringing the viewer back to planet earth with a real-life connection .	1	-3	 however[0] he[0] does[0] so[0] largely[0] by[0] paralleling[0] the[0] star[0] wars[-2] spirituality[0] with[0] the[0] bible[0] offering[0] an[0] easy[0] out[0] for[0] story[0] writing[0] and[0] once[0] again[0] bringing[0] the[0] viewer[0] back[0] to[0] planet[0] earth[0] with[0] a[0] real[0] life[0] connection[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
oddly , while trying to capitalize on spirituality , lucas at the same time introduces the fact that mastery of the force is dependent upon having little force-loving parasites in your body's cells . 	oddly , while trying to capitalize on spirituality , lucas at the same time introduces the fact that mastery of the force is dependent upon having little force-loving parasites in your body's cells .	4	-3	 oddly[0] while[0] trying[0] to[0] capitalize[0] on[0] spirituality[0] lucas[0] at[0] the[0] same[0] time[0] introduces[0] the[0] fact[0] that[0] mastery[0] of[0] the[0] force[-1] is[0] dependent[-1] upon[0] having[0] little[0] force[-1] loving[3] parasites[-2] in[0] your[0] body's[0] cells[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
this only serves to de-mystify the workings of the force a few notches by offering a scientific connection . 	this only serves to de-mystify the workings of the force a few notches by offering a scientific connection .	1	-2	 this[0] only[0] serves[0] to[0] de[0] mystify[0] the[0] workings[0] of[0] the[0] force[-1] a[0] few[0] notches[0] by[0] offering[0] a[0] scientific[0] connection[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
don't let me mislead you too far . 	don't let me mislead you too far .	1	-2	 don't[0] let[0] me[0] mislead[-1] you[0] too[0] far[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the phantom menace , by most standards , is a good film . 	the phantom menace , by most standards , is a good film .	2	-3	 the[0] phantom[0] menace[-2] by[0] most[0] standards[0] is[0] a[0] good[1] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it contains a lot of visual treats , sets the stage for an epic story , gives us a bit of excitement here and there , and even allows us to revisit some of our old friends . 	it contains a lot of visual treats , sets the stage for an epic story , gives us a bit of excitement here and there , and even allows us to revisit some of our old friends .	3	-1	 it[0] contains[0] a[0] lot[0] of[0] visual[0] treats[0] sets[0] the[0] stage[0] for[0] an[0] epic[0] story[0] gives[0] us[0] a[0] bit[0] of[0] excitement[2] here[0] and[0] there[0] and[0] even[0] allows[0] us[0] to[0] revisit[0] some[0] of[0] our[0] old[0] friends[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's just that when held up to it's predecessors ( and to not do so would be unrealistic ) , this film simply pales . 	it's just that when held up to it's predecessors ( and to not do so would be unrealistic ) , this film simply pales .	1	-1	 it's[0] just[0] that[0] when[0] held[0] up[0] to[0] it's[0] predecessors[0] and[0] to[0] not[0] do[0] so[0] would[0] be[0] unrealistic[0] this[0] film[0] simply[0] pales[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
