robocop is an intelligent science fiction thriller and social satire , one with class and style . 	Translation	Positive	Negative	EmotionRationale
rather , robocop stands out for its accurate and biting satire of american society . 	rather , robocop stands out for its accurate and biting satire of american society .	1	-1	 rather[0] robocop[0] stands[0] out[0] for[0] its[0] accurate[0] and[0] biting[0] satire[0] of[0] american[0] society[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie makes a mockery of the star wars defense initiative , terrorism , board games , and television news broadcasts with air-headed anchors . 	the movie makes a mockery of the star wars defense initiative , terrorism , board games , and television news broadcasts with air-headed anchors .	1	-3	 the[0] movie[0] makes[0] a[0] mockery[-2] of[0] the[0] star[0] wars[-2] defense[0] initiative[0] terrorism[-2] board[0] games[0] and[0] television[0] news[0] broadcasts[0] with[0] air[0] headed[0] anchors[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
these news broadcasts , which are exceptionally clever , recur periodically throughout the movie and help to provide comic relief from the intense action and gore . 	these news broadcasts , which are exceptionally clever , recur periodically throughout the movie and help to provide comic relief from the intense action and gore .	2	-1	 these[0] news[0] broadcasts[0] which[0] are[0] exceptionally[0] clever[0] recur[0] periodically[0] throughout[0] the[0] movie[0] and[0] help[0] to[0] provide[0] comic[0] relief[1] from[0] the[0] intense[0] action[0] and[0] gore[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the satire in robocop , however , is almost as frightening in its own way as the suspense and blood . 	the satire in robocop , however , is almost as frightening in its own way as the suspense and blood .	1	-4	 the[0] satire[0] in[0] robocop[0] however[0] is[0] almost[0] as[0] frightening[-3] in[0] its[0] own[0] way[0] as[0] the[0] suspense[0] and[0] blood[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
1990's america , as portrayed in the film , may seem far fetched but is in actuality ( i think ) only a slight exaggeration of the current state of american society . 	1990's america , as portrayed in the film , may seem far fetched but is in actuality ( i think ) only a slight exaggeration of the current state of american society .	1	-2	 1990's[0] america[0] as[0] portrayed[0] in[0] the[0] film[0] may[0] seem[0] far[0] fetched[0] but[0] is[0] in[0] actuality[0] i[0] think[0] only[0] a[0] slight[0] exaggeration[-1] of[0] the[0] current[0] state[0] of[0] american[0] society[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the humorous satire in robocop is simultaneously credible and absurd . 	the humorous satire in robocop is simultaneously credible and absurd .	3	-2	 the[0] humorous[2] satire[0] in[0] robocop[0] is[0] simultaneously[0] credible[0] and[0] absurd[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
verhoeven adroitly balances the satirical comedy with the gory action to create an entertaining and enlightening piece of science fiction/social commentary . 	verhoeven adroitly balances the satirical comedy with the gory action to create an entertaining and enlightening piece of science fiction/social commentary .	1	-1	 verhoeven[0] adroitly[0] balances[0] the[0] satirical[0] comedy[0] with[0] the[0] gory[0] action[0] to[0] create[0] an[0] entertaining[0] and[0] enlightening[0] piece[0] of[0] science[0] fiction/social[0] commentary[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , robocop possesses several flaws which prevent it from qualifying as a classic within the genre . 	unfortunately , robocop possesses several flaws which prevent it from qualifying as a classic within the genre .	1	-2	 unfortunately[-1] robocop[0] possesses[0] several[0] flaws[0] which[0] prevent[0] it[0] from[0] qualifying[0] as[0] a[0] classic[0] within[0] the[0] genre[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie lacks the lasting impact of such films as the road warrior , the terminator , and aliens . 	the movie lacks the lasting impact of such films as the road warrior , the terminator , and aliens .	1	-1	 the[0] movie[0] lacks[0] the[0] lasting[0] impact[0] of[0] such[0] films[0] as[0] the[0] road[0] warrior[0] the[0] terminator[0] and[0] aliens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
robocop's main problem , aside from its dumb title , is that it does not sufficiently develop murphy's character . 	robocop's main problem , aside from its dumb title , is that it does not sufficiently develop murphy's character .	1	-2	 robocop's[0] main[0] problem[-1] aside[0] from[0] its[0] dumb[-1] title[0] is[0] that[0] it[0] does[0] not[0] sufficiently[0] develop[0] murphy's[0] character[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we never learn the degree to which murphy ( as robocop ) is human and the degree to which he is a robot . 	we never learn the degree to which murphy ( as robocop ) is human and the degree to which he is a robot .	1	-1	 we[0] never[0] learn[0] the[0] degree[0] to[0] which[0] murphy[0] as[0] robocop[0] is[0] human[0] and[0] the[0] degree[0] to[0] which[0] he[0] is[0] a[0] robot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
does murphy have any human spirit or free will left , or is he merely a computer following a program ? 	does murphy have any human spirit or free will left , or is he merely a computer following a program ?	1	-1	 does[0] murphy[0] have[0] any[0] human[0] spirit[0] or[0] free[0] will[0] left[0] or[0] is[0] he[0] merely[0] a[0] computer[0] following[0] a[0] program[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the script halfheartedly raises these issues but then abandons them in its climactic flurry of gory action . 	the script halfheartedly raises these issues but then abandons them in its climactic flurry of gory action .	1	-2	 the[0] script[0] halfheartedly[0] raises[0] these[0] issues[0] but[0] then[0] abandons[-1] them[0] in[0] its[0] climactic[0] flurry[0] of[0] gory[0] action[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
moreover , it almost completely ignores the question ( and tragedy ) of denying a man his right to die in favor of turning him into a machine . 	moreover , it almost completely ignores the question ( and tragedy ) of denying a man his right to die in favor of turning him into a machine .	2	-3	 moreover[0] it[0] almost[0] completely[0] ignores[0] the[0] question[0] and[0] tragedy[-2] of[0] denying[0] a[0] man[0] his[0] right[0] to[0] die[0] in[0] favor[1] of[0] turning[0] him[0] into[0] a[0] machine[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
robocop also contains several bothersome loose-ends . 	robocop also contains several bothersome loose-ends .	1	-2	 robocop[0] also[0] contains[0] several[0] bothersome[-1] loose[0] ends[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as you watch robocop , you experience deja vu ; you feel as if you have seen the film before . 	as you watch robocop , you experience deja vu ; you feel as if you have seen the film before .	1	-1	 as[0] you[0] watch[0] robocop[0] you[0] experience[0] deja[0] vu[0] you[0] feel[0] as[0] if[0] you[0] have[0] seen[0] the[0] film[0] before[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in many respects , robocop is reminiscent of several other films , including the terminator , return of the jedi , and even death wish . 	in many respects , robocop is reminiscent of several other films , including the terminator , return of the jedi , and even death wish .	3	-3	 in[0] many[0] respects[2] robocop[0] is[0] reminiscent[0] of[0] several[0] other[0] films[0] including[0] the[0] terminator[0] return[0] of[0] the[0] jedi[0] and[0] even[0] death[-2] wish[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
however , to its credit , robocop easily has enough originality and unique personality to avoid becoming a cheap rip-off . 	however , to its credit , robocop easily has enough originality and unique personality to avoid becoming a cheap rip-off .	1	-2	 however[0] to[0] its[0] credit[0] robocop[0] easily[0] has[0] enough[0] originality[0] and[0] unique[0] personality[0] to[0] avoid[-1] becoming[0] a[0] cheap[-1] rip[-1] off[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
