every now and then a movie comes along from a suspect studio , with every indication that it will be a stinker , and to everybody's surprise ( perhaps even the studio ) the film becomes a critical darling . 	Translation	Positive	Negative	EmotionRationale
tracy flick ( _election_ ) is the president of an extraordinary number of clubs , and is involved with the school play . 	tracy flick ( _election_ ) is the president of an extraordinary number of clubs , and is involved with the school play .	1	-1	 tracy[0] flick[0] _election_[0] is[0] the[0] president[0] of[0] an[0] extraordinary[0] number[0] of[0] clubs[0] and[0] is[0] involved[0] with[0] the[0] school[0] play[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
max fischer ( _rushmore_ ) is the president of an extraordinary number of clubs , and is involved with the school play . 	max fischer ( _rushmore_ ) is the president of an extraordinary number of clubs , and is involved with the school play .	1	-1	 max[0] fischer[0] _rushmore_[0] is[0] the[0] president[0] of[0] an[0] extraordinary[0] number[0] of[0] clubs[0] and[0] is[0] involved[0] with[0] the[0] school[0] play[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the most significant tension of _election_ is the potential relationship between a teacher and his student . 	the most significant tension of _election_ is the potential relationship between a teacher and his student .	1	-3	 the[0] most[0] significant[0] tension[-2] of[0] _election_[0] is[0] the[0] potential[0] relationship[0] between[0] a[0] teacher[0] and[0] his[0] student[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the most significant tension of _rushmore_ is the potential relationship between a teacher and his student . 	the most significant tension of _rushmore_ is the potential relationship between a teacher and his student .	1	-3	 the[0] most[0] significant[0] tension[-2] of[0] _rushmore_[0] is[0] the[0] potential[0] relationship[0] between[0] a[0] teacher[0] and[0] his[0] student[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
tracy flick is from a single parent home , which has contributed to her drive . 	tracy flick is from a single parent home , which has contributed to her drive .	1	-1	 tracy[0] flick[0] is[0] from[0] a[0] single[0] parent[0] home[0] which[0] has[0] contributed[0] to[0] her[0] drive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
max fischer is from a single parent home , which has contributed to his drive . 	max fischer is from a single parent home , which has contributed to his drive .	1	-1	 max[0] fischer[0] is[0] from[0] a[0] single[0] parent[0] home[0] which[0] has[0] contributed[0] to[0] his[0] drive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the male bumbling adult in _election_ ( matthew broderick ) pursues an extramarital affair , gets caught , and his whole life is ruined . 	the male bumbling adult in _election_ ( matthew broderick ) pursues an extramarital affair , gets caught , and his whole life is ruined .	1	-2	 the[0] male[0] bumbling[0] adult[0] in[0] _election_[0] matthew[0] broderick[0] pursues[0] an[0] extramarital[0] affair[0] gets[0] caught[0] and[0] his[0] whole[0] life[0] is[0] ruined[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he even gets a bee sting . 	he even gets a bee sting .	1	-2	 he[0] even[0] gets[0] a[0] bee[0] sting[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the male bumbling adult in _rushmore_ ( bill murray ) pursues an extramarital affair , gets caught , and his whole life is ruined . 	the male bumbling adult in _rushmore_ ( bill murray ) pursues an extramarital affair , gets caught , and his whole life is ruined .	1	-2	 the[0] male[0] bumbling[0] adult[0] in[0] _rushmore_[0] bill[0] murray[0] pursues[0] an[0] extramarital[0] affair[0] gets[0] caught[0] and[0] his[0] whole[0] life[0] is[0] ruined[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he gets several bee stings . 	he gets several bee stings .	1	-2	 he[0] gets[0] several[0] bee[0] stings[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and so on . 	and so on .	1	-1	 and[0] so[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what happened ? 	what happened ?	1	-1	 what[0] happened[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how is it that an individual screenplay ( _rushmore_ ) and a novel ( _election_ ) contain so many significant plot points , and yet both films were probably not even aware of each other , made from two different studios , from a genre ( the high school geeks revenge movie ) that hadn't been fully formed yet ? 	how is it that an individual screenplay ( _rushmore_ ) and a novel ( _election_ ) contain so many significant plot points , and yet both films were probably not even aware of each other , made from two different studios , from a genre ( the high school geeks revenge movie ) that hadn't been fully formed yet ?	1	-2	 how[0] is[0] it[0] that[0] an[0] individual[0] screenplay[0] _rushmore_[0] and[0] a[0] novel[0] _election_[0] contain[0] so[0] many[0] significant[0] plot[0] points[0] and[0] yet[0] both[0] films[0] were[0] probably[0] not[0] even[0] aware[0] of[0] each[0] other[0] made[0] from[0] two[0] different[0] studios[0] from[0] a[0] genre[0] the[0] high[0] school[0] geeks[0] revenge[-1] movie[0] that[0] hadn't[0] been[0] fully[0] formed[0] yet[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even so , the strengths of _election_ rely upon its fantastic performances from broderick , witherspoon , and newcomer jessica campbell , as paul's anti-social sister , tammy . 	even so , the strengths of _election_ rely upon its fantastic performances from broderick , witherspoon , and newcomer jessica campbell , as paul's anti-social sister , tammy .	3	-1	 even[0] so[0] the[0] strengths[0] of[0] _election_[0] rely[0] upon[0] its[0] fantastic[2] performances[0] from[0] broderick[0] witherspoon[0] and[0] newcomer[0] jessica[0] campbell[0] as[0] paul's[0] anti[0] social[0] sister[0] tammy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
broderick here is playing the mr . rooney role from _ferris bueller_ , and he seems to be having the most fun he's had since then . 	broderick here is playing the mr .<br> rooney role from _ferris bueller_ , and he seems to be having the most fun he's had since then .	2	-1	 broderick[0] here[0] is[0] playing[1] the[0] mr[0] [[Sentence=-1,2=word max, 1-5]] rooney[0] role[0] from[0] _ferris[0] bueller_[0] and[0] he[0] seems[0] to[0] be[0] having[0] the[0] most[0] fun[1] he's[0] had[0] since[0] then[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
witherspoon is a revelation . 	witherspoon is a revelation .	1	-1	 witherspoon[0] is[0] a[0] revelation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's early in the year , it's a comedy , and teenagers have little clout , but for my money , witherspoon deserves an oscar nomination . 	it's early in the year , it's a comedy , and teenagers have little clout , but for my money , witherspoon deserves an oscar nomination .	1	-1	 it's[0] early[0] in[0] the[0] year[0] it's[0] a[0] comedy[0] and[0] teenagers[0] have[0] little[0] clout[0] but[0] for[0] my[0] money[0] witherspoon[0] deserves[0] an[0] oscar[0] nomination[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and once campbell's character gets going , like in her fantastic speech in the gymnasium , then you're won over . 	and once campbell's character gets going , like in her fantastic speech in the gymnasium , then you're won over .	3	-1	 and[0] once[0] campbell's[0] character[0] gets[0] going[0] like[1] in[0] her[0] fantastic[2] speech[0] in[0] the[0] gymnasium[0] then[0] you're[0] won[0] over[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one thing that's been bothering me since i've seen it . 	one thing that's been bothering me since i've seen it .	1	-2	 one[0] thing[0] that's[0] been[0] bothering[-1] me[0] since[0] i've[0] seen[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is an extraordinary amount of sexuality in this film . 	there is an extraordinary amount of sexuality in this film .	1	-1	 there[0] is[0] an[0] extraordinary[0] amount[0] of[0] sexuality[0] in[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i suppose that , coming from mtv films , i should expect no less . . . 	i suppose that , coming from mtv films , i should expect no less .<br> .<br> .	1	-1	 i[0] suppose[0] that[0] coming[0] from[0] mtv[0] films[0] i[0] should[0] expect[0] no[0] less[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the film starts off light and airy , like a sitcom . 	but the film starts off light and airy , like a sitcom .	2	-1	 but[0] the[0] film[0] starts[0] off[0] light[0] and[0] airy[0] like[1] a[0] sitcom[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as the screws tighten , and the tensions mount , alexander payne decides to add elements that , frankly , distract from the story . 	as the screws tighten , and the tensions mount , alexander payne decides to add elements that , frankly , distract from the story .	1	-3	 as[0] the[0] screws[0] tighten[0] and[0] the[0] tensions[-2] mount[0] alexander[0] payne[0] decides[0] to[0] add[0] elements[0] that[0] frankly[0] distract[-1] from[0] the[0] story[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it is bad enough that mr . m doesn't like tracy's determination to win at all costs , but did they have to throw in the student/teacher relationship ? 	it is bad enough that mr .<br> m doesn't like tracy's determination to win at all costs , but did they have to throw in the student/teacher relationship ?	2	-2	 it[0] is[0] bad[-1] enough[0] that[0] mr[0] [[Sentence=-2,1=word max, 1-5]] m[0] doesn't[0] like[1] tracy's[0] determination[0] to[0] win[0] at[0] all[0] costs[0] but[0] did[0] they[0] have[0] to[0] throw[0] in[0] the[0] student/teacher[0] relationship[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
even so , there's no logical reason why mr . m has an affair when he does . 	even so , there's no logical reason why mr .<br> m has an affair when he does .	1	-1	 even[0] so[0] there's[0] no[0] logical[0] reason[0] why[0] mr[0] [[Sentence=-1,1=word max, 1-5]] m[0] has[0] an[0] affair[0] when[0] he[0] does[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's a lot to like in _election_ , but the plot similarities to _rushmore_ , and the tonal nosedive it takes as it gets explicitly sex-driven , mark this as a disappointment . 	there's a lot to like in _election_ , but the plot similarities to _rushmore_ , and the tonal nosedive it takes as it gets explicitly sex-driven , mark this as a disappointment .	2	-2	 there's[0] a[0] lot[0] to[0] like[1] in[0] _election_[0] but[0] the[0] plot[0] similarities[0] to[0] _rushmore_[0] and[0] the[0] tonal[0] nosedive[0] it[0] takes[0] as[0] it[0] gets[0] explicitly[0] sex[0] driven[0] mark[0] this[0] as[0] a[0] disappointment[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
