after the press screening of " moulin rouge , " i stood in the lobby of the theater listening to the reactions of my friends and colleagues . 	Translation	Positive	Negative	EmotionRationale
 " christian ( ewan mcgregor ) is a penniless young writer newly arrived in paris , " to write about truth , beauty , freedom and love , " where he encounters a group of bohemians , led by henri de toulouse-lautrec ( john leguizamo ) . 	 " christian ( ewan mcgregor ) is a penniless young writer newly arrived in paris , " to write about truth , beauty , freedom and love , " where he encounters a group of bohemians , led by henri de toulouse-lautrec ( john leguizamo ) .	3	-1	 christian[0] ewan[0] mcgregor[0] is[0] a[0] penniless[0] young[0] writer[0] newly[0] arrived[0] in[0] paris[0] to[0] write[0] about[0] truth[1] beauty[2] freedom[0] and[0] love[2] where[0] he[0] encounters[0] a[0] group[0] of[0] bohemians[0] led[0] by[0] henri[0] de[0] toulouse[0] lautrec[0] john[0] leguizamo[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
christian meets satine ( nicole kidman ) , a courtesan from the legendary moulin rogue , and his world transforms from black and white to technicolor . 	christian meets satine ( nicole kidman ) , a courtesan from the legendary moulin rogue , and his world transforms from black and white to technicolor .	1	-2	 christian[0] meets[0] satine[0] nicole[0] kidman[0] a[0] courtesan[0] from[0] the[0] legendary[0] moulin[0] rogue[-1] and[0] his[0] world[0] transforms[0] from[0] black[0] and[0] white[0] to[0] technicolor[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at once fragile and vivacious , the dazzling red-haired woman sweeps him off his feet without even trying . 	at once fragile and vivacious , the dazling red-haired woman sweeps him off his feet without even trying .	1	-2	 at[0] once[0] fragile[-1] and[0] vivacious[0] the[0] dazzling/dazling[0] red[0] haired[0] woman[0] sweeps[0] him[0] off[0] his[0] feet[0] without[0] even[0] trying[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
christian instantly falls in love with her and satine finds herself smitten with him as well , which is quite a hindrance for someone in her profession . 	christian instantly falls in love with her and satine finds herself smitten with him as well , which is quite a hindrance for someone in her profession .	3	-2	 christian[0] instantly[0] falls[0] in[0] love[2] with[0] her[0] and[0] satine[0] finds[0] herself[0] smitten[0] with[0] him[0] as[0] well[0] which[0] is[0] quite[0] a[0] hindrance[-1] for[0] someone[0] in[0] her[0] profession[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
working with the bohemians and moulin rogue impresario harold zidler ( jim broadbent ) , christian writes an opus modestly named " spectacular spectacular . " 	working with the bohemians and moulin rogue impresario harold zidler ( jim broadbent ) , christian writes an opus modestly named " spectacular spectacular .<br> "	1	-2	 working[0] with[0] the[0] bohemians[0] and[0] moulin[0] rogue[-1] impresario[0] harold[0] zidler[0] jim[0] broadbent[0] christian[0] writes[0] an[0] opus[0] modestly[0] named[0] spectacular[0] spectacular[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
zidler quickly finds a backer , the wealthy duke of monroth ( richard roxburgh ) , but there's a catch ? the duke also wants the hand of the fair satine . 	zidler quickly finds a backer , the wealthy duke of monroth ( richard roxburgh ) , but there's a catch ?<br> the duke also wants the hand of the fair satine .	1	-1	 zidler[0] quickly[0] finds[0] a[0] backer[0] the[0] wealthy[0] duke[0] of[0] monroth[0] richard[0] roxburgh[0] but[0] there's[0] a[0] catch[0] [[Sentence=-1,1=word max, 1-5]] the[0] duke[0] also[0] wants[0] the[0] hand[0] of[0] the[0] fair[0] satine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as if all that isn't enough , satine has a cough , and while a cough in the real world probably indicates a cold , it rarely turns out to be anything that simple in movie land . 	as if all that isn't enough , satine has a cough , and while a cough in the real world probably indicates a cold , it rarely turns out to be anything that simple in movie land .	1	-2	 as[0] if[0] all[0] that[0] isn't[0] enough[0] satine[0] has[0] a[0] cough[0] and[0] while[0] a[0] cough[0] in[0] the[0] real[0] world[0] probably[0] indicates[0] a[0] cold[-1] it[0] rarely[0] turns[0] out[0] to[0] be[0] anything[0] that[0] simple[0] in[0] movie[0] land[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
like a teeter-totter , " moulin rogue " moves up and down between the ridiculous and the sublime . 	like a teeter-totter , " moulin rogue " moves up and down between the ridiculous and the sublime .	2	-3	 like[1] a[0] teeter[0] totter[0] moulin[0] rogue[-1] moves[0] up[0] and[0] down[0] between[0] the[0] ridiculous[-2] and[0] the[0] sublime[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
one of the loveliest moments comes as christine and satine commune outdoors at night , becoming part of a defiantly unrealistic parisian cityscape straight from a book of fairy tales . 	one of the loveliest moments comes as christine and satine commune outdoors at night , becoming part of a defiantly unrealistic parisian cityscape straight from a book of fairy tales .	3	-2	 one[0] of[0] the[0] loveliest[2] moments[0] comes[0] as[0] christine[0] and[0] satine[0] commune[0] outdoors[0] at[0] night[0] becoming[0] part[0] of[0] a[0] defiantly[-1] unrealistic[0] parisian[0] cityscape[0] straight[0] from[0] a[0] book[0] of[0] fairy[0] tales[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
together they dance , while serenaded by the man in the moon ( alessandro safina provides the vocals ) , apparently transported from the classic georges m ? li ? s silent film to guard the nocturnal sky . 	together they dance , while serenaded by the man in the moon ( alessandro safina provides the vocals ) , apparently transported from the classic georges m ?<br> li ?<br> s silent film to guard the nocturnal sky .	1	-1	 together[0] they[0] dance[0] while[0] serenaded[0] by[0] the[0] man[0] in[0] the[0] moon[0] alessandro[0] safina[0] provides[0] the[0] vocals[0] apparently[0] transported[0] from[0] the[0] classic[0] georges[0] m[0] [[Sentence=-1,1=word max, 1-5]] li[0] [[Sentence=-1,1=word max, 1-5]] s[0] silent[0] film[0] to[0] guard[0] the[0] nocturnal[0] sky[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
other scenes merely traffic in everything-and-the-kitchen-sink overload . 	other scenes merely traffic in everything-and-the-kitchen-sink overload .	1	-1	 other[0] scenes[0] merely[0] traffic[0] in[0] everything[0] and[0] the[0] kitchen[0] sink[0] overload[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the cavorting of toulouse-lautrec and his comrades gets strained at times and some of their overt comedy , accompanied by cartoon sound effects , is overly reminiscent of the frenzied farce that sitcoms like " bewitched " beat into the ground . 	the cavorting of toulouse-lautrec and his comrades gets strained at times and some of their overt comedy , accompanied by cartoon sound effects , is overly reminiscent of the frenzied farce that sitcoms like " bewitched " beat into the ground .	2	-2	 the[0] cavorting[0] of[0] toulouse[0] lautrec[0] and[0] his[0] comrades[0] gets[0] strained[-1] at[0] times[0] and[0] some[0] of[0] their[0] overt[0] comedy[0] accompanied[0] by[0] cartoon[0] sound[0] effects[0] is[0] overly[0] reminiscent[0] of[0] the[0] frenzied[0] farce[-1] that[0] sitcoms[0] like[1] bewitched[0] beat[0] into[0] the[0] ground[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
of course , sensory overload was exactly what baz luhrmann had in mind . 	of course , sensory overload was exactly what baz luhrman had in mind .	1	-1	 of[0] course[0] sensory[0] overload[0] was[0] exactly[0] what[0] baz[0] luhrmann/luhrman[0] had[0] in[0] mind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " we never heard from baz to turn it down , " one of the actors told the los angeles times . 	 " we never heard from baz to turn it down , " one of the actors told the los angeles times .	1	-1	 we[0] never[0] heard[0] from[0] baz[0] to[0] turn[0] it[0] down[0] one[0] of[0] the[0] actors[0] told[0] the[0] los[0] angeles[0] times[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " it was always , 'more ! 	 " it was always , 'more !	1	-1	 it[0] was[0] always[0] 'more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
more ! ' " 	more !<br> ' "	1	-1	 more[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the director even sent a note to his cast reading , " i dare you to make me say you've gone too far . " 	the director even sent a note to his cast reading , " i dare you to make me say you've gone too far .<br> "	1	-1	 the[0] director[0] even[0] sent[0] a[0] note[0] to[0] his[0] cast[0] reading[0] i[0] dare[0] you[0] to[0] make[0] me[0] say[0] you've[0] gone[0] too[0] far[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the musical numbers reflect his attitude . 	the musical numbers reflect his attitude .	1	-1	 the[0] musical[0] numbers[0] reflect[0] his[0] attitude[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one knockout piece , the " elephant love medley , " incorporates the beatles' " all you need is love , " u2's " in the name of love , " dolly parton's " i will always love you " and elton john and bernie taupin's " your song . " 	one knockout piece , the " elephant love medley , " incorporates the beatles' " all you need is love , " u2's " in the name of love , " dolly parton's " i will always love you " and elton john and bernie taupin's " your song .<br> "	3	-1	 one[0] knockout[0] piece[0] the[0] elephant[0] love[2] medley[0] incorporates[0] the[0] beatles'[0] all[0] you[0] need[0] is[0] love[2] u2's[0] in[0] the[0] name[0] of[0] love[2] dolly[0] parton's[0] i[0] will[0] always[0] love[2] you[0] and[0] elton[0] john[0] and[0] bernie[0] taupin's[0] your[0] song[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
need more ? 	need more ?	1	-1	 need[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how about " diamonds are a girl's best friend " spiced with portions of " material girl ? " 	how about " diamonds are a girl's best friend " spiced with portions of " material girl ?<br> "	2	-1	 how[0] about[0] diamonds[0] are[0] a[0] girl's[0] best[1] friend[1] spiced[0] with[0] portions[0] of[0] material[0] girl[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
luhrmann's cast offers a wide variety of approaches that , together , add up to something messy , but often wonderful . 	luhrmann's cast offers a wide variety of approaches that , together , add up to something messy , but often wonderful .	3	-1	 luhrmann's[0] cast[0] offers[0] a[0] wide[0] variety[0] of[0] approaches[0] that[0] together[0] add[0] up[0] to[0] something[0] messy[0] but[0] often[0] wonderful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ewan mcgregor is extremely likable as christian , emphasizing the sincerity of the love-struck poet . 	ewan mcgregor is extremely likable as christian , emphasizing the sincerity of the love-struck poet .	3	-2	 ewan[0] mcgregor[0] is[0] extremely[0] likable[0] as[0] christian[0] emphasizing[0] the[0] sincerity[0] of[0] the[0] love[2] struck[-1] poet[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
mcgregor's singing voice is robust and adds vigor at just the right moments . 	mcgregor's singing voice is robust and adds vigor at just the right moments .	1	-1	 mcgregor's[0] singing[0] voice[0] is[0] robust[0] and[0] adds[0] vigor[0] at[0] just[0] the[0] right[0] moments[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
once labeled the " ice queen , " nicole kidman melts that characterization with a sizzling , yet tender , performance . 	once labeled the " ice queen , " nicole kidman melts that characterization with a sizling , yet tender , performance .	3	-1	 once[0] labeled[0] the[0] ice[0] queen[0] nicole[0] kidman[0] melts[0] that[0] characterization[0] with[0] a[0] sizzling/sizling[0] yet[0] tender[2] performance[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she handles the songs adroitly , although her voice sounds a bit thin in the upper range . 	she handles the songs adroitly , although her voice sounds a bit thin in the upper range .	1	-1	 she[0] handles[0] the[0] songs[0] adroitly[0] although[0] her[0] voice[0] sounds[0] a[0] bit[0] thin[0] in[0] the[0] upper[0] range[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
veteran character actor jim broadbent is suitably larger than life as ringmaster zidler ? wait until you see him perform " like a virgin . " 	veteran character actor jim broadbent is suitably larger than life as ringmaster zidler ?<br> wait until you see him perform " like a virgin .<br> "	2	-1	 veteran[0] character[0] actor[0] jim[0] broadbent[0] is[0] suitably[0] larger[0] than[0] life[0] as[0] ringmaster[0] zidler[0] [[Sentence=-1,1=word max, 1-5]] wait[0] until[0] you[0] see[0] him[0] perform[0] like[1] a[0] virgin[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as the buffoonish duke , richard roxburgh proves to be the film's weakest link , although i'm sure he was simply following instructions . 	as the buffoonish duke , richard roxburgh proves to be the film's weakest link , although i'm sure he was simply following instructions .	1	-2	 as[0] the[0] buffoonish[-1] duke[0] richard[0] roxburgh[0] proves[0] to[0] be[0] the[0] film's[0] weakest[-1] link[0] although[0] i'm[0] sure[0] he[0] was[0] simply[0] following[0] instructions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i suspect " moulin rogue " will be one of those love-it-or-hate-it films . 	i suspect " moulin rogue " will be one of those love-it-or-hate-it films .	3	-4	 i[0] suspect[-1] moulin[0] rogue[-1] will[0] be[0] one[0] of[0] those[0] love[2] it[0] or[0] hate[-3] it[0] films[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
while i didn't completely love it , i most certainly liked it a lot . 	while i didn't completely love it , i most certainly liked it a lot .	4	-1	 while[0] i[0] didn't[0] completely[0] love[2][1 LastWordBoosterStrength] it[0] i[0] most[0] certainly[0] liked[2] it[0] a[0] lot[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
over the course of a year , i see well over 300 movies , and most of them look like xeroxes of each other . 	over the course of a year , i see well over 300 movies , and most of them look like xeroxes of each other .	2	-1	 over[0] the[0] course[0] of[0] a[0] year[0] i[0] see[0] well[0] over[0] 300[0] movies[0] and[0] most[0] of[0] them[0] look[0] like[1] xeroxes[0] of[0] each[0] other[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " moulin rogue " is an original , and an original , even a flawed one , is a thing to be cherished . 	 " moulin rogue " is an original , and an original , even a flawed one , is a thing to be cherished .	3	-2	 moulin[0] rogue[-1] is[0] an[0] original[0] and[0] an[0] original[0] even[0] a[0] flawed[0] one[0] is[0] a[0] thing[0] to[0] be[0] cherished[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
