there are some works of art that are almost impossible to review , not because of their own complexity , but because of their legendary status which prevents the reviewer to say anything original . 	Translation	Positive	Negative	EmotionRationale
many shady characters thrive on their misery , including the corrupt police chief , captain renault ( rains ) . 	many shady characters thrive on their misery , including the corrupt police chief , captain renault ( rains ) .	1	-3	 many[0] shady[-1] characters[0] thrive[0] on[0] their[0] misery[-2] including[0] the[0] corrupt[-2] police[0] chief[0] captain[0] renault[0] rains[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his best friend is rick blaine ( bogart ) , who used to be idealistic anti-fascist , and now owns popular night club in casablanca and lives by his own cynical philosophy of " sticking his neck for nobody " . 	his best friend is rick blaine ( bogart ) , who used to be idealistic anti-fascist , and now owns popular night club in casablanca and lives by his own cynical philosophy of " sticking his neck for nobody " .	2	-2	 his[0] best[1] friend[1] is[0] rick[0] blaine[0] bogart[0] who[0] used[0] to[0] be[0] idealistic[0] anti[0] fascist[-1] and[0] now[0] owns[0] popular[0] night[0] club[0] in[0] casablanca[0] and[0] lives[0] by[0] his[0] own[0] cynical[-1] philosophy[0] of[0] sticking[0] his[0] neck[0] for[0] nobody[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
however , everything changes when he gets in possession of two precious extra visas . 	however , everything changes when he gets in possession of two precious extra visas .	3	-1	 however[0] everything[0] changes[0] when[0] he[0] gets[0] in[0] possession[0] of[0] two[0] precious[2] extra[0] visas[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this event coincides with the arrival of two new refugees to casablanca . 	this event coincides with the arrival of two new refugees to casablanca .	1	-2	 this[0] event[0] coincides[0] with[0] the[0] arrival[0] of[0] two[0] new[0] refugees[-1] to[0] casablanca[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one of them is victor laszlo ( henreid ) , czech resistance leader who escaped three times from nazi concentration camps and became the legend of enslaved europe . 	one of them is victor laszlo ( henreid ) , czech resistance leader who escaped three times from nazi concentration camps and became the legend of enslaved europe .	1	-3	 one[0] of[0] them[0] is[0] victor[0] laszlo[0] henreid[0] czech[0] resistance[0] leader[0] who[0] escaped[0] three[0] times[0] from[0] nazi[-1] concentration[0] camps[0] and[0] became[0] the[0] legend[0] of[0] enslaved[-2] europe[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he is accompanied by his beautiful wife ilsa lund ( bergman ) , with whom rick had a stormy affair in the eve of nazi occupation of paris . 	he is accompanied by his beautiful wife ilsa lund ( bergman ) , with whom rick had a stormy affair in the eve of nazi occupation of paris .	3	-2	 he[0] is[0] accompanied[0] by[0] his[0] beautiful[2] wife[0] ilsa[0] lund[0] bergman[0] with[0] whom[0] rick[0] had[0] a[0] stormy[-1] affair[0] in[0] the[0] eve[0] of[0] nazi[-1] occupation[0] of[0] paris[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the couple needs visas , especially because of the gestapo major strasser ( veidt ) being on their trail . 	the couple needs visas , especially because of the gestapo major strasser ( veidt ) being on their trail .	1	-1	 the[0] couple[0] needs[0] visas[0] especially[0] because[0] of[0] the[0] gestapo[0] major[0] strasser[0] veidt[0] being[0] on[0] their[0] trail[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rick is now forced to choose between love , wounded pride , self-preserving interest and his own hatred of fascism . 	rick is now forced to choose between love , wounded pride , self-preserving interest and his own hatred of fascism .	3	-4	 rick[0] is[0] now[0] forced[0] to[0] choose[0] between[0] love[2] wounded[-1] pride[1] self[0] preserving[0] interest[1] and[0] his[0] own[0] hatred[-3] of[0] fascism[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the casting for this movie seems influenced by divine inspiration - humphrey bogart , most legendary actor in the history of cinema , is one of the rare character actors who elevated his persona to the star status . 	the casting for this movie seems influenced by divine inspiration - humphrey bogart , most legendary actor in the history of cinema , is one of the rare character actors who elevated his persona to the star status .	3	-1	 the[0] casting[0] for[0] this[0] movie[0] seems[0] influenced[0] by[0] divine[1] inspiration[2] humphrey[0] bogart[0] most[0] legendary[0] actor[0] in[0] the[0] history[0] of[0] cinema[0] is[0] one[0] of[0] the[0] rare[0] character[0] actors[0] who[0] elevated[0] his[0] persona[0] to[0] the[0] star[0] status[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
bogart's portrayal of rick as complicated man , torn between idealistic past and bitter present , was so perfect , that his icon would forever be connected with that character . 	bogart's portrayal of rick as complicated man , torn between idealistic past and bitter present , was so perfect , that his icon would forever be connected with that character .	2	-2	 bogart's[0] portrayal[0] of[0] rick[0] as[0] complicated[-1] man[0] torn[0] between[0] idealistic[0] past[0] and[0] bitter[-1] present[0] was[0] so[0] perfect[1] that[0] his[0] icon[0] would[0] forever[0] be[0] connected[0] with[0] that[0] character[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
another icon in his company is ingrid bergman , great actress of old hollywood , here in her artistic and visual prime . 	another icon in his company is ingrid bergman , great actress of old hollywood , here in her artistic and visual prime .	3	-1	 another[0] icon[0] in[0] his[0] company[0] is[0] ingrid[0] bergman[0] great[2] actress[0] of[0] old[0] hollywood[0] here[0] in[0] her[0] artistic[0] and[0] visual[0] prime[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the cinematic coupling of bogart and bergman became one of the main symbols of that era of filmmaking - some happier times when the romance on the screen didn't look childish nor trite like in some more contemporary works . 	the cinematic coupling of bogart and bergman became one of the main symbols of that era of filmmaking - some happier times when the romance on the screen didn't look childish nor trite like in some more contemporary works .	4	-3	 the[0] cinematic[0] coupling[0] of[0] bogart[0] and[0] bergman[0] became[0] one[0] of[0] the[0] main[0] symbols[0] of[0] that[0] era[0] of[0] filmmaking[0] some[0] happier[2][-1 LastWordBoosterStrength] times[0] when[0] the[0] romance[3] on[0] the[0] screen[0] didn't[0] look[0] childish[-1] nor[0] trite[-2] like[1] in[0] some[0] more[0] contemporary[0] works[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
for many people , casablanca is probably the best romantic film ever made . 	for many people , casablanca is probably the best romantic film ever made .	4	-1	 for[0] many[0] people[0] casablanca[0] is[0] probably[0] the[0] best[1] romantic[3] film[0] ever[0] made[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
but the reason for that isn't the romance itself - it's the realistic story of people forced to make tough , and often wrong choices in their life . 	but the reason for that isn't the romance itself - it's the realistic story of people forced to make tough , and often wrong choices in their life .	1	-4	 but[0] the[0] reason[0] for[0] that[0] isn't[0] the[0] romance[3][NegatedDueToPreviousWord] itself[0] it's[0] the[0] realistic[0] story[0] of[0] people[0] forced[0] to[0] make[0] tough[-1] and[0] often[0] wrong[-1] choices[0] in[0] their[0] life[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the casting of casablanca was right on target not just in a case of main leads . 	the casting of casablanca was right on target not just in a case of main leads .	1	-1	 the[0] casting[0] of[0] casablanca[0] was[0] right[0] on[0] target[0] not[0] just[0] in[0] a[0] case[0] of[0] main[0] leads[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the supporting actors also did a marvellous job . 	the supporting actors also did a marvellous job .	2	-1	 the[0] supporting[1] actors[0] also[0] did[0] a[0] marvellous[0] job[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sidney longstreet and peter lorre were here mainly to give a mystic flavour spotted in a previous bogart classic - john huston's maltese falcon ; yet both of them managed to portray colourful and original characters . 	sidney longstreet and peter lore were here mainly to give a mystic flavour spotted in a previous bogart classic - john huston's maltese falcon ; yet both of them managed to portray colourful and original characters .	1	-1	 sidney[0] longstreet[0] and[0] peter[0] lorre/lore[0] were[0] here[0] mainly[0] to[0] give[0] a[0] mystic[0] flavour[0] spotted[0] in[0] a[0] previous[0] bogart[0] classic[0] john[0] huston's[0] maltese[0] falcon[0] yet[0] both[0] of[0] them[0] managed[0] to[0] portray[0] colourful[0] and[0] original[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
another shining example of good casting is now almost forgotten paul henreid as the weakest part of love triangle ; character of victor laszlo has believable charisma and looks like a somebody who could inspire millions of people to rise against nazi tiranny . 	another shining example of good casting is now almost forgotten paul henreid as the weakest part of love triangle ; character of victor laszlo has believable charisma and looks like a somebody who could inspire millions of people to rise against nazi tiranny .	3	-2	 another[0] shining[0] example[0] of[0] good[1] casting[0] is[0] now[0] almost[0] forgotten[0] paul[0] henreid[0] as[0] the[0] weakest[-1] part[0] of[0] love[2] triangle[0] character[0] of[0] victor[0] laszlo[0] has[0] believable[0] charisma[0] and[0] looks[0] like[1] a[0] somebody[0] who[0] could[0] inspire[2][-1 LastWordBoosterStrength] millions[0] of[0] people[0] to[0] rise[0] against[-1] nazi[-1] tiranny[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
unfortunately , the charisma that burdened laszlo , leaves little place for difficult choice , making his character forever overshadowed by rick/ilsa coupling . 	unfortunately , the charisma that burdened laszlo , leaves little place for difficult choice , making his character forever overshadowed by rick/ilsa coupling .	1	-2	 unfortunately[-1] the[0] charisma[0] that[0] burdened[-1] laszlo[0] leaves[0] little[0] place[0] for[0] difficult[-1] choice[0] making[0] his[0] character[0] forever[0] overshadowed[0] by[0] rick/ilsa[0] coupling[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , rick and ilsa actually have a serious competiton for most memorable character in casablanca . 	however , rick and ilsa actually have a serious competiton for most memorable character in casablanca .	1	-2	 however[0] rick[0] and[0] ilsa[0] actually[0] have[0] a[0] serious[-1] competiton[0] for[0] most[0] memorable[0] character[0] in[0] casablanca[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
captain renault , brilliantly portrayed by claude rains in a role of a lifetime , was embodiment of perfect , almost unmatched balance between ethical corruption and physical charm . 	captain renault , brilliantly portrayed by claude rains in a role of a lifetime , was embodiment of perfect , almost unmatched balance between ethical corruption and physical charm .	2	-3	 captain[0] renault[0] brilliantly[1] portrayed[0] by[0] claude[0] rains[0] in[0] a[0] role[0] of[0] a[0] lifetime[0] was[0] embodiment[0] of[0] perfect[1] almost[0] unmatched[0] balance[0] between[0] ethical[0] corruption[-2] and[0] physical[0] charm[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
despite being the undoubtful villain in almost entire movie , rains managed to make renault sympathetic character , and his final conversion to the side of good , symbolized in not so subtle gesture at the end of movie looked unnecessary . 	despite being the undoubtful villain in almost entire movie , rains managed to make renault sympathetic character , and his final conversion to the side of good , symbolized in not so subtle gesture at the end of movie looked unnecessary .	2	-3	 despite[0] being[0] the[0] undoubtful[0] villain[-2] in[0] almost[0] entire[0] movie[0] rains[0] managed[0] to[0] make[0] renault[0] sympathetic[0] character[0] and[0] his[0] final[0] conversion[0] to[0] the[0] side[0] of[0] good[1] symbolized[0] in[0] not[0] so[0] subtle[0] gesture[0] at[0] the[0] end[0] of[0] movie[0] looked[0] unnecessary[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
rains also gave another dimension to the movie , making it even more ambiguous ; people who like to analyse movies to death discovered signs of homosexuality in renault's relationship towards rick , and rick's final words leave room for even more outrageous speculations . 	rains also gave another dimension to the movie , making it even more ambiguous ; people who like to analyse movies to death discovered signs of homosexuality in renault's relationship towards rick , and rick's final words leave room for even more outrageous speculations .	2	-3	 rains[0] also[0] gave[0] another[0] dimension[0] to[0] the[0] movie[0] making[0] it[0] even[0] more[0] ambiguous[-1] people[0] who[0] like[1] to[0] analyse[0] movies[0] to[0] death[-2] discovered[0] signs[0] of[0] homosexuality[0] in[0] renault's[0] relationship[0] towards[0] rick[0] and[0] rick's[0] final[0] words[0] leave[0] room[0] for[0] even[0] more[0] outrageous[-2] speculations[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
together with well-drawn characters and exciting story , the movie was good in creating his own atmosphere . 	together with well-drawn characters and exciting story , the movie was good in creating his own atmosphere .	3	-1	 together[0] with[0] well[0] drawn[0] characters[0] and[0] exciting[2] story[0] the[0] movie[0] was[0] good[1] in[0] creating[0] his[0] own[0] atmosphere[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
professional nitpickers would probably have a field day in discovering numerous historical and geographical inaccuracies , but casablanca is still a shining example of hollywood ww2 movie that is beliavable , if not realistic . 	professional nitpickers would probably have a field day in discovering numerous historical and geographical inaccuracies , but casablanca is still a shining example of hollywood ww2 movie that is beliavable , if not realistic .	1	-1	 professional[0] nitpickers[0] would[0] probably[0] have[0] a[0] field[0] day[0] in[0] discovering[0] numerous[0] historical[0] and[0] geographical[0] inaccuracies[0] but[0] casablanca[0] is[0] still[0] a[0] shining[0] example[0] of[0] hollywood[0] ww2[0] movie[0] that[0] is[0] beliavable[0] if[0] not[0] realistic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
any way , even if we don't see it as a historical document , casablanca is movie that can be source of entertainment as well as infinite inspiration . 	any way , even if we don't see it as a historical document , casablanca is movie that can be source of entertainment as well as infinite inspiration .	3	-2	 any[0] way[0] even[0] if[0] we[0] don't[0] see[0] it[0] as[0] a[0] historical[0] document[0] casablanca[0] is[0] movie[0] that[0] can[0] be[0] source[-1] of[0] entertainment[0] as[0] well[0] as[0] infinite[0] inspiration[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
