jean-luc picard ( patrick stewart ) and the rest of the crew of the u . s . s . 	Translation	Positive	Negative	EmotionRationale
many of the jokes are your typical inside star trek-fan-only jokes , while many of the others just fall flat . 	many of the jokes are your typical inside star trek-fan-only jokes , while many of the others just fall flat .	2	-1	 many[0] of[0] the[0] jokes[1] are[0] your[0] typical[0] inside[0] star[0] trek[0] fan[0] only[0] jokes[1] while[0] many[0] of[0] the[0] others[0] just[0] fall[0] flat[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the other criticism that i had with the story was that it ignores common sense . 	the other criticism that i had with the story was that it ignores common sense .	1	-2	 the[0] other[0] criticism[-1] that[0] i[0] had[0] with[0] the[0] story[0] was[0] that[0] it[0] ignores[0] common[0] sense[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are only a few hundred people on this whole planet , why do they have to be moved ? 	there are only a few hundred people on this whole planet , why do they have to be moved ?	1	-1	 there[0] are[0] only[0] a[0] few[0] hundred[0] people[0] on[0] this[0] whole[0] planet[0] why[0] do[0] they[0] have[0] to[0] be[0] moved[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the explanation is that the planet has to be bombarded with deadly radiation so that this fountain of youth effect will be strong enough to help heal f . murray abraham's aliens who number only a couple of dozen . 	the explanation is that the planet has to be bombarded with deadly radiation so that this fountain of youth effect will be strong enough to help heal f .<br> murray abraham's aliens who number only a couple of dozen .	1	-2	 the[0] explanation[0] is[0] that[0] the[0] planet[0] has[0] to[0] be[0] bombarded[-1] with[0] deadly[-1] radiation[0] so[0] that[0] this[0] fountain[0] of[0] youth[0] effect[0] will[0] be[0] strong[0] enough[0] to[0] help[0] heal[0] f[0] [[Sentence=-2,1=word max, 1-5]] murray[0] abraham's[0] aliens[0] who[0] number[0] only[0] a[0] couple[0] of[0] dozen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
so the basic story line is bad enough in that we have a few hundred being booted out for a few billion , at least that's plausible . 	so the basic story line is bad enough in that we have a few hundred being booted out for a few billion , at least that's plausible .	1	-2	 so[0] the[0] basic[0] story[0] line[0] is[0] bad[-1] enough[0] in[0] that[0] we[0] have[0] a[0] few[0] hundred[0] being[0] booted[0] out[0] for[0] a[0] few[0] billion[0] at[0] least[0] that's[0] plausible[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but in reality we have a few hundred being moved for the benefits of a few dozen , which makes no sense whatsoever . 	but in reality we have a few hundred being moved for the benefits of a few dozen , which makes no sense whatsoever .	1	-1	 but[0] in[0] reality[0] we[0] have[0] a[0] few[0] hundred[0] being[0] moved[0] for[0] the[0] benefits[0] of[0] a[0] few[0] dozen[0] which[0] makes[0] no[0] sense[0] whatsoever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the other little hiccup in logic is the inclusion of worf ( michael dorn ) , the trusty klingon . 	the other little hiccup in logic is the inclusion of worf ( michael dorn ) , the trusty klingon .	2	-1	 the[0] other[0] little[0] hiccup[0] in[0] logic[0] is[0] the[0] inclusion[0] of[0] worf[0] michael[0] dorn[0] the[0] trusty[1] klingon[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
worf was on star trek : the next generation , so they want to include him in the films . 	worf was on star trek : the next generation , so they want to include him in the films .	1	-1	 worf[0] was[0] on[0] star[0] trek[0] the[0] next[0] generation[0] so[0] they[0] want[0] to[0] include[0] him[0] in[0] the[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no problem so far . 	no problem so far .	1	-2	 no[0] problem[-1] so[0] far[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
worf is now a character of star trek : deep space nine , so the writers have to find a way to have him show up . 	worf is now a character of star trek : deep space nine , so the writers have to find a way to have him show up .	1	-1	 worf[0] is[0] now[0] a[0] character[0] of[0] star[0] trek[0] deep[0] space[0] nine[0] so[0] the[0] writers[0] have[0] to[0] find[0] a[0] way[0] to[0] have[0] him[0] show[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the last star trek movie , first contact , the included worf in a credible fashion , in this one , the writers are so lazy that the completely gloss over why he is even in the movie . 	in the last star trek movie , first contact , the included worf in a credible fashion , in this one , the writers are so lazy that the completely gloss over why he is even in the movie .	1	-2	 in[0] the[0] last[0] star[0] trek[0] movie[0] first[0] contact[0] the[0] included[0] worf[0] in[0] a[0] credible[0] fashion[0] in[0] this[0] one[0] the[0] writers[0] are[0] so[0] lazy[-1] that[0] the[0] completely[0] gloss[0] over[0] why[0] he[0] is[0] even[0] in[0] the[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what little explanation they do give is so small that you would have missed it if you weren't hanging on every word on the screen . 	what little explanation they do give is so small that you would have missed it if you weren't hanging on every word on the screen .	1	-2	 what[0] little[0] explanation[0] they[0] do[0] give[0] is[0] so[0] small[0] that[0] you[0] would[0] have[0] missed[-1] it[0] if[0] you[0] weren't[0] hanging[0] on[0] every[0] word[0] on[0] the[0] screen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
my minor problems with the movie aside , star trek : insurrection does have an overwhelming number of good points as compared to its bad ones . 	my minor problems with the movie aside , star trek : insurrection does have an overwhelming number of good points as compared to its bad ones .	2	-3	 my[0] minor[0] problems[-1] with[0] the[0] movie[0] aside[0] star[0] trek[0] insurrection[0] does[0] have[0] an[0] overwhelming[-2] number[0] of[0] good[1] points[0] as[0] compared[0] to[0] its[0] bad[-1] ones[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
while many of the jokes do miss the mark , many are pretty good , even for non-trekkies . 	while many of the jokes do miss the mark , many are pretty good , even for non-trekies .	3	-2	 while[0] many[0] of[0] the[0] jokes[1] do[0] miss[-1] the[0] mark[0] many[0] are[0] pretty[2] good[1] even[0] for[0] non[0] trekkies/trekies[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the special effects are among the best for the star trek series . 	the special effects are among the best for the star trek series .	2	-1	 the[0] special[1] effects[0] are[0] among[0] the[0] best[1] for[0] the[0] star[0] trek[0] series[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the action is plentiful and well done . 	the action is plentiful and well done .	1	-1	 the[0] action[0] is[0] plentiful[0] and[0] well[0] done[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a very good-looking movie . 	this is a very good-looking movie .	3	-1	 this[0] is[0] a[0] very[0] good[1][1 LastWordBoosterStrength] looking[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it should come as no surprise to anyone who ever watched star trek : the next generation that the acting is first rate . 	it should come as no surprise to anyone who ever watched star trek : the next generation that the acting is first rate .	1	-1	 it[0] should[0] come[0] as[0] no[0] surprise[0] to[0] anyone[0] who[0] ever[0] watched[0] star[0] trek[0] the[0] next[0] generation[0] that[0] the[0] acting[0] is[0] first[0] rate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is very obvious that these actors have been working together for over a decade . 	it is very obvious that these actors have been working together for over a decade .	1	-1	 it[0] is[0] very[0] obvious[0] that[0] these[0] actors[0] have[0] been[0] working[0] together[0] for[0] over[0] a[0] decade[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they interact with each other with a skill that few other ensemble casts can muster . 	they interact with each other with a skill that few other ensemble casts can muster .	1	-1	 they[0] interact[0] with[0] each[0] other[0] with[0] a[0] skill[0] that[0] few[0] other[0] ensemble[0] casts[0] can[0] muster[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most star trek fans probably will not be disappointed with this latest film in the series . 	most star trek fans probably will not be disappointed with this latest film in the series .	2	-1	 most[0] star[0] trek[0] fans[0] probably[0] will[0] not[0] be[0] disappointed[-1][NegatedDueToPreviousWord] with[0] this[0] latest[0] film[0] in[0] the[0] series[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if you've always hated star trek , there is nothing here that is going to change your mind . 	if you've always hated star trek , there is nothing here that is going to change your mind .	1	-4	 if[0] you've[0] always[0] hated[-3] star[0] trek[0] there[0] is[0] nothing[0] here[0] that[0] is[0] going[0] to[0] change[0] your[0] mind[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
star trek : insurrection is not the best film in the series , but it is good enough to dispel the long standing tradition of the odd numbered films in the series being far inferior to the even numbered ones . 	star trek : insurrection is not the best film in the series , but it is good enough to dispel the long standing tradition of the odd numbered films in the series being far inferior to the even numbered ones .	2	-2	 star[0] trek[0] insurrection[0] is[0] not[0] the[0] best[1][NegatedDueToPreviousWord] film[0] in[0] the[0] series[0] but[0] it[0] is[0] good[1] enough[0] to[0] dispel[-1] the[0] long[0] standing[0] tradition[0] of[0] the[0] odd[0] numbered[0] films[0] in[0] the[0] series[0] being[0] far[0] inferior[-1] to[0] the[0] even[0] numbered[0] ones[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
