it's an interesting premise . 	Translation	Positive	Negative	EmotionRationale
this , in a lesser movie would be annoying , but the matrix presents itself in an intelligent manner which makes the puzzle rather interesting and even fun . 	this , in a lesser movie would be annoying , but the matrix presents itself in an intelligent manner which makes the puzle rather interesting and even fun .	2	-3	 this[0] in[0] a[0] lesser[0] movie[0] would[0] be[0] annoying[-2] but[0] the[0] matrix[0] presents[0] itself[0] in[0] an[0] intelligent[1] manner[0] which[0] makes[0] the[0] puzzle/puzle[0] rather[0] interesting[1] and[0] even[0] fun[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
what is reality ? 	what is reality ?	1	-1	 what[0] is[0] reality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what is a sham ? 	what is a sham ?	1	-1	 what[0] is[0] a[0] sham[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film turns our very perception of life on its side . 	the film turns our very perception of life on its side .	1	-1	 the[0] film[0] turns[0] our[0] very[0] perception[0] of[0] life[0] on[0] its[0] side[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
more than once , we are also presented with the question of whether we would rather know the harsh truth of reality , or live a life of relative bliss , oblivious to the true nature of our surroundings . 	more than once , we are also presented with the question of whether we would rather know the harsh truth of reality , or live a life of relative bliss , oblivious to the true nature of our surroundings .	5	-2	 more[0] than[0] once[0] we[0] are[0] also[0] presented[0] with[0] the[0] question[0] of[0] whether[0] we[0] would[0] rather[0] know[0] the[0] harsh[-1] truth[1] of[0] reality[0] or[0] live[0] a[0] life[0] of[0] relative[0] bliss[4] oblivious[0] to[0] the[0] true[1] nature[0] of[0] our[0] surroundings[0] [[Sentence=-2,5=word max, 1-5]][[[5,-2 max of sentences]]]
as viewers , this is intriguing enough , so imagine what it would be like for neo . 	as viewers , this is intriguing enough , so imagine what it would be like for neo .	2	-1	 as[0] viewers[0] this[0] is[0] intriguing[0] enough[0] so[0] imagine[0] what[0] it[0] would[0] be[0] like[1] for[0] neo[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and who to better play a bewildered person than keanu reeves ? 	and who to better play a bewildered person than keanu reeves ?	1	-3	 and[0] who[0] to[0] better[0] play[0] a[0] bewildered[-2] person[0] than[0] keanu[0] reeves[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
reeves , whom i've never really cared for as an actor , is competent in roles which require a lot of straightforwardness , and little subtlety . 	reeves , whom i've never really cared for as an actor , is competent in roles which require a lot of straightforwardness , and little subtlety .	1	-3	 reeves[0] whom[0] i've[0] never[0] really[0] cared[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] for[0] as[0] an[0] actor[0] is[0] competent[0] in[0] roles[0] which[0] require[0] a[0] lot[0] of[0] straightforwardness[0] and[0] little[0] subtlety[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he was good in speed , for example , but laughably poor in a walk in the clouds . 	he was good in speed , for example , but laughably poor in a walk in the clouds .	2	-2	 he[0] was[0] good[1] in[0] speed[0] for[0] example[0] but[0] laughably[1] poor[-1] in[0] a[0] walk[0] in[0] the[0] clouds[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
neo is actually one of those roles which reeves slips into rather nicely , so much of my expectation was happily for naught . 	neo is actually one of those roles which reeves slips into rather nicely , so much of my expectation was happily for naught .	3	-1	 neo[0] is[0] actually[0] one[0] of[0] those[0] roles[0] which[0] reeves[0] slips[0] into[0] rather[0] nicely[1] so[0] much[0] of[0] my[0] expectation[0] was[0] happily[2] for[0] naught[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in a couple of places , the script even capitalizes upon his wooden nature , and this is a heavy credit to writers/directors andy and larry wachowski . 	in a couple of places , the script even capitalizes upon his wooden nature , and this is a heavy credit to writers/directors andy and larry wachowski .	1	-1	 in[0] a[0] couple[0] of[0] places[0] the[0] script[0] even[0] capitalizes[0] upon[0] his[0] wooden[0] nature[0] and[0] this[0] is[0] a[0] heavy[0] credit[0] to[0] writers/directors[0] andy[0] and[0] larry[0] wachowski[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i mean , since bill and ted's excellent adventure , what movie could you say really " utilized " keanu reeves ? 	i mean , since bill and ted's excellent adventure , what movie could you say really " utilized " keanu reeves ?	4	-1	 i[0] mean[0] since[0] bill[0] and[0] ted's[0] excellent[3] adventure[0] what[0] movie[0] could[0] you[0] say[0] really[0] utilized[0] keanu[0] reeves[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
more interesting than reeves is fishburne , who's morpheus nearly runs the gamut of emotions , and convincingly so . 	more interesting than reeves is fishburne , who's morpheus nearly runs the gamut of emotions , and convincingly so .	2	-1	 more[0] interesting[1] than[0] reeves[0] is[0] fishburne[0] who's[0] morpheus[0] nearly[0] runs[0] the[0] gamut[0] of[0] emotions[0] and[0] convincingly[0] so[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
very surprising for a sci-fi movie . 	very surprising for a sci-fi movie .	1	-1	 very[0] surprising[0] for[0] a[0] sci[0] fi[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fishburne also maintains a certain demeanor about himself throughout , as if he always knows what to expect . 	fishburne also maintains a certain demeanor about himself throughout , as if he always knows what to expect .	1	-1	 fishburne[0] also[0] maintains[0] a[0] certain[0] demeanor[0] about[0] himself[0] throughout[0] as[0] if[0] he[0] always[0] knows[0] what[0] to[0] expect[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this helps to further the aura of his character's proficiency and extensive knowledge . 	this helps to further the aura of his character's proficiency and extensive knowledge .	1	-1	 this[0] helps[0] to[0] further[0] the[0] aura[0] of[0] his[0] character's[0] proficiency[0] and[0] extensive[0] knowledge[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hugo weaving as agent smith , one of the artificial intelligence's anti-intruder programs , is also good playing his deadpan , no-nonsense , kick ass role , which requires him to show emotion at the appropriate time . 	hugo weaving as agent smith , one of the artificial intelligence's anti-intruder programs , is also good playing his deadpan , no-nonsense , kick ass role , which requires him to show emotion at the appropriate time .	2	-2	 hugo[0] weaving[0] as[0] agent[0] smith[0] one[0] of[0] the[0] artificial[0] intelligence's[0] anti[0] intruder[-1] programs[0] is[0] also[0] good[1] playing[1] his[0] deadpan[0] no[0] nonsense[-1] kick[-1] ass[0] role[0] which[0] requires[0] him[0] to[0] show[0] emotion[0] at[0] the[0] appropriate[0] time[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
unfortunately , when weaving speaks for more than a few sentences in a row , the nature of his character's speech pattern becomes a little more laughable than impressive . 	unfortunately , when weaving speaks for more than a few sentences in a row , the nature of his character's speech pattern becomes a little more laughable than impressive .	2	-2	 unfortunately[-1] when[0] weaving[0] speaks[0] for[0] more[0] than[0] a[0] few[0] sentences[0] in[0] a[0] row[0] the[0] nature[0] of[0] his[0] character's[0] speech[0] pattern[0] becomes[0] a[0] little[0] more[0] laughable[-1] than[0] impressive[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
carrie-anne moss plays trinity , morpheus's number one assistant who becomes somewhat of a love interest for neo . 	carrie-anne moss plays trinity , morpheus's number one assistant who becomes somewhat of a love interest for neo .	3	-1	 carrie[0] anne[0] moss[0] plays[1] trinity[0] morpheus's[0] number[0] one[0] assistant[0] who[0] becomes[0] somewhat[0] of[0] a[0] love[2] interest[1] for[0] neo[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
although her character is somewhat inconsistent , moss nevertheless delivers an above par performance when fishburne isn't in the picture . 	although her character is somewhat inconsistent , moss nevertheless delivers an above par performance when fishburne isn't in the picture .	1	-2	 although[0] her[0] character[0] is[0] somewhat[0] inconsistent[-1] moss[0] nevertheless[0] delivers[0] an[0] above[0] par[0] performance[0] when[0] fishburne[0] isn't[0] in[0] the[0] picture[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there were few expenses spared when it comes to the special effects . 	there were few expenses spared when it comes to the special effects .	2	-1	 there[0] were[0] few[0] expenses[0] spared[0] when[0] it[0] comes[0] to[0] the[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
many methods of imagery are employed , from modeling to bluescreen to computer graphics . 	many methods of imagery are employed , from modeling to bluescreen to computer graphics .	1	-1	 many[0] methods[0] of[0] imagery[0] are[0] employed[0] from[0] modeling[0] to[0] bluescreen[0] to[0] computer[0] graphics[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of special note is the use of the " freeze and turn " effect where the entire scene is frozen , turned , then continued from a new angle . 	of special note is the use of the " freeze and turn " effect where the entire scene is frozen , turned , then continued from a new angle .	2	-1	 of[0] special[1] note[0] is[0] the[0] use[0] of[0] the[0] freeze[0] and[0] turn[0] effect[0] where[0] the[0] entire[0] scene[0] is[0] frozen[0] turned[0] then[0] continued[0] from[0] a[0] new[0] angle[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is accomplished by using a large number of still cameras employed in a semi-circle , with motion picture cameras placed at the two ends . 	this is accomplished by using a large number of still cameras employed in a semi-circle , with motion picture cameras placed at the two ends .	2	-1	 this[0] is[0] accomplished[1] by[0] using[0] a[0] large[0] number[0] of[0] still[0] cameras[0] employed[0] in[0] a[0] semi[0] circle[0] with[0] motion[0] picture[0] cameras[0] placed[0] at[0] the[0] two[0] ends[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the motion cameras film the action , and at the appropriate moment all the still cameras fire at once . 	the motion cameras film the action , and at the appropriate moment all the still cameras fire at once .	1	-1	 the[0] motion[0] cameras[0] film[0] the[0] action[0] and[0] at[0] the[0] appropriate[0] moment[0] all[0] the[0] still[0] cameras[0] fire[0] at[0] once[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
place each still image in a film sequence and you get a nearly seamless transition from the first motion camera to the second . 	place each still image in a film sequence and you get a nearly seamless transition from the first motion camera to the second .	1	-1	 place[0] each[0] still[0] image[0] in[0] a[0] film[0] sequence[0] and[0] you[0] get[0] a[0] nearly[0] seamless[0] transition[0] from[0] the[0] first[0] motion[0] camera[0] to[0] the[0] second[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pretty slick . 	pretty slick .	3	-1	 pretty[2] slick[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the matrix drips with style . 	the matrix drips with style .	1	-1	 the[0] matrix[0] drips[0] with[0] style[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from the clothing to the music to the action , we're watching an exaggerated version of what we're used to . 	from the clothing to the music to the action , we're watching an exaggerated version of what we're used to .	1	-2	 from[0] the[0] clothing[0] to[0] the[0] music[0] to[0] the[0] action[0] we're[0] watching[0] an[0] exaggerated[-1] version[0] of[0] what[0] we're[0] used[0] to[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
much of it seems like the combination of two genres of the hong kong action film - there's a lot of kung fu , there's a lot of gunplay . 	much of it seems like the combination of two genres of the hong kong action film - there's a lot of kung fu , there's a lot of gunplay .	2	-2	 much[0] of[0] it[0] seems[0] like[1] the[0] combination[0] of[0] two[0] genres[0] of[0] the[0] hong[0] kong[0] action[0] film[0] there's[0] a[0] lot[0] of[0] kung[0] fu[0] there's[0] a[0] lot[0] of[0] gunplay[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when a character is letting go with an automatic weapon , much is made of the empty cartridges falling to the floor in slow motion . 	when a character is letting go with an automatic weapon , much is made of the empty cartridges falling to the floor in slow motion .	1	-2	 when[0] a[0] character[0] is[0] letting[0] go[0] with[0] an[0] automatic[0] weapon[-1] much[0] is[0] made[0] of[0] the[0] empty[0] cartridges[0] falling[0] to[0] the[0] floor[0] in[0] slow[0] motion[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's also the element of the japanese action cartoon ( called anime by aficionados ) , especially in the way the sequences are filmed in sweeping pans and emphasized actions through special effects . 	there's also the element of the japanese action cartoon ( called anime by aficionados ) , especially in the way the sequences are filmed in sweeping pans and emphasized actions through special effects .	2	-1	 there's[0] also[0] the[0] element[0] of[0] the[0] japanese[0] action[0] cartoon[0] called[0] anime[0] by[0] aficionados[0] especially[0] in[0] the[0] way[0] the[0] sequences[0] are[0] filmed[0] in[0] sweeping[0] pans[0] and[0] emphasized[0] actions[0] through[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
combined , it's really like no live-action film i have ever seen . 	combined , it's really like no live-action film i have ever seen .	3	-1	 combined[0] it's[0] really[0] like[1][1 LastWordBoosterStrength] no[0] live[0] action[0] film[0] i[0] have[0] ever[0] seen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film is not without its faults . 	the film is not without its faults .	1	-2	 the[0] film[0] is[0] not[0] without[0] its[0] faults[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
some of the scenes and ideas are " borrowed " a little too liberally from other films , and one component of the ending is decidedly disappointing . 	some of the scenes and ideas are " borrowed " a little too liberally from other films , and one component of the ending is decidedly disappointing .	1	-2	 some[0] of[0] the[0] scenes[0] and[0] ideas[0] are[0] borrowed[0] a[0] little[0] too[0] liberally[0] from[0] other[0] films[0] and[0] one[0] component[0] of[0] the[0] ending[0] is[0] decidedly[0] disappointing[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
some of the lines are also pretty bad - in one instance , a supporting character incorrectly delivers a famous saying , and it wasn't meant to be a joke . 	some of the lines are also pretty bad - in one instance , a supporting character incorrectly delivers a famous saying , and it wasn't meant to be a joke .	3	-2	 some[0] of[0] the[0] lines[0] are[0] also[0] pretty[2] bad[-1] in[0] one[0] instance[0] a[0] supporting[1] character[0] incorrectly[0] delivers[0] a[0] famous[0] saying[0] and[0] it[0] wasn't[0] meant[0] to[0] be[0] a[0] joke[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
however , these shortcomings detract little from what is an overall solid action sci-fi film that for once does more than merely entertain . 	however , these shortcomings detract little from what is an overall solid action sci-fi film that for once does more than merely entertain .	1	-2	 however[0] these[0] shortcomings[-1] detract[-1] little[0] from[0] what[0] is[0] an[0] overall[0] solid[0] action[0] sci[0] fi[0] film[0] that[0] for[0] once[0] does[0] more[0] than[0] merely[0] entertain[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
