plot : a peculiar french girl grows up lonely with her father and doesn't quite know what she wants out of life . 	Translation	Positive	Negative	EmotionRationale
unfortunately , the rest of the cast isn't as well-developed , and even though most of them are pretty appealing , a couple could've been left out to save time and at least one was left stranded plot-wise , by the film's end ( what happened to the guy in the caf ? who was spying on his ex-girlfriend the whole movie ? ) . 	unfortunately , the rest of the cast isn't as well-developed , and even though most of them are pretty appealing , a couple could've been left out to save time and at least one was left stranded plot-wise , by the film's end ( what happened to the guy in the caf ?<br> who was spying on his ex-girlfriend the whole movie ?<br> ) .	3	-2	 unfortunately[-1] the[0] rest[0] of[0] the[0] cast[0] isn't[0] as[0] well[0] developed[0] and[0] even[0] though[0] most[0] of[0] them[0] are[0] pretty[2] appealing[0] a[0] couple[0] could've[0] been[0] left[0] out[0] to[0] save[1] time[0] and[0] at[0] least[0] one[0] was[0] left[0] stranded[0] plot[0] wise[0] by[0] the[0] film's[0] end[0] what[0] happened[0] to[0] the[0] guy[0] in[0] the[0] caf[0] [[Sentence=-2,3=word max, 1-5]] who[0] was[0] spying[0] on[0] his[0] ex[0] girlfriend[0] the[0] whole[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
now i haven't seen too many recent french films , i will admit , but if this is the kind of " scene " that they're developing over in " le pays du vin " , i wouldn't mind catching more of their flicks in the future ( crimson rivers was another french film that i saw earlier this year , which i really liked- ironically , that film was directed by mathieu kassovitz , who is the co-star in this film ) . 	now i haven't seen too many recent french films , i will admit , but if this is the kind of " scene " that they're developing over in " le pays du vin " , i wouldn't mind catching more of their flicks in the future ( crimson rivers was another french film that i saw earlier this year , which i really liked- ironically , that film was directed by mathieu kassovitz , who is the co-star in this film ) .	4	-2	 now[0] i[0] haven't[0] seen[0] too[0] many[0] recent[0] french[0] films[0] i[0] will[0] admit[0] but[0] if[0] this[0] is[0] the[0] kind[1] of[0] scene[0] that[0] they're[0] developing[0] over[0] in[0] le[0] pays[0] du[0] vin[0] i[0] wouldn't[0] mind[0] catching[0] more[0] of[0] their[0] flicks[0] in[0] the[0] future[0] crimson[0] rivers[0] was[0] another[0] french[0] film[0] that[0] i[0] saw[0] earlier[0] this[0] year[0] which[0] i[0] really[0] liked[2][1 LastWordBoosterStrength] ironically[-1] that[0] film[0] was[0] directed[0] by[0] mathieu[0] kassovitz[0] who[0] is[0] the[0] co[0] star[0] in[0] this[0] film[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
granted , the english subtitles got a little tough to keep up with at times ( i speak and understand french also , but some of the local colloquialisms went over my head ) , especially since the film's visuals were so intriguing that you just couldn't help but constantly gawk at them , but the general idea , the background music , the nifty french neighborhoods , the very creative way of enveloping the audience into the story-line from the start , were all very easy to appreciate , and i for one was especially glad to have seen this movie during these trying times in the world . 	granted , the english subtitles got a little tough to keep up with at times ( i speak and understand french also , but some of the local colloquialisms went over my head ) , especially since the film's visuals were so intriguing that you just couldn't help but constantly gawk at them , but the general idea , the background music , the nifty french neighborhoods , the very creative way of enveloping the audience into the story-line from the start , were all very easy to appreciate , and i for one was especially glad to have seen this movie during these trying times in the world .	3	-2	 granted[0] the[0] english[0] subtitles[0] got[0] a[0] little[0] tough[-1] to[0] keep[0] up[0] with[0] at[0] times[0] i[0] speak[0] and[0] understand[0] french[0] also[0] but[0] some[0] of[0] the[0] local[0] colloquialisms[0] went[0] over[0] my[0] head[0] especially[0] since[0] the[0] film's[0] visuals[0] were[0] so[0] intriguing[0] that[0] you[0] just[0] couldn't[0] help[0] but[0] constantly[0] gawk[0] at[0] them[0] but[0] the[0] general[0] idea[0] the[0] background[0] music[0] the[0] nifty[0] french[0] neighborhoods[0] the[0] very[0] creative[0] way[0] of[0] enveloping[0] the[0] audience[0] into[0] the[0] story[0] line[0] from[0] the[0] start[0] were[0] all[0] very[0] easy[0] to[0] appreciate[1] and[0] i[0] for[0] one[0] was[0] especially[0] glad[1][1 LastWordBoosterStrength] to[0] have[0] seen[0] this[0] movie[0] during[0] these[0] trying[0] times[0] in[0] the[0] world[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in fact , i'd recommend it to anyone looking for a jolly ol' time at the movie house , with a particular emphasis on folks with a lot of imagination , a little loneliness in their lives and many dreams in their hearts . 	in fact , i'd recommend it to anyone looking for a jolly ol' time at the movie house , with a particular emphasis on folks with a lot of imagination , a little loneliness in their lives and many dreams in their hearts .	3	-2	 in[0] fact[0] i'd[0] recommend[0] it[0] to[0] anyone[0] looking[0] for[0] a[0] jolly[2] ol'[0] time[0] at[0] the[0] movie[0] house[0] with[0] a[0] particular[0] emphasis[0] on[0] folks[0] with[0] a[0] lot[0] of[0] imagination[0] a[0] little[0] loneliness[-1] in[0] their[0] lives[0] and[0] many[0] dreams[0] in[0] their[0] hearts[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and this guy directed alien : resurrection ? 	and this guy directed alien : resurrection ?	1	-2	 and[0] this[0] guy[0] directed[0] alien[-1] resurrection[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
get outta here ! ! 	get outta here !<br> !	1	-1	 get[0] outta[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
note : i especially loved the way that the script detailed and showed the loves/hates of everyone with exact mentions in the film . 	note : i especially loved the way that the script detailed and showed the loves/hates of everyone with exact mentions in the film .	5	-1	 note[0] i[0] especially[0] loved[3][1 LastWordBoosterStrength] the[0] way[0] that[0] the[0] script[0] detailed[0] and[0] showed[0] the[0] loves/hates[0] of[0] everyone[0] with[0] exact[0] mentions[0] in[0] the[0] film[0] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
it was very original , very well shot and very nostalgic , as many of us were able to relate to the behaviors described . 	it was very original , very well shot and very nostalgic , as many of us were able to relate to the behaviors described .	1	-2	 it[0] was[0] very[0] original[0] very[0] well[0] shot[-1] and[0] very[0] nostalgic[0] as[0] many[0] of[0] us[0] were[0] able[0] to[0] relate[0] to[0] the[0] behaviors[0] described[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
good stuff ! 	good stuff !	2	-1	 good[1] stuff[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
where's joblo coming from ? 	where's joblo coming from ?	1	-1	 where's[0] joblo[0] coming[0] from[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
chocolat ( 6/10 ) - crimson rivers ( 8/10 ) - ghost world ( 9/10 ) - like water for chocolate ( 8/10 ) - o brother , where art thou ( 7/10 ) - pay it forward ( 5/10 ) - rushmore ( 9/10 ) - woman on top ( 7/10 ) 	chocolat ( 6/10 ) - crimson rivers ( 8/10 ) - ghost world ( 9/10 ) - like water for chocolate ( 8/10 ) - o brother , where art thou ( 7/10 ) - pay it forward ( 5/10 ) - rushmore ( 9/10 ) - woman on top ( 7/10 )	2	-1	 chocolat[0] 6/10[0] crimson[0] rivers[0] 8/10[0] ghost[0] world[0] 9/10[0] like[1] water[0] for[0] chocolate[0] 8/10[0] o[0] brother[0] where[0] art[0] thou[0] 7/10[0] pay[0] it[0] forward[0] 5/10[0] rushmore[0] 9/10[0] woman[0] on[0] top[0] 7/10[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
