aggressive , bleak , and unrelenting film about an interracial couple , steve and sam ( damon jones and elexa williams respectively ) , who are viciously attacked in a parking garage one night by a gang of skinheads . 	Translation	Positive	Negative	EmotionRationale
there is not a single likable character in the film . 	there is not a single likable character in the film .	1	-1	 there[0] is[0] not[0] a[0] single[0] likable[0] character[0] in[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the skinheads are obviously the most repulsive characters in the film , not only because of their beliefs but because they are in a constant state of fury ( not just against other races but within their own circles ) . 	the skinheads are obviously the most repulsive characters in the film , not only because of their beliefs but because they are in a constant state of fury ( not just against other races but within their own circles ) .	1	-4	 the[0] skinheads[0] are[0] obviously[0] the[0] most[0] repulsive[-3] characters[0] in[0] the[0] film[0] not[0] only[0] because[0] of[0] their[0] beliefs[0] but[0] because[0] they[0] are[0] in[0] a[0] constant[0] state[0] of[0] fury[-3] not[0] just[0] against[-1][--1 LastWordBoosterStrength] other[0] races[0] but[0] within[0] their[0] own[0] circles[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the african-american characters in the film are constantly shown as sexually assaulting drug abusers who are always on a joyride looking for someone to accost . 	the african-american characters in the film are constantly shown as sexually assaulting drug abusers who are always on a joyride looking for someone to accost .	1	-4	 the[0] african[0] american[0] characters[0] in[0] the[0] film[0] are[0] constantly[0] shown[0] as[0] sexually[0] assaulting[-2] drug[0] abusers[-3] who[0] are[0] always[0] on[0] a[0] joyride[-1] looking[0] for[0] someone[0] to[0] accost[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
even gay men get in on the act , locating the skinheads' lair and beating them severely with lead pipes and other blunt objects . 	even gay men get in on the act , locating the skinheads' lair and beating them severely with lead pipes and other blunt objects .	1	-2	 even[0] gay[-1] men[0] get[0] in[0] on[0] the[0] act[0] locating[0] the[0] skinheads'[0] lair[0] and[0] beating[0] them[0] severely[-1] with[0] lead[0] pipes[0] and[0] other[0] blunt[-1] objects[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the main character steve is also unlikable because of the person he becomes just to seek out revenge . 	the main character steve is also unlikable because of the person he becomes just to seek out revenge .	1	-2	 the[0] main[0] character[0] steve[0] is[0] also[0] unlikable[0] because[0] of[0] the[0] person[0] he[0] becomes[0] just[0] to[0] seek[0] out[0] revenge[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what all of this comes down to is the simple message that violence begets violence , and the constant clashes between factions will do nothing but continue the endless cycle of violence inherent in our society . 	what all of this comes down to is the simple message that violence begets violence , and the constant clashes between factions will do nothing but continue the endless cycle of violence inherent in our society .	1	-4	 what[0] all[0] of[0] this[0] comes[0] down[0] to[0] is[0] the[0] simple[0] message[0] that[0] violence[-3] begets[0] violence[-3] and[0] the[0] constant[0] clashes[0] between[0] factions[0] will[0] do[0] nothing[0] but[0] continue[0] the[0] endless[0] cycle[0] of[0] violence[-3] inherent[0] in[0] our[0] society[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the cast of this film is absolutely remarkable . 	the cast of this film is absolutely remarkable .	1	-1	 the[0] cast[0] of[0] this[0] film[0] is[0] absolutely[0] remarkable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
damon jones shows a raw energy that many actors can't seem to summon these days and his performance seems nothing less than powerful . 	damon jones shows a raw energy that many actors can't seem to summon these days and his performance seems nothing less than powerful .	1	-1	 damon[0] jones[0] shows[0] a[0] raw[0] energy[0] that[0] many[0] actors[0] can't[0] seem[0] to[0] summon[0] these[0] days[0] and[0] his[0] performance[0] seems[0] nothing[0] less[0] than[0] powerful[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his initial reaction to hearing about his girlfriend's suicide is one of the most affecting scenes i have ever seen in a film . 	his initial reaction to hearing about his girlfriend's suicide is one of the most affecting scenes i have ever seen in a film .	1	-4	 his[0] initial[0] reaction[0] to[0] hearing[0] about[0] his[0] girlfriend's[0] suicide[-3] is[0] one[0] of[0] the[0] most[0] affecting[0] scenes[0] i[0] have[0] ever[0] seen[0] in[0] a[0] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
david lee wilson , who plays ( appropriately enough ) david lee is accurately evil as the second in command skinhead who also makes extra money performing oral sex on other men ( an irony that seems lost on the other skinheads ) . 	david lee wilson , who plays ( appropriately enough ) david lee is accurately evil as the second in command skinhead who also makes extra money performing oral sex on other men ( an irony that seems lost on the other skinheads ) .	2	-3	 david[0] lee[0] wilson[0] who[0] plays[1] appropriately[0] enough[0] david[0] lee[0] is[0] accurately[0] evil[-2] as[0] the[0] second[0] in[0] command[0] skinhead[0] who[0] also[0] makes[0] extra[0] money[0] performing[0] oral[0] sex[0] on[0] other[0] men[0] an[0] irony[-1] that[0] seems[0] lost[0] on[0] the[0] other[0] skinheads[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
wilson's character is pure hatred and he brings out this hate perfectly . 	wilson's character is pure hatred and he brings out this hate perfectly .	2	-4	 wilson's[0] character[0] is[0] pure[0] hatred[-3] and[0] he[0] brings[0] out[0] this[0] hate[-3] perfectly[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
sadly , actor dave ward , who portrays the character of crew , will not be able to follow up his excellent performance as he was the victim of a vicious act of violence himself at the hands of a fellow actor during an incident of road rage . 	sadly , actor dave ward , who portrays the character of crew , will not be able to follow up his excellent performance as he was the victim of a vicious act of violence himself at the hands of a fellow actor during an incident of road rage .	4	-4	 sadly[-1] actor[0] dave[0] ward[0] who[0] portrays[0] the[0] character[0] of[0] crew[0] will[0] not[0] be[0] able[0] to[0] follow[0] up[0] his[0] excellent[3] performance[0] as[0] he[0] was[0] the[0] victim[-2] of[0] a[0] vicious[-3] act[0] of[0] violence[-3] himself[0] at[0] the[0] hands[0] of[0] a[0] fellow[0] actor[0] during[0] an[0] incident[0] of[0] road[0] rage[-3] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
ward showed immense promise and he will be greatly missed . 	ward showed immense promise and he will be greatly missed .	3	-2	 ward[0] showed[0] immense[0] promise[1] and[0] he[0] will[0] be[0] greatly[2] missed[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
note : it is a shame that the filmmakers had to add a disclaimer to the end of the film stating that neither they nor the musicians contributing music for the film condone racism . 	note : it is a shame that the filmmakers had to add a disclaimer to the end of the film stating that neither they nor the musicians contributing music for the film condone racism .	1	-3	 note[0] it[0] is[0] a[0] shame[-2] that[0] the[0] filmmakers[0] had[0] to[0] add[0] a[0] disclaimer[-1] to[0] the[0] end[0] of[0] the[0] film[0] stating[0] that[0] neither[0] they[0] nor[0] the[0] musicians[0] contributing[0] music[0] for[0] the[0] film[0] condone[0] racism[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the message about hatred couldn't be spelled out any more clearly than it is here , but there are those who would probably find this film much more akin to a training video than a condemnation . 	the message about hatred couldn't be spelled out any more clearly than it is here , but there are those who would probably find this film much more akin to a training video than a condemnation .	1	-4	 the[0] message[0] about[0] hatred[-3] couldn't[0] be[0] spelled[0] out[0] any[0] more[0] clearly[0] than[0] it[0] is[0] here[0] but[0] there[0] are[0] those[0] who[0] would[0] probably[0] find[0] this[0] film[0] much[0] more[0] akin[0] to[0] a[0] training[0] video[0] than[0] a[0] condemnation[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there are no " winners " at the end of this film either . 	there are no " winners " at the end of this film either .	2	-1	 there[0] are[0] no[0] winners[1] at[0] the[0] end[0] of[0] this[0] film[0] either[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
no character gets his or her comeuppance and the ending leaves us almost right where we began . 	no character gets his or her comeuppance and the ending leaves us almost right where we began .	1	-1	 no[0] character[0] gets[0] his[0] or[0] her[0] comeuppance[0] and[0] the[0] ending[0] leaves[0] us[0] almost[0] right[0] where[0] we[0] began[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
where american history x had redemption for most of its characters , no such victories are in store for pariah's band of twisted souls . 	where american history x had redemption for most of its characters , no such victories are in store for pariah's band of twisted souls .	2	-1	 where[0] american[0] history[0] x[1] had[0] redemption[0] for[0] most[0] of[0] its[0] characters[0] no[0] such[0] victories[0] are[0] in[0] store[0] for[0] pariah's[0] band[0] of[0] twisted[0] souls[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is this bleak ending that carries the film's most powerful message : the message that , despite what you may be able to momentarily do to put your own mind to rest , evil will still be with us ( and in many forms ) and there is very little than can be done to eradicate it entirely . 	it is this bleak ending that carries the film's most powerful message : the message that , despite what you may be able to momentarily do to put your own mind to rest , evil will still be with us ( and in many forms ) and there is very little than can be done to eradicate it entirely .	1	-3	 it[0] is[0] this[0] bleak[-1] ending[0] that[0] carries[0] the[0] film's[0] most[0] powerful[0] message[0] the[0] message[0] that[0] despite[0] what[0] you[0] may[0] be[0] able[0] to[0] momentarily[0] do[0] to[0] put[0] your[0] own[0] mind[0] to[0] rest[0] evil[-2] will[0] still[0] be[0] with[0] us[0] and[0] in[0] many[0] forms[0] and[0] there[0] is[0] very[0] little[0] than[0] can[0] be[0] done[0] to[0] eradicate[-1] it[0] entirely[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
