plot : a young recruit gets plucked out of nowhere by the number one gangster in london and quickly becomes a staple by his side . 	Translation	Positive	Negative	EmotionRationale
the basis of this film comes in the relationship between the number one gangster in the group , the excellent david thewlis , and one of his cronies , paul bettany , also extremely good in this film , and how the power , sex appeal and coolness of one , affects the other . 	the basis of this film comes in the relationship between the number one gangster in the group , the excellent david thewlis , and one of his cronies , paul bettany , also extremely good in this film , and how the power , sex appeal and coolness of one , affects the other .	4	-2	 the[0] basis[0] of[0] this[0] film[0] comes[0] in[0] the[0] relationship[0] between[0] the[0] number[0] one[0] gangster[0] in[0] the[0] group[0] the[0] excellent[3] david[0] thewlis[0] and[0] one[0] of[0] his[0] cronies[0] paul[0] bettany[0] also[0] extremely[0] good[1][2 LastWordBoosterStrength] in[0] this[0] film[0] and[0] how[0] the[0] power[0] sex[0] appeal[0] and[0] coolness[-1] of[0] one[0] affects[0] the[0] other[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
you know how there are always these " hanger-on " gangster types who latch on to the godfathers , the leaders , the top dogs of every crime organization ? 	you know how there are always these " hanger-on " gangster types who latch on to the godfathers , the leaders , the top dogs of every crime organization ?	1	-2	 you[0] know[0] how[0] there[0] are[0] always[0] these[0] hanger[0] on[0] gangster[0] types[0] who[0] latch[0] on[0] to[0] the[0] godfathers[0] the[0] leaders[0] the[0] top[0] dogs[0] of[0] every[0] crime[-1] organization[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
well , most of the time , these dudes are screened beforehand and are loyal to only one person . . . that 	well , most of the time , these dudes are screened beforehand and are loyal to only one person .<br> .<br> .<br> that	2	-1	 well[0] most[0] of[0] the[0] time[0] these[0] dudes[0] are[0] screened[0] beforehand[0] and[0] are[0] loyal[1] to[0] only[0] one[0] person[0] [[Sentence=-1,2=word max, 1-5]] that[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
is , their boss . 	is , their boss .	1	-1	 is[0] their[0] boss[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so all the gangster number one needs to worry about is his enemies on the other side of the fence . 	so all the gangster number one needs to worry about is his enemies on the other side of the fence .	1	-4	 so[0] all[0] the[0] gangster[0] number[0] one[0] needs[0] to[0] worry[-3] about[0] is[0] his[0] enemies[-1] on[0] the[0] other[0] side[0] of[0] the[0] fence[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but this film brings the betrayals , the messed up loyalties , the honor codes among bad guys into play within the same group and presents it in quite the stylistic package . 	but this film brings the betrayals , the messed up loyalties , the honor codes among bad guys into play within the same group and presents it in quite the stylistic package .	2	-3	 but[0] this[0] film[0] brings[0] the[0] betrayals[-2] the[0] messed[0] up[0] loyalties[1] the[0] honor[0] codes[0] among[0] bad[-1] guys[0] into[0] play[0] within[0] the[0] same[0] group[0] and[0] presents[0] it[0] in[0] quite[0] the[0] stylistic[0] package[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
of course , director paul mcguigan isn't trying to be guy ritchie here , and doesn't over-stylize his presentation , jazz it all up with a hip soundtrack or add any humor to the mix . 	of course , director paul mcguigan isn't trying to be guy ritchie here , and doesn't over-stylize his presentation , jaz it all up with a hip soundtrack or add any humor to the mix .	3	-1	 of[0] course[0] director[0] paul[0] mcguigan[0] isn't[0] trying[0] to[0] be[0] guy[0] ritchie[0] here[0] and[0] doesn't[0] over[0] stylize[0] his[0] presentation[0] jazz/jaz[0] it[0] all[0] up[0] with[0] a[0] hip[0] soundtrack[0] or[0] add[0] any[0] humor[2] to[0] the[0] mix[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
nope , he goes straight for the serious stuff and develops at least two particular scenes which are still embedded in my mind as i type this . 	nope , he goes straight for the serious stuff and develops at least two particular scenes which are still embedded in my mind as i type this .	1	-2	 nope[0] he[0] goes[0] straight[0] for[0] the[0] serious[-1] stuff[0] and[0] develops[0] at[0] least[0] two[0] particular[0] scenes[0] which[0] are[0] still[0] embedded[0] in[0] my[0] mind[0] as[0] i[0] type[0] this[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the first is a confrontation sequence between bettany and a man from which he's attempting to sway some information and it is downright nasty ! 	the first is a confrontation sequence between bettany and a man from which he's attempting to sway some information and it is downright nasty !	1	-3	 the[0] first[0] is[0] a[0] confrontation[-2] sequence[0] between[0] bettany[0] and[0] a[0] man[0] from[0] which[0] he's[0] attempting[0] to[0] sway[0] some[0] information[0] and[0] it[0] is[0] downright[0] nasty[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( " look into my eyes ! " ) 	 ( " look into my eyes !<br> " )	1	-1	 look[0] into[0] my[0] eyes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , the last time that i've seen a guy so scared in a movie was john turturro in that forest scene from the coen brothers' miller's crossing . 	in fact , the last time that i've seen a guy so scared in a movie was john turturro in that forest scene from the coen brothers' miller's crossing .	1	-4	 in[0] fact[0] the[0] last[0] time[0] that[0] i've[0] seen[0] a[0] guy[0] so[0] scared[-3] in[0] a[0] movie[0] was[0] john[0] turturro[0] in[0] that[0] forest[0] scene[0] from[0] the[0] coen[0] brothers'[0] miller's[0] crossing[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
scary shite . 	scary shite .	1	-4	 scary[-3] shite[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but there's an ever better scene than that in this film . 	but there's an ever better scene than that in this film .	1	-1	 but[0] there's[0] an[0] ever[0] better[0] scene[0] than[0] that[0] in[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this one features bettany , once again , slowly torturing , hacking and beating the living piss out of a rival gangster ( from that man's point-of-view ) , but not before turning on a quaint little tune in the background and removing all of his own expensive clothes , one by one ( that's right , he " does " the guy in his underwear ) . 	this one features bettany , once again , slowly torturing , hacking and beating the living piss out of a rival gangster ( from that man's point-of-view ) , but not before turning on a quaint little tune in the background and removing all of his own expensive clothes , one by one ( that's right , he " does " the guy in his underwear ) .	1	-4	 this[0] one[0] features[0] bettany[0] once[0] again[0] slowly[0] torturing[-3] hacking[0] and[0] beating[0] the[0] living[0] piss[-2] out[0] of[0] a[0] rival[-1] gangster[0] from[0] that[0] man's[0] point[0] of[0] view[0] but[0] not[0] before[0] turning[0] on[0] a[0] quaint[0] little[0] tune[0] in[0] the[0] background[0] and[0] removing[0] all[0] of[0] his[0] own[0] expensive[-1] clothes[0] one[0] by[0] one[0] that's[0] right[0] he[0] does[0] the[0] guy[0] in[0] his[0] underwear[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
that scene is also in tune with some of the obvious phallic and homoerotic undertones present throughout this film , especially in the relationship between bettany and his boss ( why does he get so upset when he falls in love with that woman ? ) . 	that scene is also in tune with some of the obvious phallic and homoerotic undertones present throughout this film , especially in the relationship between bettany and his boss ( why does he get so upset when he falls in love with that woman ?<br> ) .	3	-3	 that[0] scene[0] is[0] also[0] in[0] tune[0] with[0] some[0] of[0] the[0] obvious[0] phallic[0] and[0] homoerotic[0] undertones[0] present[0] throughout[0] this[0] film[0] especially[0] in[0] the[0] relationship[0] between[0] bettany[0] and[0] his[0] boss[0] why[0] does[0] he[0] get[0] so[0] upset[-2] when[0] he[0] falls[0] in[0] love[2] with[0] that[0] woman[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but the flick's not perfect . 	but the flick's not perfect .	1	-2	 but[0] the[0] flick's[0] not[0] perfect[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , i didn't mind malcolm mcdowell's voice-over narration at first , but as the film grew into a major flashback ( most of the film is presented as such ) , he came in every now and then , and rarely added anything of interest to the plot . 	in fact , i didn't mind malcolm mcdowell's voice-over narration at first , but as the film grew into a major flashback ( most of the film is presented as such ) , he came in every now and then , and rarely added anything of interest to the plot .	2	-1	 in[0] fact[0] i[0] didn't[0] mind[0] malcolm[0] mcdowell's[0] voice[0] over[0] narration[0] at[0] first[0] but[0] as[0] the[0] film[0] grew[0] into[0] a[0] major[0] flashback[0] most[0] of[0] the[0] film[0] is[0] presented[0] as[0] such[0] he[0] came[0] in[0] every[0] now[0] and[0] then[0] and[0] rarely[0] added[0] anything[0] of[0] interest[1] to[0] the[0] plot[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
all he seemed to do was swear and call people the c-word umpteen times , and even described one scene as it was happening ( " . . . so 	all he seemed to do was swear and call people the c-word umpteen times , and even described one scene as it was happening ( " .<br> .<br> .<br> so	1	-2	 all[0] he[0] seemed[0] to[0] do[0] was[0] swear[-1] and[0] call[0] people[0] the[0] c[0] word[0] umpteen[0] times[0] and[0] even[0] described[0] one[0] scene[0] as[0] it[0] was[0] happening[0] [[Sentence=-2,1=word max, 1-5]] so[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
i opened the door , then went up the lift , etc . . . . " -it's 	i opened the door , then went up the lift , etc .<br> .<br> .<br> .<br> " -it's	1	-1	 i[0] opened[0] the[0] door[0] then[0] went[0] up[0] the[0] lift[0] etc[0] [[Sentence=-1,1=word max, 1-5]] it's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like , yeah , i know that already , i could see it on the screen ! ! 	like , yeah , i know that already , i could see it on the screen !<br> !	2	-1	 like[1] yeah[0] i[0] know[0] that[0] already[0] i[0] could[0] see[0] it[0] on[0] the[0] screen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
overdone . ) . 	overdone .<br> ) .	1	-1	 overdone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i also didn't quite " buy " the ending of the movie , which despite being original , seemed a little unbelievable , especially when you consider that it's supposed to be taking place 30 years later , and folks still seem to be holding grudges , still in love , still living in the same apartments ? ? ! ? 	i also didn't quite " buy " the ending of the movie , which despite being original , seemed a little unbelievable , especially when you consider that it's supposed to be taking place 30 years later , and folks still seem to be holding grudges , still in love , still living in the same apartments ?<br> ?<br> !<br> ?	3	-2	 i[0] also[0] didn't[0] quite[0] buy[0] the[0] ending[0] of[0] the[0] movie[0] which[0] despite[0] being[0] original[0] seemed[0] a[0] little[0] unbelievable[-1] especially[0] when[0] you[0] consider[0] that[0] it's[0] supposed[0] to[0] be[0] taking[0] place[0] 30[0] years[0] later[0] and[0] folks[0] still[0] seem[0] to[0] be[0] holding[0] grudges[0] still[0] in[0] love[2] still[0] living[0] in[0] the[0] same[0] apartments[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i mean , c'mon . . . it's 30 years , man ! ! 	i mean , c'mon .<br> .<br> .<br> it's 30 years , man !<br> !	1	-1	 i[0] mean[0] c'mon[0] [[Sentence=-1,1=word max, 1-5]] it's[0] 30[0] years[0] man[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i don't know , somehow it didn't work all that well for me . 	i don't know , somehow it didn't work all that well for me .	1	-1	 i[0] don't[0] know[0] somehow[0] it[0] didn't[0] work[0] all[0] that[0] well[0] for[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but one of my favorite genres has always been the crime movies , and this one is a decent addition to the lot . 	but one of my favorite genres has always been the crime movies , and this one is a decent addition to the lot .	2	-2	 but[0] one[0] of[0] my[0] favorite[1] genres[0] has[0] always[0] been[0] the[0] crime[-1] movies[0] and[0] this[0] one[0] is[0] a[0] decent[0] addition[0] to[0] the[0] lot[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
forget the lame title and malcolm mcdowell's narration of the obvious plot points , and concentrate on the film's stronger attributes such as its style , the exquisite atmosphere of the time period , its original look at the gangster dynamic within the same group , its memorable sequences and the solid performances from its two main leads , bettany and thewlis . 	forget the lame title and malcolm mcdowell's narration of the obvious plot points , and concentrate on the film's stronger attributes such as its style , the exquisite atmosphere of the time period , its original look at the gangster dynamic within the same group , its memorable sequences and the solid performances from its two main leads , bettany and thewlis .	2	-3	 forget[0] the[0] lame[-2] title[0] and[0] malcolm[0] mcdowell's[0] narration[0] of[0] the[0] obvious[0] plot[0] points[0] and[0] concentrate[0] on[0] the[0] film's[0] stronger[0] attributes[0] such[0] as[0] its[0] style[0] the[0] exquisite[0] atmosphere[0] of[0] the[0] time[0] period[0] its[0] original[0] look[0] at[0] the[0] gangster[0] dynamic[1] within[0] the[0] same[0] group[0] its[0] memorable[0] sequences[0] and[0] the[0] solid[0] performances[0] from[0] its[0] two[0] main[0] leads[0] bettany[0] and[0] thewlis[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
incidentally , unlike a few of the gangster flicks that i mention below , this one is in no way a parody or homage to this genre of films . . . it's the real deal ! 	incidentally , unlike a few of the gangster flicks that i mention below , this one is in no way a parody or homage to this genre of films .<br> .<br> .<br> it's the real deal !	1	-1	 incidentally[0] unlike[0] a[0] few[0] of[0] the[0] gangster[0] flicks[0] that[0] i[0] mention[0] below[0] this[0] one[0] is[0] in[0] no[0] way[0] a[0] parody[0] or[0] homage[0] to[0] this[0] genre[0] of[0] films[0] [[Sentence=-1,1=word max, 1-5]] it's[0] the[0] real[0] deal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
note : this film is packed with strong accents all around , which makes it hard to make out some of the words from time to time . 	note : this film is packed with strong accents all around , which makes it hard to make out some of the words from time to time .	1	-1	 note[0] this[0] film[0] is[0] packed[0] with[0] strong[0] accents[0] all[0] around[0] which[0] makes[0] it[0] hard[0] to[0] make[0] out[0] some[0] of[0] the[0] words[0] from[0] time[0] to[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's also quite violent and i don't remember any film that used the c-word as much as this one , so leave the kids at home for this one . . . 	it's also quite violent and i don't remember any film that used the c-word as much as this one , so leave the kids at home for this one .<br> .<br> .	1	-3	 it's[0] also[0] quite[0] violent[-2] and[0] i[0] don't[0] remember[0] any[0] film[0] that[0] used[0] the[0] c[0] word[0] as[0] much[0] as[0] this[0] one[0] so[0] leave[0] the[0] kids[0] at[0] home[0] for[0] this[0] one[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ; ) 	 ; )	1	-1	[[[0,0 max of sentences]]]
where's joblo coming from ? 	where's joblo coming from ?	1	-1	 where's[0] joblo[0] coming[0] from[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
american psycho ( 10/10 ) - a clockwork orange ( 9/10 ) - donnie brasco ( 8/10 ) - fight club ( 10/10 ) - get carter ( 7/10 ) - godfather ( 10/10 ) - godfather ii ( 10/10 ) - goodfellas ( 10/10 ) - lock , stock & two smoking barrels ( 8/10 ) - pulp fiction ( 8/10 ) - reservoir dogs ( 9/10 ) 	american psycho ( 10/10 ) - a clockwork orange ( 9/10 ) - donnie brasco ( 8/10 ) - fight club ( 10/10 ) - get carter ( 7/10 ) - godfather ( 10/10 ) - godfather i ( 10/10 ) - goodfellas ( 10/10 ) - lock , stock & two smoking barrels ( 8/10 ) - pulp fiction ( 8/10 ) - reservoir dogs ( 9/10 )	1	-3	 american[0] psycho[0] 10/10[0] a[0] clockwork[0] orange[0] 9/10[0] donnie[0] brasco[0] 8/10[0] fight[-2] club[0] 10/10[0] get[0] carter[0] 7/10[0] godfather[0] 10/10[0] godfather[0] ii/i[0] 10/10[0] goodfellas[0] 10/10[0] lock[0] stock[0] &[0] two[0] smoking[0] barrels[0] 8/10[0] pulp[0] fiction[0] 8/10[0] reservoir[0] dogs[0] 9/10[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
