john von neumann , progenitor of the computer age and critically important mathematician on the manhattan project , pointed out long ago that there is a great way to explore the cosmos , even without recourse to faster-than light travel . 	Translation	Positive	Negative	EmotionRationale
species features ben kingsley , who is completely wasted in a badly-written portrayal of a feebly amoral scientist . 	species features ben kingsley , who is completely wasted in a badly-written portrayal of a feebly amoral scientist .	1	-3	 species[0] features[0] ben[0] kingsley[0] who[0] is[0] completely[0] wasted[-1][-1 LastWordBoosterStrength] in[0] a[0] badly[-1] written[0] portrayal[0] of[0] a[0] feebly[0] amoral[-2] scientist[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
forest whitaker and alfred molina are also served poorly by the script . 	forest whitaker and alfred molina are also served poorly by the script .	1	-2	 forest[0] whitaker[0] and[0] alfred[0] molina[0] are[0] also[0] served[0] poorly[-1] by[0] the[0] script[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the species story is relatively simple ; we have been radioing information about ourselves and our dna out into space since 1971 , and have been receiving answers for two years . 	the species story is relatively simple ; we have been radioing information about ourselves and our dna out into space since 1971 , and have been receiving answers for two years .	1	-1	 the[0] species[0] story[0] is[0] relatively[0] simple[0] we[0] have[0] been[0] radioing[0] information[0] about[0] ourselves[0] and[0] our[0] dna[0] out[0] into[0] space[0] since[0] 1971[0] and[0] have[0] been[0] receiving[0] answers[0] for[0] two[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( note that , in the 1970's , we really didn't know diddly about the human genome structure , and were hardly in a position to radio out a set of blueprints for human beings . 	 ( note that , in the 1970's , we really didn't know diddly about the human genome structure , and were hardly in a position to radio out a set of blueprints for human beings .	1	-1	 note[0] that[0] in[0] the[0] 1970's[0] we[0] really[0] didn't[0] know[0] diddly[0] about[0] the[0] human[0] genome[0] structure[0] and[0] were[0] hardly[0] in[0] a[0] position[0] to[0] radio[0] out[0] a[0] set[0] of[0] blueprints[0] for[0] human[0] beings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even today , all we can do is give information about dna and how it works , not a copy of human dna , because we don't have it analyzed yet . ) 	even today , all we can do is give information about dna and how it works , not a copy of human dna , because we don't have it analyzed yet .<br> )	1	-1	 even[0] today[0] all[0] we[0] can[0] do[0] is[0] give[0] information[0] about[0] dna[0] and[0] how[0] it[0] works[0] not[0] a[0] copy[0] of[0] human[0] dna[0] because[0] we[0] don't[0] have[0] it[0] analyzed[0] yet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the answers we get from the unknown alien source are plans for recreating a member of the alien race , and doctor xavier finch , played by ben kingsley , is placed in charge of the attempt . 	the answers we get from the unknown alien source are plans for recreating a member of the alien race , and doctor xavier finch , played by ben kingsley , is placed in charge of the attempt .	1	-2	 the[0] answers[0] we[0] get[0] from[0] the[0] unknown[0] alien[-1] source[-1] are[0] plans[0] for[0] recreating[0] a[0] member[0] of[0] the[0] alien[-1] race[0] and[0] doctor[0] xavier[0] finch[0] played[0] by[0] ben[0] kingsley[0] is[0] placed[0] in[0] charge[-1] of[0] the[0] attempt[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the script begins to go off the deep end at this point , when the result is a beautiful young girl who can shape-shift into any of several ugly alien life forms . 	the script begins to go off the deep end at this point , when the result is a beautiful young girl who can shape-shift into any of several ugly alien life forms .	3	-3	 the[0] script[0] begins[0] to[0] go[0] off[0] the[0] deep[0] end[0] at[0] this[0] point[0] when[0] the[0] result[0] is[0] a[0] beautiful[2] young[0] girl[0] who[0] can[0] shape[0] shift[0] into[0] any[0] of[0] several[0] ugly[-2] alien[-1] life[0] forms[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the first half of the film has something to offer , as " sil , " the alien girl , struggles with her multi-form existence , changing from beauty to lizard to giant cockroach and back again , all while trying to understand her own place in the cosmos . 	the first half of the film has something to offer , as " sil , " the alien girl , struggles with her multi-form existence , changing from beauty to lizard to giant cockroach and back again , all while trying to understand her own place in the cosmos .	3	-2	 the[0] first[0] half[0] of[0] the[0] film[0] has[0] something[0] to[0] offer[0] as[0] sil[0] the[0] alien[-1] girl[0] struggles[-1] with[0] her[0] multi[0] form[0] existence[0] changing[0] from[0] beauty[2] to[0] lizard[0] to[0] giant[0] cockroach[0] and[0] back[0] again[0] all[0] while[0] trying[0] to[0] understand[0] her[0] own[0] place[0] in[0] the[0] cosmos[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
she seems oddly knowledgeable about human society , with glaring gaps where her social skills should be . 	she seems oddly knowledgeable about human society , with glaring gaps where her social skills should be .	1	-1	 she[0] seems[0] oddly[0] knowledgeable[0] about[0] human[0] society[0] with[0] glaring[0] gaps[0] where[0] her[0] social[0] skills[0] should[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her instincts are to mate and procreate , and some of the best scenes deal with her attempts in this area . 	her instincts are to mate and procreate , and some of the best scenes deal with her attempts in this area .	2	-1	 her[0] instincts[0] are[0] to[0] mate[1] and[0] procreate[0] and[0] some[0] of[0] the[0] best[1] scenes[0] deal[0] with[0] her[0] attempts[0] in[0] this[0] area[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
escaping from her birth laboratory in utah , sil is pursued by a team of drafted civilians with orders to find her and kill her . 	escaping from her birth laboratory in utah , sil is pursued by a team of drafted civilians with orders to find her and kill her .	1	-2	 escaping[0] from[0] her[0] birth[0] laboratory[0] in[0] utah[0] sil[0] is[0] pursued[0] by[0] a[0] team[0] of[0] drafted[0] civilians[0] with[0] orders[0] to[0] find[0] her[0] and[0] kill[-1] her[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she goes on an eating binge , spins herself a cocoon , and emerges as an adult , played by natasha henstridge , who goes a long way toward re-creating the sheerly inhuman beauty julie christie achieved in 1960 . 	she goes on an eating binge , spins herself a cocoon , and emerges as an adult , played by natasha henstridge , who goes a long way toward re-creating the sheerly inhuman beauty julie christie achieved in 1960 .	3	-3	 she[0] goes[0] on[0] an[0] eating[0] binge[0] spins[0] herself[0] a[0] cocoon[0] and[0] emerges[0] as[0] an[0] adult[0] played[0] by[0] natasha[0] henstridge[0] who[0] goes[0] a[0] long[0] way[0] toward[0] re[0] creating[0] the[0] sheerly[0] inhuman[-2] beauty[2] julie[0] christie[0] achieved[0] in[0] 1960[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the pursuers : michael madsen is an assassin/exterminator ; forrest whitaker is a convenient empath/psychic , just as though the u . s . government actually had such people on call . 	the pursuers : michael madsen is an assassin/exterminator ; forest whitaker is a convenient empath/psychic , just as though the you .<br> s .<br> government actually had such people on call .	1	-3	 the[0] pursuers[0] michael[0] madsen[0] is[0] an[0] assassin/exterminator[-2] forrest/forest[0] whitaker[0] is[0] a[0] convenient[0] empath/psychic[0] just[0] as[0] though[0] the[0] u[0] [[Sentence=-3,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] government[0] actually[0] had[0] such[0] people[0] on[0] call[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
neither is able to do much with the writing and directing provided . 	neither is able to do much with the writing and directing provided .	1	-1	 neither[0] is[0] able[0] to[0] do[0] much[0] with[0] the[0] writing[0] and[0] directing[0] provided[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whitaker's role seems to be aimed at making whitaker a male copy of star trek : the next generation's " counselor cleavage . " 	whitaker's role seems to be aimed at making whitaker a male copy of star trek : the next generation's " counselor cleavage .<br> "	1	-1	 whitaker's[0] role[0] seems[0] to[0] be[0] aimed[0] at[0] making[0] whitaker[0] a[0] male[0] copy[0] of[0] star[0] trek[0] the[0] next[0] generation's[0] counselor[0] cleavage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the other members of the strike team are played by marg helgenberger and alfred molina . 	the other members of the strike team are played by marg helgenberger and alfred molina .	1	-2	 the[0] other[0] members[0] of[0] the[0] strike[-1] team[0] are[0] played[0] by[0] marg[0] helgenberger[0] and[0] alfred[0] molina[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kingsley and whitaker are both consummate professionals , too good to not work to the best of their abilities ; but the performances donaldson elicited from the rest of the cast are disappointing and bland , and it is apparent that the direction was a bit weak . 	kingsley and whitaker are both consummate professionals , too good to not work to the best of their abilities ; but the performances donaldson elicited from the rest of the cast are disappointing and bland , and it is apparent that the direction was a bit weak .	2	-2	 kingsley[0] and[0] whitaker[0] are[0] both[0] consummate[0] professionals[0] too[0] good[1] to[0] not[0] work[0] to[0] the[0] best[1] of[0] their[0] abilities[0] but[0] the[0] performances[0] donaldson[0] elicited[0] from[0] the[0] rest[0] of[0] the[0] cast[0] are[0] disappointing[-1] and[0] bland[-1] and[0] it[0] is[0] apparent[0] that[0] the[0] direction[0] was[0] a[0] bit[0] weak[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
h . r . giger's design for the main form of the alien creature is actually a bit boring when we finally get to see it , although previous digital effects were done quite smoothly . 	h .<br> are .<br> giger's design for the main form of the alien creature is actually a bit boring when we finally get to see it , although previous digital effects were done quite smoothly .	1	-2	 h[0] [[Sentence=-1,1=word max, 1-5]] r[0] [[Sentence=-1,1=word max, 1-5]] giger's[0] design[0] for[0] the[0] main[0] form[0] of[0] the[0] alien[-1] creature[0] is[0] actually[0] a[0] bit[0] boring[-1] when[0] we[0] finally[0] get[0] to[0] see[0] it[0] although[0] previous[0] digital[0] effects[0] were[0] done[0] quite[0] smoothly[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the main fault of species is lack of originality ; it starts out with a wonderful , albeit borrowed , premise , and then doesn't live up to it . 	the main fault of species is lack of originality ; it starts out with a wonderful , albeit borrowed , premise , and then doesn't live up to it .	3	-2	 the[0] main[0] fault[-1] of[0] species[0] is[0] lack[-1] of[0] originality[0] it[0] starts[0] out[0] with[0] a[0] wonderful[2] albeit[0] borrowed[0] premise[0] and[0] then[0] doesn't[0] live[0] up[0] to[0] it[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
all we get are chase scenes and a few nice sex scenes , with a few monsters tossed in . 	all we get are chase scenes and a few nice sex scenes , with a few monsters tossed in .	2	-2	 all[0] we[0] get[0] are[0] chase[-1] scenes[0] and[0] a[0] few[0] nice[1] sex[0] scenes[0] with[0] a[0] few[0] monsters[0] tossed[0] in[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there is no buildup of tension and suspense , no climax worthy of the name ; species is just a sequence of " scare " scenes stuck together . 	there is no buildup of tension and suspense , no climax worthy of the name ; species is just a sequence of " scare " scenes stuck together .	1	-4	 there[0] is[0] no[0] buildup[0] of[0] tension[-2] and[0] suspense[0] no[0] climax[0] worthy[0] of[0] the[0] name[0] species[0] is[0] just[0] a[0] sequence[0] of[0] scare[-3] scenes[0] stuck[0] together[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the movie is carried by its chase and sex scenes , but not rescued by them . 	the movie is carried by its chase and sex scenes , but not rescued by them .	1	-2	 the[0] movie[0] is[0] carried[0] by[0] its[0] chase[-1] and[0] sex[0] scenes[0] but[0] not[0] rescued[0] by[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on the other hand , as an exercise in sci-fi action/ adventure , it certainly beats the ichor out of judge dredd . 	on the other hand , as an exercise in sci-fi action/ adventure , it certainly beats the ichor out of judge dredd .	1	-1	 on[0] the[0] other[0] hand[0] as[0] an[0] exercise[0] in[0] sci[0] fi[0] action/[0] adventure[0] it[0] certainly[0] beats[0] the[0] ichor[0] out[0] of[0] judge[0] dredd[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
species earns an extra rating point or two for having ben kingsley and natasha henstridge on board , but by and large , it's fun only for those of us who really like this sort of thing . 	species earns an extra rating point or two for having ben kingsley and natasha henstridge on board , but by and large , it's fun only for those of us who really like this sort of thing .	3	-1	 species[0] earns[0] an[0] extra[0] rating[0] point[0] or[0] two[0] for[0] having[0] ben[0] kingsley[0] and[0] natasha[0] henstridge[0] on[0] board[0] but[0] by[0] and[0] large[0] it's[0] fun[1] only[0] for[0] those[0] of[0] us[0] who[0] really[0] like[1][1 LastWordBoosterStrength] this[0] sort[0] of[0] thing[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
my personal rating is three stars , but knock one or two of those off if you don't enjoy pretty unclothed ladies and bloodthirsty alien monsters . 	my personal rating is three stars , but knock one or two of those off if you don't enjoy pretty unclothed ladies and bloodthirsty alien monsters .	1	-4	 my[0] personal[0] rating[0] is[0] three[0] stars[0] but[0] knock[0] one[0] or[0] two[0] of[0] those[0] off[0] if[0] you[0] don't[0] enjoy[2][NegatedDueToPreviousWord] pretty[2][NegatedDueToPreviousWord][-1 MultiplePositiveWords] unclothed[0] ladies[0] and[0] bloodthirsty[-1] alien[-1] monsters[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
mpaa classification : r ( violence , gore , nudity , sex , language ) 	mpa classification : are ( violence , gore , nudity , sex , language )	1	-4	 mpaa/mpa[0] classification[0] r[0] violence[-3] gore[0] nudity[0] sex[0] language[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
stars : ben kingsley , michael madsen , forest whitaker , alfred molina , marg helgenberger , natasha henstridge directed by : roger donaldson produced by : frank mancuso jr . and dennis feldman typed by : dennis feldman cinematography : andrzej bartkowiak music : christopher young run time : 108 minutes aspect ratio : 2 . 35 : 1 from mgm , opens 7 july 1995 	stars : ben kingsley , michael madsen , forest whitaker , alfred molina , marg helgenberger , natasha henstridge directed by : roger donaldson produced by : frank mancuso jr .<br> and dennis feldman typed by : dennis feldman cinematography : andrzej bartkowiak music : christopher young run time : 108 minutes aspect ratio : 2 .<br> 35 : 1 from mgm , opens 7 july 1995	1	-1	 stars[0] ben[0] kingsley[0] michael[0] madsen[0] forest[0] whitaker[0] alfred[0] molina[0] marg[0] helgenberger[0] natasha[0] henstridge[0] directed[0] by[0] roger[0] donaldson[0] produced[0] by[0] frank[0] mancuso[0] jr[0] [[Sentence=-1,1=word max, 1-5]] and[0] dennis[0] feldman[0] typed[0] by[0] dennis[0] feldman[0] cinematography[0] andrzej[0] bartkowiak[0] music[0] christopher[0] young[0] run[0] time[0] 108[0] minutes[0] aspect[0] ratio[0] 2[0] [[Sentence=-1,1=word max, 1-5]] 35[0] 1[0] from[0] mgm[0] opens[0] 7[0] july[0] 1995[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
