this is a stagy film adapted from roger rueff's play " hospitality suite . ''its 	Translation	Positive	Negative	EmotionRationale
larry is all business , he simply wants to close the sale . 	larry is all business , he simply wants to close the sale .	1	-1	 larry[0] is[0] all[0] business[0] he[0] simply[0] wants[0] to[0] close[0] the[0] sale[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he comes into the room pumped for the convention , using his attack mode to establish how serious he is about being a salesman . 	he comes into the room pumped for the convention , using his attack mode to establish how serious he is about being a salesman .	1	-3	 he[0] comes[0] into[0] the[0] room[0] pumped[0] for[0] the[0] convention[0] using[0] his[0] attack[-2] mode[0] to[0] establish[0] how[0] serious[-1] he[0] is[0] about[0] being[0] a[0] salesman[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he criticizes phil for being so placid , for getting such a small suite , for having the cheap food tray of carrot sticks rather than the one of stuffed shrimp , and for being burned-out . 	he criticizes phil for being so placid , for getting such a small suite , for having the cheap food tray of carrot sticks rather than the one of stuffed shrimp , and for being burned-out .	1	-2	 he[0] criticizes[-1] phil[0] for[0] being[0] so[0] placid[0] for[0] getting[0] such[0] a[0] small[0] suite[0] for[0] having[0] the[0] cheap[-1] food[0] tray[0] of[0] carrot[0] sticks[0] rather[0] than[0] the[0] one[0] of[0] stuffed[0] shrimp[0] and[0] for[0] being[0] burned[-1] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he tells him to go on a vacation . 	he tells him to go on a vacation .	1	-1	 he[0] tells[0] him[0] to[0] go[0] on[0] a[0] vacation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
get a woman . 	get a woman .	1	-1	 get[0] a[0] woman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while phil is reflective on where all his best years have gone for him and is contemplating a career change , now that he is 52 and is painfully divorcing his wife , after having lived too lonely a life on the road for too long . 	while phil is reflective on where all his best years have gone for him and is contemplating a career change , now that he is 52 and is painfully divorcing his wife , after having lived too lonely a life on the road for too long .	2	-4	 while[0] phil[0] is[0] reflective[0] on[0] where[0] all[0] his[0] best[1] years[0] have[0] gone[0] for[0] him[0] and[0] is[0] contemplating[0] a[0] career[0] change[0] now[0] that[0] he[0] is[0] 52[0] and[0] is[0] painfully[-3] divorcing[0] his[0] wife[0] after[0] having[0] lived[0] too[0] lonely[-1] a[0] life[0] on[0] the[0] road[0] for[0] too[0] long[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
he now finds himself suffering from some troubling dreams and questioning what he believes in . 	he now finds himself suffering from some troubling dreams and questioning what he believes in .	1	-4	 he[0] now[0] finds[0] himself[0] suffering[-3] from[0] some[0] troubling[-1][--1 LastWordBoosterStrength] dreams[0] and[0] questioning[0] what[0] he[0] believes[0] in[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he has always been a charmer , shaking everyone's hand , trying to please his clients while trying to make the sale . 	he has always been a charmer , shaking everyone's hand , trying to please his clients while trying to make the sale .	2	-2	 he[0] has[0] always[0] been[0] a[0] charmer[1] shaking[-1] everyone's[0] hand[0] trying[0] to[0] please[1] his[0] clients[0] while[0] trying[0] to[0] make[0] the[0] sale[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
larry is more aggressive as a salesman , he is always a heart attack away from every big sale . 	larry is more aggressive as a salesman , he is always a heart attack away from every big sale .	1	-3	 larry[0] is[0] more[0] aggressive[-2] as[0] a[0] salesman[0] he[0] is[0] always[0] a[0] heart[0] attack[-2] away[0] from[0] every[0] big[0] sale[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in contrast , bob is only in his twenties and everything seems fresh to him . 	in contrast , bob is only in his twenties and everything seems fresh to him .	1	-1	 in[0] contrast[0] bob[0] is[0] only[0] in[0] his[0] twenties[0] and[0] everything[0] seems[0] fresh[0] to[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is his first time for him on the road . 	this is his first time for him on the road .	1	-1	 this[0] is[0] his[0] first[0] time[0] for[0] him[0] on[0] the[0] road[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when dick fuller doesn't arrive at the party the salesmen throw , larry becomes confrontational and asks phil if he spoke to the man himself about the gathering . 	when dick fuller doesn't arrive at the party the salesmen throw , larry becomes confrontational and asks phil if he spoke to the man himself about the gathering .	1	-3	 when[0] dick[0] fuller[0] doesn't[0] arrive[0] at[0] the[0] party[0] the[0] salesmen[0] throw[0] larry[0] becomes[0] confrontational[-2] and[0] asks[0] phil[0] if[0] he[0] spoke[0] to[0] the[0] man[0] himself[0] about[0] the[0] gathering[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when told that he spoke to the secretary , larry throws a tantrum and is resigned to going back to their home office without the new account . 	when told that he spoke to the secretary , larry throws a tantrum and is resigned to going back to their home office without the new account .	1	-3	 when[0] told[0] that[0] he[0] spoke[0] to[0] the[0] secretary[0] larry[0] throws[0] a[0] tantrum[-2] and[0] is[0] resigned[-1] to[0] going[0] back[0] to[0] their[0] home[0] office[0] without[0] the[0] new[0] account[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but when they start talking to bob , whom they forced to act as the bartender , they are surprised to learn that fuller did indeed come but was wearing another man's name tag and that bob spent the entire evening consoling the tycoon over his recently deceased dog and then talking to him about jesus . 	but when they start talking to bob , whom they forced to act as the bartender , they are surprised to learn that fuller did indeed come but was wearing another man's name tag and that bob spent the entire evening consoling the tycoon over his recently deceased dog and then talking to him about jesus .	1	-1	 but[0] when[0] they[0] start[0] talking[0] to[0] bob[0] whom[0] they[0] forced[0] to[0] act[0] as[0] the[0] bartender[0] they[0] are[0] surprised[0] to[0] learn[0] that[0] fuller[0] did[0] indeed[0] come[0] but[0] was[0] wearing[0] another[0] man's[0] name[0] tag[0] and[0] that[0] bob[0] spent[0] the[0] entire[0] evening[0] consoling[0] the[0] tycoon[0] over[0] his[0] recently[0] deceased[0] dog[0] and[0] then[0] talking[0] to[0] him[0] about[0] jesus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bob then tells the boys about a private party fuller is attending afterwards , and that he invited bob to attend . 	bob then tells the boys about a private party fuller is attending afterwards , and that he invited bob to attend .	1	-1	 bob[0] then[0] tells[0] the[0] boys[0] about[0] a[0] private[0] party[0] fuller[0] is[0] attending[0] afterwards[0] and[0] that[0] he[0] invited[0] bob[0] to[0] attend[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
larry and phil can't fathom how bob didn't make a sales pitch . 	larry and phil can't fathom how bob didn't make a sales pitch .	1	-1	 larry[0] and[0] phil[0] can't[0] fathom[0] how[0] bob[0] didn't[0] make[0] a[0] sales[0] pitch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but they soon take another tact and decide to prep bob on how to get fuller's attention about their company's product as they sent him off to meet fuller , and will await his return in the hotel room . 	but they soon take another tact and decide to prep bob on how to get fuller's attention about their company's product as they sent him off to meet fuller , and will await his return in the hotel room .	1	-1	 but[0] they[0] soon[0] take[0] another[0] tact[0] and[0] decide[0] to[0] prep[0] bob[0] on[0] how[0] to[0] get[0] fuller's[0] attention[0] about[0] their[0] company's[0] product[0] as[0] they[0] sent[0] him[0] off[0] to[0] meet[0] fuller[0] and[0] will[0] await[0] his[0] return[0] in[0] the[0] hotel[0] room[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these two sharp salesmen are reduced to waiting for this smug kid to come back and tell them he saved their ass . 	these two sharp salesmen are reduced to waiting for this smug kid to come back and tell them he saved their ass .	2	-2	 these[0] two[0] sharp[0] salesmen[0] are[0] reduced[0] to[0] waiting[0] for[0] this[0] smug[-1] kid[0] to[0] come[0] back[0] and[0] tell[0] them[0] he[0] saved[1] their[0] ass[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the irony of their situation is played out in the darkness of the hotel room , as they stay up late into the night trying to make sense out of their lives . 	the irony of their situation is played out in the darkness of the hotel room , as they stay up late into the night trying to make sense out of their lives .	1	-2	 the[0] irony[-1] of[0] their[0] situation[0] is[0] played[0] out[0] in[0] the[0] darkness[0] of[0] the[0] hotel[0] room[0] as[0] they[0] stay[0] up[0] late[0] into[0] the[0] night[0] trying[0] to[0] make[0] sense[0] out[0] of[0] their[0] lives[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
these three performers were outstanding , each understanding what their role called for , each coming through with a marvelous performance . 	these three performers were outstanding , each understanding what their role called for , each coming through with a marvelous performance .	3	-1	 these[0] three[0] performers[0] were[0] outstanding[2] each[0] understanding[0] what[0] their[0] role[0] called[0] for[0] each[0] coming[0] through[0] with[0] a[0] marvelous[0] performance[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the only problem with the film , is that its more of a play than a cinematic experience . 	the only problem with the film , is that its more of a play than a cinematic experience .	1	-2	 the[0] only[0] problem[-1] with[0] the[0] film[0] is[0] that[0] its[0] more[0] of[0] a[0] play[0] than[0] a[0] cinematic[0] experience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the insightful dialogue and refreshing dramatics , give it an intelligent selling point and make it a good product to see . 	but the insightful dialogue and refreshing dramatics , give it an intelligent selling point and make it a good product to see .	2	-1	 but[0] the[0] insightful[0] dialogue[0] and[0] refreshing[0] dramatics[0] give[0] it[0] an[0] intelligent[1] selling[0] point[0] and[0] make[0] it[0] a[0] good[1] product[0] to[0] see[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
