capsule : the verma family is having a wedding and all the relatives will come for the multi-day festivities . 	Translation	Positive	Negative	EmotionRationale
aditi verma is marrying hemant , an indian engineer working in the us . 	aditi verma is marrying hemant , an indian engineer working in the us .	1	-1	 aditi[0] verma[0] is[0] marrying[0] hemant[0] an[0] indian[0] engineer[0] working[0] in[0] the[0] us[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she had previously had a relationship with vikram , her supervisor . 	she had previously had a relationship with vikram , her supervisor .	1	-1	 she[0] had[0] previously[0] had[0] a[0] relationship[0] with[0] vikram[0] her[0] supervisor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
latit , her father ( played by naseeruddin shah ) , is juggling many problems , not the least of which is worrying about the caterer has hired pk dubey . 	latit , her father ( played by naseeruddin shah ) , is juggling many problems , not the least of which is worrying about the caterer has hired pk dubey .	1	-4	 latit[0] her[0] father[0] played[0] by[0] naseeruddin[0] shah[0] is[0] juggling[0] many[0] problems[-1] not[0] the[0] least[0] of[0] which[0] is[0] worrying[-3] about[0] the[0] caterer[0] has[0] hired[0] pk[0] dubey[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
dubey is a rather eccentric man with a taste for eating the marigolds he uses for decoration . 	dubey is a rather eccentric man with a taste for eating the marigolds he uses for decoration .	1	-2	 dubey[0] is[0] a[0] rather[0] eccentric[-1] man[0] with[0] a[0] taste[0] for[0] eating[0] the[0] marigolds[0] he[0] uses[0] for[0] decoration[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even dubey will soon be romantically entangled when he becomes interested in alice , one of the family servants . 	even dubey will soon be romantically entangled when he becomes interested in alice , one of the family servants .	4	-2	 even[0] dubey[0] will[0] soon[0] be[0] romantically[3] entangled[-1] when[0] he[0] becomes[0] interested[1] in[0] alice[0] one[0] of[0] the[0] family[0] servants[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
several family members arrive giving rise to several plotlines involving sex , family secrets , or both . 	several family members arrive giving rise to several plotlines involving sex , family secrets , or both .	1	-1	 several[0] family[0] members[0] arrive[0] giving[0] rise[0] to[0] several[0] plotlines[0] involving[0] sex[0] family[0] secrets[0] or[0] both[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are heartbreaks and there are people falling in love . 	there are heartbreaks and there are people falling in love .	3	-4	 there[0] are[0] heartbreaks[-3] and[0] there[0] are[0] people[0] falling[0] in[0] love[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
some of the subjects covered are probably near taboo for indian films . 	some of the subjects covered are probably near taboo for indian films .	1	-2	 some[0] of[0] the[0] subjects[0] covered[0] are[0] probably[0] near[0] taboo[-1] for[0] indian[0] films[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
western audiences will appreciate a look at unfamiliar indian customs like women painting their hands with henna . 	western audiences will appreciate a look at unfamiliar indian customs like women painting their hands with henna .	2	-2	 western[0] audiences[0] will[0] appreciate[1] a[0] look[0] at[0] unfamiliar[-1] indian[0] customs[0] like[1] women[0] painting[0] their[0] hands[0] with[0] henna[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
on the other hand it was not clear ( to me at least ) if scenes like the family singing together are typical of indian culture or if they are a convention of indian musical films . 	on the other hand it was not clear ( to me at least ) if scenes like the family singing together are typical of indian culture or if they are a convention of indian musical films .	2	-1	 on[0] the[0] other[0] hand[0] it[0] was[0] not[0] clear[0] to[0] me[0] at[0] least[0] if[0] scenes[0] like[1] the[0] family[0] singing[0] together[0] are[0] typical[0] of[0] indian[0] culture[0] or[0] if[0] they[0] are[0] a[0] convention[0] of[0] indian[0] musical[0] films[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this seems a particularly westernized family with the father wearing american designer sweaters and the family speaking mostly english . 	this seems a particularly westernized family with the father wearing american designer sweaters and the family speaking mostly english .	1	-1	 this[0] seems[0] a[0] particularly[0] westernized[0] family[0] with[0] the[0] father[0] wearing[0] american[0] designer[0] sweaters[0] and[0] the[0] family[0] speaking[0] mostly[0] english[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the latter will , however , help with an international release . 	the latter will , however , help with an international release .	1	-1	 the[0] latter[0] will[0] however[0] help[0] with[0] an[0] international[0] release[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sabrina dhawan's screenplay is vibrant with witty dialog . 	sabrina dhawan's screenplay is vibrant with witty dialog .	1	-1	 sabrina[0] dhawan's[0] screenplay[0] is[0] vibrant[0] with[0] witty[0] dialog[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we have seen films with plotting very much like this , but the indian setting makes a great deal of difference . 	we have seen films with plotting very much like this , but the indian setting makes a great deal of difference .	3	-1	 we[0] have[0] seen[0] films[0] with[0] plotting[0] very[0] much[0] like[1] this[0] but[0] the[0] indian[0] setting[0] makes[0] a[0] great[2] deal[0] of[0] difference[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
director mira nair calls the film an affirmation of life . 	director mira nair calls the film an affirmation of life .	1	-1	 director[0] mira[0] nair[0] calls[0] the[0] film[0] an[0] affirmation[0] of[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i rate it a 7 on the 0 to 10 scale and a low  2 on the -4 to  4 scale . 	i rate it a 7 on the 0 to 10 scale and a low  2 on the -4 to  4 scale .	1	-2	 i[0] rate[0] it[0] a[0] 7[0] on[0] the[0] 0[0] to[0] 10[0] scale[0] and[0] a[0] low[-1] 2[0] on[0] the[0] -4[0] to[0] 4[0] scale[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
