in my reviews i try to make gentle recommendations rather than telling you what to see or what not to see . 	Translation	Positive	Negative	EmotionRationale
it's humorous but it isn't funny because of the unrelenting ominous undercurrent that runs throughout the whole production . 	it's humorous but it isn't funny because of the unrelenting ominous undercurrent that runs throughout the whole production .	3	-3	 it's[0] humorous[2] but[0] it[0] isn't[0] funny[1][NegatedDueToPreviousWord] because[0] of[0] the[0] unrelenting[0] ominous[-2] undercurrent[0] that[0] runs[0] throughout[0] the[0] whole[0] production[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
mixing comedy and the darkest of drama was the way this film was intended , and by god , it works , making it one of the year's very best . 	mixing comedy and the darkest of drama was the way this film was intended , and by god , it works , making it one of the year's very best .	3	-1	 mixing[0] comedy[0] and[0] the[0] darkest[0] of[0] drama[0] was[0] the[0] way[0] this[0] film[0] was[0] intended[0] and[0] by[0] god[0] it[0] works[0] making[0] it[0] one[0] of[0] the[0] year's[0] very[0] best[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
lester burnham ( kevin spacey ) has entered the mother of all mid-life crises . 	lester burnham ( kevin spacey ) has entered the mother of all mid-life crises .	1	-2	 lester[0] burnham[-1] kevin[0] spacey[0] has[0] entered[0] the[0] mother[0] of[0] all[0] mid[0] life[0] crises[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is living life without a purpose . 	he is living life without a purpose .	1	-1	 he[0] is[0] living[0] life[0] without[0] a[0] purpose[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is bored , depressed and sick of his sheltered , insignificant existence . 	he is bored , depressed and sick of his sheltered , insignificant existence .	1	-4	 he[0] is[0] bored[-1] depressed[-3] and[0] sick[-1] of[0] his[0] sheltered[0] insignificant[-1] existence[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he barely ever talks to his family , has no sex life , is stuck at a dead-end job and thinks he has no reason to live . 	he barely ever talks to his family , has no sex life , is stuck at a dead-end job and thinks he has no reason to live .	1	-3	 he[0] barely[0] ever[0] talks[0] to[0] his[0] family[0] has[0] no[0] sex[0] life[0] is[0] stuck[0] at[0] a[0] dead[-2] end[0] job[0] and[0] thinks[0] he[0] has[0] no[0] reason[0] to[0] live[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but one day , when he and his equally troubled wife ( annette bening ) attend one of his daughter's ( thora birch ) cheerleading performances , he sees something that makes him come alive . 	but one day , when he and his equally troubled wife ( annette bening ) attend one of his daughter's ( thora birch ) cheerleading performances , he sees something that makes him come alive .	1	-2	 but[0] one[0] day[0] when[0] he[0] and[0] his[0] equally[0] troubled[-1] wife[0] annette[0] bening[0] attend[0] one[0] of[0] his[0] daughter's[0] thora[0] birch[0] cheerleading[0] performances[0] he[0] sees[0] something[0] that[0] makes[0] him[0] come[0] alive[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what he sees is the performance by his daughter's friend , the head cheerleader . 	what he sees is the performance by his daughter's friend , the head cheerleader .	2	-1	 what[0] he[0] sees[0] is[0] the[0] performance[0] by[0] his[0] daughter's[0] friend[1] the[0] head[0] cheerleader[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he develops a lust for the promiscuous young girl ; an obsession which soon becomes pedophilic in nature . 	he develops a lust for the promiscuous young girl ; an obsession which soon becomes pedophilic in nature .	1	-3	 he[0] develops[0] a[0] lust[0] for[0] the[0] promiscuous[-1] young[0] girl[0] an[0] obsession[-2] which[0] soon[0] becomes[0] pedophilic[0] in[0] nature[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but for the first time , lester feels that he is actually living . 	but for the first time , lester feels that he is actually living .	1	-1	 but[0] for[0] the[0] first[0] time[0] lester[0] feels[0] that[0] he[0] is[0] actually[0] living[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this crush is only the beginning . 	this crush is only the beginning .	1	-2	 this[0] crush[-1] is[0] only[0] the[0] beginning[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lester proceeds to make more and more radical changes in his life , buying the car of his dreams , cursing off the boss and quitting his job ( " today i quit my job , told the boss to f * * * himself and blackmailed him for  60 , 000 -- would you pass the asparagus please ? " ) , 	lester proceeds to make more and more radical changes in his life , buying the car of his dreams , cursing off the boss and quitting his job ( " today i quit my job , told the boss to f * * * himself and blackmailed him for  60 , 00 - would you pass the asparagus please ?<br> " ) ,	2	-3	 lester[0] proceeds[0] to[0] make[0] more[0] and[0] more[0] radical[-1] changes[0] in[0] his[0] life[0] buying[0] the[0] car[0] of[0] his[0] dreams[0] cursing[0] off[0] the[0] boss[0] and[0] quitting[0] his[0] job[0] today[0] i[0] quit[-1] my[0] job[0] told[0] the[0] boss[0] to[0] f[0] himself[0] and[0] blackmailed[-2] him[0] for[0] 60[0] 000/00[0] would[0] you[0] pass[0] the[0] asparagus[0] please[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
buying drugs from the voyeur-next-door ( ricky fitts , a teenager who mysteriously videotapes what he considers to be " beauty " ) and refusing to be docile in family affairs . 	buying drugs from the voyeur-next-door ( ricky fits , a teenager who mysteriously videotapes what he considers to be " beauty " ) and refusing to be docile in family affairs .	3	-1	 buying[0] drugs[0] from[0] the[0] voyeur[0] next[0] door[0] ricky[0] fitts/fits[0] a[0] teenager[0] who[0] mysteriously[0] videotapes[0] what[0] he[0] considers[0] to[0] be[0] beauty[2] and[0] refusing[0] to[0] be[0] docile[0] in[0] family[0] affairs[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his new attitude further alienates his daughter , only reassuring her that her parents are nothing more than freaks of nature unjustly forced on her by the powers that be , and inspiring her to enter a relationship with her eccentric neighbor . 	his new attitude further alienates his daughter , only reassuring her that her parents are nothing more than freaks of nature unjustly forced on her by the powers that be , and inspiring her to enter a relationship with her eccentric neighbor .	3	-2	 his[0] new[0] attitude[0] further[0] alienates[-1] his[0] daughter[0] only[0] reassuring[1] her[0] that[0] her[0] parents[0] are[0] nothing[0] more[0] than[0] freaks[-1] of[0] nature[0] unjustly[0] forced[0] on[0] her[0] by[0] the[0] powers[0] that[0] be[0] and[0] inspiring[2] her[0] to[0] enter[0] a[0] relationship[0] with[0] her[0] eccentric[-1] neighbor[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and the burnhams's neighbors provide american beauty with a significant chunk of its dramatic momentum . 	and the burnhams's neighbors provide american beauty with a significant chunk of its dramatic momentum .	3	-2	 and[0] the[0] burnhams's[-1] neighbors[0] provide[0] american[0] beauty[2] with[0] a[0] significant[0] chunk[0] of[0] its[0] dramatic[0] momentum[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
ricky fitts ( wes bentley ) serves as the film's thematic center , providing the obscure , powerful meaning of the title . 	ricky fits ( wes bentley ) serves as the film's thematic center , providing the obscure , powerful meaning of the title .	1	-1	 ricky[0] fitts/fits[0] wes[0] bentley[0] serves[0] as[0] the[0] film's[0] thematic[0] center[0] providing[0] the[0] obscure[0] powerful[0] meaning[0] of[0] the[0] title[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
colonel fitts , the father , is one of the most fascinating and complex characters in the movie , even considering his limited screentime . 	colonel fits , the father , is one of the most fascinating and complex characters in the movie , even considering his limited screentime .	1	-1	 colonel[0] fitts/fits[0] the[0] father[0] is[0] one[0] of[0] the[0] most[0] fascinating[0] and[0] complex[0] characters[0] in[0] the[0] movie[0] even[0] considering[0] his[0] limited[0] screentime[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kevin spacey has never been better , and this performance will certainly earn him a chance to put a little gold person on his mantel . 	kevin spacey has never been better , and this performance will certainly earn him a chance to put a little gold person on his mantel .	1	-1	 kevin[0] spacey[0] has[0] never[0] been[0] better[0] and[0] this[0] performance[0] will[0] certainly[0] earn[0] him[0] a[0] chance[0] to[0] put[0] a[0] little[0] gold[0] person[0] on[0] his[0] mantel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he never plays his droll character as a freak , rather , he effectively portrays him as a normal person led to drastic self-exploration by his dissatisfaction with life . 	he never plays his droll character as a freak , rather , he effectively portrays him as a normal person led to drastic self-exploration by his dissatisfaction with life .	1	-2	 he[0] never[0] plays[1][NegatedDueToPreviousWord] his[0] droll[0] character[0] as[0] a[0] freak[-1] rather[0] he[0] effectively[0] portrays[0] him[0] as[0] a[0] normal[0] person[0] led[0] to[0] drastic[0] self[0] exploration[0] by[0] his[0] dissatisfaction[-1] with[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
spacey is poignant and devastating in the role of a lifetime . 	spacey is poignant and devastating in the role of a lifetime .	1	-5	 spacey[0] is[0] poignant[0] and[0] devastating[-4] in[0] the[0] role[0] of[0] a[0] lifetime[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
equally astonishing is young thora birch , who plays her potentially stereotypical rebellious teen character with suprising feeling and tenderness . 	equally astonishing is young thora birch , who plays her potentially stereotypical rebellious teen character with suprising feeling and tenderness .	2	-2	 equally[0] astonishing[0] is[0] young[0] thora[0] birch[0] who[0] plays[1] her[0] potentially[0] stereotypical[0] rebellious[-1] teen[0] character[0] with[0] suprising[0] feeling[0] and[0] tenderness[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
at two hours and ten minutes , american beauty didn't feel nearly long enough . 	at two hours and ten minutes , american beauty didn't feel nearly long enough .	3	-1	 at[0] two[0] hours[0] and[0] ten[0] minutes[0] american[0] beauty[2] didn't[0] feel[0] nearly[0] long[0] enough[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's a complicated , unforgettable film that , like the ice storm two years ago , dares to explore the darkest reaches of suburban life . 	it's a complicated , unforgettable film that , like the ice storm two years ago , dares to explore the darkest reaches of suburban life .	2	-2	 it's[0] a[0] complicated[-1] unforgettable[0] film[0] that[0] like[1] the[0] ice[0] storm[-1] two[0] years[0] ago[0] dares[0] to[0] explore[0] the[0] darkest[0] reaches[0] of[0] suburban[0] life[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
powerfully and cynically , it dissects the notion of the pretty house with the white picket fence and appealing garden being the american dream . 	powerfully and cynically , it dissects the notion of the pretty house with the white picket fence and appealing garden being the american dream .	3	-2	 powerfully[0] and[0] cynically[-1] it[0] dissects[0] the[0] notion[0] of[0] the[0] pretty[2] house[0] with[0] the[0] white[0] picket[0] fence[0] and[0] appealing[0] garden[0] being[0] the[0] american[0] dream[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it claims that this picture-perfect image is just that -- an image , and hiding behind it are lives much darker than common knowledge would have it . 	it claims that this picture-perfect image is just that - an image , and hiding behind it are lives much darker than common knowledge would have it .	2	-1	 it[0] claims[0] that[0] this[0] picture[0] perfect[1] image[0] is[0] just[0] that[0] an[0] image[0] and[0] hiding[0] behind[0] it[0] are[0] lives[0] much[0] darker[0] than[0] common[0] knowledge[0] would[0] have[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the dark , deeply ironic ending , though given away by our narrator in the first few minutes of the movie , stays with you for weeks after it's all over . 	the dark , deeply ironic ending , though given away by our narrator in the first few minutes of the movie , stays with you for weeks after it's all over .	1	-2	 the[0] dark[0] deeply[0] ironic[-1] ending[0] though[0] given[0] away[0] by[0] our[0] narrator[0] in[0] the[0] first[0] few[0] minutes[0] of[0] the[0] movie[0] stays[0] with[0] you[0] for[0] weeks[0] after[0] it's[0] all[0] over[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
american beauty is just the kind of uncompromising film hollywood needs every now and then to counterbalance the mindless drivel we see released ; even more so considering it's a masterpiece . 	american beauty is just the kind of uncompromising film hollywood needs every now and then to counterbalance the mindless drivel we see released ; even more so considering it's a masterpiece .	3	-2	 american[0] beauty[2] is[0] just[0] the[0] kind[1] of[0] uncompromising[0] film[0] hollywood[0] needs[0] every[0] now[0] and[0] then[0] to[0] counterbalance[0] the[0] mindless[0] drivel[-1] we[0] see[0] released[0] even[0] more[0] so[0] considering[0] it's[0] a[0] masterpiece[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
