men in black is an explosive mix of science fiction , action , and comedy that hits the target in every possible way . 	Translation	Positive	Negative	EmotionRationale
 from here , we are introduced to james edwards , played very well by will smith . 	 from here , we are introduced to james edwards , played very well by will smith .	1	-1	 from[0] here[0] we[0] are[0] introduced[0] to[0] james[0] edwards[0] played[0] very[0] well[0] by[0] will[0] smith[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
edwards , a police officer , is chasing a fleeing criminal . 	edwards , a police officer , is chasing a fleeing criminal .	1	-2	 edwards[0] a[0] police[0] officer[0] is[0] chasing[0] a[0] fleeing[-1] criminal[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the criminal gives a very good chase , and at one point when edwards confronts him , the criminal pulls out a very different looking weapon that disintegrated when it hit the ground . 	the criminal gives a very good chase , and at one point when edwards confronts him , the criminal pulls out a very different looking weapon that disintegrated when it hit the ground .	3	-3	 the[0] criminal[-1] gives[0] a[0] very[0] good[1][1 LastWordBoosterStrength] chase[-1] and[0] at[0] one[0] point[0] when[0] edwards[0] confronts[-2] him[0] the[0] criminal[-1] pulls[0] out[0] a[0] very[0] different[0] looking[0] weapon[-1] that[0] disintegrated[0] when[0] it[0] hit[0] the[0] ground[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
edwards continues to chase the very athletic criminal to the top of a building , where the criminal informs edwards that he must let him go , because someone is after him . 	edwards continues to chase the very athletic criminal to the top of a building , where the criminal informs edwards that he must let him go , because someone is after him .	1	-2	 edwards[0] continues[0] to[0] chase[-1] the[0] very[0] athletic[0] criminal[-1] to[0] the[0] top[0] of[0] a[0] building[0] where[0] the[0] criminal[-1] informs[0] edwards[0] that[0] he[0] must[0] let[0] him[0] go[0] because[0] someone[0] is[0] after[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
edwards doesn't take this seriously , but when the criminal shows very non-human characteristics and leaps off the building , he begins to wonder . 	edwards doesn't take this seriously , but when the criminal shows very non-human characteristics and leaps off the building , he begins to wonder .	1	-2	 edwards[0] doesn't[0] take[0] this[0] seriously[0] but[0] when[0] the[0] criminal[-1] shows[0] very[0] non[0] human[0] characteristics[0] and[0] leaps[0] off[0] the[0] building[0] he[0] begins[0] to[0] wonder[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
back at the police station , agent kay shows up to ask edwards a few questions . 	back at the police station , agent kay shows up to ask edwards a few questions .	1	-1	 back[0] at[0] the[0] police[0] station[0] agent[0] kay[0] shows[0] up[0] to[0] ask[0] edwards[0] a[0] few[0] questions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he informs edwards that is was , in fact , a non-human that he was chasing , and that the gun he pulled out was definitely not man-made . 	he informs edwards that is was , in fact , a non-human that he was chasing , and that the gun he pulled out was definitely not man-made .	1	-2	 he[0] informs[0] edwards[0] that[0] is[0] was[0] in[0] fact[0] a[0] non[0] human[0] that[0] he[0] was[0] chasing[0] and[0] that[0] the[0] gun[-1] he[0] pulled[0] out[0] was[0] definitely[0] not[0] man[0] made[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he has edwards identify the gun , and asks edwards to come to the mib headquarters the following day . 	he has edwards identify the gun , and asks edwards to come to the mib headquarters the following day .	1	-2	 he[0] has[0] edwards[0] identify[0] the[0] gun[-1] and[0] asks[0] edwards[0] to[0] come[0] to[0] the[0] mib[0] headquarters[0] the[0] following[0] day[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
edwards arrives and finds that he is involved in a recruiting process , along with various other men who seem a bit more qualified than he . 	edwards arrives and finds that he is involved in a recruiting process , along with various other men who seem a bit more qualified than he .	1	-1	 edwards[0] arrives[0] and[0] finds[0] that[0] he[0] is[0] involved[0] in[0] a[0] recruiting[0] process[0] along[0] with[0] various[0] other[0] men[0] who[0] seem[0] a[0] bit[0] more[0] qualified[0] than[0] he[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after goofing up for half of the time , edwards puts on a show at the firing range , and agent kay notes the reason why he feels edwards should be the man to join the mib : he chased down the " criminal " on foot , which is something that no one is supposed to be able to do . 	after goofing up for half of the time , edwards puts on a show at the firing range , and agent kay notes the reason why he feels edwards should be the man to join the mib : he chased down the " criminal " on foot , which is something that no one is supposed to be able to do .	1	-2	 after[0] goofing[0] up[0] for[0] half[0] of[0] the[0] time[0] edwards[0] puts[0] on[0] a[0] show[0] at[0] the[0] firing[0] range[0] and[0] agent[0] kay[0] notes[0] the[0] reason[0] why[0] he[0] feels[0] edwards[0] should[0] be[0] the[0] man[0] to[0] join[0] the[0] mib[0] he[0] chased[-1] down[0] the[0] criminal[-1] on[0] foot[0] which[0] is[0] something[0] that[0] no[0] one[0] is[0] supposed[0] to[0] be[0] able[0] to[0] do[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the meantime , an upstate new york farm has a very close encounter . 	in the meantime , an upstate new york farm has a very close encounter .	1	-1	 in[0] the[0] meantime[0] an[0] upstate[0] new[0] york[0] farm[0] has[0] a[0] very[0] close[0] encounter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
edgar ( vincent d'onofrio ) , owner of the farm , investigates a strange crash landing and is attacked by the inhabitant of the flying object , which presumes to jump inside edgar and use his body as a human transport . 	edgar ( vincent d'onofrio ) , owner of the farm , investigates a strange crash landing and is attacked by the inhabitant of the flying object , which presumes to jump inside edgar and use his body as a human transport .	1	-3	 edgar[0] vincent[0] d'onofrio[0] owner[0] of[0] the[0] farm[0] investigates[0] a[0] strange[0] crash[0] landing[0] and[0] is[0] attacked[-2] by[0] the[0] inhabitant[0] of[0] the[0] flying[0] object[0] which[0] presumes[0] to[0] jump[0] inside[0] edgar[0] and[0] use[0] his[0] body[0] as[0] a[0] human[0] transport[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the " bug " , as he is called , is an intergalactic terrorist who has come to earth to attempt to kill two ambassadors . 	the " bug " , as he is called , is an intergalactic terrorist who has come to earth to attempt to kill two ambassadors .	1	-3	 the[0] bug[-1] as[0] he[0] is[0] called[0] is[0] an[0] intergalactic[0] terrorist[-2] who[0] has[0] come[0] to[0] earth[0] to[0] attempt[0] to[0] kill[-1] two[0] ambassadors[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and it up to the mib , with newly recruited agent jay ( formerly james edwards ) to exterminate the bug and save the planet from intergalactic war . 	and it up to the mib , with newly recruited agent jay ( formerly james edwards ) to exterminate the bug and save the planet from intergalactic war .	2	-3	 and[0] it[0] up[0] to[0] the[0] mib[0] with[0] newly[0] recruited[0] agent[0] jay[0] formerly[0] james[0] edwards[0] to[0] exterminate[-1] the[0] bug[-1] and[0] save[1] the[0] planet[0] from[0] intergalactic[0] war[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
men in black delightfully combines fast-paced action with often hilarious comedy , which is usually from will smith , although tommy lee jones opens up his comedic personality in this film . 	men in black delightfully combines fast-paced action with often hilarious comedy , which is usually from will smith , although tommy lee jones opens up his comedic personality in this film .	3	-1	 men[0] in[0] black[0] delightfully[2] combines[0] fast[0] paced[0] action[0] with[0] often[0] hilarious[2] comedy[0] which[0] is[0] usually[0] from[0] will[0] smith[0] although[0] tommy[0] lee[0] jones[0] opens[0] up[0] his[0] comedic[0] personality[0] in[0] this[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the special effects are also very well done and are not the entire source of the plot , as in another big alien film from the past summer . 	the special effects are also very well done and are not the entire source of the plot , as in another big alien film from the past summer .	2	-2	 the[0] special[1] effects[0] are[0] also[0] very[0] well[0] done[0] and[0] are[0] not[0] the[0] entire[0] source[-1] of[0] the[0] plot[0] as[0] in[0] another[0] big[0] alien[-1] film[0] from[0] the[0] past[0] summer[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
screenwriter ed solomon , writer of super mario bros . 	screenwriter ed solomon , writer of super mario bros .	3	-1	 screenwriter[0] ed[0] solomon[0] writer[0] of[0] super[2] mario[0] bros[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and the upcoming x-men film , has surely struck gold with this story . 	and the upcoming x-men film , has surely struck gold with this story .	2	-2	 and[0] the[0] upcoming[0] x[1] men[0] film[0] has[0] surely[0] struck[-1] gold[0] with[0] this[0] story[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
all ages will enjoy men in black . 	all ages will enjoy men in black .	3	-1	 all[0] ages[0] will[0] enjoy[2] men[0] in[0] black[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is an extremely fun film that you will want to see again . 	it is an extremely fun film that you will want to see again .	4	-1	 it[0] is[0] an[0] extremely[0] fun[1][2 LastWordBoosterStrength] film[0] that[0] you[0] will[0] want[0] to[0] see[0] again[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
although it runs a very quick and speedy 96 minutes , the entire film from beginning to end is a non-stop adventure . 	although it runs a very quick and speedy 96 minutes , the entire film from beginning to end is a non-stop adventure .	1	-1	 although[0] it[0] runs[0] a[0] very[0] quick[0] and[0] speedy[0] 96[0] minutes[0] the[0] entire[0] film[0] from[0] beginning[0] to[0] end[0] is[0] a[0] non[0] stop[0] adventure[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the ending of the film , which ties up a few loose ends for one of the main characters , is also very well done . 	the ending of the film , which ties up a few loose ends for one of the main characters , is also very well done .	1	-1	 the[0] ending[0] of[0] the[0] film[0] which[0] ties[0] up[0] a[0] few[0] loose[0] ends[0] for[0] one[0] of[0] the[0] main[0] characters[0] is[0] also[0] very[0] well[0] done[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a sequel is already being planned , so there is more to look forward to ! 	a sequel is already being planned , so there is more to look forward to !	1	-1	 a[0] sequel[0] is[0] already[0] being[0] planned[0] so[0] there[0] is[0] more[0] to[0] look[0] forward[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
