 " i'd rather die today and go to heaven than live to be a hundred and go to hell , " earnestly proclaims the pentecostal preacher . 	Translation	Positive	Negative	EmotionRationale
in this part he rebaptizes himself as the apostle e . f . the apostle is a hard worker willing to take on any odd job necessary to obtain the funds for his church . 	in this part he rebaptizes himself as the apostle e .<br> f .<br> the apostle is a hard worker willing to take on any odd job necessary to obtain the funds for his church .	1	-1	 in[0] this[0] part[0] he[0] rebaptizes[0] himself[0] as[0] the[0] apostle[0] e[0] [[Sentence=-1,1=word max, 1-5]] f[0] [[Sentence=-1,1=word max, 1-5]] the[0] apostle[0] is[0] a[0] hard[0] worker[0] willing[0] to[0] take[0] on[0] any[0] odd[0] job[0] necessary[0] to[0] obtain[0] the[0] funds[0] for[0] his[0] church[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he asks his members to tithe , but he gives all of his money . 	he asks his members to tithe , but he gives all of his money .	1	-1	 he[0] asks[0] his[0] members[0] to[0] tithe[0] but[0] he[0] gives[0] all[0] of[0] his[0] money[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and his good deeds extend to secret donations of food for the local poor folks . 	and his good deeds extend to secret donations of food for the local poor folks .	2	-2	 and[0] his[0] good[1] deeds[0] extend[0] to[0] secret[0] donations[0] of[0] food[0] for[0] the[0] local[0] poor[-1] folks[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a man who can't stand to be still , he tells one of his friends , " i quit school because i didn't like recess . " 	a man who can't stand to be still , he tells one of his friends , " i quit school because i didn't like recess .<br> "	2	-2	 a[0] man[0] who[0] can't[0] stand[0] to[0] be[0] still[0] he[0] tells[0] one[0] of[0] his[0] friends[1] i[0] quit[-1] school[0] because[0] i[0] didn't[0] like[1] recess[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in his new town he meets toosie ( miranda richardson ) , who , like him , has a family that she hasn't seen in a while . 	in his new town he meets toosie ( miranda richardson ) , who , like him , has a family that she hasn't seen in a while .	2	-1	 in[0] his[0] new[0] town[0] he[0] meets[0] toosie[0] miranda[0] richardson[0] who[0] like[1] him[0] has[0] a[0] family[0] that[0] she[0] hasn't[0] seen[0] in[0] a[0] while[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his romance with the separated woman , like the rest of the film , doesn't follow the standard patterns we have grown to expect from our movies . 	his romance with the separated woman , like the rest of the film , doesn't follow the standard patterns we have grown to expect from our movies .	4	-1	 his[0] romance[3] with[0] the[0] separated[0] woman[0] like[1] the[0] rest[0] of[0] the[0] film[0] doesn't[0] follow[0] the[0] standard[0] patterns[0] we[0] have[0] grown[0] to[0] expect[0] from[0] our[0] movies[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
billy bob thornton shows up one day playing a local racist and general troublemaker . 	billy bob thornton shows up one day playing a local racist and general troublemaker .	2	-2	 billy[0] bob[0] thornton[0] shows[0] up[0] one[0] day[0] playing[1] a[0] local[0] racist[-1] and[0] general[0] troublemaker[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
his confrontation with the apostle is yet another of show's many surprising scenes , again breaking many rules and conceptions about what approach deeply religious people might take . 	his confrontation with the apostle is yet another of show's many surprising scenes , again breaking many rules and conceptions about what approach deeply religious people might take .	1	-3	 his[0] confrontation[-2] with[0] the[0] apostle[0] is[0] yet[0] another[0] of[0] show's[0] many[0] surprising[0] scenes[0] again[0] breaking[0] many[0] rules[0] and[0] conceptions[0] about[0] what[0] approach[0] deeply[0] religious[0] people[0] might[0] take[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
although it probably couldn't have ended any other way , the movie does wrap things up nicely . 	although it probably couldn't have ended any other way , the movie does wrap things up nicely .	2	-1	 although[0] it[0] probably[0] couldn't[0] have[0] ended[0] any[0] other[0] way[0] the[0] movie[0] does[0] wrap[0] things[0] up[0] nicely[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and don't miss the sweet epilogue during the film's closing credits . 	and don't miss the sweet epilogue during the film's closing credits .	2	-1	 and[0] don't[0] miss[-1][NegatedDueToPreviousWord] the[0] sweet[1] epilogue[0] during[0] the[0] film's[0] closing[0] credits[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a tour de force acting performance by duvall and a surprising and unrelentingly dedicated script makes for an outstanding and moving film . 	a tour de force acting performance by duvall and a surprising and unrelentingly dedicated script makes for an outstanding and moving film .	3	-2	 a[0] tour[0] de[0] force[-1] acting[0] performance[0] by[0] duvall[0] and[0] a[0] surprising[0] and[0] unrelentingly[0] dedicated[0] script[0] makes[0] for[0] an[0] outstanding[2] and[0] moving[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the apostle runs a little too long at 2 : 12 . 	the apostle runs a little too long at 2 : 12 .	1	-1	 the[0] apostle[0] runs[0] a[0] little[0] too[0] long[0] at[0] 2[0] 12[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is rated pg-13 for mild profanity and brief violence and would be fine for kids eleven and up . 	it is rated pg-13 for mild profanity and brief violence and would be fine for kids eleven and up .	3	-4	 it[0] is[0] rated[0] pg[0] -13[0] for[0] mild[0] profanity[0] and[0] brief[0] violence[-3] and[0] would[0] be[0] fine[2] for[0] kids[0] eleven[0] and[0] up[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
